Attribute XML Name|MultiValue Attribute?|Group Name|Max Number of Records in Group|Data Type|Total Digits|Max Length / Total Number of digits|Min Length / # of decimals|***DO NOT USE*Lang specific?*****|Valid Value List Name|Qual O/M *FUTURE USE*|Qual Name|Qual Data Type|Qual Total Digits|Qual Max Length / Total Number of digits|Qual Min Length / # of decimals|Qual VV list|Copyable?|GUI Lang|GUI Attribute Name|GUI Help Text|GUI Container Type|GUI Field Type|Label Align|Label Width|Value Align|Value Width|GUI Group Row|GUI Group Column|Active Status|XML Group M/O *FUTURE USE*|Comments|IM/Customer Key Master Name|Untitled event|Xref Type|Customer's Attribute Ref ID
avp/doesTradeItemCarryUSDAChildNutritionLabel|N|||text||60|1||NonBinaryLogicCodes||||||||N|en|Does Trade Item Carry USDA Child Nutrition Label?|IM:doesTradeItemCarryUSDAChildNutritionLabel GDSN: doesTradeItemCarryUSDAChildNutritionLabel<br>An indication that the trade item carries a USDA approved Child Nutrition Label.  The USDA Child Nutrition (CN) Labeling Program provides food manufacturers the option to include a standardized food crediting statement on their product label. Labels must be approved by USDA, FNS prior to use and manufacturers must have quality control procedures and inspection oversight that meet the FNS requirements. Products produced in accordance with the CN Labeling Program are generally purchased by foodservice providers for FNS meal programs. http://www.fns.usda.gov/cnd/cnlabeling/default.htm|Horizontal|Dropdown|Right|200|Left||||Active||Added IM 6.44|doesTradeItemCarryUSDAChildNutritionLabel|||
avp/tradeItemCubeMeasurement|N|||float|10|10|1||||||||||N|en|Trade Item Cube Measurement|IM:tradeItemCubeMeasurement GDSN: tradeItemCubeMeasurement<br>The dimensions of an imaginary cube which can be drawn around the trade item as defined in the formula of H X W X D (The linear dimensions multiplied to get a cubic result). This only applies to In-box dimensions.|Horizontal|Float|Right|200|Left||||Active||Added IM 6.45; PI1511_04|tradeItemCubeMeasurement|||
avp/tradeItemCubeMeasurementUOM|N|||Text||10|1||||||||||N|en|Trade Item Cube Measurement UOM|IM:tradeItemCubeMeasurementUOM GDSN: tradeItemCubeMeasurementUOM<br>Unit of measure used for Trade Item Cube Measurement. |Horizontal|Text|Right|200|Left||||Active||Added IM 6.46|tradeItemCubeMeasurementUOM|||
avp/wSINumber|Y||999|text||70|1||||||||||N|en|WSI Number|WSI number associated with the Supplier|Horizontal|Text|Left|200|Left||||Active||PI1551_QA03; PI159_IM689_08||||
avp/tempZone|N||1|text||70|1|N|||||||||N|en|Temp Zone|McDonalds Proprietary Temp Zone for Distribution Centers|Horizontal|Text|Left|200|Left||||Active||PI1551_QA03||||
avp/acceleratedGraphicsPortSpeed|N|||integer||4|1||||||||||N|en|Accelerated Graphics Port Speed|acceleratedGraphicsPortSpeed<br>Qualifier: AVP128<br>The speed of the accelerated graphics port (AGP) measured in multiples of Base.|Horizontal|Integer|Left|200|Left||||Active||AVP|acceleratedGraphicsPortSpeed|||
avp/additionalFeaturesOrIncludedAccessories|N|||text||250|1|N|||||||||N|en|Additional Features Or Included Accessories|additionalFeaturesOrIncludedAccessories<br>Qualifier: AVP129<br>Additional features or included accessories that are very product specific that are not covered by any other general attribute. This is a Free Form text, be specific as possible.|Horizontal|Text|Left|200|Left||||Active||AVP|additionalFeaturesOrIncludedAccessories|||
avp/additionalPrinterFunctions|Y||3|text||70|1|N|||||||||N|en|Additional Printer Functions|additionalPrinterFunctions<br>Qualifier: AVP130<br>Describes functions other than printing that the printer can perform.|Horizontal|Text|Left|200|Left||||Active||AVP|additionalPrinterFunctions|||
avp/additionalShredderCapabilities|Y||2|text||70|1|N|||||||||N|en|Additional Shredder Capabilities|additionalShredderCapabilities<br>Qualifier: AVP131<br>Describes the additional mediums that the product can shred.|Horizontal|Text|Left|200|Left||||Active||AVP|additionalShredderCapabilities|||
avp/adjustableDirection|Y||3|text||70|1|N|||||||||N|en|Adjustable Direction|adjustableDirection<br>Qualifier: AVP132<br>Identifies the product's adjustable direction.|Horizontal|Text|Left|200|Left||||Active||AVP|adjustableDirection|||
avp/adjustableShelfType|Y||3|text||70|1|N|||||||||N|en|Adjustable Shelf Type|adjustableShelfType<br>Qualifier: AVP133<br>Identifies the type of adjustable shelf the product contains.|Horizontal|Text|Left|200|Left||||Active||AVP|adjustableShelfType|||
avp/airConditionerUnitType|Y||2|text||70|1|N|||||||||N|en|Air Conditioner Unit Type|airConditionerUnitType<br>Qualifier: AVP134<br>Identifies the type of AC Unit the product contains.|Horizontal|Text|Left|200|Left||||Active||AVP|airConditionerUnitType|||
avp/albumCapacity|N|||integer||4|1||||||||||N|en|Album Capacity|albumCapacity<br>Qualifier: AVP135<br>Describes the number of photos the album can hold. Values are in number of packets (Pkt).|Horizontal|Integer|Left|200|Left||||Active||AVP|albumCapacity|||
avp/albumCapacityUOM|N|||text||70|1|N|||||||||N|en|Album Capacity UOM|albumCapacityUOM<br>Qualifier: AVP136<br>The unit of measurement associated with the album capacity.|Horizontal|Text|Left|200|Left||||Active||AVP|albumCapacityUOM|||
avp/alcoholicBeveragePermissionLevel|N||100|text||2|1|N|||||||||N|en|Alcoholic Beverage Permission Level|alcoholicBeveragePermissionLevel<br>Qualifier: AVP027<br>Indication of a Permission level for alcoholic products dependent on the product classification. The permission level codes should reflect those of the target market.|Horizontal|Text|Left|200|Left||||Active||AVP|alcoholicBeveragePermissionLevel|||
avp/alcoholicBeverageSubregionOfOrigin|N||100|text||70|1|N|||||||||N|en|Alcoholic Beverage Subregion Of Origin|alcoholicBeverageSubregionOfOrigin<br>Qualifier: AVP030<br>Indication of sub region of origin of the trade item.|Horizontal|Text|Left|200|Left||||Active||AVP|alcoholicBeverageSubregionOfOrigin|||
avp/alcoholicBeverageSugarGramsPerLitre|Y||100|float|3|4|1||||||||||N|en|Alcoholic Beverage Sugar Grams Per Litre|alcoholicBeverageSugarGramsPerLitre<br>Qualifier: AVP031<br>Indication of the amount of sugar contained in the beverage in gram per litre.|Horizontal|Float|Left|200|Left||||Active||AVP|alcoholicBeverageSugarGramsPerLitre|||
avp/amountOfConnectedEquipmentGuarantee|N|||integer||8|1||||||||||N|en|Amount Of Connected Equipment Guarantee|amountOfConnectedEquipmentGuarantee<br>Qualifier: AVP137<br>The dollar amount the manufacturer will reimburse the consumer, in the case that a product attached to this product is damaged due to failure of the product. Measured in US Dollars.|Horizontal|Integer|Left|200|Left||||Active||AVP|amountOfConnectedEquipmentGuarantee|||
avp/amperage|N|||float|7|14|7||||||||||N|en|Amperage|amperage<br>Qualifier: AVP138<br>Describes the number of amps the product draws.|Horizontal|Float|Left|200|Left||||Active||AVP|amperage|||
avp/antennaPowerSourceType|N|||text||70|1|N|||||||||N|en|Antenna Power Source Type|antennaPowerSourceType<br>Qualifier: AVP139<br>Describes how the antenna is powered.|Horizontal|Text|Left|200|Left||||Active||AVP|antennaPowerSourceType|||
avp/antennaType|Y||3|text||70|1|N|||||||||N|en|Antenna Type|antennaType<br>Qualifier: AVP140<br>Describes the type of antenna.|Horizontal|Text|Left|200|Left||||Active||AVP|antennaType|||
avp/applianceBaseColor|Y||2|text||70|1|N|||||||||N|en|Appliance Base Color|applianceBaseColor<br>Qualifier: AVP141<br>Describes the appliance's general or base color.|Horizontal|Text|Left|200|Left||||Active||AVP|applianceBaseColor|||
avp/applianceMarketingColor|N|||text||70|1|N|||||||||N|en|Appliance Marketing Color|applianceMarketingColor<br>Qualifier: AVP142<br>Identifies the vendor specific marketing color of the product.|Horizontal|Text|Left|200|Left||||Active||AVP|applianceMarketingColor|||
avp/applianceStyle|N|||text||70|1|N|||||||||N|en|Appliance Style|applianceStyle<br>Qualifier: AVP143<br>Describes the appliance style.|Horizontal|Text|Left|200|Left||||Active||AVP|applianceStyle|||
avp/applianceWattage|N|||integer||4|1||||||||||N|en|Appliance Wattage|applianceWattage<br>Qualifier: AVP144<br>Identifies the number of watts, in which the product operates efficiently. Measured in Watts.|Horizontal|Integer|Left|200|Left||||Active||AVP|applianceWattage|||
avp/areDemonstrationItemsAvailable|N|||boolean|||||||||||||N|en|Are Demonstration Items Available?|areDemonstrationItemsAvailable<br>Qualifier: AVP068<br>Indicates whether or not product demonstrations are available for the item.|Horizontal|Boolean|Left|200|Left||||Active||AVP|areDemonstrationItemsAvailable|||
avp/areHeadphonesIncluded|N|||boolean|||||||||||||N|en|Are Headphones Included?|areHeadphonesIncluded<br>Qualifier: AVP146<br>Indicates whether or not the product comes with headphones.|Horizontal|Boolean|Left|200|Left||||Active||AVP|areHeadphonesIncluded|||
avp/audioVideoPlaybackCapability|Y||2|text||70|1|N|||||||||N|en|Audio Video Playback Capability|audioVideoPlaybackCapability<br>Qualifier: AVP148<br>Indicates the product's ability to play audio, video or both.|Horizontal|Text|Left|200|Left||||Active||AVP|audioVideoPlaybackCapability|||
avp/audioWattsPerChannel|N|||integer||4|1||||||||||N|en|Audio Watts Per Channel|audioWattsPerChannel<br>Qualifier: AVP149<br>Indicates the system power for the channels in the audio system. Measured in Watts.|Horizontal|Integer|Left|200|Left||||Active||AVP|audioWattsPerChannel|||
avp/automatedDocumentFeederPageCapacity|N|||integer||4|1||||||||||N|en|Automated Document Feeder Page Capacity|automatedDocumentFeederPageCapacity<br>Qualifier: AVP150<br>Indicatest the number of pages the self-loader holds at one time. Measured in Pages.|Horizontal|Integer|Left|200|Left||||Active||AVP|automatedDocumentFeederPageCapacity|||
avp/averageCostPerPrint|N|||text||70|1|N|||||||||N|en|Average Cost Per Print|averageCostPerPrint<br>Qualifier: AVP152<br>Indicates the average cost per print using this product.|Horizontal|Text|Left|200|Left||||Active||AVP|averageCostPerPrint|||
avp/averageMillisecondsOfDiskSeekTime|N|||float|7|14|7||||||||||N|en|Average Milliseconds Of Disk Seek Time|averageMillisecondsOfDiskSeekTime<br>Qualifier: AVP153<br>Indicates the amount of time it takes to read and return data from the disc. Measured in ms (Milliseconds).|Horizontal|Float|Left|200|Left||||Active||AVP|averageMillisecondsOfDiskSeekTime|||
avp/aVInputOutputLocation|Y||3|text||70|1|N|||||||||N|en|AV Input Output Location|aVInputOutputLocation<br>Qualifier: AVP151<br>Indicates the location of AV Input/Output connections.|Horizontal|Text|Left|200|Left||||Active||AVP|aVInputOutputLocation|||
avp/aspectRatio|N|||text||70|1|N|||||||||N|en|Aspect Ratio|avpAspectRatio<br>Qualifier: AVP147<br>Indicates the dimensions of a TV; whether of not it is wide screen or standard.|Horizontal|Text|Left|200|Left||||Active||AVP|avpAspectRatio|||
avp/primaryDeliveryMethodType|Y||100|text||60|1|N|||||||||N|en|Primary Delivery Method Type|avpPrimaryDeliveryMethodType<br>Qualifier: AVP721<br>The code value that Indicates the primary method of delivery for the trade item. The suggested values of this code list are: Warehouse, Direct Store Delivery, Warehouse and DSD, Drop Ship, Direct To Consumer.|Horizontal|Text|Left|200|Left||||Active||AVP|avpPrimaryDeliveryMethodType|||
avp/baglessTechnologyType|N|||text||70|1|N|||||||||N|en|Bagless Technology Type|baglessTechnologyType<br>Qualifier: AVP154<br>Indicates the type of technology used by the product to store dirt.|Horizontal|Text|Left|200|Left||||Active||AVP|baglessTechnologyType|||
avp/batteryLife|N|||integer||4|1||||||||||N|en|Battery Life|batteryLife<br>Qualifier: AVP155<br>Identifies the length of time the battery will last.|Horizontal|Integer|Left|200|Left||||Active||AVP|batteryLife|||
avp/batteryLifeUOM|N|||text||70|1|N|||||||||N|en|Battery Life UOM|batteryLifeUOM<br>Qualifier: AVP156<br>The unit of measurement associated with the Battery Life.|Horizontal|Text|Left|200|Left||||Active||AVP|batteryLifeUOM|||
avp/binocularSize|N|||text||70|1|N|||||||||N|en|Binocular Size|binocularSize<br>Qualifier: AVP157<br>Describes the size classification of the binocular.|Horizontal|Text|Left|200|Left||||Active||AVP|binocularSize|||
avp/blackAndWhitePrintSpeed|N|||integer||4|1||||||||||N|en|Black And White Print Speed|blackAndWhitePrintSpeed<br>Qualifier: AVP158<br>Indicates the black and white print speed of the product. Measured in Pages per Minute (PPM).|Horizontal|Integer|Left|200|Left||||Active||AVP|blackAndWhitePrintSpeed|||
avp/bodyStyle|N|||text||70|1|N|||||||||N|en|Body Style|bodyStyle<br>Qualifier: AVP159<br>Indicates the style of the body of the product.|Horizontal|Text|Left|200|Left||||Active||AVP|bodyStyle|||
avp/brandCompatibility|N|||text||70|1|N|||||||||N|en|Brand Compatibility|brandCompatibility<br>Qualifier: AVP160<br>Indcates whether the product is manufactured to support a specific brand(s) or if it is intended to use across brands (universal).|Horizontal|Text|Left|200|Left||||Active||AVP|brandCompatibility|||
avp/bridgeType|N|||text||70|1|N|||||||||N|en|Bridge Type|bridgeType<br>Qualifier: AVP161<br>Describes the type of bridge that the product contains. A bridge is a device for supporting the strings on a stringed instrument and transmitting the vibration of those strings to some other structural component of the instrument that transfers the sound to the surrounding air.|Horizontal|Text|Left|200|Left||||Active||AVP|bridgeType|||
avp/bTURating|N|||integer||8|1||||||||||N|en|BTU Rating|bTURating<br>Qualifier: AVP162<br>British Thermal Unit; describes the unit's output rating.|Horizontal|Integer|Left|200|Left||||Active||AVP|bTURating|||
avp/bufferSize|N|||integer||4|1||||||||||N|en|Buffer Size|bufferSize<br>Qualifier: AVP163<br>Indicates the size of the temporary memory that the system uses to store data.|Horizontal|Integer|Left|200|Left||||Active||AVP|bufferSize|||
avp/bufferSizeUOM|N|||text||70|1|N|||||||||N|en|Buffer Size UOM|bufferSizeUOM<br>Qualifier: AVP164<br>The unit of measurement associated with the Buffer Size.|Horizontal|Text|Left|200|Left||||Active||AVP|bufferSizeUOM|||
avp/builtinHeater|N|||boolean|||||||||||||N|en|Built-in Heater?|builtinHeater<br>Qualifier: AVP165<br>Indicates whether or not the product has a built-in heater for the waterline.|Horizontal|Boolean|Left|200|Left||||Active||AVP|builtinHeater|||
avp/buyerContactName|Y||3|text||70|1|N|||||||||N|en|Buyer Contact Name|buyerContactName<br>Qualifier: AVP166<br>Used for the ID for the ARI user ID, all data types should be the same as the ARI tables. This is a buyer name (If the supplier cannot send this, their sales rep will need to log into PIM to provide).|Horizontal|Text|Left|200|Left||||Active||AVP|buyerContactName|||
avp/cableConnectionTypes|N|||text||70|1|N|||||||||N|en|Cable Connection Types|cableConnectionTypes<br>Qualifier: AVP167<br>Indicates the type of cable connections the product contains.|Horizontal|Text|Left|200|Left||||Active||AVP|cableConnectionTypes|||
avp/cableLength|N|||integer||4|1||||||||||N|en|Cable Length|cableLength<br>Qualifier: AVP168<br>Indicates the length of the cable.|Horizontal|Integer|Left|200|Left||||Active||AVP|cableLength|||
avp/cableLengthUOM|N|||text||70|1|N|||||||||N|en|Cable Length UOM|cableLengthUOM<br>Qualifier: AVP169<br>The Unit of Measure associated with the Cable Length.|Horizontal|Text|Left|200|Left||||Active||AVP|cableLengthUOM|||
avp/cacheSize|N|||integer||4|1||||||||||N|en|Cache Size|cacheSize<br>Qualifier: AVP170<br>Indicates the product's cache size. Cache size is the amount of storage located on the computer's hard drive or RAM where recentlty viewed files are stored.|Horizontal|Integer|Left|200|Left||||Active||AVP|cacheSize|||
avp/cacheUOM|N|||text||70|1|N|||||||||N|en|Cache UOM|cacheUOM<br>Qualifier: AVP171<br>The Unit of Measure associated with Cache Size.|Horizontal|Text|Left|200|Left||||Active||AVP|cacheUOM|||
avp/callerIDLocation|Y||2|text||70|1|N|||||||||N|en|Caller ID Location|callerIDLocation<br>Qualifier: AVP172<br>Indicates the location of the Caller ID on the product.|Horizontal|Text|Left|200|Left||||Active||AVP|callerIDLocation|||
avp/cameraBagComposition|Y||3|text||70|1|N|||||||||N|en|Camera Bag Composition|cameraBagComposition<br>Qualifier: AVP173<br>Describes the material from, which the bag is made.|Horizontal|Text|Left|200|Left||||Active||AVP|cameraBagComposition|||
avp/cameraBagType|Y||2|text||70|1|N|||||||||N|en|Camera Bag Type|cameraBagType<br>Qualifier: AVP174<br>Indicates the size/purpose of the bag.|Horizontal|Text|Left|200|Left||||Active||AVP|cameraBagType|||
avp/cameraFilmType|N|||text||70|1|N|||||||||N|en|Camera Film Type|cameraFilmType<br>Qualifier: AVP175<br>Indicates the film type for camera use.|Horizontal|Text|Left|200|Left||||Active||AVP|cameraFilmType|||
avp/cameraFlashType|N|||text||70|1|N|||||||||N|en|Camera Flash Type|cameraFlashType<br>Qualifier: AVP176<br>Indicates the type of flash the product contains.|Horizontal|Text|Left|200|Left||||Active||AVP|cameraFlashType|||
avp/cameraKitAccessoriesDescription|N|||text||70|1|N|||||||||N|en|Camera Kit Accessories Description|cameraKitAccessoriesDescription<br>Qualifier: AVP177<br>Describes which accessories are included with the camera product.|Horizontal|Text|Left|200|Left||||Active||AVP|cameraKitAccessoriesDescription|||
avp/cameraLensMagnification|N|||text||70|1|N|||||||||N|en|Camera Lens Magnification|cameraLensMagnification<br>Qualifier: AVP178<br>Indicates the lens magnification of the camera product.|Horizontal|Text|Left|200|Left||||Active||AVP|cameraLensMagnification|||
avp/cameraLensOpticalZoom|N|||text||70|1|N|||||||||N|en|Camera Lens Optical Zoom|cameraLensOpticalZoom<br>Qualifier: AVP179<br>Indicates the optical zoom on the camera product.|Horizontal|Text|Left|200|Left||||Active||AVP|cameraLensOpticalZoom|||
avp/cameraLensZoomRange|N|||text||70|1|N|||||||||N|en|Camera Lens Zoom Range|cameraLensZoomRange<br>Qualifier: AVP180<br>Indicates the range of the camera lens on the product.|Horizontal|Text|Left|200|Left||||Active||AVP|cameraLensZoomRange|||
avp/canDisplayPictures|N|||boolean|||||||||||||N|en|Can Display Pictures?|canDisplayPictures<br>Qualifier: AVP181<br>Indicates whether or not the display has the ability to display pictures.|Horizontal|Boolean|Left|200|Left||||Active||AVP|canDisplayPictures|||
avp/canDownloadGames|N|||boolean|||||||||||||N|en|Can Download Games?|canDownloadGames<br>Qualifier: AVP766<br>Indicates whether or not the product has the ability to download games to the device.|Horizontal|Boolean|Left|200|Left||||Active||AVP|canDownloadGames|||
avp/canDownloadHighSpeedBroadband|N|||boolean|||||||||||||N|en|Can Download High Speed Broadband?|canDownloadHighSpeedBroadband<br>Qualifier: AVP767<br>Indicates whether or not the product can download at high speeds similar to that of the broadband internet.|Horizontal|Boolean|Left|200|Left||||Active||AVP|canDownloadHighSpeedBroadband|||
avp/canMountUnderCabinet|N|||boolean|||||||||||||N|en|Can Mount Under Cabinet?|canMountUnderCabinet<br>Qualifier: AVP182<br>Indicates whether or not the product be mounted under a cabinet.|Horizontal|Boolean|Left|200|Left||||Active||AVP|canMountUnderCabinet|||
