Attribute XML Name|MultiValue Attribute?|Group Name|Max Number of Records in Group|Data Type|Total Digits|Max Length / Total Number of digits|Min Length / # of decimals|***DO NOT USE*Lang specific?*****|Valid Value List Name|Qual O/M *FUTURE USE*|Qual Name|Qual Data Type|Qual Total Digits|Qual Max Length / Total Number of digits|Qual Min Length / # of decimals|Qual VV list|Copyable?|GUI Lang|GUI Attribute Name|GUI Help Text|GUI Container Type|GUI Field Type|Label Align|Label Width|Value Align|Value Width|GUI Group Row|GUI Group Column|Active Status|XML Group M/O *FUTURE USE*|Comments|IM/Customer Key Master Name|Untitled event|Xref Type|Customer's Attribute Ref ID
kroBanner_Product_NetContentEUOM|N||||||||||||||||N|en|Net Content|Net Content and Equivalent UOM|Banner|Label|Left|200|Left||||Active||PI165_DEC06_PC-Deriv-Rmv||||
kroNetContentEquivalentUOMV12187|N|||float|8|8|3|||M|uom|text||60|1|KRO_V12187|N|en|Net Content Equivalent UOM - VIP to Kroger|Quantity in Equivalent selling uom|Horizontal|Float|Left|200|Left||||Active||PI165_DEC06_PC-Deriv-Rmv, PI172_IM711_JUNE03||||
kroNetContentEquivalentUOMV12188|N|||float|8|8|3|||M|uom|text||60|1|KRO_V12188|N|en|Net Content Equivalent UOM - VIP to Kroger|Quantity in Equivalent selling uom|Horizontal|Float|Left|200|Left||||Active||PI165_DEC06_PC-Deriv-Rmv, PI172_IM711_JUNE03||||
kroNetContentEquivalentUOMV12189|N|||float|8|8|3|||M|uom|text||60|1|KRO_V12189|N|en|Net Content Equivalent UOM - VIP to Kroger|Quantity in Equivalent selling uom|Horizontal|Float|Left|200|Left||||Active||PI165_DEC06_PC-Deriv-Rmv, PI172_IM711_JUNE03||||
kroNetContentEquivalentUOMV12190|N|||float|8|8|3|||M|uom|text||60|1|KRO_V12190|N|en|Net Content Equivalent UOM - VIP to Kroger|Quantity in Equivalent selling uom|Horizontal|Float|Left|200|Left||||Active||PI165_DEC06_PC-Deriv-Rmv, PI172_IM711_JUNE03||||
kroNetContentEquivalentUOMV12191|N|||float|8|8|3|||M|uom|text||60|1|KRO_V12191|N|en|Net Content Equivalent UOM - VIP to Kroger|Quantity in Equivalent selling uom|Horizontal|Float|Left|200|Left||||Active||PI165_DEC06_PC-Deriv-Rmv, PI172_IM711_JUNE03||||
kroNetContentEquivalentUOMV12192|N|||float|8|8|3|||M|uom|text||60|1|KRO_V12192|N|en|Net Content Equivalent UOM - VIP to Kroger|Quantity in Equivalent selling uom|Horizontal|Float|Left|200|Left||||Active||PI165_DEC06_PC-Deriv-Rmv, PI172_IM711_JUNE03||||
kroNetContentEquivalentUOMV12193|N|||float|8|8|3|||M|uom|text||60|1|KRO_V12193|N|en|Net Content Equivalent UOM - VIP to Kroger|Quantity in Equivalent selling uom|Horizontal|Float|Left|200|Left||||Active||PI165_DEC06_PC-Deriv-Rmv, PI172_IM711_JUNE03||||
kroNetContentEquivalentUOMV12194|N|||float|8|8|3|||M|uom|text||60|1|KRO_V12194|N|en|Net Content Equivalent UOM - VIP to Kroger|Quantity in Equivalent selling uom|Horizontal|Float|Left|200|Left||||Active||PI165_DEC06_PC-Deriv-Rmv, PI172_IM711_JUNE03||||
kroNetContentEquivalentUOMV12195|N|||float|8|8|3|||M|uom|text||60|1|KRO_V12195|N|en|Net Content Equivalent UOM - VIP to Kroger|Quantity in Equivalent selling uom|Horizontal|Float|Left|200|Left||||Active||PI165_DEC06_PC-Deriv-Rmv, PI172_IM711_JUNE03||||
kroNetContentEquivalentUOMV12196|N|||float|8|8|3|||M|uom|text||60|1|KRO_V12196|N|en|Net Content Equivalent UOM - VIP to Kroger|Quantity in Equivalent selling uom|Horizontal|Float|Left|200|Left||||Active||PI165_DEC06_PC-Deriv-Rmv, PI172_IM711_JUNE03||||
kroNetContentEquivalentUOMV12197|N|||float|8|8|3|||M|uom|text||60|1|KRO_V12197|N|en|Net Content Equivalent UOM - VIP to Kroger|Quantity in Equivalent selling uom|Horizontal|Float|Left|200|Left||||Active||PI165_DEC06_PC-Deriv-Rmv, PI172_IM711_JUNE03||||
kroNetContentEquivalentUOMV12198|N|||float|8|8|3|||M|uom|text||60|1|KRO_V12198|N|en|Net Content Equivalent UOM - VIP to Kroger|Quantity in Equivalent selling uom|Horizontal|Float|Left|200|Left||||Active|| PI172_IM711_JUNE03||||
kroNetContentEquivalentUOMV12199|N|||float|8|8|3|||M|uom|text||60|1|KRO_V12199|N|en|Net Content Equivalent UOM - VIP to Kroger|Quantity in Equivalent selling uom|Horizontal|Float|Left|200|Left||||Active||PI165_DEC06_PC-Deriv-Rmv, PI172_IM711_JUNE03||||
kroNetContentEquivalentUOMV12200|N|||float|8|8|3|||M|uom|text||60|1|KRO_V12200|N|en|Net Content Equivalent UOM - VIP to Kroger|Quantity in Equivalent selling uom|Horizontal|Float|Left|200|Left||||Active||PI165_DEC06_PC-Deriv-Rmv, PI172_IM711_JUNE03||||
kroNetContentEquivalentUOMV12201|N|||float|8|8|3|||M|uom|text||60|1|KRO_V12201|N|en|Net Content Equivalent UOM - VIP to Kroger|Quantity in Equivalent selling uom|Horizontal|Float|Left|200|Left||||Active||PI165_DEC06_PC-Deriv-Rmv, PI172_IM711_JUNE03||||
kroNetContentEquivalentUOMV12202|N|||float|8|8|3|||M|uom|text||60|1|KRO_V12202|N|en|Net Content Equivalent UOM - VIP to Kroger|Quantity in Equivalent selling uom|Horizontal|Float|Left|200|Left||||Active||PI165_DEC06_PC-Deriv-Rmv, PI172_IM711_JUNE03||||
kroNetContentEquivalentUOMV12203|N|||float|8|8|3|||M|uom|text||60|1|KRO_V12203|N|en|Net Content Equivalent UOM - VIP to Kroger|Quantity in Equivalent selling uom|Horizontal|Float|Left|200|Left||||Active||PI165_DEC06_PC-Deriv-Rmv, PI172_IM711_JUNE03||||
kroNetContentEquivalentUOMV12204|N|||float|8|8|3|||M|uom|text||60|1|KRO_V12204|N|en|Net Content Equivalent UOM - VIP to Kroger|Quantity in Equivalent selling uom|Horizontal|Float|Left|200|Left||||Active||PI165_DEC06_PC-Deriv-Rmv, PI172_IM711_JUNE03||||
kroNetContentEquivalentUOMV12205|N|||float|8|8|3|||M|uom|text||60|1|KRO_V12205|N|en|Net Content Equivalent UOM - VIP to Kroger|Quantity in Equivalent selling uom|Horizontal|Float|Left|200|Left||||Active||PI165_DEC06_PC-Deriv-Rmv, PI172_IM711_JUNE03||||
kroNetContentEquivalentUOMV12206|N|||float|8|8|3|||M|uom|text||60|1|KRO_V12206|N|en|Net Content Equivalent UOM - VIP to Kroger|Quantity in Equivalent selling uom|Horizontal|Float|Left|200|Left||||Active||PI165_DEC06_PC-Deriv-Rmv, PI172_IM711_JUNE03||||
kroNetContentEquivalentUOMV12207|N|||float|8|8|3|||M|uom|text||60|1|KRO_V12207|N|en|Net Content Equivalent UOM - VIP to Kroger|Quantity in Equivalent selling uom|Horizontal|Float|Left|200|Left||||Active||PI165_DEC06_PC-Deriv-Rmv, PI172_IM711_JUNE03||||
kroNetContentEquivalentUOMV12208|N|||float|8|8|3|||M|uom|text||60|1|KRO_V12208|N|en|Net Content Equivalent UOM - VIP to Kroger|Quantity in Equivalent selling uom|Horizontal|Float|Left|200|Left||||Active||PI165_DEC06_PC-Deriv-Rmv, PI172_IM711_JUNE03||||
kroNetContentEquivalentUOMV12209|N|||float|8|8|3|||M|uom|text||60|1|KRO_V12209|N|en|Net Content Equivalent UOM - VIP to Kroger|Quantity in Equivalent selling uom|Horizontal|Float|Left|200|Left||||Active||PI165_DEC06_PC-Deriv-Rmv, PI172_IM711_JUNE03||||
