Attribute XML Name|MultiValue Attribute?|Group Name|Max Number of Records in Group|Data Type|Total Digits|Max Length / Total Number of digits|Min Length / # of decimals|***DO NOT USE*Lang specific?*****|Valid Value List Name|Qual O/M *FUTURE USE*|Qual Name|Qual Data Type|Qual Total Digits|Qual Max Length / Total Number of digits|Qual Min Length / # of decimals|Qual VV list|Copyable?|GUI Lang|GUI Attribute Name|GUI Help Text|GUI Container Type|GUI Field Type|Label Align|Label Width|Value Align|Value Width|GUI Group Row|GUI Group Column|Active Status|XML Group M/O *FUTURE USE*|Comments|IM/Customer Key Master Name|Untitled event|Xref Type|Customer's Attribute Ref ID
myrRequesterName|N|||text||100|1|N|||||||||N|en|Requester Name|Help text for attribute - Requester Name|Horizontal|text|Left|200|Left||||Active||My Retailer - Retailer Data||||
myrContactName|N|||text||50|1|N|||||||||N|en|Contact Name|Help text for attribute - Contact Name|Horizontal|Text|Left|200|Left||||Active||My Retailer - Vendor Data||||
myrVendorProdNumber|N|||text||20|1|N|||||||||N|en|Vendor Product Number|Help text for attribute - Vendor Product Number|Horizontal|Text|Left|200|Left||||Active||My Retailer - Vendor Data||||
myrStorageMethod|N|||text||100|1|N|myr_StorageMethods||||||||N|en|Storage Method|Help text for attribute - Storage Method|Horizontal|Dropdown|Left|200|Left||||Active||My Retailer - Vendor Data|||Retailer|
myrSpecialStorageDesc|N|||text||255|1|N|||||||||N|en|Special Storage Description|Help text for attribute - Special Storage Description|Horizontal|Text|Left|200|Left||||Active||My Retailer - Vendor Data||||
myrStorageTempMin|N|||float|17|21|4|||M|uom|text||5|2|TemperatureUOM|N|en|Storage Temperature Min|Help text for attribute - Storage Temperature Min|Horizontal|Float|Left|200|Left||||Active||My Retailer - Vendor Data|||Retailer|
myrStorageTempMax|N|||float|17|21|4|||M|uom|text||5|2|TemperatureUOM|N|en|Storage Temperature Max|Help text for attribute - Storage Temperature Max|Horizontal|Float|Left|200|Left||||Active||My Retailer - Vendor Data|||Retailer|
myrPromoCode|N|||text||50|1|N|||||||||N|en|Promo Code|Help text for attribute - Promo Code|Horizontal|text|Left|200|Left||||Active||My Retailer - Retailer Data||||
myrCaseCost|N|||float|17|21|4|||M|currency|text||3|1|StandardCurrencyCodes_hub|N|en|Case Cost|Help text for attribute - Case Cost|Horizontal|Float|Left|200|Left||||Active||My Retailer - Vendor Data|||Retailer|
myrTaxExempt|N|||boolean|||||||||||||N|en|Tax Exempt|Help text for attribute - Tax Exempt|Horizontal|boolean|Left|200|Left||||Active||My Retailer - Retailer Data||||
myrMinVariableWeight|N|||float|38|53|15|||M|uom|text||5|2|MassUOM|N|en|Min Variable Weight|Help text for attribute - Min Variable Weight|Horizontal|Float|Left|200|Left||||Active||My Retailer - Retailer Data|||Retailer|
myrMaxVariableWeight|N|||float|38|53|15|||M|uom|text||5|2|MassUOM|N|en|Max Variable Weight|Help text for attribute - Max Variable Weight|Horizontal|Float|Left|200|Left||||Active||My Retailer - Retailer Data|||Retailer|
myrNewOrderStartDate|N|||datetime|||||||||||||N|en|New Order Start Date|Help text for attribute - New Order Start Date|Horizontal|Datetime|Left|200|Left||||Active||My Retailer - Vendor Data||||
myrNewOrderEndDate|N|||datetime|||||||||||||N|en|New Order End Date|Help text for attribute - New Order End Date|Horizontal|Datetime|Left|200|Left||||Active||My Retailer - Vendor Data||||
myrCustomerNumber|N|||text||15|1|N|||||||||N|en|Customer Number|Help text for attribute - Customer Number|Horizontal|Text|Left|200|Left||||Active||My Retailer - Vendor Data||||
myrIdentificationBanner|N||||||||||||||||N|en|Identification & Descriptive Information|Identification & Descriptive Information|Banner|Label|Left|200|Left||||Active||My Retailer - Retailer Data||||
myrBuyVendor/myrBuyerID|N|myrBuyVendor||text||30|1|N|||||||||N|en|Buyer ID|Help text for attribute - Buyer ID|Vertical|text|Left|200|Left|30|||Active||My Retailer - Retailer Data||||
myrBuyVendor/myrVendorID|N|myrBuyVendor||text||30|1|N|||||||||N|en|Vendor ID|Help text for attribute - Vendor ID|Vertical|text|Left|200|Left|30|||Active||My Retailer - Retailer Data||||
myrDepartmentCode|N|||text||50|1|N|myr_DepartmentCodes||||||||N|en|Department Code|Help text for attribute - Department Code|Horizontal|text|Left|200|Left||||Active||My Retailer - Retailer Data|||Retailer|
myrCategoryCode|N|||text||50|1|N|myr_CategoryCodes||||||||N|en|Category Code|Help text for attribute - Category Code|Horizontal|text|Left|200|Left||||Active||My Retailer - Retailer Data|||Retailer|
myrPricingNotes|Y||999|text||255|1|N|||||||||N|en|Pricing Notes|Help text for attribute - Pricing Notes|Horizontal|Text|Left|200|Left||||Active||My Retailer - Vendor Data||||
myrCompetitorInfo/myrCompetitorName|N|myrCompetitorInfo|100|text||50|1|N|||||||||N|en|Competitor Name|Help text for attribute - Competitor Name|LoopGroupVertical|Text|Left|200|Left||||Active||My Retailer - Retailer Data||||
myrCompetitorInfo/myrCompetitorRegion|N|myrCompetitorInfo|100|text||50|1|N|||||||||N|en|Competitor Region|Help text for attribute - Competitor Region|LoopGroupVertical|Text|Left|200|Left||||Active||My Retailer - Retailer Data||||
myrCompetitorInfo/myrCompetitorRegularPrice|N|myrCompetitorInfo|100|float|17|21|4||||||||||N|en|Competitor Regular Price|Help text for attribute - Competitor Regular Price|LoopGroupVertical|Float|Left|200|Left||||Active||My Retailer - Retailer Data||||
myrCompetitorInfo/myrCompetitorSalePrice|N|myrCompetitorInfo|100|float|17|21|4||||||||||N|en|Competitor Sale Price|Help text for attribute - Competitor Sale Price|LoopGroupVertical|Float|Left|200|Left||||Active||My Retailer - Retailer Data||||
myrFSAIndicator|Y||999|text||50|1|N|myr_FSAIndicators||||||||N|en|FSA Indicator|Help text for attribute - FSA Indicator|Horizontal|Multi_Select_List|Left|200|Left||||Active||My Retailer - Retailer Data|||Retailer|
myrCompanyInformationBanner|N||||||||||||||||N|en|Company Information|Company Information|Banner|Label|Left|200|Left||||Active||My Retailer - Vendor Data||||
myrProdInformationBanner|N||||||||||||||||N|en|Product Information|Product Information|Banner|Label|Left|200|Left||||Active||My Retailer - Vendor Data||||
myrPricingBanner|N||||||||||||||||N|en|Pricing|Help text for attribute - Pricing|Banner|Label|Left|200|Left||||Active||My Retailer - Vendor Data||||
myrBracketPrice1|N|||float|17|21|4||||||||||N|en|Bracket Price 1|Help text for attribute - Bracket Price 1|Horizontal|Float|Left|200|Left||||Active||My Retailer - Vendor Data||||
myrBracketPrice2|N|||float|17|21|4||||||||||N|en|Bracket Price 2|Help text for attribute - Bracket Price 2|Horizontal|Float|Left|200|Left||||Active||My Retailer - Vendor Data||||
myrBracketPrice3|N|||float|17|21|4||||||||||N|en|Bracket Price 3|Help text for attribute - Bracket Price 3|Horizontal|Float|Left|200|Left||||Active||My Retailer - Vendor Data||||
myrBracketPrice4|N|||float|17|21|4||||||||||N|en|Bracket Price 4|Help text for attribute - Bracket Price 4|Horizontal|Float|Left|200|Left||||Active||My Retailer - Vendor Data||||
myrBracketPrice5|N|||float|17|21|4||||||||||N|en|Bracket Price 5|Help text for attribute - Bracket Price 5|Horizontal|Float|Left|200|Left||||Active||My Retailer - Vendor Data||||
myrBracketPrice6|N|||float|17|21|4||||||||||N|en|Bracket Price 6|Help text for attribute - Bracket Price 6|Horizontal|Float|Left|200|Left||||Active||My Retailer - Vendor Data||||
myrNewItemOffInvoice/myrNewItemAllowance|N|myrNewItemOffInvoice|100|float|17|21|4||||||||||N|en|New Item Allowance|Help text for attribute - New Item Allowance|LoopGroup|Float|Left|200|Left||||Active||My Retailer - Vendor Data||||
myrNewItemOffInvoice/myrOffInvoiceAllowance|N|myrNewItemOffInvoice|100|float|17|21|4||||||||||N|en|Off Invoice Allowance|Help text for attribute - Off Invoice Allowance|LoopGroup|Float|Left|200|Left||||Active||My Retailer - Vendor Data||||
myrNewItemOffInvoice/myrOffInvoiceStartDate|N|myrNewItemOffInvoice|100|datetime|||||||||||||N|en|Off Invoice Start Date|Help text for attribute - Off Invoice Start Date|LoopGroup|Datetime|Left|200|Left||||Active||My Retailer - Vendor Data||||
myrNewItemOffInvoice/myrOffInvoiceEndDate|N|myrNewItemOffInvoice|100|datetime|||||||||||||N|en|Off Invoice End Date|Help text for attribute - Off Invoice End Date|LoopGroup|Datetime|Left|200|Left||||Active||My Retailer - Vendor Data||||
myrReplenishmentType|Y||999|text||100|1|N|myr_ReplenishmentTypes||||||||N|en|Replenishment Type|Help text for attribute - Replenishment Type|Horizontal|Multi_Select_List|Left|200|Left||||Active||My Retailer - Vendor Data|||Retailer|
myrGtinInformationBanner|N||||||||||||||||N|en|GTIN Information|GTIN Information|Banner|Label|Left|200|Left||||Active||Banner||||
