Attribute XML Name|MultiValue Attribute?|Group Name|Max Number of Records in Group|Data Type|Total Digits|Max Length / Total Number of digits|Min Length / # of decimals|***DO NOT USE*Lang specific?*****|Valid Value List Name|Qual O/M *FUTURE USE*|Qual Name|Qual Data Type|Qual Total Digits|Qual Max Length / Total Number of digits|Qual Min Length / # of decimals|Qual VV list|Copyable?|GUI Lang|GUI Attribute Name|GUI Help Text|GUI Container Type|GUI Field Type|Label Align|Label Width|Value Align|Value Width|GUI Group Row|GUI Group Column|Active Status|XML Group M/O *FUTURE USE*|Comments|IM/Customer Key Master Name|Untitled event|Xref Type|Customer's Attribute Ref ID
mclBogusFlag|N|||boolean|||||||||||||N|en|Bogus Flag|No retail UPC, Bulk item.  Example: check mark|Horizontal|Boolean|Left|200|Left||||Active||added to IM 6.5 - McLane||||
mclShortDescription/mclShortDescription|N|mclShortDescription|100|text||25|1||||||||||N|en|Short Description|Free form field that will be sent to mainframe. Mandatory for new items.  Example: MARL BX|LoopGroupRo |Text|Left|200|Left|40|||Active||added to IM 6.5 - McLane||||
mclShortDescription/mclGtinOfShortDescription|N|mclShortDescription|100|text||14|1|N|||||||||N|en|GTIN|The Global Trade Item Number is the standard 14-digit number used to identify all trade items in 1SYNC Item Management. For a more detailed definition, refer to the introductory section of this document.|LoopGroupRo |Text|Left|20|Left|20|||Active||added to IM 6.5 - McLane||||
mclSize|N|||text||8|1||||||||||N|en|Size|Size of retail product. Example: KING|Horizontal|Text|Left|200|Left||||Active||added to IM 6.5 - McLane||||
mclBuyerNumber|N|||text||2|1||||||||||N|en|Buyer #|Numeric Field.  Example: 45|Horizontal|Text|Left|200|Left||||Active||added to IM 6.5 - McLane; updated prior to mcl load going with PRODINTRO-114||||
mclSellType|N|||text||15|1||mcl_SellTypes||||||||N|en|Sell Type|Sell type to customers.  Example: Full Case|Horizontal|Dropdown|Left|200|Left||||Active||added to IM 6.5 - McLane||||
mclCorpAccountNumber|N|||text||3|3||||||||||N|en|Corp Account #|Numeric Customer Account Number.  Example: 999|Horizontal|Text|Left|200|Left||||Active||added to IM 6.5 - McLane||||
mclItemType|N|||text||10|1||mcl_ItemTypes||||||||N|en|Item Type|Grocery or GMP.  Example: Grocery|Horizontal|Dropdown|Left|200|Left||||Active||added to IM 6.5 - McLane||||
mclLogo|N|||boolean|||||||||||||N|en|Logo|Private label item.  Example: check mark|Horizontal|Boolean|Left|200|Left||||Active||added to IM 6.5 - McLane||||
mclPromoCode|N|||boolean|||||||||||||N|en|Promo Code|Promo indicator for Cigs.  Example: check mark|Horizontal|Boolean|Left|200|Left||||Active||added to IM 6.5 - McLane||||
