Attribute XML Name|MultiValue Attribute?|Group Name|Max Number of Records in Group|Data Type|Total Digits|Max Length / Total Number of digits|Min Length / # of decimals|***DO NOT USE*Lang specific?*****|Valid Value List Name|Qual O/M *FUTURE USE*|Qual Name|Qual Data Type|Qual Total Digits|Qual Max Length / Total Number of digits|Qual Min Length / # of decimals|Qual VV list|Copyable?|GUI Lang|GUI Attribute Name|GUI Help Text|GUI Container Type|GUI Field Type|Label Align|Label Width|Value Align|Value Width|GUI Group Row|GUI Group Column|Active Status|XML Group M/O *FUTURE USE*|Comments|IM/Customer Key Master Name|Untitled event|Xref Type|Customer's Attribute Ref ID
swDietTypeCode|N|||text||12|1||SWDietTypeCodeVV||||||||N|en|Diet Type Code|Code indicating the diet for, which the product is suitable.|Horizontal|Dropdown|Left|200|Left||||Active|| PI164_IM6818_SEP05||||584
swNutritionalInformationBanner|N||||||||||||||||N|en|Nutritional and Ingredients Information|Nutritional and Ingredients Information|Banner|Label|Left|200|Left||||Active|| PI164_IM6818_SEP05||||NBanner
swDoesProductRequireIngredientsDeclaration|N|||boolean|||||||||||||N|en|Does this Product Require an Ingredients and Nutritional Declaration?|Does your product require us to add Ingredient or Nutritional Labeling to finished product or is your product a component to finished product at retail store? |Horizontal|Boolean|Left|200|Left||||Active||PI1514_IM6814_OCT01,  PI164_IM6818_SEP05, PI171_May_PI9.4||||392
swDepartment|N|||text||4|1||SWDepartmentVV||||||||N|en|Department|Indicate the department your item is primarily located within|Horizontal|Dropdown|Left|200|Left||||Active|| PI164_IM6818_SEP05||||498
swservingSizePreparationState|N|||text||12|1||FNBPreparationType||||||||N|en|Serving Size Preparation State|Code specifying whether the nutrient information applies to the prepared or unprepared state of the product.|Horizontal|Dropdown|Left|200|Left||||Active|| PI164_IM6818_SEP05||||549
swServingSize|N|||float|6|6|2||||||||||N|en|Serving Size|Enter the serving size in Grams |Horizontal|Float|Left|200|Left||||Active|| PI164_IM6818_SEP05||||550
swServingsPerContainer|N|||text||60|1||||||||||N|en|Servings Per Container|Enter the Servings per Container (Approximate if needed)|Horizontal|Text|Left|200|Left||||Active|| PI164_IM6818_SEP05||||552
swServingSizeDescription|N|||text||60|1||||||||||N|en|Serving Size Description|Serving Size Description (Example: 4 Cookies)|Horizontal|Text|Left|200|Left||||Active|| PI164_IM6818_SEP05||||632
swNutrients/swNutrientName|N|swNutrients|999|text||3|1||SWNutrientNameVV||||||||N|en|Nutrient Name|Nutrient Name|LoopGroup|Dropdown|Left|200|Left||||Active|| PI164_IM6818_SEP05||||505
swNutrients/swNutrientValue|N|swNutrients|999|text||9|1||||||||||N|en|Amount Per 100 Grams|Enter value in terms of 100 Gram serving using Unit of Measure from Attribute description (00000.000)|LoopGroup|Text|Left|200|Left||||Active|| PI164_IM6818_SEP05||||505
swNutrients/swNutrientAnalysis|N|swNutrients|999|text||3|1||SWAnalysisDoneByVV||||||||N|en|Analysis Done By|Lab or Calculated|LoopGroup|Dropdown|Left|200|Left||||Active|| PI164_IM6818_SEP05||||593
