Attribute XML Name|MultiValue Attribute?|Group Name|Max Number of Records in Group|Data Type|Total Digits|Max Length / Total Number of digits|Min Length / # of decimals|***DO NOT USE*Lang specific?*****|Valid Value List Name|Qual O/M *FUTURE USE*|Qual Name|Qual Data Type|Qual Total Digits|Qual Max Length / Total Number of digits|Qual Min Length / # of decimals|Qual VV list|Copyable?|GUI Lang|GUI Attribute Name|GUI Help Text|GUI Container Type|GUI Field Type|Label Align|Label Width|Value Align|Value Width|GUI Group Row|GUI Group Column|Active Status|XML Group M/O *FUTURE USE*|Comments|IM/Customer Key Master Name|Untitled event|Xref Type|Customer's Attribute Ref ID
wmSwatchImages/wmAnimalSwatchImageURL|N|wmSwatchImages|3|text||2000|1||||||||||N|en|Swatch Image URL|URL of the color or pattern swatch image. This will be shown as a small square on the item page. Recommended resolution is 100 x 100 pixels. URLs must begin with http:// or https://|LoopGroup|Text|Left|50|Left|200|||Active||Walmart_Initial_Load||||1071
wmSwatchImages/wmAnimalSwatchVariantAttribute|N|wmSwatchImages|3|text||4000|1||||||||||N|en|Swatch Variant Attribute|Attribute name corresponding to the swatch. |LoopGroup|Text|Left|50|Left|200|||Active||Walmart_Initial_Load||||1072
wmAnimalVariantAttributeNames|Y||3|text||4000|1||||||||||N|en|Variant Attribute Names|"Designate all attributes by which the item is varying. This list may include variants that the category spec has not explicitly identified.<br>Ex: If partner provides data for “Collar Size,” and ""Collar Size"" is not in the list of valid variants, then input “Collar Size” as a value here."|Horizontal|Text|Left|200|Left|200|||Active||Walmart_Initial_Load||||1073
wmAnimalIsPrimaryVariant|N|||boolean|||||||||||||N|en|Is Primary Variant|Note whether item is intended as the main variant in a variant grouping.|Horizontal|Boolean|Left|200|Left||||Active||Walmart_Initial_Load||||1074
wmAnimalFactoryID|N|||integer||12|1||||||||||N|en|Factory ID|Required for Private Label brands. See accompanying private-label brand list.|Horizontal|Integer|Left|200|Left||||Active||Walmart_Initial_Load||||1076
wmAnimalManufacturerPartNumber|N|||text||4000|1||||||||||N|en|Manufacturer Part Number|MPN uniquely identifies the product to its manufacturer. For many products this will be identical to the model number. Some manufacturers distinguish part number from model number.|Horizontal|Text|Left|200|Left|200|||Active||Walmart_Initial_Load||||1079
wmAnimalAnimalType|N|||text||4000|1||||||||||N|en|Animal Type|The common generic name for the type of animal.|Horizontal|Text|Left|200|Left|200|||Active||Walmart_Initial_Load||||1080
wmAnimalAnimalBreed|N|||text||4000|1||||||||||N|en|Animal Breed|The specific breed or species of animal.|Horizontal|Text|Left|200|Left|200|||Active||Walmart_Initial_Load||||1081
wmAnimalPetSize|N|||text||4000|1||||||||||N|en|Pet Size|Example: 5-8 lbs; 14-19 lbs (Please enter text with 4000 character max)|Horizontal|Text|Left|200|Left|200|||Active||Walmart_Initial_Load||||1082
wmAnimalAnimalLifestage|N|||text||4000|1||||||||||N|en|Animal Lifestage|Example: Puppy; Kitten; Adult; All Lifestages (Please enter text with 4000 character max)|Horizontal|Text|Left|200|Left|200|||Active||Walmart_Initial_Load||||1083
wmAnimalMinimumWeight|N|||float|30|30|15|||M|uom|text||60|1|WMWeight2UOMVV|N|en|Minimum Weight|Especially for use with outdoor play structures. Example: 5 lb; 8 lb (Please select a value from the drop-down below)|Horizontal|Float|Left|200|Left|200|||Active||Walmart_Initial_Load||||1084
wmAnimalMaximumWeight|N|||float|30|30|15|||M|uom|text||60|1|WMWeight2UOMVV|N|en|Maximum Weight|Especially for use with outdoor play structures. Example: 220 lb (Please select a value from the drop-down below)|Horizontal|Float|Left|200|Left|200|||Active||Walmart_Initial_Load||||1085
wmAnimalFabricCareInstructions|Y||3|text||4000|1||||||||||N|en|Fabric Care Instructions|Enter details of the fabric care label.|Horizontal|Text|Left|200|Left|200|||Active||Walmart_Initial_Load||||1090
wmAnimalPattern|Y||3|text||4000|1||||||||||N|en|Pattern|Decorative design or visual ornamentation, often with a thematic, recurring motif.<br>Example: Floral; Plaid; Paisley (If you want to submit multiple values, use a semicolon to separate the values. For example – value1;value2;value3. Please enter text with 4000 character max)|Horizontal|Text|Left|200|Left|200|||Active||Walmart_Initial_Load||||1091
wmAnimalMaterial|Y||3|text||4000|1||||||||||N|en|Material|"Material makeup of the item. Fabric materials should be entered using the ""Fabric Content"" attribute. "|Horizontal|Text|Left|200|Left|200|||Active||Walmart_Initial_Load||||1092
wmAnimalIsPortable|N|||boolean|||||||||||||N|en|Is Portable|Is the item portable? Example: Y; N (Please select a value from the drop-down below)|Horizontal|Boolean|Left|200|Left||||Active||Walmart_Initial_Load||||1093
wmAnimalIsFoldable|N|||boolean|||||||||||||N|en|Is Foldable|Indicates that an item can be folded. Example: Y; N (Please select a value from the drop-down below)|Horizontal|Boolean|Left|200|Left||||Active||Walmart_Initial_Load||||1094
wmAnimalAnimalAccessoriesIsReflective|N|||boolean|||||||||||||N|en|Is Reflective|Indicates that the item contains material that reflects light, especially for nighttime safety.|Horizontal|Boolean|Left|200|Left||||Active||Walmart_Initial_Load||||1120
wmAnimalAnimalAccessoriesMakesNoise|N|||boolean|||||||||||||N|en|Makes Noise|Indicates that the item has a noise-making feature.|Horizontal|Boolean|Left|200|Left||||Active||Walmart_Initial_Load||||1121
wmAnimalAnimalAccessoriesCharacter|Y||3|text||4000|1||||||||||N|en|Character|A person or entity portrayed in print or visual media. A character might be a fictional personality or an actual living person.<br>Example: Dora the Explorer; SpongeBob SquarePants (If you want to submit multiple values, use a semicolon to separate the values. For example – value1;value2;value3. Please enter text with 4000 character max)|Horizontal|Text|Left|200|Left|200|||Active||Walmart_Initial_Load||||1124
wmAnimalAnimalAccessoriesCondition|N|||text||4000|1||||||||||N|en|Condition|For refurbished items; used for non-perishables Example: New; Used; Refurbished (Please enter text with 4000 character max)|Horizontal|Text|Left|200|Left|200|||Active||Walmart_Initial_Load||||1126
wmAnimalAnimalFoodPetFoodForm|N|||text||4000|1||||||||||N|en|Pet Food Form|Example: Dry; Canned; Fresh; Flakes; Granules (Please enter text with 4000 character max)|Horizontal|Text|Left|200|Left|200|||Active||Walmart_Initial_Load||||1097
wmAnimalAnimalFoodAnimalHealthConcern|N|||text||4000|1||||||||||N|en|Animal Health Concern|Type of condition that the item is intended to address. |Horizontal|Text|Left|200|Left|200|||Active||Walmart_Initial_Load||||1098
wmAnimalAnimalFoodIsGrain-Free|N|||boolean|||||||||||||N|en|Is Grain-Free|Indicates item is made without grain ingredients. |Horizontal|Boolean|Left|200|Left||||Active||Walmart_Initial_Load||||1100
wmAnimalAnimalFoodFeedingInstructions|N|||text||4000|1||||||||||N|en|Feeding Instructions|Instructions for feeding food to the animal. |Horizontal|Text|Left|200|Left|200|||Active||Walmart_Initial_Load||||1101
wmAnimalAnimalHealthGroomingIsDrugFactsLabelRequired|N|||boolean|||||||||||||N|en|Is Drug Facts Label Required|Indicates if item requires drug facts labeling.|Horizontal|Boolean|Left|200|Left||||Active||Walmart_Initial_Load||||1102
wmAnimalAnimalHealthGroomingDrugFactsLabel|N|||text||2000|1||||||||||N|en|Drug Facts Label|URL of the label's image. |Horizontal|Text|Left|200|Left|200|||Active||Walmart_Initial_Load||||1103
