dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy
netContent|Y||100|float|38|38|15|||M|uom|text||5|2|AreaCountDimensionInfostorageMassVolumeUOM|E|N|en|Net Content & UOM - Vendor|The amount of the product contained in the package, usually as claimed on the label. If a product’s net content can be represented in multiple values – please provide all values (e.g. laundry detergent – 150 fluid ounces 1.17 gallons, 96 loads).|Horizontal|Float|1500|Left|200|Left||||Active||NULL|PI173_IM711_Aug01
gtinName|Y|||text||140|1|||M|lang|text||5|1|StandardLanguageCodes_hub|E|N|en|GTIN Name|The name of the trade item as it appears on the package, plus any key identifying words to help 1SYNC Item Management users to easily distinguish trade items.|Horizontal|Text|100|Left|200|Left||||Active||NULL|PI173_IM711_Aug01
brandName|N|||text||70|1|N|||||||||E|N|en|Brand Name|The brand name for the product recognized by the consumer.|Horizontal|Text|200|Left|200|Left|40|||Active||MANDATORY_BEFORE|PI173_IM711_Aug01
depth|Y||999|float|38|53|15|||M|uom|text||3|1|DimensionsUOM|E|N|en|Depth & UOM|For consumer trade items: The measurement from front to back of the product after the default front is determined (this also applies to non-consumer trade items that go on a retailer shelf – for example, protein bars sold individually but merchandised on the retailer shelf in a carton). For non-consumer trade items: The measurement of the longest side of the base of the product after the natural base is determined.|Horizontal|Float|1200|Left|200|Left||||Active||MANDATORY_BEFORE|PI173_IM711_Aug01
productDescription|Y|||text||200|1|N||M|lang|text||5|1|StandardLanguageCodes_hub|E|N|en|Product Description|An understandable and usable description of the product using brand name and other descriptors. This attribute should be populated with as little abbreviation as possible while keeping to a reasonable length.|Horizontal|Text|300|Left|200|Left|100|||Active||MANDATORY_BEFORE|PI173_IM711_Aug01
width|Y||999|float|38|53|15|||M|uom|text||3|1|DimensionsUOM|E|N|en|Width & UOM|For consumer trade items: The measurement from left to right of the product after the default front is determined (this also applies to non-consumer trade items that go on a retailer shelf – for example, protein bars sold individually but merchandised on the retailer shelf in a carton). For non-consumer trade items: The measurement of the shortest side of the base of the trade item after the natural base is determined.|Horizontal|Float|1400|Left|200|Left||||Active||MANDATORY_BEFORE|PI173_IM711_Aug01
functionalName|Y|||text||70|1|N||M|lang|text||5|1|StandardLanguageCodes_hub|E|N|en|Functional Name|Is the "Functional Name" of the trade item. Describes use of the product or service by the consumer. Should help clarify the product classification associated with the GTIN.|Horizontal|Text|400|Left|200|Left||||Active||MANDATORY_BEFORE|DeCA phase 2
height|Y||999|float|38|53|15|||M|uom|text||3|1|DimensionsUOM|E|N|en|Height & UOM|The vertical dimension from the lowest extremity to the highest extremity, including packaging and the unit of measure associated with the height.|Horizontal|Float|1300|Left|200|Left||||Active||MANDATORY_BEFORE|PI173_IM711_Aug01
totalQuantityOfNextLowerTradeItem|N|||integer||6|1||||||||||E|N|en|Qty of Next Level Item(s)|The total number of next lower level products contained within this specific product hierarchy level (e.g. – CASE product type contains 24 consumer units, the qty of next level items = 24).|Horizontal|Integer|500|Left|200|Left||||Active||MANDATORY_BEFORE|PI173_IM711_Aug01
grossWeight|Y||999|float|38|53|15|||M|uom|text||3|1|MassUOM|E|N|en|Gross Weight & UOM|The gross weight of the product. Includes all packaging materials o At the pallet level the gross weight includes the weight of the pallet itself.|Horizontal|Float|1600|Left|200|Left||||Active||MANDATORY_BEFORE|DeCA phase 2
informationProviderGLN|N|||text||13|1|N|||||||||R|N|en|Information Provider GLN|The GLN of the organization responsible for the validity of the item information being supplied.|Horizontal|Text|600|Left|200|Left||||Active||NULL|PI173_IM711_Aug01
manufacturer|N||||||||||||||||E|N|en|Manufacturer Link|Party name and identification information for the manufacturer of the trade item.|Horizontal|FLEX_POPUP|650|Left|200|Left||||Active||NULL|DeCA phase 2
referencedTradeItem/referencedTradeItemGTIN|N|referencedTradeItem|100|text||14|14||||||||||E|N|en|Referenced Trade Item GTIN|Referenced Trade Item GTIN|LoopGroup|Text|700|Left|200|Left||||Active||NULL|MJR3
startAvailabilityDate|N|||datetime|||||||||||||E|N|en|Start Availability Date|The date from which the trade item becomes available from the supplier, including seasonal or temporary trade items. Most common is to use current date.|Horizontal|DateTime|1800|Left|200|Left||||Active||MANDATORY_BEFORE|PI173_IM711_Aug01
referencedTradeItem/referencedTradeItemTypeCode|N|referencedTradeItem|100|text||80|14||ReferencedTradeItemTypeCode||||||||E|N|en|Referenced Trade Item Type Code|A code depicting the type of trade item that is referenced for a specific purpose|LoopGroup|DropDown|800|Left|200|Left||||Active||NULL|DeCA phase 2
isConsumerUnit|N|||boolean|||||||||||||E|N|en|Consumer Unit Indicator|Yes indicates this packaging level is the trade item intended for ultimate consumption. For retail, this trade item will be scanned at point of sale. At retail, this data is commonly used to select which GTINs should be used for shelf planning and for front end POS databases.|Horizontal|Boolean|900|Left|200|Left||||Active||MANDATORY_BEFORE|PI173_IM711_Aug01
isOrderableUnit|N|||boolean|||||||||||||E|N|en|Ordering Unit Indicator|Yes indicates that this trade item is the packaging level where the supplier will accept orders from retailer customers. This may be different from what the information provider identifies as a dispatch unit.|Horizontal|Boolean|1000|Left|200|Left||||Active||MANDATORY_BEFORE|PI173_IM711_Aug01
isDispatchUnit|N|||boolean|||||||||||||E|N|en|Dispatch Unit Indicator|Yes indicates that this packaging level is the trade item identified as the shipping unit.|Horizontal|Boolean|1100|Left|200|Left||||Active||MANDATORY_BEFORE|PI173_IM711_Aug01
netWeight|Y||999|float|38|38|15|||M|uom|text||3|1|MassUOM|E|N|en|Net Weight & UOM|Identifies the net weight of the product. Net weight excludes all packaging material.|Horizontal|Float|1700|Left|200|Left||||Active||NULL|DeCA phase 2
ti|N|||integer||10|1||||||||||E|N|en|Num of Items in a Complete Layer/GTIN Pallet Ti|The number of cases contained in a layer of a standard shipment.|Horizontal|Integer|1900|Left|200|Left|3|||Active||NULL|PI173_IM711_Aug01
hi|N|||integer||10|1||||||||||E|N|en|Num of Complete Layers Cont in Item/GTIN Pallet Hi|The number of layers that a pallet contains. Only used if pallet has no GTIN. In this case it applies to the highest level of the item hierarchy and only 1 pallet configuration can be provided. It is highly recommended to use GTIN for pallet identification.|Horizontal|Integer|2000|Left|200|Left|3|||Active||NULL|PI173_IM711_Aug01
nonGTINPalletTi|N|||integer||10|1||||||||||E|N|en|Number of Trade Items Per Pallet Layer/Non GTIN Pallet Ti|The number of trade items contained on a single layer of a pallet. Only used if the pallet has no GTIN.|Horizontal|Integer|2100|Left|200|Left||||Active||NULL|PI173_IM711_Aug01
nonGTINPalletHi|N|||integer||10|1||||||||||E|N|en|Number of Layers Per Pallet/Non GTIN Pallet Hi|Represents the number of layers that a pallet contains Only used if pallet has no GTIN. Applies to the highest level of the item hierarchy and only 1 pallet configuration can be provided.|Horizontal|Integer|2200|Left|200|Left||||Active||NULL|PI173_IM711_Aug01
isTradeItemADisplayUnit|N|||text||60|1|N|NonBinaryLogicCodes||||||||E|N|en|Trade Item is a Display Unit|Indicates whether or not a trade item is or could be used as a display unit. A display unit is intended to be shipped to a store without being split at a distribution center or similar party and is intended to be displayed in a retail store either on a shelf or on the floor.|Horizontal|Dropdown|2300|Right|200|Left||||Active||NULL|DeCA phase 2
dataCarrier/dataCarrierTypeCode|N|dataCarrier|100|text||80|1|N|DataCarrierTypeCode||||||||E|N|en|Data Carrier Type Code|Value that identifies the type of bar code that is on the product.|LoopGroup|DropDown|2400|Left|200|Left||||Active||MANDATORY_BEFORE|DeCA phase 2
dataCarrier/dataCarrierFamilyTypeCode|N|dataCarrier|100|text||80|1||DataCarrierFamilyTypeCode||||||||E|N|en|Data Carrier Family Type Code|A high-level grouping of data carriers for example GS1 Data Bar.|LoopGroup|DropDown|2500|Right|200|Left||||Active|O|NULL|DeCA phase 2
externalFileLink/typeOfInformation|N|externalFileLink|100|text||80|1|N|ReferencedFileTypeCode||||||||E|N|en|Type of Information|Value that identifies the purpose of the information contained in the external file. (e.g. planogram, MSDS sheet).|LoopGroup|Dropdown|2600|Left|200|Left|50|||Active||NULL|1.5.2CTX;
externalFileLink/fileFormatName|N|externalFileLink|100|text||35|1|N|||||||||E|N|en|File Format Name|The name of the file format. Examples: PDF; JPEG; BMP.|LoopGroup|Text|2700|Left|200|Left||||Active||NULL|DeCA phase 2
externalFileLink/fileFormatDescription|N|externalFileLink|100|text||70|1|Y|||||||||E|N|en|File Format Description|Free form description of the format of the file. This attribute is optional.|LoopGroup|Text|2800|Left|200|Left|50|||Active||NULL|DeCA phase 2
foodAndBevPreparationInfo|N||||||||||||||||E|N|en|Food And Bev Preparation Info Link|Food And Bev Preparation Info Link|Horizontal|FLEX_POPUP|2900|Left|200|Left||||Active||NULL|DeCA phase 2
nutrientInformation|N||||||||||||||||E|N|en|Nutrient Information Link|Nutrient Information Link|Horizontal|FLEX_POPUP|2950|Left|200|Left||||Active||NULL|1.5.2CTX;
handlingInstructions/handlingInstructionCode|N|handlingInstructions|100|text||80|1|N|HandlingInstructionCode||||||||E|N|en|Handling Instruction Code|The information and processes needed to safely handle the product.|LoopGroup|Dropdown|3200|Left|200|Left||||Active||NULL|PIDCA-496
packagingDate/tradeItemDateOnPackagingFormatTypeCode|N|packagingDate|100|text||80|1||DateOnPackagingFormatTypeCode||||||||E|N|en|Packaging Date Format Type|A category of date formats for example calendar or ordinal date.|LoopGroup|DropDown|3300|Right|200|Left||||Active|O|NULL|DeCA phase 2
