dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy
nutrientInformation|N||||||||||||||||E|N|en|Nutrient Information Link|Nutrient Information Link|Horizontal|FLEX_POPUP|2050|Left|200|Left||||Active||NULL|1.5.2CTX;
isVariableWeightItem|N|||boolean|||||||||||||E|N|en|Variable Weight Trade Item|Indicates that the product is not a fixed weight/quantity.|Horizontal|Boolean|100|Left|200|Left||||Active||NULL|DeCA phase 2
countryOfOrigin/countryCode|N|countryOfOrigin|100|text||5|1|N|StandardCountryCodes||||||||E|N|en|Country Of Origin|The countries in which the product has been produced or manufactured.|LoopGroup|DropDown|200|Left|200|Left||||Active||NULL|DeCA phase 2
minimumTradeItemLifespanFromArrival|N|||integer||4|1||||||||||E|N|en|Minimum Days of Shelf Life at Warehouse|The period of days, guaranteed by the manufacturer, before the expiration date of the trade item, based on arrival to a mutually agreed to point in the buyer’s distribution system.|Horizontal|Integer|300|Left|200|Left||||Active||NULL|DeCA phase 2
packagingInformation|N||||||||||||||||E|N|en|Packaging Information Link|Packaging Information Link|Horizontal|FLEX_POPUP|400|Left|200|Left||||Active||NULL|DeCA phase 2
hasDisplayReadyPackaging|N|||text||60|1|N|NonBinaryLogicCodes||||||||E|N|en|Has Display Ready Packaging?|Indicates that the product has display ready packaging that can be exhibited on the floor, a shelf, or other location.|Horizontal|Dropdown|500|Left|200|Left||||Active||NULL|DeCA phase 2
pegMeasurements/pegHoleType|N|pegMeasurements|100|text||35|1|N|PegHoleTypes||||||||E|N|en|Peg Hole Type|The type and shape of the peg hole used for the packaging.|LoopGroup|Dropdown|600|Left|200|Left||||Active||NULL|DeCA phase 2
pegMeasurements/pegHoleNumber|N|pegMeasurements|100|integer||4|1||||||||||E|N|en|Peg Hole Number|Used to indicate the peg hole numbers when more than one hole is present in the product or packaging. Peg holes should be numbered from the upper left corner of the front of the package to the bottom right corner. The peg holes should be identified from left to right, top to bottom with left to right having precedence. The number of peg holes and their measurements must be determined following the orientation of the product. |LoopGroup|Integer|700|Left|100|Left||||Active||NULL|DeCA phase 2
pegMeasurements/pegHorizontal|N|pegMeasurements|100|float|38|38|15|||M|uom|text||3|1|DimensionsUOM|E|N|en|Peg Horizontal & UOM|Used to indicate the horizontal distance from the edge of the trade item to the center of the hole into which the peg is inserted when the product is displayed on a pegboard.|LoopGroup|Float|800|Left|200|Left||||Active||NULL|DeCA phase 2
pegMeasurements/pegVertical|N|pegMeasurements|100|float|38|38|15|||M|uom|text||3|1|DimensionsUOM|E|N|en|Peg Vertical & UOM|Used to indicate the vertical distance from the edge of the trade item to the center of the hole into which the peg is inserted when the trade item is displayed on a pegboard. The hole into which the peg is inserted when the trade item is displayed on a pegboard.|LoopGroup|Float|900|Left|200|Left||||Active||NULL|DeCA phase 2
organicClaim/organicClaimAgencyCode|Y|organicClaim|100|text||80|1|N|OrganicClaimAgency||||||||E|N|en|Organic Claim Agency|A governing body that creates and maintains standards related to organic products.|LoopGroup|Multi_Select_List|1000|Left|200|Left||||Active||NULL|DeCA phase 2
organicClaim/organicTradeItemCode|N|organicClaim|100|text||60|1|N|OrganicTradeItemCode||||||||E|N|en|Organic Trade Item Code|Used to indicate the organic status of a trade item or of one or more of its components.|LoopGroup|Dropdown|1100|Left|200|Left||||Active||NULL|DeCA phase 2
organicClaim/organicPercentClaim|N|organicClaim|100|float|38|53|15||||||||||E|N|en|Organic Percent Claim|The percent of actual organic materials per weight of the trade item. This is usually claimed on the product.|LoopGroup|Float|1200|Right|200|Left||||Active|O|NULL|DeCA phase 2
allergenRelatedInformation|N||||||||||||||||E|N|en|Allergen Related Information Link|Allergen Related Information Link|Horizontal|FLEX_POPUP|1300|Left|200|Left||||Active||NULL|DeCA phase 2
decFlexPackaging|N|||boolean|||||||||||||E|N|en|Flex Packaging|Product packaging that can be displayed laying down or standing up.|Horizontal|Boolean|1400|Left|200|Left||||Active||NULL|Dec Phase 2
decHundredCalorie|N|||boolean|||||||||||||E|N|en|Hundred Calories|A statement of fact that a portion-controlled pack contains 100 calories|Horizontal|Boolean|1500|Left|200|Left||||Active||NULL|Dec Phase 2
decItemUpc|N|||text||14|1|N|||||||||R|N|en|Item UPC|GTIN-12 (includes the check digit)|Horizontal|Text|1600|Left|200|Left||||Active||NULL|Dec Phase 2, PI30_IM721_NOV03
decNonGmo|N|||boolean|||||||||||||E|N|en|Non-GMO (Yes or No)|The item is physically marked as of genetically modified origin|Horizontal|Boolean|1700|Left|200|Left||||Active||NULL|Dec Phase 2
decReadyToCook|N|||boolean|||||||||||||E|N|en|Ready To Cook (RTC)|Foods that have been seasoned and prepared, but must be cooked.|Horizontal|Boolean|1800|Left|200|Left||||Active||NULL|Dec Phase 2
effectiveDate|N|||dateTime|||||||||||||E|N|en|Effective Date|The date on which the information for "item add" or "item change" is sent to 1SYNC Item Management Production.|Horizontal|Date|1900|Left|200|Left||||Active||NULL|DeCA phase 2
foodAndBevDietTypeInfo|N||||||||||||||||E|N|en|Diet Types Link|Diet Types Link|Horizontal|FLEX_POPUP|2000|Left|200|Left||||Active||NULL|DeCA phase 2
nutritionalClaim|Y|||text||4000|1|||M|lang|text||5|1|StandardLanguageCodes_hub|E|N|en|Nutritional Claim|Attribute Name Key: nutritionalClaim<br>Free text field for any additional nutritional claims.|Horizontal|Text|2100|Left|200|Left|200|||Active||NULL|DeCA phase 2,pikr-52726(bharter)
nutritionalClaimDetail/nutritionalClaimTypeCode|N|nutritionalClaimDetail|100|text||80|1||NutritionalClaimTypeCode||||||||E|N|en|Nutritional Claim Type Code|A code depicting the degree to which a trade item contains a specific nutrient or ingredient in relation to a health claim |LoopGroup|DropDown|2200|Right|200|Left||||Active|O|NULL|DeCA phase 2
nutritionalClaimDetail/nutritionalClaimNutrientElementCode|N|nutritionalClaimDetail|100|text||80|1||NutritionalClaimNutrientElementCode||||||||E|N|en|Nutritional Claim Element Code|The type of nutrient, ingredient, vitamins and minerals that the nutritional claim is in reference to |LoopGroup|DropDown|2300|Right|200|Left||||Active|O|NULL|DeCA phase 2
