dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy
avp/additionalCouponFamilyCode|N|||text||3|3||||||||||E|N|en|Additional Coupon Family Code|Additional code(s) assigned by the vendor to a single trade item or to families of consumer trade items that can be used by in store scanners in conjunction with a U.P.C. coupon value code for coupon value discount when the proper trade item has been purchased.|Horizontal|Text|10500|Left|200|Left||||Active||NULL|Added IM 6.8.8; PI1510_04H
productType|N|||text||80|1|N|ProductTypeCodes_hub||||||||R|N|en|Product Type|Describes the hierarchical level of the trade item (e.g. each, case, pallet, etc.).|Horizontal|Dropdown|200|Left|200|Left||||Active||MANDATORY_BEFORE|1.5.2CTX;
netContent|Y||100|float|38|38|15|||M|uom|text||5|2|AreaCountDimensionInfostorageMassVolumeUOM|E|N|en|Net Content & UOM - Vendor|The amount of the product contained in the package, usually as claimed on the label. If a product’s net content can be represented in multiple values – please provide all values (e.g. laundry detergent – 150 fluid ounces 1.17 gallons, 96 loads).|Horizontal|Float|3300|Left|200|Left||||Active||NULL|PI173_IM711_Aug01
isBaseUnit|N|||boolean|||||||||||||R|N|en|Base Unit Indicator|Yes indicates this packaging level is the trade item that is at the lowest level in the item hierarchy.|Horizontal|Boolean|1800|Left|200|Left||||Active||MANDATORY_BEFORE|DeCA phase 2
gtinName|Y|||text||140|1|||M|lang|text||5|1|StandardLanguageCodes_hub|E|N|en|GTIN Name|The name of the trade item as it appears on the package, plus any key identifying words to help 1SYNC Item Management users to easily distinguish trade items.|Horizontal|Text|1000|Left|200|Left||||Active||MANDATORY_BEFORE|PI173_IM711_Aug01
brandName|N|||text||70|1|N|||||||||E|N|en|Brand Name|The brand name for the product recognized by the consumer.|Horizontal|Text|300|Left|200|Left|40|||Active||MANDATORY_BEFORE|PI173_IM711_Aug01
depth|Y||999|float|38|53|15|||M|uom|text||3|1|DimensionsUOM|E|N|en|Depth & UOM|For consumer trade items: The measurement from front to back of the product after the default front is determined (this also applies to non-consumer trade items that go on a retailer shelf – for example, protein bars sold individually but merchandised on the retailer shelf in a carton). For non-consumer trade items: The measurement of the longest side of the base of the product after the natural base is determined.|Horizontal|Float|3000|Left|200|Left||||Active||MANDATORY_BEFORE|PI173_IM711_Aug01
productDescription|Y|||text||200|1|N||M|lang|text||5|1|StandardLanguageCodes_hub|E|N|en|Product Description|An understandable and usable description of the product using brand name and other descriptors. This attribute should be populated with as little abbreviation as possible while keeping to a reasonable length.|Horizontal|Text|500|Left|200|Left|100|||Active||MANDATORY_BEFORE|PI173_IM711_Aug01
width|Y||999|float|38|53|15|||M|uom|text||3|1|DimensionsUOM|E|N|en|Width & UOM|For consumer trade items: The measurement from left to right of the product after the default front is determined (this also applies to non-consumer trade items that go on a retailer shelf – for example, protein bars sold individually but merchandised on the retailer shelf in a carton). For non-consumer trade items: The measurement of the shortest side of the base of the trade item after the natural base is determined.|Horizontal|Float|3200|Left|200|Left||||Active||MANDATORY_BEFORE|PI173_IM711_Aug01
functionalName|Y|||text||70|1|N||M|lang|text||5|1|StandardLanguageCodes_hub|E|N|en|Functional Name|Is the "Functional Name" of the trade item. Describes use of the product or service by the consumer. Should help clarify the product classification associated with the GTIN.|Horizontal|Text|600|Left|200|Left||||Active||MANDATORY_BEFORE|DeCA phase 2
height|Y||999|float|38|53|15|||M|uom|text||3|1|DimensionsUOM|E|N|en|Height & UOM|The vertical dimension from the lowest extremity to the highest extremity, including packaging and the unit of measure associated with the height.|Horizontal|Float|3100|Left|200|Left||||Active||MANDATORY_BEFORE|PI173_IM711_Aug01
totalQuantityOfNextLowerTradeItem|N|||integer||6|1||||||||||E|N|en|Qty of Next Level Item(s)|The total number of next lower level products contained within this specific product hierarchy level (e.g. – CASE product type contains 24 consumer units, the qty of next level items = 24).|Horizontal|Integer|700|Left|200|Left||||Active||NULL|PI173_IM711_Aug01
grossWeight|Y||999|float|38|53|15|||M|uom|text||3|1|MassUOM|E|N|en|Gross Weight & UOM|The gross weight of the product. Includes all packaging materials o At the pallet level the gross weight includes the weight of the pallet itself.|Horizontal|Float|3400|Left|200|Left||||Active||MANDATORY_BEFORE|DeCA phase 2
