dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy
netContent|Y||100|float|38|38|15|||M|uom|text||5|2|AreaCountDimensionInfostorageMassVolumeUOM|E|N|en|Net Content & UOM - Vendor|The amount of the product contained in the package, usually as claimed on the label. If a product’s net content can be represented in multiple values – please provide all values (e.g. laundry detergent – 150 fluid ounces 1.17 gallons, 96 loads).|Horizontal|Float|400|Left|200|Left||||Active||MANDATORY_BEFORE|PI173_IM711_Aug01
countryOfOrigin/countryCode|N|countryOfOrigin|100|text||5|1|N|StandardCountryCodes||||||||E|N|en|Country Of Origin|The countries in which the product has been produced or manufactured.|LoopGroup|DropDown|600|Left|200|Left||||Active||NULL|DeCA phase 2
countryOfOrigin/countrySubdivisionCode|Y|countryOfOrigin|100|text||80|1||||||||||E|N|en|Country Of Origin Subdivision Code|countryOfOriginSubdivisionCode<br>Qualifier: AVP732<br>The Country Of Origin Subdivision Code is the secondary code of the Country Of Origin and must be a subdivision of a Country Of Origin Country Code. The Country Of Origin Subdivision Code describes the "geopolitical subdivision of a country" where the trade item is produced for sale, as determined by the information provider. For example, "State" in the US, "Land" in Germany, "Region" in France, or "Province" in Canada. Not all countries have subdivisions.|LoopGroup|Text|700|Right|200|Left||||Active|O|NULL|MJR3
kroBanner_Core_Identiifers|N||||||||||||||||R|N|en|Identifiers & Descriptors|Indentifiers & Descriptors|Banner|Label|100|Left|200|Left||||Active||NULL|1.5.2CTX; PI152_QA13
kroBanner_Core_Indicators|N||||||||||||||||R|N|en|Indicators|Indicators|Banner|Label|200|Left|200|Left||||Active||NULL|1.5.2CTX; PI152_QA13
kroBanner_Core_Dimensions|N||||||||||||||||R|N|en|Dimensions & Weights Information|Dimensions & Weights Information|Banner|Label|300|Left|200|Left||||Active||NULL|PI52_QA08
kroBanner_Core_Other|N||||||||||||||||R|N|en|Other Basic Information|Other Basic Information|Banner|Label|500|Left|200|Left||||Active||NULL|PI52_QA08
kroCentsOff|N|||boolean|||||||||||||E|N|en|Item is Labeled with Cents off Label|Indicates Promotion type of Cents off|Horizontal|Boolean|1100|Left|200|Left||||Active||MANDATORY_BEFORE|PI1515_04
kroBanner_Log_Logistics|N||||||||||||||||R|N|en|Packaging and Logistics Information|Packaging and Logistics Information|Banner|Label|800|Left|200|Left||||Active||NULL|PI52_QA08
kroBanner_Log_Procurement|N||||||||||||||||R|N|en|Procurement Information|Procurement Information|Banner|Label|900|Left|200|Left||||Active||NULL|PI52_QA08
kroBanner_Merch_Descriptors|N||||||||||||||||R|N|en|Product Packaging and Descriptors|Product Packaging and Descriptors|Banner|Label|1200|Left|200|Left||||Active||NULL|PI52_QA08
kroBanner_Merch_Id|N||||||||||||||||R|N|en|Merchandising Identifiers|Merchandising Identifiers|Banner|Label|1500|Left|200|Left||||Active||NULL|PI52_QA08
kroBanner_Price_Price|N||||||||||||||||R|N|en|Price Information|Price Information|Banner|Label|1000|Left|200|Left||||Active||NULL|PI11.x(bharter)
kroFlexPackaging|N|||boolean|||||||||||||E|N|en|Does Product Have Flex Packaging?|Product packaging that can be displayed laying down or standing up.|Horizontal|Boolean|1300|Left|200|Left||||Active||MANDATORY_BEFORE|Ref #1126; NEWGRISS
kroBanner_Merch_Display|N||||||||||||||||R|N|en|Display Information|Display Information|Banner|Label|1400|Left|200|Left||||Active||NULL|1.5.2CTX;
kroBanner_Merch_Sales|N||||||||||||||||R|N|en|Sales and Promotion Information|Sales and Promotion Information|Banner|Label|1600|Left|200|Left||||Active||NULL|1.5.2CTX;
