dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy
swDisplayerUnitCost|N|||float|8|8|4||||||||||R|N|en|Displayer Unit Cost|Unit Cost of the component in the Display|Horizontal|Float|100|Left|200|Left||||Active||NULL|PI1514_IM6814_OCT01
swDisplayerUnitRetail|N|||float|5|5|2||||||||||R|N|en|Displayer Unit Retail|Unit Retail of the component in the Display|Horizontal|Float|200|Left|200|Left||||Active||NULL|PI1514_IM6814_OCT01
swDietTypeCode|N|||text||12|1||SWDietTypeCodeVV||||||||R|N|en|Diet Type Code|Code indicating the diet for, which the product is suitable.|Horizontal|Dropdown|300|Left|200|Left||||Active||NULL| PI164_IM6818_SEP05
swNutritionalInformationBanner|N||||||||||||||||R|N|en|Nutritional and Ingredients Information|Nutritional and Ingredients Information|Banner|Label|400|Left|200|Left||||Active||NULL| PI164_IM6818_SEP05
swDoesProductRequireIngredientsDeclaration|N|||boolean|||||||||||||R|N|en|Does this Product Require an Ingredients and Nutritional Declaration?|Does your product require us to add Ingredient or Nutritional Labeling to finished product or is your product a component to finished product at retail store? |Horizontal|Boolean|500|Left|200|Left||||Active||NULL|PI1514_IM6814_OCT01,  PI164_IM6818_SEP05, PI171_May_PI9.4
swDepartment|N|||text||4|1||SWDepartmentVV||||||||R|N|en|Department|Indicate the department your item is primarily located within|Horizontal|Dropdown|600|Left|200|Left||||Active||NULL| PI164_IM6818_SEP05
swservingSizePreparationState|N|||text||12|1||FNBPreparationType||||||||R|N|en|Serving Size Preparation State|Code specifying whether the nutrient information applies to the prepared or unprepared state of the product.|Horizontal|Dropdown|700|Left|200|Left||||Active||NULL| PI164_IM6818_SEP05
swServingSize|N|||float|6|6|2||||||||||R|N|en|Serving Size|Enter the serving size in Grams |Horizontal|Float|800|Left|200|Left||||Active||NULL| PI164_IM6818_SEP05
swServingsPerContainer|N|||text||60|1||||||||||R|N|en|Servings Per Container|Enter the Servings per Container (Approximate if needed)|Horizontal|Text|900|Left|200|Left||||Active||NULL| PI164_IM6818_SEP05
swServingSizeDescription|N|||text||60|1||||||||||R|N|en|Serving Size Description|Serving Size Description (Example: 4 Cookies)|Horizontal|Text|1000|Left|200|Left||||Active||NULL| PI164_IM6818_SEP05
swNutrients/swNutrientName|N|swNutrients|999|text||3|1||SWNutrientNameVV||||||||R|N|en|Nutrient Name|Nutrient Name|LoopGroup|Dropdown|1100|Left|200|Left||||Active||NULL| PI164_IM6818_SEP05
swNutrients/swNutrientValue|N|swNutrients|999|text||9|1||||||||||E|N|en|Amount Per 100 Grams|Enter value in terms of 100 Gram serving using Unit of Measure from Attribute description (00000.000)|LoopGroup|Text|1200|Left|200|Left||||Active||NULL| PI164_IM6818_SEP05
swNutrients/swNutrientAnalysis|N|swNutrients|999|text||3|1||SWAnalysisDoneByVV||||||||E|N|en|Analysis Done By|Lab or Calculated|LoopGroup|Dropdown|1300|Left|200|Left||||Active||NULL| PI164_IM6818_SEP05
ingredientStatement|Y||100|text||4000|1|N||M|lang|text||5|1|StandardLanguageCodes_hub|R|N|en|Ingredient Statement|List of ingredients contained in the product.|Horizontal|Text|1400|Left|200|Left|500|||Active||NULL|PIMJR3 Update, PI1713_IM7062_JUNE04,pikr-52726(bharter)
swAllergenInformationBanner|N||||||||||||||||R|N|en|Allergen and Additive Information|Allergen and Additive Information|Banner|Label|1500|Left|200|Left||||Active||NULL| PI164_IM6818_SEP05
swDoesProductContainAllergens|N|||boolean|||||||||||||R|N|en|Does Product Contain Allergens?|Indicate if the item contains common allergens such as tree nuts, shellfish, dairy, etc.|Horizontal|Boolean|1600|Left|200|Left||||Active||NULL|PI1514_IM6814_OCT01,  PI164_IM6818_SEP05
swAllergens/swAllergenTypeCode|N|swAllergens|100|text||60|1||FNBAllergenTypeCode||||||||R|N|en|Allergen Type Code|Value that identifies the type of allergen in the product |LoopGroup|Dropdown|1900|Left|200|Left||||Active||NULL| PI164_IM6818_SEP05
swAllergens/swLevelOfContainment|N|swAllergens|100|text||60|1||FNBLevelOfContainment||||||||R|N|en|Level Of Containment|Value that identifies the level of presence of the allergen in the product.|LoopGroup|Dropdown|2000|Left|200|Left||||Active||NULL| PI164_IM6818_SEP05
foodAndBevAdditiveInformation/additiveName|N|foodAndBevAdditiveInformation|100|text||200|1|N|||||||||R|N|en|Additive Name|additiveName<br>Qualifier: FNB031<br>Represents the name of any additive or genetic modification contained or not contained in the trade item.|LoopGroup|Text|2100|Left|200|Left||||Active||NULL|PI3_IM172_OCT01
foodAndBevAdditiveInformation/levelOfContainmentCode|N|foodAndBevAdditiveInformation|100|text||60|1|N|FNBLevelOfContainment||||||||R|N|en|Additive Level of Containment|additiveLevelOfContainment<br>Qualifier: FNB032<br>Code indicating the level of presence of the additive.|LoopGroup|Dropdown|2200|Left|200|Left||||Active||NULL|PI3_IM172_OCT01
swRetailerIngredientName|N|||text||25|1||||||||||E|N|en|Retailer Ingredient Name|Enter Ingredient Name from NIMS (Nutritional Item Management System)|Horizontal|Text|2400|Left|200|Left||||Active||NULL| PI164_IM6818_SEP05
swRetailerIngredientNumber|N|||integer||9|1||||||||||E|N|en|Retailer Ingredient Number|Enter Ingredient Number from NIMS (Nutritional Item Management System)|Horizontal|Integer|2500|Left|200|Left||||Active||NULL| PI164_IM6818_SEP05
swIsThisItemGovernedUnderHACCP|N|||boolean|||||||||||||R|N|en|Is this item governed under Hazard Analysis and Critical Control Point (HACCP) ?|Hazard Analysis and Critical Control Point (HACCP): is a systematic preventive approach used in the food industry to identify potential physical, chemical, and biological food safety hazards, so that key actions, known as Critical Control Points (CCP's) can be taken to reduce or eliminate the risk of the hazards being realized. HAACP items include fresh or saltwater finfish, crustaceans, mollusks, other forms of aquatic animal life (including but not limited to alligator, frog, aquatic turtle, jellyfish, sea cucumber, and sea urchin) other than birds or mammals where such animal life is intended for human consumption. This also includes Fishery Products which fish is a characterizing ingredient.|Horizontal|Boolean|2600|Left|200|Left||||Active||NULL|PI1514_IM6814_OCT01
swHACCP|N|||text||70|1||SWHACCPVV||||||||R|N|en|HACCP|HACCP|Horizontal|Dropdown|2700|Left|200|Left||||Active||NULL|PI1514_IM6814_OCT01
swDoesItemRequireATareValue|N|||boolean|||||||||||||R|N|en|Does this Item Require a Tare Value?|The package weight of items sold by random weight (Perishable items only). This value is subtracted from the gross weight so that the customer pays for the product only (not the package). e.g. Deli cheese wrapped in plastic. Tare values should be reflected as .001 / lb. Note: A wet tare is required for NorCal and Vons for meat and seafood items only.|Horizontal|Boolean|2800|Left|200|Left||||Active||NULL|PI1514_IM6814_OCT01
swDryTareValue|N|||text||5|3|||M|uom|text||6|3|SWTareUOMVV|R|N|en|Dry Tare Value|The package weight of items sold by random weight (Perishable items only). This value is subtracted from the gross weight so that the customer pays for the product only (not the package). e.g. Deli cheese wrapped in plastic. Tare values should be reflected as .001 / lb. |Horizontal|Text|2900|Left|200|Left||||Active||NULL|PI1514_IM6814_OCT01, PI1516_IM6816_FEB06, PI163_IM6818_JUN03, PI171_May_PI9.4
swWetTareValue|N|||text||5|3|||M|uom|text||6|3|SWTareUOMVV|R|N|en|Wet Tare Value|Wet tare values are required for items set up for NorCal and Vons for meat and seafood items only. Tare values should be entered as 0.001/lb.|Horizontal|Text|3000|Left|200|Left||||Active||NULL|PI1514_IM6814_OCT01, PI1516_IM6816_FEB06, PI163_IM6818_JUN03
swHazardousInformationBanner|N||||||||||||||||R|N|en|Hazardous Transportation Information|Hazardous Material|Banner|Label|3100|Left|200|Left||||Active||NULL| PI164_IM6818_SEP05
transportationClassification|N||||||||||||||||E|N|en|Transportation Classification Link|Transportation Classification Link|Horizontal|FLEX_POPUP|3200|Left|200|Left||||Active||NULL|PI3_IM172_OCT01
swPackagedforTransportDangerousGood|N|||Boolean|||||||||||||R|N|en|Packaged for Transport - Dangerous Good|Is this item packaged for Transport as a Dangerous Good by the International Civil Aviation Organization (ICAO) or International Air Transport Association (IATA), hereafter referred to as ICAO/IATA?|Horizontal|Boolean|3300|Left|200|Left||||Active||NULL| PI164_IM6818_SEP05
swPackagedforTransportHazardousMaterial|N|||Boolean|||||||||||||R|N|en|Packaged for Transport - Hazardous Material|Is this item packaged for Transport as a Hazardous Material under CFR 49?  (This includes ORM-D, Class 9 and Limited Quantity)|Horizontal|Boolean|3400|Left|200|Left||||Active||NULL| PI164_IM6818_SEP05
swLimitedQuantitySurfaceTransport|N|||Boolean|||||||||||||R|N|en| Limited Quantity - Surface Transport|Is this item packaged for Transport as a Limited Quantity under CFR 49 for surface transport?|Horizontal|Boolean|3500|Left|200|Left||||Active||NULL| PI164_IM6818_SEP05
swPackagedforTransportLimitedQuantityVesselTransport|N|||Boolean|||||||||||||R|N|en|Packaged for Transport - Limited Quantity - Vessel Transport|Is this item packaged for Transport as a Limited Quantity under CFR 49 for vessel transport?|Horizontal|Boolean|3600|Left|200|Left||||Active||NULL| PI164_IM6818_SEP05
swAircraftShippingLimitationsForbidden|N|||boolean|||||||||||||R|N|en|Aircraft Shipping Limitations Forbidden|Is this item specifically barred from transportation by aircraft?|Horizontal|Boolean|3700|Left|200|Left||||Active||NULL|PI1514_IM6814_OCT01,  PI164_IM6818_SEP05
swPackagedForTransportLimitedQuantityAirTransport|N|||Boolean|||||||||||||R|N|en|Packaged for Transport - Limited Quantity - Air Transport|Is this item packaged for Transport as a Limited Quantity under CFR 49 for air transport?|Horizontal|Boolean|3800|Left|200|Left||||Active||NULL| PI164_IM6818_SEP05
swAirTransportSpecialConsiderations|N|||text||50|1||||||||||R|N|en|Air Transport Special Considerations|If this item can be transported by air and is Limited Quantity under CFR 49, do the existing definitions provided for this item meet ICAO/IATA requirements? If not, provide Identification Number, Proper Shipping Name (include technical name if applicable), Class or Division, Subisdiary Risk, Packing Group for where they differ|Horizontal|Text|3900|Left|200|Left||||Active||NULL| PI164_IM6818_SEP05, PI167_May_PI9.4
swSymbol|Y||999|text||6|1||SWSymbolVV||||||||R|N|en|Symbol|Please provide Symbol from Hazardous Material Table 49 CFR, §172.101 Column 1-- if multiples are required - provide all values |Horizontal|Multi_Select_List|4000|Left|200|Left||||Active||NULL| PI164_IM6818_SEP05, PI172_IM72_AUG01
swHazardClassOrDivision|N|||text||3|1||SWHazardClassorDivisionVV||||||||R|N|en|Hazard Class or Division|The hazard class or division as defined by column 3 on CFR 49, 172.101.|Horizontal|Dropdown|4100|Left|200|Left||||Active||NULL|PI1514_IM6814_OCT01, PI164_IM6818_SEP02,  PI164_IM6818_SEP05
swPackingGroup|N|||text||1|1||swPackingGroupVV||||||||R|N|en|Packing Group|What specific Packing Group? This would pertain to the 49 CFR, 172.101 column 5|Horizontal|Dropdown|4200|Left|200|Left||||Active||NULL|PI171_May_PI9.4
swLabelCode|Y||999|text||3|1||SWLabelCodeVV||||||||R|N|en|Label Code|The label code as defined by column 6 on CFR 49, 172.101. |Horizontal|Multi_Select_List|4300|Left|200|Left||||Active||NULL| PI164_IM6818_SEP05, PI172_IM72_AUG01
swLAANumber|Y||999|text||20|1||||||||||R|N|en|LAA Number|Required if proper shipping name is lighters|Horizontal|Text|4400|Left|200|Left||||Active||NULL| PI164_IM6818_SEP05, PI167_May_PI9.4, PI172_IM72_AUG01
swHazmatWeight|N|||float|6|6|3|||M|uom|text||5|2|MassUOM|R|N|en|Hazmat Weight|Weight in grams, liters or kilograms.|Horizontal|Float|4500|Left|200|Left||||Active||NULL|PI1514_IM6814_OCT01, PI164_IM6818_SEP04,  PI164_IM6818_SEP05, PI167_May_PI9.4
swSpecialProvisions|Y||999|text||20|1||||||||||R|N|en|Special Provisions|Enter any special Provision codes that apply from 49 CFR 172.101 column 7|Horizontal|Text|4600|Left|200|Left||||Active||NULL| PI164_IM6818_SEP05, PI172_IM72_AUG01
swPackagingExceptions|N|||Boolean|||||||||||||R|N|en|Packaging Exceptions|Does this item have packaging exceptions per 172.101 Column 8|Horizontal|Boolean|4700|Left|200|Left||||Active||NULL| PI164_IM6818_SEP05, PI171_May_PI9.4
swPackagingExceptionApplicableToThisProduct|N|||text||10|1||||||||||R|N|en|Packaging Exception applicable to this product|Does this item have packaging exceptions per 172.101 Column 8A|Horizontal|Text|4800|Left|200|Left||||Active||NULL| PI164_IM6818_SEP05, PI167_May_PI9.4
swNon-bulkPackagingApplicableToThisProduct|N|||text||10|1||||||||||R|N|en|Non-bulk packaging applicable to this product|Does this item have packaging exceptions per 172.101 Column 8B|Horizontal|Text|4900|Left|200|Left||||Active||NULL| PI164_IM6818_SEP05, PI167_May_PI9.4
swBulkPackaging|N|||text||10|1||||||||||R|N|en|Bulk Packaging|Does this item have packaging exceptions per 172.101 Column 8C|Horizontal|Text|5000|Left|200|Left||||Active||NULL|PI167_May_PI9.4, PIKR-50310
swQuantityLimitations|N|||Boolean|||||||||||||R|N|en|Quantity Limitations|Does this item have Quantity Limitations in 172.101 Column 9|Horizontal|Boolean|5100|Left|200|Left||||Active||NULL|PI171_May_PI9.4
swPassengerAircraftRail|N|||text||20|1||||||||||R|N|en|Passenger Aircraft/Rail|Provide value from Hazardous Material Table - Column 9B|Horizontal|Text|5200|Left|200|Left||||Active||NULL|PI171_May_PI9.4
swCargoAircraftOnly|N|||text||20|1||||||||||R|N|en|Cargo Aircraft Only|Does this item have Quantity Limitations in 172.101 Column 9A|Horizontal|Text|5300|Left|200|Left||||Active||NULL|PI171_May_PI9.4
swVesselStowageRequirements|N|||text||10|1||||||||||R|N|en|Vessel Stowage Requirements|Specific instructions on how Hazmat item should be stowed. 49 CFR, 171.101 columns 10A and 10B|Horizontal|Text|5400|Left|200|Left||||Active||NULL|PI1514_IM6814_OCT01,  PI164_IM6818_SEP05, PI167_May_PI9.4
