dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy
targetMarket|N|||text||2|1|N|StandardCountryCodes||||||||R|N|en|Target Market|The target market indicates the country where the trade item is available for sale. Combination of this field +GTIN+GLN uniquely identifies a trade item. Default is US.|Horizontal|Dropdown|100|Left|200|Left||||Active||NULL|PI172_IM711_Aug11, PI30_IM721_NOV03
informationProviderGLN|N|||text||13|1|N|||||||||R|N|en|Information Provider GLN|The GLN of the organization responsible for the validity of the item information being supplied.|Horizontal|Text|200|Left|200|Left||||Active||NULL|PI173_IM711_Aug01
informationProviderName|N|||text||128|1|N|||||||||R|N|en|Information Provider Name|Name of the company associated with the Information Provider GLN.|Horizontal|Text|300|Left|200|Left|128|||Active||NULL|1.5.2CTX; QA05
startAvailabilityDate|N|||datetime|||||||||||||R|N|en|Start Availability Date|The date from which the trade item becomes available from the supplier, including seasonal or temporary trade items. Most common is to use current date.|Horizontal|DateTime|400|Left|200|Left||||Active||MANDATORY_BEFORE|PI173_IM711_Aug01
gtinName|Y|||text||140|1|||M|lang|text||5|1|StandardLanguageCodes_hub|E|N|en|GTIN Name|The name of the trade item as it appears on the package, plus any key identifying words to help 1SYNC Item Management users to easily distinguish trade items.|Horizontal|Text|500|Left|200|Left||||Active||MANDATORY_BEFORE|PI173_IM711_Aug01
productType|N|||text||80|1|N|ProductTypeCodes_hub||||||||R|N|en|Product Type|Describes the hierarchical level of the trade item (e.g. each, case, pallet, etc.).|Horizontal|Dropdown|600|Left|200|Left||||Active||MANDATORY_BEFORE|1.5.2CTX;
totalQuantityOfNextLowerTradeItem|N|||integer||6|1||||||||||E|N|en|Qty of Next Level Item(s)|The total number of next lower level products contained within this specific product hierarchy level (e.g. – CASE product type contains 24 consumer units, the qty of next level items = 24).|Horizontal|Integer|700|Left|200|Left||||Active||MANDATORY_BEFORE|PI173_IM711_Aug01
functionalName|Y|||text||70|1|N||M|lang|text||5|1|StandardLanguageCodes_hub|E|N|en|Functional Name|Is the "Functional Name" of the trade item. Describes use of the product or service by the consumer. Should help clarify the product classification associated with the GTIN.|Horizontal|Text|800|Left|200|Left||||Active||MANDATORY_BEFORE|DeCA phase 2
shortDescription|Y|||text||35|1|||M|lang|text||5|1|StandardLanguageCodes_hub|E|N|en|Short Description / POS Desc|A short textual description associated with the product. This description can be used on the cash register receipt. This is the first line of the description.|Horizontal|Text|900|Left|200|Left||||Active||NULL|89; PI52_QA15; PI152_QA21
brandDistributionTradeItemType|Y||100|text||70|1||BrandDistributionCode||||||||E|N|en|Brand Distribution Trade Item Type|Brand Distribution Trade Item Type|Horizontal|Multi_Select_List|1000|Right|200|Left||||Active||NULL|MJR3
swBrandName|N|||text||70|1|N|||||||||E|N|en|Brand Name|The brand name for the product recognized by the consumer.|Horizontal|Text|1100|Left|200|Left|40|||Active||NULL|PI1515_IM6815_NOV02, PI164_IM6818_DEC05
swBrandCode|N|||integer||4|1||SWBrandCodeVV||||||||E|N|en|Brand Code|Brand Code|Horizontal|Dropdown|1200|Left|200|Left||||Active||NULL|PI1515_IM6815_NOV02
swNationalBrandEquivalentUPC|N|||integer||12|1||||||||||E|N|en|National Brand Equivalent Universal Product Code (UPC)|UPC of national brand item most like new Consumer Brand item.|Horizontal|Integer|1300|Left|200|Left||||Active||NULL|PI1514_IM6814_OCT01, PI164_IM6818_SEP04, PI172_IM711_JUNE03
