dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy
startAvailabilityDate|N|||datetime|||||||||||||R|N|en|Start Availability Date|The date from which the trade item becomes available from the supplier, including seasonal or temporary trade items. Most common is to use current date.|Horizontal|DateTime|100|Left|200|Left||||Active||MANDATORY_BEFORE|PI173_IM711_Aug01
targetMarket|N|||text||2|1|N|StandardCountryCodes||||||||R|N|en|Target Market|The target market indicates the country where the trade item is available for sale. Combination of this field +GTIN+GLN uniquely identifies a trade item. Default is US.|Horizontal|Dropdown|200|Left|200|Left||||Active||NULL|PI172_IM711_Aug11
informationProviderGLN|N|||text||13|1|N|||||||||R|N|en|Information Provider GLN|The GLN of the organization responsible for the validity of the item information being supplied.|Horizontal|Text|300|Left|200|Left||||Active||NULL|PI173_IM711_Aug01
informationProviderName|N|||text||128|1|N|||||||||R|N|en|Information Provider Name|Name of the company associated with the Information Provider GLN.|Horizontal|Text|400|Left|200|Left|128|||Active||NULL|1.5.2CTX; QA05
shortDescription|Y|||text||35|1|||M|lang|text||5|1|StandardLanguageCodes_hub|R|N|en|Short Description / POS Desc|A short textual description associated with the product. This description can be used on the cash register receipt. This is the first line of the description.|Horizontal|Text|500|Left|200|Left||||Active||NULL|89; PI52_QA15; PI152_QA21
brandDistributionTradeItemType|Y||100|text||70|1||BrandDistributionCode||||||||E|N|en|Brand Distribution Trade Item Type|Brand Distribution Trade Item Type|Horizontal|Multi_Select_List|600|Right|200|Left||||Active||NULL|MJR3
swBrandName|N|||text||70|1|N|||||||||R|N|en|Brand Name|The brand name for the product recognized by the consumer.|Horizontal|Text|700|Left|200|Left|40|||Active||NULL|PI1515_IM6815_NOV02, PI164_IM6818_DEC05
swNetWeight|Y||999|text||11|1|||M|uom|text||5|2|MassUOM|R|N|en|Net Weight & UOM|Identifies the net weight of the product. Net weight excludes all packaging material. Numeric field only, no special characters can be used.|Horizontal|Text|800|Left|200|Left||||Active||NULL|PI153_IM6813_OCT01, PI164_IM6818_SEP04, PI165_IM6818_DEC06
isOrderableUnit|N|||boolean|||||||||||||R|N|en|Ordering Unit Indicator|Yes indicates that this trade item is the packaging level where the supplier will accept orders from retailer customers. This may be different from what the information provider identifies as a dispatch unit.|Horizontal|Boolean|900|Left|200|Left||||Active||MANDATORY_BEFORE|PI173_IM711_Aug01
isConsumerUnit|N|||boolean|||||||||||||R|N|en|Consumer Unit Indicator|Yes indicates this packaging level is the trade item intended for ultimate consumption. For retail, this trade item will be scanned at point of sale. At retail, this data is commonly used to select which GTINs should be used for shelf planning and for front end POS databases.|Horizontal|Boolean|1000|Left|200|Left||||Active||MANDATORY_BEFORE|PI173_IM711_Aug01
