dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy
startAvailabilityDate|N|||datetime|||||||||||||R|N|en|Start Availability Date|The date from which the trade item becomes available from the supplier, including seasonal or temporary trade items. Most common is to use current date.|Horizontal|DateTime|100|Left|200|Left||||Active||MANDATORY_BEFORE|PI30_IM721_NOV01
targetMarket|N|||text||2|1|N|StandardCountryCodes||||||||R|N|en|Target Market|The target market indicates the country where the trade item is available for sale. Combination of this field +GTIN+GLN uniquely identifies a trade item. Default is US.|Horizontal|Dropdown|200|Left|200|Left||||Active||NULL|PI30_IM721_NOV01
informationProviderGLN|N|||text||13|1|N|||||||||R|N|en|Information Provider GLN|The GLN of the organization responsible for the validity of the item information being supplied.|Horizontal|Text|300|Left|200|Left||||Active||NULL|PI30_IM721_NOV01
informationProviderName|N|||text||128|1|N|||||||||R|N|en|Information Provider Name|Name of the company associated with the Information Provider GLN.|Horizontal|Text|400|Left|200|Left|128|||Active||NULL|PI30_IM721_NOV01
shortDescription|Y|||text||35|1|||M|lang|text||5|1|StandardLanguageCodes_hub|R|N|en|Short Description / POS Desc|A short textual description associated with the product. This description can be used on the cash register receipt. This is the first line of the description.|Horizontal|Text|500|Left|200|Left||||Active||NULL|PI30_IM721_NOV01
brandDistributionTradeItemType|Y||100|text||70|1||BrandDistributionCode||||||||E|N|en|Brand Distribution Trade Item Type|Brand Distribution Trade Item Type|Horizontal|Multi_Select_List|600|Right|200|Left||||Active||NULL|PI30_IM721_NOV01
swBrandName|N|||text||70|1|N|||||||||R|N|en|Brand Name|The brand name for the product recognized by the consumer.|Horizontal|Text|700|Left|200|Left|40|||Active||NULL|PI30_IM721_NOV01
swNetWeight|Y||999|text||11|1|||M|uom|text||5|2|MassUOM|R|N|en|Net Weight & UOM|Identifies the net weight of the product. Net weight excludes all packaging material. Numeric field only, no special characters can be used.|Horizontal|Text|800|Left|200|Left||||Active||NULL|PI30_IM721_NOV01
isOrderableUnit|N|||boolean|||||||||||||R|N|en|Ordering Unit Indicator|Yes indicates that this trade item is the packaging level where the supplier will accept orders from retailer customers. This may be different from what the information provider identifies as a dispatch unit.|Horizontal|Boolean|900|Left|200|Left||||Active||MANDATORY_BEFORE|PI30_IM721_NOV01
isConsumerUnit|N|||boolean|||||||||||||R|N|en|Consumer Unit Indicator|Yes indicates this packaging level is the trade item intended for ultimate consumption. For retail, this trade item will be scanned at point of sale. At retail, this data is commonly used to select which GTINs should be used for shelf planning and for front end POS databases.|Horizontal|Boolean|1000|Left|200|Left||||Active||MANDATORY_BEFORE|PI30_IM721_NOV01
isBaseUnit|N|||boolean|||||||||||||R|N|en|Base Unit Indicator|Yes indicates this packaging level is the trade item that is at the lowest level in the item hierarchy.|Horizontal|Boolean|1100|Left|200|Left||||Active||MANDATORY_BEFORE|PI30_IM721_NOV01
isDispatchUnit|N|||boolean|||||||||||||R|N|en|Dispatch Unit Indicator|Yes indicates that this packaging level is the trade item identified as the shipping unit.|Horizontal|Boolean|1200|Left|200|Left||||Active||MANDATORY_BEFORE|PI30_IM721_NOV01
isInvoiceUnit|N|||boolean|||||||||||||R|N|en|Invoice Unit Indicator|Yes indicates this packaging level is the trade item included in the supplier’s billing or invoice.|Horizontal|Boolean|1300|Left|200|Left||||Active||MANDATORY_BEFORE|PI30_IM721_NOV01
effectiveDate|N|||dateTime|||||||||||||R|N|en|Effective Date|The date on which the information for "item add" or "item change" is sent to 1SYNC Item Management Production.|Horizontal|Date|1400|Left|200|Left||||Active||NULL|PI30_IM721_NOV01
discontinueDate|N|||dateTime|||||||||||||R|N|en|Discontinued Date|Communicates the date on which the product will no longer be manufactured.|Horizontal|Date|1500|Left|200|Left||||Active||NULL|PI30_IM721_NOV01
swIsItemLabeledUSDAOrganic|N|||boolean|||||||||||||R|N|en|Is Item Labeled USDA Organic?|Items that meet existing specified organic production standards. Must be organic certified.|Horizontal|Boolean|1600|Left|200|Left||||Active||NULL|PI30_IM721_NOV01
swBarcodeType|N|||text||70|1||SWKindsofBarcodesVV||||||||R|N|en|What Kind of Barcode Does This Item Have?|Indicate if the item has a vendor assigned UPC or Front End PLU or System 2 /Scale UPC. If so, select the UPC format. If yes, provide the UPC, System 2/Scale UPC or PLU code.|Horizontal|Dropdown|1700|Left|200|Left||||Active||NULL|PI30_IM721_NOV01
swUPC/code|N|swUPC|100|text||80|1|N|||||||||E|N|en|GS1 Trade Item ID Value (UPC)|The EANUCC Code or number required based on the Product Type. Its character length depends on EANUCC Type chosen (i.e., EAN-13, UPC-A).|LoopGroup|Text|1800|Left|200|Left||||Active||NULL|PI30_IM721_NOV01
swUPC/type|N|swUPC|100|text||70|1|N|GS1TradeItemIdentificationKeyTypeCode||||||||E|N|en|GS1 Trade Item ID Code (UPC)|The EANUCC Code or number required based on the Product Type. Its character length depends on EANUCC Type chosen (i.e., EAN-13, UPC-A).|LoopGroup|Dropdown|1900|Left|200|Left||||Active||NULL|PI30_IM721_NOV01
swAlternateScaleUPC|N|||integer||4|1||||||||||E|N|en|Alternate Scale UPC|Only Required if a System 2 Scale UPC and Division is Southern California|Horizontal|Integer|2000|Left|200|Left||||Active||NULL|PI30_IM721_NOV01
swProductLookupCode|N|||integer||5|1||||||||||E|N|en|Product Lookup Code (PLU)|Front-End Price Look Up (PLU Code): A 5 digit code used at the register when a UPC does not exist. (e.g. 04011 Bananas Yellow)|Horizontal|Integer|2100|Left|200|Left||||Active||NULL|PI30_IM721_NOV01
swProductDescription|Y||999|text||200|1|N||M|lang|text||5|1|StandardLanguageCodes_hub|R|N|en|Product Description|An understandable and usable description of the product using brand name and other descriptors. This attribute should be populated with as little abbreviation as possible while keeping to a reasonable length.|Horizontal|Text|2200|Left|200|Left|100|||Active||MANDATORY_BEFORE|PI30_IM721_NOV01
gtinName|Y|||text||140|1|||M|lang|text||5|1|StandardLanguageCodes_hub|R|N|en|GTIN Name|The name of the trade item as it appears on the package, plus any key identifying words to help 1SYNC Item Management users to easily distinguish trade items.|Horizontal|Text|2300|Left|200|Left||||Active||NULL|PI30_IM721_NOV01
swItemDescriptionMerchandising|N|||text||40|1||||||||||R|N|en|Item Description (Merchandising)|Item Description (Merchandising)|Horizontal|Text|2400|Left|200|Left||||Active||NULL|PI30_IM721_NOV01
swItemDescriptionWarehouse|N|||text||30|1||||||||||R|N|en|Item Description (Warehouse)|Item Description (Warehouse)|Horizontal|Text|2500|Left|200|Left||||Active||NULL|PI30_IM721_NOV01
swItemDescriptionSignScale|N|||text||64|1||||||||||R|N|en|Item Description (Sign/Scale)|Item Description (Sign/Scale)|Horizontal|Text|2600|Left|200|Left||||Active||NULL|PI30_IM721_NOV01
swItemDescriptionInternet|N|||text||75|1||||||||||R|N|en|Item Description (Internet)|Item Description (Internet)|Horizontal|Text|2700|Left|200|Left||||Active||NULL|PI30_IM721_NOV01
productType|N|||text||80|1|N|ProductTypeCodes_hub||||||||R|N|en|Product Type|Describes the hierarchical level of the trade item (e.g. each, case, pallet, etc.).|Horizontal|Dropdown|2800|Left|200|Left||||Active||MANDATORY_BEFORE|PI30_IM721_NOV01
totalQuantityOfNextLowerTradeItem|N|||integer||6|1||||||||||R|N|en|Qty of Next Level Item(s)|The total number of next lower level products contained within this specific product hierarchy level (e.g. – CASE product type contains 24 consumer units, the qty of next level items = 24).|Horizontal|Integer|2900|Left|200|Left||||Active||MANDATORY_BEFORE|PI30_IM721_NOV01
functionalName|Y|||text||70|1|N||M|lang|text||5|1|StandardLanguageCodes_hub|R|N|en|Functional Name|Is the "Functional Name" of the trade item. Describes use of the product or service by the consumer. Should help clarify the product classification associated with the GTIN.|Horizontal|Text|3000|Left|200|Left||||Active||MANDATORY_BEFORE|PI30_IM721_NOV01
netContent|Y||100|float|38|38|15|||M|uom|text||5|2|AreaCountDimensionInfostorageMassVolumeUOM|R|N|en|Net Content & UOM - Vendor|The amount of the product contained in the package, usually as claimed on the label. If a product’s net content can be represented in multiple values – please provide all values (e.g. laundry detergent – 150 fluid ounces 1.17 gallons, 96 loads). Numeric field only and no special characters can be used. |Horizontal|Float|3050|Left|200|Left||||Active||NULL|PI30_IM721_NOV01
swNetContent|Y||100|text||100|1|||M|uom|text||5|2|AreaCountDimensionInfostorageMassVolumeUOM|R|N|en|Net Content Override|Edit to conform to Albertsons size format if needed.|Horizontal|Text|3100|Left|200|Left||||Active||NULL|PI30_IM721_NOV01
swDisplayerUnitCost|N|||float|8|8|4||||||||||R|N|en|Displayer Unit Cost|Unit Cost of the component in the Display|Horizontal|Float|3200|Left|200|Left||||Active||NULL|PI30_IM721_NOV01
swDisplayerUnitRetail|N|||float|5|5|2||||||||||R|N|en|Displayer Unit Retail|Unit Retail of the component in the Display|Horizontal|Float|3300|Left|200|Left||||Active||NULL|PI30_IM721_NOV01
grossWeight|Y||999|float|38|53|15|||M|uom|text||3|1|MassUOM|R|N|en|Gross Weight & UOM|The gross weight of the product. Includes all packaging materials o At the pallet level the gross weight includes the weight of the pallet itself.|Horizontal|Float|3400|Left|200|Left||||Active||MANDATORY_BEFORE|PI30_IM721_NOV01
organicClaim/organicTradeItemCode|N|organicClaim|100|text||60|1|N|OrganicTradeItemCode||||||||E|N|en|Organic Trade Item Code|Used to indicate the organic status of a trade item or of one or more of its components.|LoopGroup|Dropdown|3500|Left|200|Left||||Active||NULL|PI30_IM721_NOV01
organicClaim/organicClaimAgencyCode|Y|organicClaim|100|text||80|1|N|OrganicClaimAgency||||||||E|N|en|Organic Claim Agency|A governing body that creates and maintains standards related to organic products.|LoopGroup|Multi_Select_List|3600|Left|200|Left||||Active||NULL|PI30_IM721_NOV01
swIsItemGlutenFree|N|||boolean|||||||||||||R|N|en|Is this item Gluten Free?|Identify whether the product does or does not contain gluten.|Horizontal|Boolean|3650|Left|200|Left||||Active||MANDATORY_BEFORE|PI30_IM721_NOV01
nutritionalClaimDetail/nutritionalClaimTypeCode|N|nutritionalClaimDetail|100|text||80|1||NutritionalClaimTypeCode||||||||E|N|en|Nutritional Claim Type Code|A code depicting the degree to which a trade item contains a specific nutrient or ingredient in relation to a health claim |LoopGroup|DropDown|3660|Right|200|Left||||Active|O|NULL|PI30_IM721_NOV01
nutritionalClaimDetail/nutritionalClaimNutrientElementCode|N|nutritionalClaimDetail|100|text||80|1||NutritionalClaimNutrientElementCode||||||||E|N|en|Nutritional Claim Element Code|The type of nutrient, ingredient, vitamins and minerals that the nutritional claim is in reference to |LoopGroup|DropDown|3670|Right|200|Left||||Active|O|NULL|PI30_IM721_NOV01
swSupplierTraySize|N|||text||70|1||||||||||R|N|en|Supplier Tray Size|Tray Size used for Supplier packaged product .  This attribute applies to Perishable Products like Meat, Seafood, Deli etc.|Horizontal|Text|3700|Left|200|Left||||Active||NULL|PI30_IM721_NOV01
swIsKosherCertified|N|||boolean|||||||||||||R|N|en|Is this item Kosher Certified?|Product packaging must define Kosher certification.|Horizontal|Boolean|3800|Left|200|Left||||Active||NULL|PI30_IM721_NOV01
swDietTypeCode|N|||text||12|1||SWDietTypeCodeVV||||||||R|N|en|Diet Type Code|Code indicating the diet for, which the product is suitable.|Horizontal|Dropdown|3900|Left|200|Left||||Active||NULL|PI30_IM721_NOV01
swDoesProductRequireIngredientsDeclaration|N|||boolean|||||||||||||R|N|en|Does this Product Require an Ingredients and Nutritional Declaration?|Does your product require us to add Ingredient or Nutritional Labeling to finished product or is your product a component to finished product at retail store? |Horizontal|Boolean|4100|Left|200|Left||||Active||NULL|PI30_IM721_NOV01
swDepartment|N|||text||4|1||SWDepartmentVV||||||||R|N|en|Department|Indicate the department your item is primarily located within|Horizontal|Dropdown|4200|Left|200|Left||||Active||NULL|PI30_IM721_NOV01
swservingSizePreparationState|N|||text||12|1||FNBPreparationType||||||||R|N|en|Serving Size Preparation State|Code specifying whether the nutrient information applies to the prepared or unprepared state of the product.|Horizontal|Dropdown|4300|Left|200|Left||||Active||NULL|PI30_IM721_NOV01
swServingSize|N|||float|6|6|2||||||||||R|N|en|Serving Size|Enter the serving size in Grams |Horizontal|Float|4400|Left|200|Left||||Active||NULL|PI30_IM721_NOV01
swServingsPerContainer|N|||text||60|1||||||||||R|N|en|Servings Per Container|Enter the Servings per Container (Approximate if needed)|Horizontal|Text|4500|Left|200|Left||||Active||NULL|PI30_IM721_NOV01
swServingSizeDescription|N|||text||60|1||||||||||R|N|en|Serving Size Description|Serving Size Description (Example: 4 Cookies)|Horizontal|Text|4600|Left|200|Left||||Active||NULL|PI30_IM721_NOV01
swNutrients/swNutrientName|N|swNutrients|999|text||3|1||SWNutrientNameVV||||||||R|N|en|Nutrient Name|Nutrient Name|LoopGroup|Dropdown|4700|Left|200|Left||||Active||NULL|PI30_IM721_NOV01
swNutrients/swNutrientValue|N|swNutrients|999|text||9|1||||||||||E|N|en|Amount Per 100 Grams|Enter value in terms of 100 Gram serving using Unit of Measure from Attribute description (00000.000)|LoopGroup|Text|4800|Left|200|Left||||Active||NULL|PI30_IM721_NOV01
swNutrients/swNutrientAnalysis|N|swNutrients|999|text||3|1||SWAnalysisDoneByVV||||||||E|N|en|Analysis Done By|Lab or Calculated|LoopGroup|Dropdown|4900|Left|200|Left||||Active||NULL|PI30_IM721_NOV01
ingredientStatement|Y||100|text||4000|1|N||M|lang|text||5|1|StandardLanguageCodes_hub|R|N|en|Ingredient Statement|List of ingredients contained in the product.|Horizontal|Text|5000|Left|200|Left|500|||Active||NULL|PI30_IM721_NOV01
swDoesProductContainAllergens|N|||boolean|||||||||||||R|N|en|Does Product Contain Allergens?|Indicate if the item contains common allergens such as tree nuts, shellfish, dairy, etc.|Horizontal|Boolean|5200|Left|200|Left||||Active||NULL|PI30_IM721_NOV01
swAllergens/swAllergenTypeCode|N|swAllergens|100|text||60|1||FNBAllergenTypeCode||||||||R|N|en|Allergen Type Code|Value that identifies the type of allergen in the product |LoopGroup|Dropdown|5500|Left|200|Left||||Active||NULL|PI30_IM721_NOV01
