dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy
areBatteriesRequired|N|||boolean|||||||||||||E|N|en|Are Batteries Required?|Indicates if batteries are required to operate the item.|Horizontal|Boolean|100|Left|200|Left||||Active||NULL|160
areBatteriesIncluded|N|||boolean|||||||||||||E|N|en|Are Batteries Included?|Indicates if batteries are either included or not included with the game.|Horizontal|Boolean|200|Left|200|Left||||Active||NULL|159; PI152_QA09
audioSoundTypeCode|Y||100|text||60|1|N|MOVAudioSoundType||||||||E|N|en|Audio Sound Type Code|audioSoundTypeCode<br>Qualifier: ENT053<br>Refer to IM Participant Dictionary for more information regarding this field.|Horizontal|Multi_Select_List|300|Left|200|Left||||Active||NULL|PI_1SYNC_ATTR
avp/additionalFeaturesOrIncludedAccessories|N|||text||250|1|N|||||||||E|N|en|Additional Features Or Included Accessories|additionalFeaturesOrIncludedAccessories<br>Qualifier: AVP129<br>Additional features or included accessories that are very product specific that are not covered by any other general attribute. This is a Free Form text, be specific as possible.|Horizontal|Text|400|Left|200|Left||||Active||NULL|AVP
avp/aspectRatio|N|||text||70|1|N|||||||||E|N|en|Aspect Ratio|avpAspectRatio<br>Qualifier: AVP147<br>Indicates the dimensions of a TV; whether of not it is wide screen or standard.|Horizontal|Text|500|Left|200|Left||||Active||NULL|AVP
avp/audioWattsPerChannel|N|||integer||4|1||||||||||E|N|en|Audio Watts Per Channel|audioWattsPerChannel<br>Qualifier: AVP149<br>Indicates the system power for the channels in the audio system. Measured in Watts.|Horizontal|Integer|600|Left|200|Left||||Active||NULL|AVP
avp/batterySize|N|||text||70|1|N|||||||||E|N|en|Battery Size|batterySize<br>Qualifier: AVP776<br>Indicates the size of the battery.|Horizontal|Text|700|Left|200|Left||||Active||NULL|AVP
avp/bTURating|N|||integer||8|1||||||||||E|N|en|BTU Rating|bTURating<br>Qualifier: AVP162<br>British Thermal Unit; describes the unit's output rating.|Horizontal|Integer|800|Left|200|Left||||Active||NULL|AVP
avp/cableConnectionTypes|N|||text||70|1|N|||||||||E|N|en|Cable Connection Types|cableConnectionTypes<br>Qualifier: AVP167<br>Indicates the type of cable connections the product contains.|Horizontal|Text|900|Left|200|Left||||Active||NULL|AVP
avp/cameraFlashType|N|||text||70|1|N|||||||||E|N|en|Camera Flash Type|cameraFlashType<br>Qualifier: AVP176<br>Indicates the type of flash the product contains.|Horizontal|Text|1000|Left|200|Left||||Active||NULL|AVP
avp/cameraLensMagnification|N|||text||70|1|N|||||||||E|N|en|Camera Lens Magnification|cameraLensMagnification<br>Qualifier: AVP178<br>Indicates the lens magnification of the camera product.|Horizontal|Text|1100|Left|200|Left||||Active||NULL|AVP
avp/cameraLensOpticalZoom|N|||text||70|1|N|||||||||E|N|en|Camera Lens Optical Zoom|cameraLensOpticalZoom<br>Qualifier: AVP179<br>Indicates the optical zoom on the camera product.|Horizontal|Text|1200|Left|200|Left||||Active||NULL|AVP
avp/capacityQuantity|N|||float|7|14|7||||||||||E|N|en|Capacity Quantity|capacityQuantity<br>Qualifier: AVP190<br>Generally defines how much the product can hold. The values are in reference to the appliance capacity in Cubic feet.|Horizontal|Float|1300|Left|200|Left||||Active||NULL|AVP
avp/cellularServiceProviderName|N|||text||70|1|N|||||||||E|N|en|Cellular Service Provider Name|cellularServiceProviderName<br>Qualifier: AVP197<br>Identifies the name of the service provider for the product.|Horizontal|Text|1400|Left|200|Left||||Active||MANDATORY_BEFORE|AVP
avp/colorPrintSpeed|N|||integer||4|1||||||||||E|N|en|Color Print Speed|colorPrintSpeed<br>Qualifier: AVP202<br>Indicates the color print speed of the product. Measured in Pages per Minute (PPM).|Horizontal|Integer|1500|Left|200|Left||||Active||NULL|AVP
avp/connectorType|N|||text||70|1|N|||||||||E|N|en|Connector Type|connectorType<br>Qualifier: AVP206<br>Indicates the type of connector.|Horizontal|Text|1600|Left|200|Left||||Active||NULL|AVP
avp/cordLength|N|||integer||4|1||||||||||E|N|en|Cord Length|cordLength<br>Qualifier: AVP211<br>Indicates the length of the cord attached to the product.|Horizontal|Integer|1700|Left|200|Left||||Active||NULL|AVP
