dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy
alternateItemIdentification/agency|N|alternateItemIdentification|100|text||60|1|N|AlternateItemIdentificationAgency_hub||||||||E|N|en|Alternate Item Identification Agency|1SYNC Item Management allows an alternate maintenance agency (for example for an internal manufacturing number).|LoopGroup|DropDown|1000|Left|200|Left||||Active||NULL|PI15501_QA01
alternateItemIdentification/id|N|alternateItemIdentification|100|text||80|1|N|||||||||E|N|en|Alternate Item Identification|An alternate item number is allowed, but not required.|LoopGroup|Text|900|Left|200|Left||||Active||NULL|PI15501_QA01
brandName|N|||text||70|1|N|||||||||E|N|en|Brand Name|The brand name for the product recognized by the consumer.|Horizontal|Text|600|Left|200|Left|40|||Active||MANDATORY_BEFORE|1.5.2CTX;
color/agency|N|color|100|text||80|1|N|ColorCodeMaintAgency_hub||||||||E|N|en|Color Code Maintenance Agency|The party responsible for maintaining the color code list used for the "Color" field.|LoopGroup|Dropdown|2100|Left|200|Left||||Active||NULL|PI15501_QA01
color/code|N|color|100|text||40|1|N|||||||||E|N|en|Color Info Code|Indicates the color of the trade item in this field.|LoopGroup|Text|2000|Left|200|Left||||Active||NULL|PI15501_QA01
color/description|N|color|100|text||80|1|Y|||||||||E|N|en|Product Color Description|Free text description of the color of the trade item. Type/Size Occurrence Lang Specific|LoopGroup|Text|1900|Left|200|Left||||Active||NULL|PI15501_QA01
consumerStorageInstructions|Y||25|text||1000|1|||M|lang|text||5|1|StandardLanguageCodes_hub|E|N|en|Consumer Usage Storage Instructions|Expresses in text the consumer storage and usage instructions of a product which are normally held on the label or accompanying the product. This information may or may not be labeled on the pack. Instructions may refer to a suggested storage temperature.|Horizontal|Text|4200|Left|200|Left|200|||Active||NULL|PIMJR3 Update
manufacturer|N||||||||||||||||E|N|en|Manufacturer Link|Party name and identification information for the manufacturer of the trade item.|Horizontal|FLEX_POPUP|800|Left|200|Left||||Active||NULL|MJR3
partyInRole|N||||||||||||||||E|N|en|Party In Role Link|The identification of a party, by GLN, in a specific party role.|Horizontal|FLEX_POPUP|1100|Left|210|Left||||Active||NULL|MJR3
textileMaterial|N||||||||||||||||E|N|en|Textile Material Link|Textile Material Link|Horizontal|FLEX_POPUP|2200|Left|200|Left||||Active||NULL|MJR3
tradeItemGroupIdentification/tradeItemGroupIdentificationCodeReference|N|tradeItemGroupIdentification|100|text||80|1|N|||||||||E|N|en|Trade Item Group Code|A code assigned by the supplier or manufacturer to logically group trade item independently from the Global trade item Classification.|LoopGroup|Text|100|Left|200|Left||||Active||NULL|PIMJR3 Update
wmActiveIngredients/wmAnimalAnimalHealthGroomingActiveIngredientName|N|wmActiveIngredients|3|text||4000|1||||||||||E|N|en|Active Ingredient Name|Ingredient name. |LoopGroup|Text|3000|Left|200|Left|200|||Active||MANDATORY_BEFORE|Walmart_Initial_Load
wmActiveIngredients/wmAnimalAnimalHealthGroomingActiveIngredientPercentage|N|wmActiveIngredients|3|float|40|40|20|||M|uom|text||7|1|WMPercentageUOMVV|E|N|en|Active Ingredient Percentage|The percent of the active ingredient in the item.|LoopGroup|Float|3100|Left|200|Left||||Active||NULL|Walmart_Initial_Load
wmAnimalAnimalBreed|N|||text||4000|1||||||||||E|N|en|Animal Breed|The specific breed or species of animal.|Horizontal|Text|1400|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
wmAnimalAnimalHealthGroomingAnimalHealthConcern|N|||text||4000|1||||||||||E|N|en|Animal Health Concern|Type of condition that the item is intended to address. |Horizontal|Text|3500|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
wmAnimalAnimalHealthGroomingCondition|N|||text||4000|1||||||||||E|N|en|Condition|For refurbished items; used for non-perishables Example: New; Used; Refurbished (Please enter text with 4000 character max)|Horizontal|Text|4000|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
wmAnimalAnimalHealthGroomingDrugFactsLabel|N|||text||2000|1||||||||||E|N|en|Drug Facts Label|URL of the label's image. |Horizontal|Text|2900|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
wmAnimalAnimalHealthGroomingForm|N|||text||4000|1||||||||||E|N|en|Form|Describes the way the item is dispensed or consumed, including its texture or other physical characteristics. |Horizontal|Text|3700|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
