dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy
tradeItemGroupIdentification/tradeItemGroupIdentificationCodeReference|N|tradeItemGroupIdentification|100|text||80|1|N|||||||||E|N|en|Trade Item Group Code|A code assigned by the supplier or manufacturer to logically group trade item independently from the Global trade item Classification.|LoopGroup|Text|100|Left|200|Left||||Active||NULL|PIMJR3 Update
wmSwatchImages/wmFurnitureSwatchImageURL|N|wmSwatchImages|3|text||2000|1||||||||||E|N|en|Swatch Image URL|URL of the color or pattern swatch image. This will be shown as a small square on the item page. Recommended resolution is 100 x 100 pixels. URLs must begin with http:// or https://|LoopGroup|Text|200|Left|50|Left|200|||Active||MANDATORY_BEFORE|Walmart_Initial_Load
wmSwatchImages/wmFurnitureSwatchVariantAttribute|N|wmSwatchImages|3|text||4000|1||||||||||E|N|en|Swatch Variant Attribute|Attribute name corresponding to the swatch. |LoopGroup|Text|300|Left|50|Left|200|||Active||MANDATORY_BEFORE|Walmart_Initial_Load
wmFurnitureVariantAttributeNames|Y||3|text||4000|1||||||||||E|N|en|Variant Attribute Names|Designate all attributes by which the item is varying. This list may include variants that the category specs have not explicitly identified.<br>Ex: If partner provides data for “Collar Size,” and "Collar Size" is not in the list of valid variants, then input “Collar Size” as a value here.|Horizontal|Text|400|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
wmFurnitureIsPrimaryVariant|N|||boolean|||||||||||||E|N|en|Is Primary Variant|Note whether item is intended as the main variant in a variant grouping.|Horizontal|Boolean|500|Left|200|Left||||Active||NULL|Walmart_Initial_Load
brandName|N|||text||70|1|N|||||||||E|N|en|Brand Name|The brand name for the product recognized by the consumer.|Horizontal|Text|600|Left|200|Left|40|||Active||MANDATORY_BEFORE|1.5.2CTX;
wmFurnitureFactoryID|N|||integer||12|1||||||||||E|N|en|Factory ID|Required for Private Label brands. See accompanying private-label brand list.|Horizontal|Integer|700|Left|200|Left||||Active||NULL|Walmart_Initial_Load
manufacturer|N||||||||||||||||E|N|en|Manufacturer Link|Party name and identification information for the manufacturer of the trade item.|Horizontal|FLEX_POPUP|800|Left|200|Left||||Active||NULL|MJR3
partyInRole|N||||||||||||||||E|N|en|Party In Role Link|The identification of a party, by GLN, in a specific party role.|Horizontal|FLEX_POPUP|900|Left|248|Left||||Active||NULL|MJR3
isAssemblyRequired|N|||boolean|||||||||||||E|N|en|Assembly Required|Indicates that the Items in the package need to be assembled for use.|Horizontal|Boolean|1000|Left|200|Left||||Active||NULL|150
wmFurnitureAssemblyInstructions|N|||text||2000|1||||||||||E|N|en|Assembly Instructions|URL location showing assembly instructions for items requiring assembly.  |Horizontal|Text|1100|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
alternateItemIdentification/id|N|alternateItemIdentification|100|text||80|1|N|||||||||E|N|en|Alternate Item Identification|An alternate item number is allowed, but not required.|LoopGroup|Text|1200|Left|200|Left||||Active||NULL|PI15501_QA01
alternateItemIdentification/agency|N|alternateItemIdentification|100|text||60|1|N|AlternateItemIdentificationAgency_hub||||||||E|N|en|Alternate Item Identification Agency|1SYNC Item Management allows an alternate maintenance agency (for example for an internal manufacturing number).|LoopGroup|DropDown|1300|Left|200|Left||||Active||NULL|PI15501_QA01
wmFurnitureManufacturerPartNumber|N|||text||4000|1||||||||||E|N|en|Manufacturer Part Number|MPN uniquely identifies the product to its manufacturer. For many products this will be identical to the model number. Some manufacturers distinguish part number from model number. Having this information allows customers to search for items on the site and informs product matching.|Horizontal|Text|1400|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
wmFurnitureCollection|N|||text||4000|1||||||||||E|N|en|Collection|A collection is a particular group of items that have the same visual style, made by the same brand.  |Horizontal|Text|1500|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
textileMaterial|N||||||||||||||||E|N|en|Textile Material Link|Textile Material Link|Horizontal|FLEX_POPUP|1600|Left|200|Left||||Active||NULL|MJR3
wmFurnitureFabricCareInstructions|Y||3|text||4000|1||||||||||E|N|en|Fabric Care Instructions|Enter details of the fabric care label.|Horizontal|Text|1700|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
wmFurnitureMaterial|Y||3|text||4000|1||||||||||E|N|en|Material|Material makeup of the item. Fabric materials should be denoted using the "Fabric Content" attribute. |Horizontal|Text|1800|Left|200|Left|200|||Active||MANDATORY_BEFORE|Walmart_Initial_Load
wmFurnitureFillMaterial|Y||3|text||4000|1||||||||||E|N|en|Fill Material|The stuffing material of the item, as for cushions or plush toys. |Horizontal|Text|1900|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
wmFurnitureFinish|N|||text||4000|1||||||||||E|N|en|Finish|Overall finish of the item.|Horizontal|Text|2000|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
wmFurnitureAgeGroup|Y||3|text||60|1||WMAgeGroupVV||||||||E|N|en|Age Group|General grouping of ages into commonly used demographic labels.|Horizontal|Multi_Select_List|2100|Left|200|Left||||Active||NULL|Walmart_Initial_Load
wmFurnitureGender|N|||text||60|1||WMGender1VV||||||||E|N|en|Gender|To specify target gender of the item. |Horizontal|Dropdown|2200|Left|200|Left||||Active||NULL|Walmart_Initial_Load
avp/furnitureStyle|Y||2|text||70|1|N|||||||||E|N|en|Furniture Style|furnitureStyle<br>Qualifier: AVP248<br>Describes the style of the furniture.|Horizontal|Text|2300|Left|200|Left||||Active||NULL|AVP
wmFurnitureTheme|Y||3|text||4000|1||||||||||E|N|en|Theme|A dominant idea carried in an artwork or piece of furniture|Horizontal|Text|2400|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
color/description|N|color|100|text||80|1|Y|||||||||E|N|en|Product Color Description|Free text description of the color of the trade item. Type/Size Occurrence Lang Specific|LoopGroup|Text|2500|Left|200|Left||||Active||NULL|PI15501_QA01
color/code|N|color|100|text||40|1|N|||||||||E|N|en|Color Info Code|Indicates the color of the trade item in this field.|LoopGroup|Text|2600|Left|200|Left||||Active||NULL|PI15501_QA01
color/agency|N|color|100|text||80|1|N|ColorCodeMaintAgency_hub||||||||E|N|en|Color Code Maintenance Agency|The party responsible for maintaining the color code list used for the "Color" field.|LoopGroup|Dropdown|2700|Left|200|Left||||Active||NULL|PI15501_QA01
wmFurniturePattern|Y||3|text||4000|1||||||||||E|N|en|Pattern|Decorative design or visual ornamentation, often with a thematic, recurring motif.|Horizontal|Text|2800|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
wmFurnitureCharacter|Y||3|text||4000|1||||||||||E|N|en|Character|A person or entity portrayed in print or visual media. A character might be a fictional personality or an actual living person.|Horizontal|Text|2900|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
avp/silhouette|N|||text||70|1|N|||||||||E|N|en|Silhouette|silhouette<br>Qualifier: AVP652<br>Describes the shape of the piece of furniture.|Horizontal|Text|3000|Left|200|Left||||Active||NULL|AVP
wmFurnitureMountType|Y||3|text||4000|1||||||||||E|N|en|Mount Type|How the item is mounted, for use especially with shelves. |Horizontal|Text|3100|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
unitsPerTradeItem|Y||100|float|15|15|15|||M|uom|text||5|2|uom|E|N|en|Units Per Trade Item|Number of units per Trade Item.|Horizontal|Float|3200|Left|200|Left|30|||Active||NULL|48
wmFurnitureIsInflatable|N|||boolean|||||||||||||E|N|en|Is Inflatable|Indicates that an item can be inflated.|Horizontal|Boolean|3300|Left|200|Left||||Active||NULL|Walmart_Initial_Load
wmFurnitureIsWheeled|N|||boolean|||||||||||||E|N|en|Is Wheeled|Indicates that an item has wheels and can be rolled.|Horizontal|Boolean|3400|Left|200|Left||||Active||NULL|Walmart_Initial_Load
wmFurnitureIsFoldable|N|||boolean|||||||||||||E|N|en|Is Foldable|Indicates that an item can be folded.|Horizontal|Boolean|3500|Left|200|Left||||Active||NULL|Walmart_Initial_Load
wmFurnitureIsIndustrial|N|||boolean|||||||||||||E|N|en|Is Industrial|Indicates that an item can be used in an industrial setting or has an industrial application.|Horizontal|Boolean|3600|Left|200|Left||||Active||NULL|Walmart_Initial_Load
wmFurnitureIsPowered|N|||boolean|||||||||||||E|N|en|Is Powered|Indicates that an item is powered.|Horizontal|Boolean|3700|Left|200|Left||||Active||NULL|Walmart_Initial_Load
wmFurniturePowerType|N|||text||4000|1||||||||||E|N|en|Power Type|Provides information on the exact type of power used by the item.|Horizontal|Text|3800|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
wmFurnitureRecommendedRooms|Y||3|text||4000|1||||||||||E|N|en|Recommended Rooms|The rooms recommended for the item's use.|Horizontal|Text|3900|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
avp/indoorOutdoorUse|N|||text||70|1|N|||||||||E|N|en|Indoor/Outdoor Use|indoorOutdoorUse<br>Qualifier: AVP433<br>Describes the location where the user is most likely to use the product.|Horizontal|Text|4000|Left|200|Left||||Active||NULL|AVP
wmFurnitureRecommendedUses|Y||3|text||4000|1||||||||||E|N|en|Recommended Uses|Further clarification of what the item may be used for.|Horizontal|Text|4100|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
wmFurnitureIsAntique|N|||boolean|||||||||||||E|N|en|Is Antique|Is an old collectable item Example: Yes|Horizontal|Boolean|4200|Left|200|Left||||Active||NULL|Walmart_Initial_Load
wmFurnitureSeatingCapacity|N|||integer||7|1||||||||||E|N|en|Seating Capacity|The number of people that can be accommodated by the available seats of an item.|Horizontal|Integer|4300|Left|200|Left||||Active||NULL|Walmart_Initial_Load
wmFurnitureNumberofDrawers|N|||integer||7|1||||||||||E|N|en|Number of Drawers|Example: 2; 4; 8 (Please enter the value)|Horizontal|Integer|4400|Left|200|Left||||Active||NULL|Walmart_Initial_Load
avp/quantityOfShelves|N|||integer||4|1||||||||||E|N|en|Quantity Of Shelves|quantityOfShelves<br>Qualifier: AVP618<br>Indicates the number of shelves the product contains.|Horizontal|Integer|4500|Left|200|Left||||Active||NULL|AVP
