dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy
tradeItemGroupIdentification/tradeItemGroupIdentificationCodeReference|N|tradeItemGroupIdentification|100|text||80|1|N|||||||||E|N|en|Trade Item Group Code|A code assigned by the supplier or manufacturer to logically group trade item independently from the Global trade item Classification.|LoopGroup|Text|100|Left|200|Left||||Active||NULL|PIMJR3 Update
wmSwatchImages/wmHealthBeautySwatchImageUrl|N|wmSwatchImages|3|text||2000|1||||||||||E|N|en|Swatch Image URL|URL of the color or pattern swatch image. This will be shown as a small square on the item page. Recommended resolution is 100 x 100 pixels. URLs must begin with http:// or https://|LoopGroup|Text|200|Left|50|Left|200|||Active||MANDATORY_BEFORE|Walmart_Initial_Load
wmSwatchImages/wmHealthBeautySwatchVariantAttribute|N|wmSwatchImages|3|text||4000|1||||||||||E|N|en|Swatch Variant Attribute|Attribute name corresponding to the swatch. |LoopGroup|Text|300|Left|50|Left|200|||Active||MANDATORY_BEFORE|Walmart_Initial_Load
wmHealthBeautyVariantAttributeNames|Y||3|text||4000|1||||||||||E|N|en|Variant Attribute Names|Designate all attributes by which the item is varying. This list may include variants that the category spec has not explicitly identified. <br>Ex: If partner provides data for “Collar Size,” and "Collar Size" is not in the list of valid variants, then input “Collar Size” as a value here.|Horizontal|Text|400|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
wmHealthBeautyIsPrimaryVariant|N|||boolean|||||||||||||E|N|en|Is Primary Variant|Note whether item is intended as the main variant in a variant grouping.|Horizontal|Boolean|500|Left|200|Left||||Active||NULL|Walmart_Initial_Load
brandName|N|||text||70|1|N|||||||||E|N|en|Brand Name|The brand name for the product recognized by the consumer.|Horizontal|Text|600|Left|200|Left|40|||Active||MANDATORY_BEFORE|1.5.2CTX;
wmHealthBeautyFactoryId|N|||integer||12|1||||||||||E|N|en|Factory ID|Required for Private Label brands. See accompanying private-label brand list.|Horizontal|Integer|700|Left|200|Left||||Active||NULL|Walmart_Initial_Load
manufacturer|N||||||||||||||||E|N|en|Manufacturer Link|Party name and identification information for the manufacturer of the trade item.|Horizontal|FLEX_POPUP|800|Left|200|Left||||Active||NULL|MJR3
alternateItemIdentification/id|N|alternateItemIdentification|100|text||80|1|N|||||||||E|N|en|Alternate Item Identification|An alternate item number is allowed, but not required.|LoopGroup|Text|900|Left|200|Left||||Active||NULL|PI15501_QA01
alternateItemIdentification/agency|N|alternateItemIdentification|100|text||60|1|N|AlternateItemIdentificationAgency_hub||||||||E|N|en|Alternate Item Identification Agency|1SYNC Item Management allows an alternate maintenance agency (for example for an internal manufacturing number).|LoopGroup|DropDown|1000|Left|200|Left||||Active||NULL|PI15501_QA01
partyInRole|N||||||||||||||||E|N|en|Party In Role Link|The identification of a party, by GLN, in a specific party role.|Horizontal|FLEX_POPUP|1100|Left|256|Left||||Active||NULL|MJR3
wmHealthBeautyManufacturerPartNumber|N|||text||4000|1||||||||||E|N|en|Manufacturer Part Number|MPN uniquely identifies the product to its manufacturer. For many products this will be identical to the model number. Some manufacturers distinguish part number from model number.|Horizontal|Text|1200|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
wmHealthBeautyCollection|N|||text||4000|1||||||||||E|N|en|Collection|A collection is a particular group of items that have the same visual style, made by the same brand.  |Horizontal|Text|1300|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
wmHealthBeautyFlexibleSpendingAccountEligible|N|||boolean|||||||||||||E|N|en|Flexible Spending Account-Eligible|Indicates if item is FSA-Eligible. |Horizontal|Boolean|1400|Left|200|Left||||Active||NULL|Walmart_Initial_Load
wmHealthBeautyGender|N|||text||60|1||WMGender1VV||||||||E|N|en|Gender|To specify target gender of the item. Example: Women; Men; Girls; Boys; Unisex (Please select a value from the drop-down below)|Horizontal|Dropdown|1500|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
wmHealthBeautyAgeGroup|Y||3|text||60|1||WMAgeGroupVV||||||||E|N|en|Age Group|General grouping of ages into commonly used demographic labels. Example: Child; Teen; Adult (If you want to submit multiple values, use a semicolon to separate the values. For example – value1;value2;value3. Please enter text with 4000 character max)|Horizontal|Multi_Select_List|1600|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
color/description|N|color|100|text||80|1|Y|||||||||E|N|en|Product Color Description|Free text description of the color of the trade item. Type/Size Occurrence Lang Specific|LoopGroup|Text|1700|Left|200|Left||||Active||MANDATORY_BEFORE|PI15501_QA01
color/code|N|color|100|text||40|1|N|||||||||E|N|en|Color Info Code|Indicates the color of the trade item in this field.|LoopGroup|Text|1800|Left|200|Left||||Active||NULL|PI15501_QA01
color/agency|N|color|100|text||80|1|N|ColorCodeMaintAgency_hub||||||||E|N|en|Color Code Maintenance Agency|The party responsible for maintaining the color code list used for the "Color" field.|LoopGroup|Dropdown|1900|Left|200|Left||||Active||NULL|PI15501_QA01
wmHealthBeautyIsAdultProduct|N|||boolean|||||||||||||E|N|en|Is Adult Product|Indicates if item is adult in nature and should not appear in results for children's products.|Horizontal|Boolean|2000|Left|200|Left||||Active||NULL|Walmart_Initial_Load
wmHealthBeautyMaterial|Y||3|text||4000|1||||||||||E|N|en|Material|Material makeup of the item. Fabric materials should be denoted using the "Fabric Content" attribute. |Horizontal|Text|2100|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
textileMaterial|N||||||||||||||||E|N|en|Textile Material Link|Textile Material Link|Horizontal|FLEX_POPUP|2200|Left|200|Left||||Active||NULL|MJR3
wmHealthBeautyFabricCareInstructions|Y||3|text||4000|1||||||||||E|N|en|Fabric Care Instructions|Enter details of the fabric care label.|Horizontal|Text|2300|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
unitsPerTradeItem|Y||100|float|15|15|15|||M|uom|text||5|2|uom|E|N|en|Units Per Trade Item|Number of units per Trade Item.|Horizontal|Float|2400|Left|200|Left|30|||Active||NULL|48
avp/shape|N|||text||70|1|N|||||||||E|N|en|Shape|shape<br>Qualifier: AVP649<br>Indicates the shape of the product.|Horizontal|Text|2500|Left|200|Left||||Active||NULL|AVP
wmHealthBeautyCompatibleBrands|Y||3|text||4000|1||||||||||E|N|en|Compatible Brands|A list of the brands most commonly compatible with the item.|Horizontal|Text|2600|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
wmHealthBeautyCharacter|Y||3|text||4000|1||||||||||E|N|en|Character|A person or entity portrayed in print or visual media. A character might be a fictional personality or an actual living person. Example: Dora the Explorer; SpongeBob SquarePants (If you want to submit multiple values, use a semicolon to separate the values. For example – value1;value2;value3. Please enter text with 4000 character max)|Horizontal|Text|2700|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
wmHealthBeautyIsPersonalizable|N|||boolean|||||||||||||E|N|en|Is Personalizable|Denotes if the item can be customized in some way, including engraved, embroidered, stamped, etched, etc.  |Horizontal|Boolean|2800|Left|200|Left||||Active||NULL|Walmart_Initial_Load
wmHealthBeautyIsPortable|N|||boolean|||||||||||||E|N|en|Is Portable|Is the item portable?|Horizontal|Boolean|2900|Left|200|Left||||Active||NULL|Walmart_Initial_Load
wmHealthBeautyIsReusable|N|||boolean|||||||||||||E|N|en|Is Reusable|Indicates the item can be used more than once. |Horizontal|Boolean|3000|Left|200|Left||||Active||NULL|Walmart_Initial_Load
wmHealthBeautyIsDisposable|N|||boolean|||||||||||||E|N|en|Is Disposable|Indicates the item is intended for single use.|Horizontal|Boolean|3100|Left|200|Left||||Active||NULL|Walmart_Initial_Load
wmHealthBeautyRecommendedUses|Y||3|text||4000|1||||||||||E|N|en|Recommended Uses|Further clarification of what is the item may be used for.|Horizontal|Text|3200|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
wmHealthBeautyIsPowered|N|||boolean|||||||||||||E|N|en|Is Powered|Indicates that an item is powered.|Horizontal|Boolean|3300|Left|200|Left||||Active||NULL|Walmart_Initial_Load
wmHealthBeautyPowerType|N|||text||4000|1||||||||||E|N|en|Power Type|Provides information on the exact type of power used by the item.|Horizontal|Text|3400|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
wmHealthBeautyBodyParts|Y||3|text||4000|1||||||||||E|N|en|Body Parts|The body part/s for which the item is intended. |Horizontal|Text|3500|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
wmHealthBeautyCleaningCareAndMaintenance|N|||text||4000|1||||||||||E|N|en|Cleaning, Care & Maintenance|Description of how the item should be cleaned and maintained. |Horizontal|Text|3600|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
wmHealthBeautyIsSet|N|||boolean|||||||||||||E|N|en|Is Set|Please indicate whether this product consists of two or more items sold together as a set. (example: lipstick + lip-liner) Example: Y; N (Please select a value from the drop-down below)|Horizontal|Boolean|3700|Left|200|Left||||Active||NULL|Walmart_Initial_Load
wmHealthBeautyIsTravelSize|N|||boolean|||||||||||||E|N|en|Is Travel Size|Please indicate whether the product is a smaller version of a larger-sized product. Example: Y; N (Please select a value from the drop-down below)|Horizontal|Boolean|3800|Left|200|Left||||Active||NULL|Walmart_Initial_Load
areBatteriesRequired|N|||boolean|||||||||||||E|N|en|Are Batteries Required?|Indicates if batteries are required to operate the item.|Horizontal|Boolean|3900|Left|200|Left||||Active||NULL|160
areBatteriesIncluded|N|||boolean|||||||||||||E|N|en|Are Batteries Included?|Indicates if batteries are either included or not included with the game.|Horizontal|Boolean|4000|Left|200|Left||||Active||NULL|159; PI152_QA09
avp/batterySize|N|||text||70|1|N|||||||||E|N|en|Battery Size|batterySize<br>Qualifier: AVP776<br>Indicates the size of the battery.|Horizontal|Text|4100|Left|200|Left||||Active||NULL|AVP
