dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy
audioVisualMediaContentInformation|N||||||||||||||||E|N|en|Audio Visual Media Content Information|Information on the media included in the package for the purposes of storing the software, games, music, films.|Horizontal|FLEX_POPUP|1100|Left|200|Left||||Active||NULL|MJR3
audioVisualMediaDateInformation/audioVisualMediaDateTime|N|audioVisualMediaDateInformation|100|datetime|||||||||||||E|N|en|Audio Visual Media Date|The date for audio or visual media products for example release date.|LoopGroup|DateTime|1000|Right|200|Left||||Active|O|NULL|MJR3
audioVisualMediaDateInformation/audioVisualMediaDateTypeCode|N|audioVisualMediaDateInformation|100|text||80|1||AudioVisualMediaDateTypeCode||||||||E|N|en|Audio Visual Media Date Type Code|A code specifying the type of date for audio or visual media products for example release date.|LoopGroup|DropDown|900|Right|200|Left||||Active|O|NULL|MJR3
audioVisualMediaProductTitle|N|||text||200|1||||||||||E|N|en|Product Title|Title of the audio visual media product.|Horizontal|Text|400|Right|200|Left||||Active||NULL|MJR3
tradeItemGroupIdentification/tradeItemGroupIdentificationCodeReference|N|tradeItemGroupIdentification|100|text||80|1|N|||||||||E|N|en|Trade Item Group Code|A code assigned by the supplier or manufacturer to logically group trade item independently from the Global trade item Classification.|LoopGroup|Text|100|Left|200|Left||||Active||NULL|PIMJR3 Update
wmMediaCharacter|Y||3|text||4000|1||||||||||E|N|en|Character|A real or fictional person associated with an item.|Horizontal|Text|700|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
wmMediaIsAdultProduct|N|||boolean|||||||||||||E|N|en|Is Adult Product|Indicates if item is adult in nature and should not appear in results for children's products.|Horizontal|Boolean|500|Left|200|Left||||Active||MANDATORY_BEFORE|Walmart_Initial_Load
wmMediaIsDownloadableContentAvailable|N|||boolean|||||||||||||E|N|en|Is Downloadable Content Available|Is extra content available to extend/enhance the experience through a download?|Horizontal|Boolean|800|Left|200|Left||||Active||NULL|Walmart_Initial_Load
wmMediaIsPrimaryVariant|N|||boolean|||||||||||||E|N|en|Is Primary Variant|Note whether item is intended as the main variant in a variant grouping.|Horizontal|Boolean|300|Left|200|Left||||Active||NULL|Walmart_Initial_Load
wmMediaTargetAudience|Y||3|text||60|1||WMTargetAudienceVV||||||||E|N|en|Target Audience|The demographic for which the item is intended. |Horizontal|Multi_Select_List|600|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
wmMediaVariantAttributeNames|Y||3|text||4000|1||||||||||E|N|en|Variant Attribute Names|Designate all attributes by which the item is varying. This list may include variants that the category spec has not explicitly identified. <br>Ex: If partner provides data for “Collar Size,” and "Collar Size" is not in the list of valid variants, then input “Collar Size” as a value here.|Horizontal|Text|200|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
