dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy
tradeItemGroupIdentification/tradeItemGroupIdentificationCodeReference|N|tradeItemGroupIdentification|100|text||80|1|N|||||||||E|N|en|Trade Item Group Code|A code assigned by the supplier or manufacturer to logically group trade item independently from the Global trade item Classification.|LoopGroup|Text|100|Left|200|Left||||Active||NULL|PIMJR3 Update
wmSwatchImages/wmOfficeSwatchImageUrl|N|wmSwatchImages|3|text||2000|1||||||||||E|N|en|Swatch Image URL|URL of the color or pattern swatch image. This will be shown as a small square on the item page. Recommended resolution is 100 x 100 pixels. URLs must begin with http:// or https://|LoopGroup|Text|200|Left|50|Left|200|||Active||MANDATORY_BEFORE|Walmart_Initial_Load
wmSwatchImages/wmOfficeSwatchVariantAttribute|N|wmSwatchImages|3|text||4000|1||||||||||E|N|en|Swatch Variant Attribute|Attribute name corresponding to the swatch. |LoopGroup|Text|300|Left|50|Left|200|||Active||MANDATORY_BEFORE|Walmart_Initial_Load
wmOfficeVariantAttributeNames|Y||3|text||4000|1||||||||||E|N|en|Variant Attribute Names|Designate all attributes by which the item is varying. This list may include variants that the category spec has not explicitly identified.<br>Ex: If partner provides data for “Collar Size,” and "Collar Size" is not in the list of valid variants, then input “Collar Size” as a value here.|Horizontal|Text|400|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
wmOfficeIsPrimaryVariant|N|||boolean|||||||||||||E|N|en|Is Primary Variant|Note whether item is intended as the main variant in a variant grouping.|Horizontal|Boolean|500|Left|200|Left||||Active||NULL|Walmart_Initial_Load
brandName|N|||text||70|1|N|||||||||E|N|en|Brand Name|The brand name for the product recognized by the consumer.|Horizontal|Text|600|Left|200|Left|40|||Active||MANDATORY_BEFORE|PI173_IM711_Aug01
wmOfficeFactoryId|N|||integer||12|1||||||||||E|N|en|Factory ID|Required for Private Label brands. See accompanying private-label brand list.|Horizontal|Integer|700|Left|200|Left||||Active||NULL|Walmart_Initial_Load
manufacturer|N||||||||||||||||E|N|en|Manufacturer Link|Party name and identification information for the manufacturer of the trade item.|Horizontal|FLEX_POPUP|800|Left|200|Left||||Active||NULL|DeCA phase 2
partyInRole|N||||||||||||||||E|N|en|Party In Role Link|The identification of a party, by GLN, in a specific party role.|Horizontal|FLEX_POPUP|900|Left|205|Left||||Active||NULL|MJR3
alternateItemIdentification/id|N|alternateItemIdentification|100|text||80|1|N|||||||||E|N|en|Alternate Item Identification|An alternate item number is allowed, but not required.|LoopGroup|Text|1000|Left|200|Left||||Active||NULL|PI15501_QA01
alternateItemIdentification/agency|N|alternateItemIdentification|100|text||60|1|N|AlternateItemIdentificationAgency_hub||||||||E|N|en|Alternate Item Identification Agency|1SYNC Item Management allows an alternate maintenance agency (for example for an internal manufacturing number).|LoopGroup|DropDown|1100|Left|200|Left||||Active||NULL|PI15501_QA01
wmOfficeManufacturerPartNumber|N|||text||4000|1||||||||||E|N|en|Manufacturer Part Number|MPN uniquely identifies the product to its manufacturer. For many items, this will be identical to the model number. Some manufacturers distinguish part number from model number. Having this information allows customers to search for items on the site and informs product matching.|Horizontal|Text|1200|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
wmOfficeMaterial|Y||3|text||4000|1||||||||||E|N|en|Material|Material makeup of the item. Fabric materials should be denoted using the "Fabric Content" attribute. |Horizontal|Text|1300|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
color/description|N|color|100|text||80|1|Y|||||||||E|N|en|Product Color Description|Free text description of the color of the trade item. Type/Size Occurrence Lang Specific|LoopGroup|Text|1400|Left|200|Left||||Active||NULL|PI15501_QA01
color/code|N|color|100|text||40|1|N|||||||||E|N|en|Color Info Code|Indicates the color of the trade item in this field.|LoopGroup|Text|1500|Left|200|Left||||Active||NULL|PI15501_QA01
color/agency|N|color|100|text||80|1|N|ColorCodeMaintAgency_hub||||||||E|N|en|Color Code Maintenance Agency|The party responsible for maintaining the color code list used for the "Color" field.|LoopGroup|Dropdown|1600|Left|200|Left||||Active||NULL|PI15501_QA01
wmOfficeNumberOfSheets|N|||integer||7|1||||||||||E|N|en|Number of Sheets|Indicates the number of paper sheets in items, like pads of paper. Also the number of sheets an office instrument can hold, such as paper punches or paper trays.   |Horizontal|Integer|1700|Left|200|Left||||Active||NULL|Walmart_Initial_Load
wmOfficePattern|N|||text||4000|1||||||||||E|N|en|Pattern|Decorative design or visual ornamentation, often with a thematic, recurring motif. Example: Floral; Plaid; Paisley (If you want to submit multiple values, use a semicolon to separate the values. For example – value1;value2;value3. Please enter text with 4000 character max)|Horizontal|Text|1800|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
avp/refillRefillable|N|||text||255|1|N|||||||||E|N|en|REFILL/REFILLABLE(U85)|U85<br>Qualifier: U85<br>Refer to Extension Implementation Guide (for Extension Attributes) or Participant Dictionary (for Core GDSN Attriutes) for more information regarding this field.|Horizontal|Text|1900|Left|200|Left||||Active||NULL|AVP
avp/hasRetractableCord|N|||boolean|||||||||||||E|N|en|Has Retractable Cord?|hasRetractableCord<br>Qualifier: AVP386<br>Indicates whether or not the product has the ability to store the cord.|Horizontal|Boolean|2000|Left|200|Left||||Active||NULL|AVP
wmOfficeSystemOfMeasurement|N|||text||4000|1||||||||||E|N|en|System of Measurement|Example: Metric; Imperial (Please enter text with 4000 character max)|Horizontal|Text|2100|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
wmOfficeIsIndustrial|N|||boolean|||||||||||||E|N|en|Is Industrial|Indicates that an item can be used in an industrial setting or has an industrial application. Example: Y; N (Please select a value from the drop-down below)|Horizontal|Boolean|2200|Left|200|Left||||Active||NULL|Walmart_Initial_Load
wmOfficeIsAntiglare|N|||boolean|||||||||||||E|N|en|Is Antiglare|Example: Y; N (Please select a value from the drop-down below)|Horizontal|Boolean|2300|Left|200|Left||||Active||NULL|Walmart_Initial_Load
wmOfficeIsMadeFromRecycledMaterial|N|||boolean|||||||||||||E|N|en|Is Made From Recycled Material|Example: Y; N (Please select a value from the drop-down below)|Horizontal|Boolean|2400|Left|200|Left||||Active||NULL|Walmart_Initial_Load
wmRecycledMaterialContent/wmOfficeRecycledMaterial|N|wmRecycledMaterialContent|3|text||4000|1||||||||||E|N|en|Recycled Material|Type of recycled material used to create the item. |LoopGroup|Text|2500|Left|200|Left|200|||Active||MANDATORY_BEFORE|Walmart_Initial_Load
totalRecyclableContentPercentage|N|||float|5|5|2||||||||||E|N|en|Total Recycled Content %|totalRecyclableContent<br>Qualifier: FFC002<br>Refer to IM Participant Dictionary for more information regarding this field.|Horizontal|Float|2600|Left|200|Left||||Active||NULL|PIMJR3 Update
