dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy
alternateItemIdentification/agency|N|alternateItemIdentification|100|text||60|1|N|AlternateItemIdentificationAgency_hub||||||||E|N|en|Alternate Item Identification Agency|1SYNC Item Management allows an alternate maintenance agency (for example for an internal manufacturing number).|LoopGroup|DropDown|1200|Left|200|Left||||Active||NULL|PI15501_QA01
alternateItemIdentification/id|N|alternateItemIdentification|100|text||80|1|N|||||||||E|N|en|Alternate Item Identification|An alternate item number is allowed, but not required.|LoopGroup|Text|1100|Left|200|Left||||Active||NULL|PI15501_QA01
areBatteriesIncluded|N|||boolean|||||||||||||E|N|en|Are Batteries Included?|Indicates if batteries are either included or not included with the game.|Horizontal|Boolean|3100|Left|200|Left||||Active||NULL|159; PI152_QA09
areBatteriesRequired|N|||boolean|||||||||||||E|N|en|Are Batteries Required?|Indicates if batteries are required to operate the item.|Horizontal|Boolean|3000|Left|200|Left||||Active||NULL|160
avp/additionalFeaturesOrIncludedAccessories|N|||text||250|1|N|||||||||E|N|en|Additional Features Or Included Accessories|additionalFeaturesOrIncludedAccessories<br>Qualifier: AVP129<br>Additional features or included accessories that are very product specific that are not covered by any other general attribute. This is a Free Form text, be specific as possible.|Horizontal|Text|2400|Left|200|Left||||Active||NULL|AVP
avp/batterySize|N|||text||70|1|N|||||||||E|N|en|Battery Size|batterySize<br>Qualifier: AVP776<br>Indicates the size of the battery.|Horizontal|Text|3200|Left|200|Left||||Active||NULL|AVP
avp/cameraFlashType|N|||text||70|1|N|||||||||E|N|en|Camera Flash Type|cameraFlashType<br>Qualifier: AVP176<br>Indicates the type of flash the product contains.|Horizontal|Text|8400|Left|200|Left||||Active||NULL|AVP
avp/cameraLensMagnification|N|||text||70|1|N|||||||||E|N|en|Camera Lens Magnification|cameraLensMagnification<br>Qualifier: AVP178<br>Indicates the lens magnification of the camera product.|Horizontal|Text|4200|Left|200|Left||||Active||NULL|AVP
avp/cameraLensOpticalZoom|N|||text||70|1|N|||||||||E|N|en|Camera Lens Optical Zoom|cameraLensOpticalZoom<br>Qualifier: AVP179<br>Indicates the optical zoom on the camera product.|Horizontal|Text|4900|Left|200|Left||||Active||NULL|AVP
avp/connectorType|N|||text||70|1|N|||||||||E|N|en|Connector Type|connectorType<br>Qualifier: AVP206<br>Indicates the type of connector.|Horizontal|Text|3700|Left|200|Left||||Active||NULL|AVP
avp/displayScreenType|Y||3|text||70|1|N|||||||||E|N|en|Display Screen Type|displayScreenType<br>Qualifier: AVP218<br>Describes the type of display the product projects.|Horizontal|Text|4800|Left|200|Left||||Active||NULL|AVP
avp/hasSelfTimer|N|||boolean|||||||||||||E|N|en|Has Self-timer?|hasSelfTimer<br>Qualifier: AVP389<br>Indicates whether or not the product has a self-timer.|Horizontal|Boolean|7400|Left|200|Left||||Active||NULL|AVP
avp/hasTouchScreen|N|||boolean|||||||||||||E|N|en|Has Touch Screen?|hasTouchScreen<br>Qualifier: AVP410<br>Indicates whether or not the product has a touch screen.|Horizontal|Boolean|3300|Left|200|Left||||Active||NULL|AVP
avp/indoorOutdoorUse|N|||text||70|1|N|||||||||E|N|en|Indoor/Outdoor Use|indoorOutdoorUse<br>Qualifier: AVP433<br>Describes the location where the user is most likely to use the product.|Horizontal|Text|2300|Left|200|Left||||Active||NULL|AVP
avp/isWaterResistant|N|||boolean|||||||||||||E|N|en|Is Water Resistant?|isWaterResistant<br>Qualifier: AVP479<br>Indicates whether or not the ink is water resistant.|Horizontal|Boolean|2600|Left|200|Left||||Active||NULL|AVP
avp/isWeatherProof|N|||boolean|||||||||||||E|N|en|Is Weather Proof?|isWeatherProof<br>Qualifier: AVP480<br>Indicates whether or not the product can be left out in the rain, snow, etc.|Horizontal|Boolean|2500|Left|200|Left||||Active||NULL|AVP
avp/quantityOfMegapixels|N|||float|7|14|7||||||||||E|N|en|Quantity Of Megapixels|quantityOfMegapixels<br>Qualifier: AVP593<br>Indicates the megapixel size of, which the product takes photographs.|Horizontal|Float|4000|Left|200|Left||||Active||NULL|AVP
avp/standbyTimeAmount|N|||integer||4|1||||||||||E|N|en|Standby Time Amount|standbyTimeAmount<br>Qualifier: AVP666<br>Indicates the length of time the product remains powered on while not in use.|Horizontal|Integer|8900|Left|200|Left||||Active||NULL|AVP
brandName|N|||text||70|1|N|||||||||E|N|en|Brand Name|The brand name for the product recognized by the consumer.|Horizontal|Text|800|Left|200|Left|40|||Active||MANDATORY_BEFORE|1.5.2CTX;
color/agency|N|color|100|text||80|1|N|ColorCodeMaintAgency_hub||||||||E|N|en|Color Code Maintenance Agency|The party responsible for maintaining the color code list used for the "Color" field.|LoopGroup|Dropdown|1700|Left|200|Left||||Active||NULL|PI15501_QA01
color/code|N|color|100|text||40|1|N|||||||||E|N|en|Color Info Code|Indicates the color of the trade item in this field.|LoopGroup|Text|1600|Left|200|Left||||Active||NULL|PI15501_QA01
color/description|N|color|100|text||80|1|Y|||||||||E|N|en|Product Color Description|Free text description of the color of the trade item. Type/Size Occurrence Lang Specific|LoopGroup|Text|1500|Left|200|Left||||Active||NULL|PI15501_QA01
diameter|Y||999|float|38|38|15|||M|uom|text||3|1|uom|E|N|en|Diameter|The measurement of the diameter of the trade item at its largest point.|Horizontal|Float|6900|Left|200|Left||||Active||NULL|PI_1SYNC_ATTR
isAssemblyRequired|N|||boolean|||||||||||||E|N|en|Assembly Required|Indicates that the Items in the package need to be assembled for use.|Horizontal|Boolean|2800|Left|200|Left||||Active||NULL|150
manufacturer|N||||||||||||||||E|N|en|Manufacturer Link|Party name and identification information for the manufacturer of the trade item.|Horizontal|FLEX_POPUP|1000|Left|200|Left||||Active||NULL|MJR3
partyInRole|N||||||||||||||||E|N|en|Party In Role Link|The identification of a party, by GLN, in a specific party role.|Horizontal|FLEX_POPUP|1300|Left|282|Left||||Active||NULL|MJR3
subBrand|N|||text||70|1|N|||||||||E|N|en|Sub Brand|Second level of the brand name (e.g. Colgate Optic White – Colgate = brand name, Optic White is the sub-brand).|Horizontal|Text|3500|Left|200|Left|40|||Active||NULL|1.5.2CTX;
tradeItemGroupIdentification/tradeItemGroupIdentificationCodeReference|N|tradeItemGroupIdentification|100|text||80|1|N|||||||||E|N|en|Trade Item Group Code|A code assigned by the supplier or manufacturer to logically group trade item independently from the Global trade item Classification.|LoopGroup|Text|100|Left|200|Left||||Active||NULL|PIMJR3 Update
unitsPerTradeItem|Y||100|float|15|15|15|||M|uom|text||5|2|uom|E|N|en|Units Per Trade Item|Number of units per Trade Item.|Horizontal|Float|1900|Left|200|Left|30|||Active||NULL|48
wmCamerasLensesAgeGroup|Y||3|text||60|1||WMAgeGroupVV||||||||E|N|en|Age Group|General grouping of ages into commonly used demographic labels. Example: Child; Teen; Adult (If you want to submit multiple values, use a semicolon to separate the values. For example – value1;value2;value3. Please enter text with 4000 character max)|Horizontal|Multi_Select_List|8800|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
wmCamerasLensesAttachmentStyle|N|||text||4000|1||||||||||E|N|en|Attachment Style|Example: Screw Mount; Snap-On; Suction Cup (Please enter text with 4000 character max)|Horizontal|Text|6400|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
