dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy
tradeItemGroupIdentification/tradeItemGroupIdentificationCodeReference|N|tradeItemGroupIdentification|100|text||80|1|N|||||||||E|N|en|Trade Item Group Code|A code assigned by the supplier or manufacturer to logically group trade item independently from the Global trade item Classification.|LoopGroup|Text|100|Left|200|Left||||Active||NULL|PIMJR3 Update
wmSwatchImages/wmPhotographySwatchImageUrl|N|wmSwatchImages|3|text||2000|1||||||||||E|N|en|Swatch Image URL|URL of the color or pattern swatch image. This will be shown as a small square on the item page. Recommended resolution is 100 x 100 pixels. URLs must begin with http:// or https://|LoopGroup|Text|200|Left|50|Left|200|||Active||MANDATORY_BEFORE|Walmart_Initial_Load
wmSwatchImages/wmPhotographySwatchVariantAttribute|N|wmSwatchImages|3|text||4000|1||||||||||E|N|en|Swatch Variant Attribute|Attribute name corresponding to the swatch. |LoopGroup|Text|300|Left|50|Left|200|||Active||MANDATORY_BEFORE|Walmart_Initial_Load
wmPhotographyVariantAttributeNames|Y||3|text||4000|1||||||||||E|N|en|Variant Attribute Names|Designate all attributes by which the item is varying. This list may include variants that the category spec has not explicitly identified. <br>Ex: If partner provides data for “Collar Size,” and "Collar Size" is not in the list of valid variants, then input “Collar Size” as a value here.|Horizontal|Text|400|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
wmPhotographyIsPrimaryVariant|N|||boolean|||||||||||||E|N|en|Is Primary Variant|Note whether item is intended as the main variant in a variant grouping.|Horizontal|Boolean|500|Left|200|Left||||Active||NULL|Walmart_Initial_Load
wmPhotographyHasSignalBooster|N|||boolean|||||||||||||E|N|en|Has Signal Booster|Denotes if any portion of the item has a signal booster. This information will be displayed on the item page. |Horizontal|Boolean|600|Left|200|Left||||Active||MANDATORY_BEFORE|Walmart_Initial_Load
wmPhotographyHasWirelessMicrophone|N|||boolean|||||||||||||E|N|en|Has Wireless Microphone|Denotes if any portion of the item has a wireless microphone. This information will be displayed on the item page. |Horizontal|Boolean|700|Left|200|Left||||Active||MANDATORY_BEFORE|Walmart_Initial_Load
brandName|N|||text||70|1|N|||||||||E|N|en|Brand Name|The brand name for the product recognized by the consumer.|Horizontal|Text|800|Left|200|Left|40|||Active||MANDATORY_BEFORE|1.5.2CTX;
wmPhotographyFactoryId|N|||integer||12|1||||||||||E|N|en|Factory ID|Required for Private Label brands. See accompanying private-label brand list.|Horizontal|Integer|900|Left|200|Left||||Active||NULL|Walmart_Initial_Load
manufacturer|N||||||||||||||||E|N|en|Manufacturer Link|Party name and identification information for the manufacturer of the trade item.|Horizontal|FLEX_POPUP|1000|Left|200|Left||||Active||NULL|MJR3
alternateItemIdentification/id|N|alternateItemIdentification|100|text||80|1|N|||||||||E|N|en|Alternate Item Identification|An alternate item number is allowed, but not required.|LoopGroup|Text|1100|Left|200|Left||||Active||NULL|PI15501_QA01
alternateItemIdentification/agency|N|alternateItemIdentification|100|text||60|1|N|AlternateItemIdentificationAgency_hub||||||||E|N|en|Alternate Item Identification Agency|1SYNC Item Management allows an alternate maintenance agency (for example for an internal manufacturing number).|LoopGroup|DropDown|1200|Left|200|Left||||Active||NULL|PI15501_QA01
partyInRole|N||||||||||||||||E|N|en|Party In Role Link|The identification of a party, by GLN, in a specific party role.|Horizontal|FLEX_POPUP|1300|Left|283|Left||||Active||NULL|MJR3
wmPhotographyManufacturerPartNumber|N|||text||4000|1||||||||||E|N|en|Manufacturer Part Number|MPN uniquely identifies the product to its manufacturer. For many products this will be identical to the model number. Some manufacturers distinguish part number from model number.|Horizontal|Text|1400|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
color/description|N|color|100|text||80|1|Y|||||||||E|N|en|Product Color Description|Free text description of the color of the trade item. Type/Size Occurrence Lang Specific|LoopGroup|Text|1500|Left|200|Left||||Active||NULL|PI15501_QA01
color/code|N|color|100|text||40|1|N|||||||||E|N|en|Color Info Code|Indicates the color of the trade item in this field.|LoopGroup|Text|1600|Left|200|Left||||Active||NULL|PI15501_QA01
color/agency|N|color|100|text||80|1|N|ColorCodeMaintAgency_hub||||||||E|N|en|Color Code Maintenance Agency|The party responsible for maintaining the color code list used for the "Color" field.|LoopGroup|Dropdown|1700|Left|200|Left||||Active||NULL|PI15501_QA01
wmPhotographyMaterial|Y||3|text||4000|1||||||||||E|N|en|Material|Material makeup of the item. Fabric materials should be entered using the "Fabric Content" attribute. |Horizontal|Text|1800|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
unitsPerTradeItem|Y||100|float|15|15|15|||M|uom|text||5|2|uom|E|N|en|Units Per Trade Item|Number of units per Trade Item.|Horizontal|Float|1900|Left|200|Left|30|||Active||NULL|48
wmPhotographyIsPersonalizable|N|||boolean|||||||||||||E|N|en|Is Personalizable|Denotes if the item can be customized in some way, including engraved, embroidered, stamped, etched, etc. |Horizontal|Boolean|2000|Left|200|Left||||Active||NULL|Walmart_Initial_Load
wmPhotographyIsPortable|N|||boolean|||||||||||||E|N|en|Is Portable|Is the item portable?|Horizontal|Boolean|2100|Left|200|Left||||Active||NULL|Walmart_Initial_Load
wmPhotographyRecommendedUses|Y||3|text||4000|1||||||||||E|N|en|Recommended Uses|Further clarification of what is the item may be used for.|Horizontal|Text|2200|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
avp/indoorOutdoorUse|N|||text||70|1|N|||||||||E|N|en|Indoor/Outdoor Use|indoorOutdoorUse<br>Qualifier: AVP433<br>Describes the location where the user is most likely to use the product.|Horizontal|Text|2300|Left|200|Left||||Active||NULL|AVP
avp/additionalFeaturesOrIncludedAccessories|N|||text||250|1|N|||||||||E|N|en|Additional Features Or Included Accessories|additionalFeaturesOrIncludedAccessories<br>Qualifier: AVP129<br>Additional features or included accessories that are very product specific that are not covered by any other general attribute. This is a Free Form text, be specific as possible.|Horizontal|Text|2400|Left|200|Left||||Active||NULL|AVP
avp/isWeatherProof|N|||boolean|||||||||||||E|N|en|Is Weather Proof?|isWeatherProof<br>Qualifier: AVP480<br>Indicates whether or not the product can be left out in the rain, snow, etc.|Horizontal|Boolean|2500|Left|200|Left||||Active||NULL|AVP
avp/isWaterResistant|N|||boolean|||||||||||||E|N|en|Is Water Resistant?|isWaterResistant<br>Qualifier: AVP479<br>Indicates whether or not the ink is water resistant.|Horizontal|Boolean|2600|Left|200|Left||||Active||NULL|AVP
wmPhotographyCleaningCareAndMaintenance|N|||text||4000|1||||||||||E|N|en|Cleaning, Care & Maintenance|Description of how the item should be cleaned and maintained. (Please enter text with 4000 character max)|Horizontal|Text|2700|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
isAssemblyRequired|N|||boolean|||||||||||||E|N|en|Assembly Required|Indicates that the Items in the package need to be assembled for use.|Horizontal|Boolean|2800|Left|200|Left||||Active||NULL|150
wmPhotographyAssemblyInstructions|N|||text||2000|1||||||||||E|N|en|Assembly Instructions|URL location showing assembly instructions for items requiring assembly.  |Horizontal|Text|2900|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
areBatteriesRequired|N|||boolean|||||||||||||E|N|en|Are Batteries Required?|Indicates if batteries are required to operate the item.|Horizontal|Boolean|3000|Left|200|Left||||Active||NULL|160
areBatteriesIncluded|N|||boolean|||||||||||||E|N|en|Are Batteries Included?|Indicates if batteries are either included or not included with the game.|Horizontal|Boolean|3100|Left|200|Left||||Active||NULL|159; PI152_QA09
avp/batterySize|N|||text||70|1|N|||||||||E|N|en|Battery Size|batterySize<br>Qualifier: AVP776<br>Indicates the size of the battery.|Horizontal|Text|3200|Left|200|Left||||Active||NULL|AVP
avp/hasTouchScreen|N|||boolean|||||||||||||E|N|en|Has Touch Screen?|hasTouchScreen<br>Qualifier: AVP410<br>Indicates whether or not the product has a touch screen.|Horizontal|Boolean|3300|Left|200|Left||||Active||NULL|AVP
wmPhotographyWirelessTechnologies|Y||3|text||4000|1||||||||||E|N|en|Wireless Technologies|Any wireless communications standard used within or by the item.|Horizontal|Text|3400|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
subBrand|N|||text||70|1|N|||||||||E|N|en|Sub Brand|Second level of the brand name (e.g. Colgate Optic White – Colgate = brand name, Optic White is the sub-brand).|Horizontal|Text|3500|Left|200|Left|40|||Active||NULL|1.5.2CTX;
wmPhotographyCompatibleDevices|Y||3|text||4000|1||||||||||E|N|en|Compatible Devices|A list of the devices compatible with the item. |Horizontal|Text|3600|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
avp/connectorType|N|||text||70|1|N|||||||||E|N|en|Connector Type|connectorType<br>Qualifier: AVP206<br>Indicates the type of connector.|Horizontal|Text|3700|Left|200|Left||||Active||NULL|AVP
wmPhotographyRecordableMediaFormats|Y||3|text||4000|1||||||||||E|N|en|Recordable Media Formats|The recording technologies compatible with the item. |Horizontal|Text|3800|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
wmPhotographyMemoryCardType|Y||3|text||4000|1||||||||||E|N|en|Memory Card Type|Please enter the text (If you want to submit multiple values, use a semicolon to separate the values. For example – value1;value2;value3. Please enter text with 4000 character max)|Horizontal|Text|3900|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
wmInputsAndOutputs/wmPhotoAccessoriesInputOutputType|N|wmInputsAndOutputs|3|text||4000|1||||||||||E|N|en|Input/Output Type|Type of connection.|LoopGroup|Text|4000|Left|200|Left|200|||Active||MANDATORY_BEFORE|Walmart_Initial_Load
wmInputsAndOutputs/wmPhotoAccessoriesInputOutputQuantity|N|wmInputsAndOutputs|3|integer||7|1||||||||||E|N|en|Input/Output Quantity|The standardized connector design used by the item and number of connections corresponding to the Input/Output type. |LoopGroup|Integer|4100|Left|200|Left||||Active||NULL|Walmart_Initial_Load
wmPhotoAccessoriesHardOrSoftCase|N|||boolean|||||||||||||E|N|en|Hard or Soft Case|Indicates whether a case is a hard or soft.|Horizontal|Boolean|4200|Left|200|Left||||Active||NULL|Walmart_Initial_Load
wmPhotoAccessoriesIsRemoteControlIncluded|N|||boolean|||||||||||||E|N|en|Is Remote Control Included|Is a remote control included with the item?|Horizontal|Boolean|4300|Left|200|Left||||Active||NULL|Walmart_Initial_Load
wmPhotoAccessoriesWirelessTechnologies|Y||3|text||4000|1||||||||||E|N|en|Wireless Technologies|Any wireless communications standard used within or by the item.|Horizontal|Text|4400|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
wmPhotoAccessoriesHasBluetooth|N|||boolean|||||||||||||E|N|en|Has Bluetooth|Does the product item wireless communication compatibility with the Bluetooth standard?|Horizontal|Boolean|4500|Left|200|Left||||Active||NULL|Walmart_Initial_Load
avp/isCordless|N|||boolean|||||||||||||E|N|en|Is Cordless?|isCordless<br>Qualifier: AVP446<br>Indicates whether or not the product is wireless; basically powered by battery.|Horizontal|Boolean|4600|Left|200|Left||||Active||NULL|AVP
wmPhotoAccessoriesCapacity|N|||text||4000|1||||||||||E|N|en|Capacity|Please enter the text (Please enter text with 4000 character max)|Horizontal|Text|4700|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
avp/displayScreenType|Y||3|text||70|1|N|||||||||E|N|en|Display Screen Type|displayScreenType<br>Qualifier: AVP218<br>Describes the type of display the product projects.|Horizontal|Text|4800|Left|200|Left||||Active||NULL|AVP
wmPhotoAccessoriesCondition|N|||text||4000|1||||||||||E|N|en|Condition|Condition is the state of something esp. with regard to its appearance, quality, or working order.|Horizontal|Text|4900|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
wmPhotoAccessoriesLightBulbType|N|||text||4000|1||||||||||E|N|en|Light Bulb Type|Example: Incandescent; Halogen;  LED (Please enter text with 4000 character max)|Horizontal|Text|5000|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
wmPhotoAccessoriesLightOutput|N|||integer||400|1|||M|uom|text||60|1|WMBrightnessUOMVV|E|N|en|Light Output|Example: 1100; 1600 (Please select a value from the drop-down below)|Horizontal|Integer|5100|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
