dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy
tradeItemGroupIdentification/tradeItemGroupIdentificationCodeReference|N|tradeItemGroupIdentification|100|text||80|1|N|||||||||E|N|en|Trade Item Group Code|A code assigned by the supplier or manufacturer to logically group trade item independently from the Global trade item Classification.|LoopGroup|Text|100|Left|200|Left||||Active||NULL|PIMJR3 Update
wmSwatchImages/wmToolsHardwareSwatchImageUrl|N|wmSwatchImages|3|text||2000|1||||||||||E|N|en|Swatch Image URL|URL of the color or pattern swatch image. This will be shown as a small square on the item page. Recommended resolution is 100 x 100 pixels. URLs must begin with http:// or https://|LoopGroup|Text|200|Left|50|Left|200|||Active||MANDATORY_BEFORE|Walmart_Initial_Load
wmSwatchImages/wmToolsHardwareSwatchVariantAttribute|N|wmSwatchImages|3|text||4000|1||||||||||E|N|en|Swatch Variant Attribute|Attribute name corresponding to the swatch. |LoopGroup|Text|300|Left|50|Left|200|||Active||MANDATORY_BEFORE|Walmart_Initial_Load
wmToolsHardwareVariantAttributeNames|Y||3|text||4000|1||||||||||E|N|en|Variant Attribute Names|Designate all attributes by which the item is varying. This list may include variants that the category spec has not explicitly identified. <br>Ex: If partner provides data for “Collar Size,” and "Collar Size" is not in the list of valid variants, then input “Collar Size” as a value here.|Horizontal|Text|400|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
wmToolsHardwareIsPrimaryVariant|N|||boolean|||||||||||||E|N|en|Is Primary Variant|Note whether item is intended as the main variant in a variant grouping.|Horizontal|Boolean|500|Left|200|Left||||Active||NULL|Walmart_Initial_Load
brandName|N|||text||70|1|N|||||||||E|N|en|Brand Name|The brand name for the product recognized by the consumer.|Horizontal|Text|600|Left|200|Left|40|||Active||MANDATORY_BEFORE|PI173_IM711_Aug01
wmToolsHardwareFactoryId|N|||integer||12|1||||||||||E|N|en|Factory ID|Required for Private Label brands. See accompanying private-label brand list.|Horizontal|Integer|700|Left|200|Left||||Active||NULL|Walmart_Initial_Load
manufacturer|N||||||||||||||||E|N|en|Manufacturer Link|Party name and identification information for the manufacturer of the trade item.|Horizontal|FLEX_POPUP|800|Left|200|Left||||Active||NULL|DeCA phase 2
partyInRole|N||||||||||||||||E|N|en|Party In Role Link|The identification of a party, by GLN, in a specific party role.|Horizontal|FLEX_POPUP|900|Left|205|Left||||Active||NULL|MJR3
color/description|N|color|100|text||80|1|Y|||||||||E|N|en|Product Color Description|Free text description of the color of the trade item. Type/Size Occurrence Lang Specific|LoopGroup|Text|1000|Left|200|Left||||Active||NULL|PI15501_QA01
color/code|N|color|100|text||40|1|N|||||||||E|N|en|Color Info Code|Indicates the color of the trade item in this field.|LoopGroup|Text|1100|Left|200|Left||||Active||NULL|PI15501_QA01
color/agency|N|color|100|text||80|1|N|ColorCodeMaintAgency_hub||||||||E|N|en|Color Code Maintenance Agency|The party responsible for maintaining the color code list used for the "Color" field.|LoopGroup|Dropdown|1200|Left|200|Left||||Active||NULL|PI15501_QA01
wmToolsHardwareMaterial|Y||3|text||4000|1||||||||||E|N|en|Material|Material makeup of the item. Fabric materials should be denoted using the "Fabric Content" attribute. |Horizontal|Text|1300|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
avp/additionalFeaturesOrIncludedAccessories|N|||text||250|1|N|||||||||E|N|en|Additional Features Or Included Accessories|additionalFeaturesOrIncludedAccessories<br>Qualifier: AVP129<br>Additional features or included accessories that are very product specific that are not covered by any other general attribute. This is a Free Form text, be specific as possible.|Horizontal|Text|1400|Left|200|Left||||Active||NULL|AVP
unitsPerTradeItem|Y||100|float|15|15|15|||M|uom|text||5|2|uom|E|N|en|Units Per Trade Item|Number of units per Trade Item.|Horizontal|Float|1500|Left|200|Left|30|||Active||NULL|48
wmToolsHardwareRecommendedUses|Y||3|text||4000|1||||||||||E|N|en|Recommended Uses|Further clarification of what is the item may be used for.|Horizontal|Text|1600|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
wmToolsHardwareIsIndustrial|N|||boolean|||||||||||||E|N|en|Is Industrial|Indicates that an item can be used in an industrial setting or has an industrial application.|Horizontal|Boolean|1700|Left|200|Left||||Active||NULL|Walmart_Initial_Load
avp/isWeatherProof|N|||boolean|||||||||||||E|N|en|Is Weather Proof?|isWeatherProof<br>Qualifier: AVP480<br>Indicates whether or not the product can be left out in the rain, snow, etc.|Horizontal|Boolean|1800|Left|200|Left||||Active||NULL|AVP
avp/isWaterResistant|N|||boolean|||||||||||||E|N|en|Is Water Resistant?|isWaterResistant<br>Qualifier: AVP479<br>Indicates whether or not the ink is water resistant.|Horizontal|Boolean|1900|Left|200|Left||||Active||NULL|AVP
wmToolsHardwareIsFireResistant|N|||boolean|||||||||||||E|N|en|Is Fire-Resistant|Example: Y; N (Please select a value from the drop-down below)|Horizontal|Boolean|2000|Left|200|Left||||Active||NULL|Walmart_Initial_Load
wmToolsHardwareCleaningCareAndMaintenance|N|||text||4000|1||||||||||E|N|en|Cleaning, Care & Maintenance|Description of how the item should be cleaned and maintained. (Please enter text with 4000 character max)|Horizontal|Text|2100|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
avp/shape|N|||text||70|1|N|||||||||E|N|en|Shape|shape<br>Qualifier: AVP649<br>Indicates the shape of the product.|Horizontal|Text|2200|Left|200|Left||||Active||NULL|AVP
wmPlumbingHVACIsEnergyGuideLabelRequired|N|||boolean|||||||||||||E|N|en|Is Energy Guide Label Required|Denotes whether the label is required for the item. The FTC’s Appliance Labeling Rule requires retailers to display energy cost information for certain refrigerators, freezers, furnaces, televisions, clothes washers, dishwashers, water heaters, pool heaters, and room air conditioners.|Horizontal|Boolean|2300|Left|200|Left||||Active||MANDATORY_BEFORE|Walmart_Initial_Load
wmPlumbingHVACEnergyGuideLabel|N|||text||2000|1||||||||||E|N|en|Energy Guide Label|URL of an image of the energy guide label. |Horizontal|Text|2400|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
avp/furnitureStyle|Y||2|text||70|1|N|||||||||E|N|en|Furniture Style|furnitureStyle<br>Qualifier: AVP248<br>Describes the style of the furniture.|Horizontal|Text|2500|Left|200|Left||||Active||NULL|AVP
wmPlumbingHVACMountType|Y||3|text||4000|1||||||||||E|N|en|Mount Type|How the item is mounted.|Horizontal|Text|2600|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
avp/fuelType|Y||2|text||70|1|N|||||||||E|N|en|Fuel Type|fuelType<br>Qualifier: AVP245<br>Indicates the type of fuel consumed to opperate the unit.|Horizontal|Text|2700|Left|200|Left||||Active||NULL|AVP
wmPlumbingHVACPowerType|N|||text||4000|1||||||||||E|N|en|Power Type|Provides information on the exact type of power used by the item. Example: Electric; Batteries (Please enter text with 4000 character max)|Horizontal|Text|2800|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
avp/bTURating|N|||integer||8|1||||||||||E|N|en|BTU Rating|bTURating<br>Qualifier: AVP162<br>British Thermal Unit; describes the unit's output rating.|Horizontal|Integer|2900|Left|200|Left||||Active||NULL|AVP
wmPlumbingHVACMaximumRoomSize|N|||integer||400|1|||M|uom|text||60|1|WMInSqFtUOMVV|E|N|en|Maximum Room Size|Indicates the maximum room size that can be comfortably climate controlled, as measured in square feet. |Horizontal|Integer|3000|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
wmPlumbingHVACHasCeeCertification|N|||boolean|||||||||||||E|N|en|Has CEE Certification|Example: Y; N (Please select a value from the drop-down below)|Horizontal|Boolean|3100|Left|200|Left||||Active||NULL|Walmart_Initial_Load
wmPlumbingHVACCeeTier|N|||text||60|1||WMCEETierVV||||||||E|N|en|CEE Tier|Example: CEE Tier I; Cee Tier III (Please select a value from the drop-down below)|Horizontal|Dropdown|3200|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
