dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy
areBatteriesIncluded|N|||boolean|||||||||||||E|N|en|Are Batteries Included?|Indicates if batteries are either included or not included with the game.|Horizontal|Boolean|3700|Left|200|Left||||Active||NULL|159; PI152_QA09
areBatteriesRequired|N|||boolean|||||||||||||E|N|en|Are Batteries Required?|Indicates if batteries are required to operate the item.|Horizontal|Boolean|3600|Left|200|Left||||Active||NULL|160
avp/additionalFeaturesOrIncludedAccessories|N|||text||250|1|N|||||||||E|N|en|Additional Features Or Included Accessories|additionalFeaturesOrIncludedAccessories<br>Qualifier: AVP129<br>Additional features or included accessories that are very product specific that are not covered by any other general attribute. This is a Free Form text, be specific as possible.|Horizontal|Text|1400|Left|200|Left||||Active||NULL|AVP
avp/batterySize|N|||text||70|1|N|||||||||E|N|en|Battery Size|batterySize<br>Qualifier: AVP776<br>Indicates the size of the battery.|Horizontal|Text|3800|Left|200|Left||||Active||NULL|AVP
avp/capacityQuantity|N|||float|7|14|7||||||||||E|N|en|Capacity Quantity|capacityQuantity<br>Qualifier: AVP190<br>Generally defines how much the product can hold. The values are in reference to the appliance capacity in Cubic feet.|Horizontal|Float|8400|Left|200|Left||||Active||NULL|AVP
avp/cordLength|N|||integer||4|1||||||||||E|N|en|Cord Length|cordLength<br>Qualifier: AVP211<br>Indicates the length of the cord attached to the product.|Horizontal|Integer|3200|Left|200|Left||||Active||NULL|AVP
avp/fuelType|Y||2|text||70|1|N|||||||||E|N|en|Fuel Type|fuelType<br>Qualifier: AVP245<br>Indicates the type of fuel consumed to opperate the unit.|Horizontal|Text|2700|Left|200|Left||||Active||NULL|AVP
avp/isWaterResistant|N|||boolean|||||||||||||E|N|en|Is Water Resistant?|isWaterResistant<br>Qualifier: AVP479<br>Indicates whether or not the ink is water resistant.|Horizontal|Boolean|1900|Left|200|Left||||Active||NULL|AVP
avp/isWeatherProof|N|||boolean|||||||||||||E|N|en|Is Weather Proof?|isWeatherProof<br>Qualifier: AVP480<br>Indicates whether or not the product can be left out in the rain, snow, etc.|Horizontal|Boolean|1800|Left|200|Left||||Active||NULL|AVP
avp/shape|N|||text||70|1|N|||||||||E|N|en|Shape|shape<br>Qualifier: AVP649<br>Indicates the shape of the product.|Horizontal|Text|2200|Left|200|Left||||Active||NULL|AVP
brandName|N|||text||70|1|N|||||||||E|N|en|Brand Name|The brand name for the product recognized by the consumer.|Horizontal|Text|600|Left|200|Left|40|||Active||MANDATORY_BEFORE|1.5.2CTX;
