dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy
tradeItemGroupIdentification/tradeItemGroupIdentificationCodeReference|N|tradeItemGroupIdentification|100|text||80|1|N|||||||||E|N|en|Trade Item Group Code|A code assigned by the supplier or manufacturer to logically group trade item independently from the Global trade item Classification.|LoopGroup|Text|100|Left|200|Left||||Active||NULL|PIMJR3 Update
wmSwatchImages/wmVehicleSwatchImageUrl|N|wmSwatchImages|3|text||2000|1||||||||||E|N|en|Swatch Image URL|URL of the color or pattern swatch image. This will be shown as a small square on the item page. Recommended resolution is 100 x 100 pixels. URLs must begin with http:// or https://|LoopGroup|Text|200|Left|50|Left|200|||Active||MANDATORY_BEFORE|Walmart_Initial_Load
wmSwatchImages/wmVehicleSwatchVariantAttribute|N|wmSwatchImages|3|text||4000|1||||||||||E|N|en|Swatch Variant Attribute|Attribute name corresponding to the swatch. |LoopGroup|Text|300|Left|50|Left|200|||Active||MANDATORY_BEFORE|Walmart_Initial_Load
wmVehicleVariantAttributeNames|Y||3|text||4000|1||||||||||E|N|en|Variant Attribute Names|Designate all attributes by which the item is varying. This list may include variants that the category spec has not explicitly identified.<br>Ex: If partner provides data for “Collar Size,” and "Collar Size" is not in the list of valid variants, then input “Collar Size” as a value here.|Horizontal|Text|400|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
wmVehicleIsPrimaryVariant|N|||boolean|||||||||||||E|N|en|Is Primary Variant|Note whether item is intended as the main variant in a variant grouping.|Horizontal|Boolean|500|Left|200|Left||||Active||NULL|Walmart_Initial_Load
brandName|N|||text||70|1|N|||||||||E|N|en|Brand Name|The brand name for the product recognized by the consumer.|Horizontal|Text|600|Left|200|Left|40|||Active||MANDATORY_BEFORE|1.5.2CTX;
wmVehicleFactoryId|N|||integer||12|1||||||||||E|N|en|Factory ID|Required for Private Label brands. See accompanying private-label brand list.|Horizontal|Integer|700|Left|200|Left||||Active||NULL|Walmart_Initial_Load
manufacturer|N||||||||||||||||E|N|en|Manufacturer Link|Party name and identification information for the manufacturer of the trade item.|Horizontal|FLEX_POPUP|800|Left|200|Left||||Active||NULL|MJR3
alternateItemIdentification/id|N|alternateItemIdentification|100|text||80|1|N|||||||||E|N|en|Alternate Item Identification|An alternate item number is allowed, but not required.|LoopGroup|Text|900|Left|200|Left||||Active||NULL|PI15501_QA01
alternateItemIdentification/agency|N|alternateItemIdentification|100|text||60|1|N|AlternateItemIdentificationAgency_hub||||||||E|N|en|Alternate Item Identification Agency|1SYNC Item Management allows an alternate maintenance agency (for example for an internal manufacturing number).|LoopGroup|DropDown|1000|Left|200|Left||||Active||NULL|PI15501_QA01
partyInRole|N||||||||||||||||E|N|en|Party In Role Link|The identification of a party, by GLN, in a specific party role.|Horizontal|FLEX_POPUP|1100|Left|301|Left||||Active||NULL|MJR3
wmVehicleManufacturerPartNumber|N|||text||4000|1||||||||||E|N|en|Manufacturer Part Number|MPN uniquely identifies the product to its manufacturer. For many products this will be identical to the model number. Some manufacturers distinguish part number from model number.|Horizontal|Text|1200|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
color/description|N|color|100|text||80|1|Y|||||||||E|N|en|Product Color Description|Free text description of the color of the trade item. Type/Size Occurrence Lang Specific|LoopGroup|Text|1300|Left|200|Left||||Active||NULL|PI15501_QA01
color/code|N|color|100|text||40|1|N|||||||||E|N|en|Color Info Code|Indicates the color of the trade item in this field.|LoopGroup|Text|1400|Left|200|Left||||Active||NULL|PI15501_QA01
color/agency|N|color|100|text||80|1|N|ColorCodeMaintAgency_hub||||||||E|N|en|Color Code Maintenance Agency|The party responsible for maintaining the color code list used for the "Color" field.|LoopGroup|Dropdown|1500|Left|200|Left||||Active||NULL|PI15501_QA01
wmVehicleMaterial|Y||3|text||4000|1||||||||||E|N|en|Material|Material makeup of the item. Fabric materials should be entered using the "Fabric Content" attribute. Example: Nickel; Metal; Plastic (If you want to submit multiple values, use a semicolon to separate the values. For example – value1;value2;value3. Please enter text with 4000 character max)|Horizontal|Text|1600|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
wmVehicleCondition|N|||text||4000|1||||||||||E|N|en|Condition|For refurbished items; used for non-perishables Example: New; Used; Refurbished (Please enter text with 4000 character max)|Horizontal|Text|1700|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
wmVehiclePartsAccessoriesCompatibleDevices|Y||3|text||4000|1||||||||||E|N|en|Compatible Devices|A list of the devices compatible with the item. Example: iPad; Tablet Computers; CD Players; GPS; Desktop Computers; Blu-ray players; DVD Players (If you want to submit multiple values, use a semicolon to separate the values. For example – value1;value2;value3. Please enter text with 4000 character max)|Horizontal|Text|1800|Left|200|Left|200|||Active||MANDATORY_BEFORE|Walmart_Initial_Load
wmVehiclePartsAccessoriesForm|N|||text||4000|1||||||||||E|N|en|Form|Describes the way the item is dispensed or consumed, including its texture or other physical characteristics. Example: Spray; Foam; Cream; Gel; Tablet; Suppository (Please enter text with 4000 character max)|Horizontal|Text|1900|Left|200|Left|200|||Active||MANDATORY_BEFORE|Walmart_Initial_Load
avp/fuelType|Y||2|text||70|1|N|||||||||E|N|en|Fuel Type|fuelType<br>Qualifier: AVP245<br>Indicates the type of fuel consumed to opperate the unit.|Horizontal|Text|2000|Left|200|Left||||Active||MANDATORY_BEFORE|AVP
wmVehiclePartsAccessoriesPowerType|N|||text||4000|1||||||||||E|N|en|Power Type|Provides information on the exact type of power used by the item. Example: Electric; Batteries (Please enter text with 4000 character max)|Horizontal|Text|2100|Left|200|Left|200|||Active||MANDATORY_BEFORE|Walmart_Initial_Load
wmVehiclePartsAccessoriesIsReusable|N|||boolean|||||||||||||E|N|en|Is Reusable|Indicates the item can be used more than once. Example: Y; N (Please select a value from the drop-down below)|Horizontal|Boolean|2200|Left|200|Left||||Active||MANDATORY_BEFORE|Walmart_Initial_Load
avp/shape|N|||text||70|1|N|||||||||E|N|en|Shape|shape<br>Qualifier: AVP649<br>Indicates the shape of the product.|Horizontal|Text|2300|Left|200|Left||||Active||MANDATORY_BEFORE|AVP
wmVehiclePartsAccessoriesWirelessTechnologies|Y||3|text||4000|1||||||||||E|N|en|Wireless Technologies|Any wireless communications standard used within or by the item. Example: Bluetooth; 802.11a; 5.8 GHz; 802.11g; 900 Mhz; Wi-Fi; 2.4GHz; None; 802.11b; 802.11n (If you want to submit multiple values, use a semicolon to separate the values. For example – value1;value2;value3. Please enter text with 4000 character max)|Horizontal|Text|2400|Left|200|Left|200|||Active||MANDATORY_BEFORE|Walmart_Initial_Load
wmVehiclePartsAccessoriesVehicleMake|N|||text||4000|1||||||||||E|N|en|Vehicle Make|Please enter the text (Please enter text with 4000 character max)|Horizontal|Text|2500|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
wmVehiclePartsAccessoriesVehicleModel|N|||text||4000|1||||||||||E|N|en|Vehicle Model|Please enter the text (Please enter text with 4000 character max)|Horizontal|Text|2600|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
