dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy
wmCategory|N|||text||60|1||WMCategorySubCategoryVV||||||||E|N|en|Category|Category|Horizontal|Dropdown|100|Left|200|Left||||Active||MANDATORY_BEFORE|Walmart_Initial_Load
showCategorySpecValues|N||||||||||||||||E|N|en|Category Specific Attribute Information|Attributes that are related to the Category of a product can be found in this popup screen.|Horizontal|STATIC_LINK|200|Left|200|Left||||Active||NULL|Walmart_Initial_Load
wmRootLongDescription|N||100|text||4000|1|N|||||||||E|N|en|Long Description|Complete description that will be displayed on the item page as a bulleted list. Enter the item's key features, benefits, and other<br>notables, each on its own line. Use HTML to create the headings, line breaks, and bulleted list. Example: - Fabric content<br><br>- Features and/or attributes related to the product as a whole, such as pattern, fabric, etc.)<br><br>- Neckline<br><br>- Sleeves<br><br>- Fit<br><br>- Additional details (any info on tag)<br> <br>- Hem details<br><br>- Bonus item/accessory, if applicable<br> <br>- Care instructions (Please enter text with 4000 character max)|Horizontal|Text|300|Left|200|Left|200|||Active||MANDATORY_BEFORE|Walmart_Initial_Load
wmRootShelfDescription|N|||text||116|1|N|||||||||E|N|en|Shelf Description|Abbreviated list of key item features in no more than three bullet points. This is viewable in search, category, and shelf pages.|Horizontal|Text|400|Left|200|Left||||Active||NULL|Walmart_Initial_Load
shortDescription|Y|||text||35|1|||M|lang|text||5|1|StandardLanguageCodes_hub|E|N|en|Short Description / POS Desc|A short textual description associated with the product. This description can be used on the cash register receipt. This is the first line of the description.|Horizontal|Text|500|Left|200|Left||||Active||MANDATORY_BEFORE|89; PI52_QA15; PI152_QA21
productDescription|Y|||text||200|1|N||M|lang|text||5|1|StandardLanguageCodes_hub|E|N|en|Product Description|An understandable and usable description of the product using brand name and other descriptors. This attribute should be populated with as little abbreviation as possible while keeping to a reasonable length.|Horizontal|Text|600|Left|200|Left|100|||Active||MANDATORY_BEFORE|1.5.2CTX; PI152_QA24
wmMainImage/wmRootMainImageURL|N|wmMainImage|3|text||2000|1||||||||||E|N|en|Main Image URL|Location of the image. URLs must begin with http:// or https://|LoopGroup|Text|700|Left|200|Left|200|||Active||MANDATORY_BEFORE|Walmart_Initial_Load
wmMainImage/wmRootAltText|N|wmMainImage|3|text||150|1||||||||||E|N|en|Alt Text|Alternative text of an image, video, or other asset. Use descriptive terms to describe the image.|LoopGroup|Text|800|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
externalFileLink/typeOfInformation|N|externalFileLink|100|text||80|1|N|ReferencedFileTypeCode||||||||E|N|en|Type of Information|Value that identifies the purpose of the information contained in the external file. (e.g. planogram, MSDS sheet).|LoopGroup|Dropdown|900|Left|200|Left|50|||Active||MANDATORY_BEFORE|1.5.2CTX;
externalFileLink/uniformResourceIdentifier|N|externalFileLink|100|text||512|1|N|||||||||E|N|en|Uniform Resource Identifier|Simple text string that refers to a resource on the internet (URLs).|LoopGroup|Text|1000|Left|100|Left|50|||Active||MANDATORY_BEFORE|1.5.2CTX;
externalFileLink/externalFileLinkContentDescription|N|externalFileLink|100|text||70|1|Y|||||||||E|N|en|Link Content Description|Free form description of the content of the file. This attribute is optional.|LoopGroup|Text|1100|Left|200|Left|50|||Active||MANDATORY_BEFORE|PI_1SYNC_ATTR
tradeItemFeatureBenefit|Y||25|text||250|1|||M|lang|text||5|1|StandardLanguageCodes_hub|E|N|en|Feature Benefit|Element for consumer facing marketing content to describe the key features or benefits of the style suitable for display purposes. Needed for marketing to enable product comparison. |Horizontal|Text|1200|Left|200|Left||||Active||NULL|143; PI52_QA19
suggestedRetail/price|N|suggestedRetail|100|float|21|38|21|||M|currency|text||5|1|StandardCurrencyCodes_hub|E|N|en|Suggested Retail Price|The retail (to consumer) price as suggested by the manufacturer. This is normally used to establish a proposed value for the trade item for marketing purposes. May or may not appear on the package. May be used as a guideline by the retailer to establish their actual retail price.|LoopGroup|Float|1300|Left|200|Left|40|||Active||NULL|75; PI152_QA08; PI152_QA09
suggestedRetail/basisPerUnit|N|suggestedRetail|100|float|38|38|15|||M|uom|text||3|1|uom|E|N|en|Suggested Retail Price Basis Per Unit|Indicate the number of units from "Suggested Retail Price".|LoopGroup|Float|1400|Left|200|Left|40|||Active||MANDATORY_BEFORE|543; PI152_QA08; PI152_QA09
suggestedRetail/effectiveStartDate|N|suggestedRetail|100|dateTime|||||||||||||E|N|en|Suggested Retail Price Effective Start Date|The start date of the suggested retail price.|LoopGroup|DateTime|1500|Left|200|Left||||Active||NULL|530; PI152_QA09
avp/suggestedRetailPriceBasisQuantity|N|||float|38|53|15||||||||||E|N|en|Suggested Retail Price Basis Per Unit|Help Not available via Extensible Definitions|Horizontal|Float|1600|Left|200|Left||||Active||MANDATORY_BEFORE|AVP
