dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy
brandName|N|||text||70|1|N|||||||||E|N|en|Brand Name|The brand name for the product recognized by the consumer.|Horizontal|Text|100|Left|200|Left|40|||Active||NULL|1.5.2CTX;
consumerAvailabilityDateTime|N|||dateTime|||||||||||||E|N|en|Consumer Availability Date|The date that the product is available to the consumer.|Horizontal|DateTime|900|Left|200|Left||||Active||NULL|26
consumerPackageDisclaimers/consumerPackageDisclaimer|Y|consumerPackageDisclaimers|100|text||1000|1|||M|lang|text||5|1|StandardLanguageCodes_hub|E|N|en|Package Disclaimers|Consumer package disclaimer|LoopGroup|Text|3000|Left|200|Left|200|||Active||NULL|415; PI52_QA19
countryOfOrigin/countryCode|N|countryOfOrigin|100|text||5|1|N|StandardCountryCodes||||||||E|N|en|Country Of Origin|The countries in which the product has been produced or manufactured.|LoopGroup|DropDown|5600|Left|200|Left||||Active||NULL|PIMJR3 Update
depth|Y||999|float|38|53|15|||M|uom|text||3|1|DimensionsUOM|E|N|en|Depth & UOM|For consumer trade items: The measurement from front to back of the product after the default front is determined (this also applies to non-consumer trade items that go on a retailer shelf – for example, protein bars sold individually but merchandised on the retailer shelf in a carton). For non-consumer trade items: The measurement of the longest side of the base of the product after the natural base is determined.|Horizontal|Float|2000|Left|200|Left||||Active||NULL|1.5.2CTX;
displayDimensions/dimensionDepth|N|displayDimensions|100|float|15|30|15|||M|uom|text||5|2|DimensionsUOM|E|N|en|Dimension Depth|The depth dimension of a trade item under certain display scenarios (Display Dimension Types) when they differ from the standard measurements provided under the Package Measurement Rules.|LoopGroup|Float|2400|Left|200|Left||||Active||NULL|60
displayDimensions/dimensionHeight|N|displayDimensions|100|float|15|30|15|||M|uom|text||5|2|DimensionsUOM|E|N|en|Dimension Height|The height dimension of a trade item under certain display scenarios (Display Dimension Types) when they differ from the standard measurements provided under the Package Measurement Rules.|LoopGroup|Float|2500|Left|200|Left||||Active||NULL|64
displayDimensions/dimensionWidth|N|displayDimensions|100|float|15|30|15|||M|uom|text||5|2|DimensionsUOM|E|N|en|Dimension Width|The width dimension of a trade item under certain display scenarios (Display Dimension Types) when they differ from the standard measurements provided under the Package Measurement Rules.|LoopGroup|Float|2300|Left|200|Left||||Active||NULL|62
functionalName|Y|||text||70|1|N||M|lang|text||5|1|StandardLanguageCodes_hub|E|N|en|Functional Name|Is the "Functional Name" of the trade item. Describes use of the product or service by the consumer. Should help clarify the product classification associated with the GTIN.|Horizontal|Text|300|Left|200|Left||||Active||NULL|1.5.2CTX; PI152_QA24
globalClassificationCategory/code|N|globalClassificationCategory|1|text||8|8|N|||||||||E|N|en|GPC Brick Code|The classification code according to the classification system established by the GDSN and assigned to an item.|LoopGroupVertical|Text|1700|Left|200|Left|8|||Active||NULL|1.5.2CTX;
