dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy
kroPrimaryContactName|N|||text||70|1|N|||||||||R|N|en|Primary Contact Name|Primary contact (Name) from vendor or distributor for the item. Note: Name changed from "Primary Contact for Data Submission Name"|Horizontal|Text|100|Left|200|Left||||Active||NULL|Ref# 141
kroPrimaryContactEmail|N|||text||70|1|N|||||||||R|N|en|Primary Contact Email|Primary contact (Email id) from vendor or distributor for the item.|Horizontal|Text|200|Left|200|Left||||Active||NULL|Ref# 928
kroPrimaryContactPhone|Y||5|text||20|1|N|||||||||R|N|en|Primary Contact Phone|Primary contact (Telephone) from vendor or distributor for the item|Horizontal|Text|300|Left|200|Left||||Active||NULL|Ref# 929
kroCorporateVendorNumber|N|||text||7|1|N|||||||||R|N|en|Kroger Corporate Vendor Number (K#)|Vendor no. used at corporate level. Supplier is equivalent to the Corporate Vendor that is stored in VPS, also referred to as the K#.|Horizontal|Text|400|Left|200|Left|10|||Active||NULL|Ref# 820; PI155_QA01
kroAdditionalContactInfo/kroAdditionalContactName|N|kroAdditionalContactInfo|5|text||100|1||||||||||R|N|en|Additional Contact Name|Identifies an additional contact for the supplier |LoopGroup|Text|500|Left|200|Left||||Active||NULL|PI164_05
kroAdditionalContactInfo/kroAdditionalContactEmail|N|kroAdditionalContactInfo|5|text||254|1||||||||||R|N|en|Additional Contact Email|Identifies the email address of an additional contact for the supplier |LoopGroup|Text|600|Left|200|Left||||Active||NULL|PI164_05
kroAdditionalContactInfo/kroAdditionalContactJobRole|N|kroAdditionalContactInfo|5|text||60|1||KRO_V11991 ||||||||R|N|en|Additional Contact Job Role|Identifies the job role of an additional contact for the supplier |LoopGroup|Dropdown|700|Left|200|Left||||Active||NULL|PI164_05
kroAdditionalContactInfo/kroAdditionalContactCompanyName|N|kroAdditionalContactInfo|5|text||100|1||||||||||R|N|en|Additional Contact Company Name|Identifies the company name of an additional contact for the supplier|LoopGroup|Text|800|Left|200|Left||||Active||NULL|PI164_05
kroRequestorOfItem|N|||text||150|1||||||||||R|N|en|Requestor of  Item|Item requestor - who has requested the item in the first place.|Horizontal|Text|900|Left|200|Left||||Active||NULL|PI1512_03
kroPlantLineNumber|Y||100|text||6|1||||||||||R|N|en|Plant Line Number|The line number assigned to the item in a plant.|Horizontal|Text|1000|Left|200|Left||||Active||NULL|PI1510_01; PI1512_05
kroEventType|N|kroEvents||text||60|1|N|KRO_V10921||||||||R|N|en|Event Type|Describes the Kroger Event Type. Example: Sales Plan|Vertical|Dropdown|1100|Left|300|Left|20|||Active||NULL|Ref #; PI1571_01; PI1571_03; PI1512_05
kroEventDescription|N|kroEvents||text||250|1|N|||||||||R|N|en|Kroger Event Description|Description of the Kroger event corresponding to the event code.|Vertical|Text|1200|Left|300|Left|60|||Active||NULL|Ref# 1; PI1571_03
kroItemSubmissionReasonCode|N|kroEvents||text||60|1|N|KRO_V10566||||||||R|N|en|Kroger Item Submission Reason Code|Identify the reason code for sending item to Venus/PID|Vertical|Dropdown|1300|Left|300|Left|20|||Active||NULL|Ref# 499; PRODINTRO-1110; PI152_QA24; PI1571_03,PI3(0812_bharter)
kroEventSubmissonStartDate|N|kroEvents||date|||||||||||||R|N|en|Kroger Event Submission Start Date|The start date of the time period in which the event corresponding to the event code can be submitted to Kroger.|Vertical|Date|1400|Left|300|Left|50|||Active||NULL|Ref# 5; PI1571_03
kroEventSubmissionEndDate|N|kroEvents||date|||||||||||||R|N|en|Kroger Event Submission End Date|The end date of the time period in which the event corresponding to the event code has to be submitted to Kroger.|Vertical|Date|1500|Left|300|Left|50|||Active||NULL|Ref# 4; PI1571_03
kroEventStartDate|N|kroEvents||date|||||||||||||R|N|en|Kroger Event Start Date|The date the actual Kroger event starts.|Vertical|Date|1600|Left|300|Left|50|||Active||NULL|Ref# 3; PI1571_03
kroEventEndDate|N|kroEvents||date|||||||||||||R|N|en|Kroger Event End Date|The date the actual Kroger event ends.|Vertical|Date|1700|Left|300|Left|50|||Active||NULL|Ref# 2; PI1571_03
kroDistributorName|Y||500|text||200|1||KRO_V12862||||||||R|N|en|Distributor Name|Select the name of the distributor(s) that are involved in the distribution of the product. Upon submission these distributors will be requested by Kroger to complete the Distributor  Maintenance Form (DMF) for this item.  If your distributor is not on the list, please select "other" and provided the distributors name, contact name and contact e-mail address.|Horizontal|Multi_Select_List|1800|Left|200|Left|200|||Active||NULL|PI166_FEB04_FEBCR,(Bharter)PI11.x Appendix B
