dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy
kroPrimaryContactName|N|||text||70|1|N|||||||||E|N|en|Primary Contact Name|Primary contact (Name) from vendor or distributor for the item. Note: Name changed from "Primary Contact for Data Submission Name"|Horizontal|Text|100|Left|200|Left||||Active||MANDATORY_BEFORE|Ref# 141
kroPrimaryContactEmail|N|||text||70|1|N|||||||||E|N|en|Primary Contact Email|Primary contact (Email id) from vendor or distributor for the item.|Horizontal|Text|200|Left|200|Left||||Active||MANDATORY_BEFORE|Ref# 928
kroPrimaryContactPhone|Y||5|text||20|1|N|||||||||E|N|en|Primary Contact Phone|Primary contact (Telephone) from vendor or distributor for the item|Horizontal|Text|300|Left|200|Left||||Active||MANDATORY_BEFORE|Ref# 929
kroCorporateVendorNumber|N|||text||7|1|N|||||||||E|N|en|Kroger Corporate Vendor Number (K#)|Vendor no. used at corporate level. Supplier is equivalent to the Corporate Vendor that is stored in VPS, also referred to as the K#.|Horizontal|Text|400|Left|200|Left|10|||Active||NULL|Ref# 820; PI155_QA01
kroAdditionalContactInfo/kroAdditionalContactName|N|kroAdditionalContactInfo|5|text||100|1||||||||||E|N|en|Additional Contact Name|Identifies an additional contact for the supplier |LoopGroup|Text|500|Left|200|Left||||Active||NULL|PI164_05
kroAdditionalContactInfo/kroAdditionalContactEmail|N|kroAdditionalContactInfo|5|text||254|1||||||||||E|N|en|Additional Contact Email|Identifies the email address of an additional contact for the supplier |LoopGroup|Text|600|Left|200|Left||||Active||NULL|PI164_05
kroAdditionalContactInfo/kroAdditionalContactJobRole|N|kroAdditionalContactInfo|5|text||60|1||KRO_V11991 ||||||||E|N|en|Additional Contact Job Role|Identifies the job role of an additional contact for the supplier |LoopGroup|Dropdown|700|Left|200|Left||||Active||NULL|PI164_05
kroAdditionalContactInfo/kroAdditionalContactCompanyName|N|kroAdditionalContactInfo|5|text||100|1||||||||||E|N|en|Additional Contact Company Name|Identifies the company name of an additional contact for the supplier|LoopGroup|Text|800|Left|200|Left||||Active||NULL|PI164_05
kroRequestorOfItem|N|||text||150|1||||||||||E|N|en|Requestor of  Item|Item requestor - who has requested the item in the first place.|Horizontal|Text|900|Left|200|Left||||Active||NULL|PI1512_03
kroPlantLineNumber|Y||100|text||6|1||||||||||E|N|en|Plant Line Number|The line number assigned to the item in a plant.|Horizontal|Text|1000|Left|200|Left||||Active||NULL|PI1510_01; PI1512_05
kroModelGTINExists|N|||boolean|||||||||||||E|N|en|Model GTIN Exists|Indicates if Kroger carries any item from this manufacturer (or distributor) that can be used as a model. 'No' in this field typically means that you are a new vendor.  FOR ITEM CHANGES:  the "from" GTIN will be used as the Model GTIN.|Horizontal|boolean|1100|Left|200|Left||||Active||NULL|PI1512_04B
kroModelGTIN|N|||text||14|14||||||||||E|N|en|Model GTIN|It is a GTIN (other than the one being requested) that can be used to determine how the requested item will be setup. This model GTIN will be used to determine ship to warehouses, vendor numbers, buyer codes, etc. Ideally the model GTIN is in the department and carried in the divisions for which the vendor is requesting a new item to be setup in.|Horizontal|Text|1200|Left|200|Left||||Active||NULL|PI1512_04B
kroExtendedPaymentTermsFlag|N|||boolean|||||||||||||E|N|en|Extended Payment Terms Flag|Extended Payment Terms Flag|Horizontal|Boolean|1300|Left|200|Left||||Active||NULL|PI1511_02
kroFreeFormCommentsForExtendedTerms|N|||text||300|1||||||||||E|N|en|Free Form Comment for Extended Terms|Free Form Comment for Extended Terms|Horizontal|Text|1400|Left|200|Left||||Active||NULL|PI1511_02
kroInitialTerms|N|||text||150|1||||||||||E|N|en|Initial Terms|Financial accounting payment terms for the item (i.e. cash terms) |Horizontal|Text|1500|Left|200|Left||||Active||NULL|PI1511_05; PI1512_03
kroComment|N|||text||1000|1|N|||||||||E|N|en|Supplier Comments|Description of what the item is meant to be used for - initial deal, net content, details for procured corp brand items, buyer communication etc.|Horizontal|Text|1600|Left|200|Left||||Active||NULL|PI1511_05C
kroDistributorName|Y||500|text||200|1||KRO_V12862||||||||E|N|en|Distributor Name|Select the name of the distributor(s) that are involved in the distribution of the product. Upon submission these distributors will be requested by Kroger to complete the Distributor  Maintenance Form (DMF) for this item.  If your distributor is not on the list, please select "other" and provided the distributors name, contact name and contact e-mail address.|Horizontal|Multi_Select_List|1700|Left|200|Left|200|||Active||NULL|PI166_FEB04_FEBCR,(Bharter)PI11.x Appendix B
kroDistributorContact/kroOtherDistributorName|N|kroDistributorContact|100|text||2000|1||||||||||E|N|en|Other Distributor Name|Upon selection of "other" in the Distributor Name, Other Distributor Name is required. Upon submission this distributor will be requested by Kroger to complete the Distributor Maintenance Form (DMF) for this item.|LoopGroup|Text|1800|Left|200|Left|200|||Active||NULL|PI166_FEB04_FEBCR
kroDistributorContact/kroOtherDistributorContactName|N|kroDistributorContact|100|text||200|1||||||||||E|N|en|Other Distributor Contact Name|Upon entry of an Other Distributor Name, Other Distributor Contact Name is required.|LoopGroup|Text|1900|Left|200|Left|200|||Active||NULL|PI166_FEB04_FEBCR
kroDistributorContact/kroOtherDistributorContactEmail|N|kroDistributorContact|100|text||254|1||||||||||E|N|en|Other Distributor Contact Email|Upon entry of an Other Distributor Name, Other Distributor Contact E-mail is required.|LoopGroup|Text|2000|Left|200|Left|200|||Active||NULL|PI166_FEB04_FEBCR
kroRegions/kroRegionsItemCanBeSuppliedTo|N|kroRegions|999|text||60|1|N|KRO_V10565||||||||E|N|en|Geographic Regions|Kroger regions that the supplier can provide the product to.|LoopGroup|Dropdown|2100|Left|200|Left|20|||Active||NULL|Ref# 907; updated; PI152_QA24; PI153_QA04; PI154_QA13
kroRegions/kroDistributionTypeByRegion|N|kroRegions|999|text||60|1|N|KRO_V10563||||||||E|N|en|Distribution Type by Region|Choose distribution type for the region.|LoopGroup|Dropdown|2200|Left|200|Left|20|||Active||NULL|Ref #; updated; PI152_QA24; PI153_QA04
kroRegions/kroDivision|N|kroRegions|999|text||3|1|N|KroDivisionNameVV||||||||E|N|en|Division|Kroger Banner/ Divisions within Regions that vendor can supply their item to.|LoopGroup|Dropdown|2300|Left|200|Left|20|||Active||NULL|Ref# 1179; NEWGRISSOM; PI152_QA24; PI153_QA04
kroRegions/kroFirstAvailableDateByRegion|N|kroRegions|999|date|||||||||||||E|N|en|First Available Date by Region|First date the product is available by region and distribution channel.|LoopGroup|Date|2400|Left|200|Left||||Active||NULL|Ref# 509; updated; PI153_QA04
kroRegions/kroEndAvailabilityDateByRegion|N|kroRegions|999|date|||||||||||||E|N|en|Kroger End Availability Date|Date until which a one-time-buy item is available by region.|LoopGroup|Date|2500|Left|200|Left||||Active||NULL|Ref# 129; updated; PI153_QA04
kroRegions/kroInitialListCost|N|kroRegions|999|float|7|7|2||||||||||E|N|en|Kroger Dispatch Unit Initial List Cost|Initial list cost to Kroger by region and distribution channel for the Dispatch Unit.|LoopGroup|Float|2600|Left|200|Left|6|||Active||NULL|Ref# 514; updated; PRODINTRO-1101; PI152_QA24; PI153_QA04
kroRegions/kroHierarchyLevelProductType|N|kroRegions|999|text||2|1|N|ProductTypeCodes_hub||||||||E|N|en|Hierarchy Level Product Type|Describes the hierarchical level for these trade items  (e.g. each, case, pallet, etc.).|LoopGroup|Dropdown|2700|Left|200|Left||||Active||NULL|PI158_04; PI159_01
kroRegions/kroInitialPromotionalCost|N|kroRegions|999|float|7|7|2||||||||||E|N|en|Kroger Dispatch Unit  Promotional Cost|The initial promotional cost by region and distribution channel offered by the supplier on the Dispatch Unit.|LoopGroup|Float|2800|Left|200|Left|6|||Active||NULL|Ref# 566; updated; PI152_QA24; PI153_QA04
kroRegions/kroInitialPromotionalCostDetails|N|kroRegions|999|text||1000|1|N|||||||||E|N|en|Cost/Distribution Details|Details about the Cost/Distribution Details.|LoopGroup|Text|2900|Left|200|Left|10|||Active||NULL|Ref# 934; updated; PI152_QA24; PI153_QA04
kroRegions/kroTransportationOptions|Y|kroRegions|999|text||60|1|N|KRO_V10959||||||||E|N|en|Transportation Options|The transportation options availble within this Region/Distribution Type.|LoopGroup|Multi_Select_List|3000|Left|200|Left|20|||Active||NULL|PI152_QA24; PI152_QA25; PI153_QA04
kroRegions/kroRegionOrderLeadTime|N|kroRegions|999|integer||3|1||||||||||E|N|en|Order Lead Time|Time required from order to delivery of the product by the supplier to a Kroger warehouse.|LoopGroup|Integer|3100|Left|200|Left|3|||Active||NULL|PI152_QA24; PI153_QA04
kroRegions/kroRegionOrderLeadTimeUOM|N|kroRegions|999|text||60|1||KRO_V10181||||||||E|N|en|Order Lead Time UOM|The unit of measure for the Order Lead Time.|LoopGroup|Dropdown|3200|Left|200|Left|20|||Active||NULL|PI152_QA24; PI153_QA04
kroRegions/kroRegionGroupCounter|N|kroRegions|999|integer||4|1||||||||||E|N|en|Cnt|Counter|LoopGroup|Integer|3300|Left|200|Left|20|||Active||NULL|PI154_QA07
kroInitialCorpListCost/kroInitialCorporateGTIN|N|kroInitialCorpListCost|999|text||14|1|N|||||||||R|N|en|GTIN|GTIN|LoopGroupRo |Text|3400|Left|20|Left|20|||Active||NULL|PI1512_04B
kroInitialCorpListCost/kroInitialCorporateProductDescription|Y|kroInitialCorpListCost|999|text||200|1|N||M|lang|text||5|1|StandardLanguageCodes_hub|R|N|en|Product Description|A concatenated product description of a product or service. According to GSMP standards this is a derived attribute resulting from the concatenation of 4 other attributes: Brand Name + Sub-brand + Functional Name + Variant. If one of these attributes is blank or not defined, the product description would be built off the attributes that are populated.|LoopGroup|Text|3500|Left|200|Left|100|||Active||NULL|PI1513_04
