dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy
isAssemblyRequired|N|||boolean|||||||||||||E|N|en|Assembly Required|Indicates that the Items in the package need to be assembled for use.|Horizontal|Boolean|100|Left|200|Left||||Active||NULL|150
avp/hasSteamSystem|N|||boolean|||||||||||||E|N|en|Has Steam System?|hasSteamSystem<br>Qualifier: AVP400<br>Indicates whether or not the product has a steam system.|Horizontal|Boolean|200|Left|200|Left||||Active||NULL|AVP
kroFrameMaterialContent|N||1|text||70|1|N|||||||||E|N|en|Frame Material|A construction material used in the indicated part of this product.|Horizontal|Text|300|Left|200|Left||||Active||MANDATORY_BEFORE|101
kroFrameMaterialPercentage|N|||float|5|5|2||||||||||E|N|en|Percentage|A numeric value between 0.00 and 1.00, indicating the percentage of a construction material contributing to a composite, blend, or alloy.|Horizontal|Float|400|Left|200|Left||||Active||NULL|102
kroSeatTubeLengthCentimeters|N|||integer||10|1||||||||||E|N|en|Seat Tube Length|The length of the seat tube on this bicycle.|Horizontal|Integer|500|Left|200|Left||||Active||NULL|373
kroHeadTubeAngle|N|||integer||10|1||||||||||E|N|en|Head Tube Angle|The angle of the head tube on this bicycle.|Horizontal|Integer|600|Left|200|Left||||Active||NULL|374
kroSeatTubeAngle|N|||integer||10|1||||||||||E|N|en|Seat Tube Angle|The angle of the seat tube on this bicycle.|Horizontal|Integer|700|Left|200|Left||||Active||NULL|375
kroChainstayLengthCentimeters|N|||integer||10|1||||||||||E|N|en|Chainstay Length|The length of the chainstay tube on this bicycle.|Horizontal|Integer|800|Left|200|Left||||Active||NULL|376
kroRackMounts|Y||2|text||70|1|N|KroRackMountsVV||||||||E|N|en|Rack Mounts|Text describing each rack mount this bicycle is equipped with.|Horizontal|Multi_Select_List|900|Left|200|Left||||Active||NULL|377; PI152_QA19
kroFrontDerailleur|N||1|text||70|1|N|||||||||E|N|en|Front Derailleur|Text describing the front derailleur this bicycle is equipped with.|Horizontal|Text|1000|Left|200|Left||||Active||NULL|378
kroRearDerailleur|N||1|text||70|1|N|||||||||E|N|en|Rear Derailleur|Text describing the rear derailleur this bicycle is equipped with.|Horizontal|Text|1100|Left|200|Left||||Active||NULL|379
kroCassette|N||1|text||70|1|N|||||||||E|N|en|Bicycle Cassette Brand/Type|Text describing the cassette this bicycle is equipped with.|Horizontal|Text|1200|Left|200|Left||||Active||NULL|380
