dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy
avp/capacityQuantity|N|||float|7|14|7||||||||||E|N|en|Capacity Quantity|capacityQuantity<br>Qualifier: AVP190<br>Generally defines how much the product can hold. The values are in reference to the appliance capacity in Cubic feet.|Horizontal|Float|900|Left|200|Left||||Active||NULL|AVP
avp/capacityQuantityUOM|N|||text||70|1|N|||||||||E|N|en|Capacity Quantity UOM|capacityQuantityUOM<br>Qualifier: AVP191<br>The unit of measurement associated with Capacity Quantity.|Horizontal|Text|1000|Left|200|Left||||Active||NULL|AVP
avp/cleaningMethod|N|||text||70|1|N|||||||||E|N|en|Cleaning Method|cleaningMethod<br>Qualifier: AVP198<br>Indicates the method in which to clean the product.|Horizontal|Text|100|Left|200|Left||||Active||NULL|AVP
avp/hasSelfTimer|N|||boolean|||||||||||||E|N|en|Has Self-timer?|hasSelfTimer<br>Qualifier: AVP389<br>Indicates whether or not the product has a self-timer.|Horizontal|Boolean|300|Left|200|Left||||Active||NULL|AVP
tradeItemFinishDescription|Y|||text||70|1|||M|lang|text||5|1|StandardLanguageCodes_hub|E|N|en|Finish Description|Attribute which defines the outer surface/appearance of the product.|Horizontal|Text|200|Left|200|Left||||Active||NULL|120; PI52_QA19
kroApplianceCapability|Y||100|text||70|1|N|||||||||E|N|en|Appliance Capabilities|Indicates a distinct use to which this product can be applied.|Horizontal|Text|800|Left|200|Left||||Active||NULL|316
kroHasCupOrPotWarmer|N|||boolean|||||||||||||E|N|en|Cup/Pot Warmer|Does this product have a cup or pot warmer?|Horizontal|Boolean|400|Left|200|Left||||Active||NULL|327
kroHasDetachableDripTray|N|||boolean|||||||||||||E|N|en|Detachable Drip Tray|Does this product have a detachable drip tray?|Horizontal|Boolean|500|Left|200|Left||||Active||NULL|328
kroPressureSource|N||1|text||70|1|N|KroPressureSourceVV||||||||E|N|en|Pressure Source|The pressure source used by the cappuccino machine.|Horizontal|Dropdown|600|Left|200|Left||||Active||NULL|329
kroMaximumPumpPressure|N||1|float|15|15|15|N||M|uom|text||30|1|pressureUOM|E|N|en|Maximum Pump Pressure|The maximum operating pressure for the cappuccino machine.|Horizontal|Float|700|Left|200|Left||||Active||NULL|330; PI152_QA09
