dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy
avp/applianceWattage|N|||integer||4|1||||||||||E|N|en|Appliance Wattage|applianceWattage<br>Qualifier: AVP144<br>Identifies the number of watts, in which the product operates efficiently. Measured in Watts.|Horizontal|Integer|2400|Left|200|Left||||Active||NULL|AVP
avp/audioWattsPerChannel|N|||integer||4|1||||||||||E|N|en|Audio Watts Per Channel|audioWattsPerChannel<br>Qualifier: AVP149<br>Indicates the system power for the channels in the audio system. Measured in Watts.|Horizontal|Integer|2100|Left|200|Left||||Active||NULL|AVP
avp/hasCarAdapter|N|||boolean|||||||||||||E|N|en|Has Car Adapter?|hasCarAdapter<br>Qualifier: AVP286<br>Indicates whether or not the product has a car adapter.|Horizontal|Boolean|100|Left|200|Left||||Active||NULL|AVP
avp/hasDetachableSpeakers|N|||boolean|||||||||||||E|N|en|Has Detachable Speakers?|hasDetachableSpeakers<br>Qualifier: AVP748<br>Indicates whether or not the product has speakers that can separate from the main unit.|Horizontal|Boolean|1300|Left|200|Left||||Active||NULL|AVP
avp/quantityOfAudioChannels|N|||text||70|1|N|||||||||E|N|en|Quantity Of Audio Channels|quantityOfAudioChannels<br>Qualifier: AVP561<br>Indicates the product's number of channels for the audio system.|Horizontal|Text|2700|Left|200|Left||||Active||NULL|AVP
avp/quantityOfSpeakers|N|||integer||4|1||||||||||E|N|en|Quantity Of Speakers|quantityOfSpeakers<br>Qualifier: AVP621<br>Indicates the number of speakers included with this product.|Horizontal|Integer|1600|Left|200|Left||||Active||NULL|AVP
avp/speakerType|N|||text||70|1|N|||||||||E|N|en|Speaker Type|speakerType<br>Qualifier: AVP661<br>Describes the speaker style.|Horizontal|Text|1700|Left|200|Left||||Active||NULL|AVP
avp/speakerUse|N|||text||70|1|N|||||||||E|N|en|Speaker Use|speakerUse<br>Qualifier: AVP662<br>Indicates whether the speakers are stationary or can be portable.|Horizontal|Text|1800|Left|200|Left||||Active||NULL|AVP
avp/wooferSize|N|||text||70|1|N|||||||||E|N|en|Woofer Size|wooferSize<br>Qualifier: AVP717<br>Identifies the diameter of the Woofer. Usually tower speaker, not stand alone.|Horizontal|Text|1900|Left|200|Left||||Active||NULL|AVP
avp/wooferSizeUOM|N|||text||70|1|N|||||||||E|N|en|Woofer Size UOM|wooferSizeUOM<br>Qualifier: AVP718<br>The unit of measurement associated with Woofer Size.|Horizontal|Text|2000|Left|200|Left||||Active||NULL|AVP
