dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy
avp/cameraLensOpticalZoom|N|||text||70|1|N|||||||||E|N|en|Camera Lens Optical Zoom|cameraLensOpticalZoom<br>Qualifier: AVP179<br>Indicates the optical zoom on the camera product.|Horizontal|Text|2800|Left|200|Left||||Active||NULL|AVP
avp/cameraLensZoomRange|N|||text||70|1|N|||||||||E|N|en|Camera Lens Zoom Range|cameraLensZoomRange<br>Qualifier: AVP180<br>Indicates the range of the camera lens on the product.|Horizontal|Text|3700|Left|200|Left||||Active||NULL|AVP
avp/displayScreenSize|Y||100|float|15|15|9||||uom|text||3|1|DimensionsUOM|E|N|en|Display/Screen Size|displayScreenSize<br>Qualifier: AVP219<br>Describes the viewable display/screen size of the product. Includes small screen products, includes cameras, etc.|Horizontal|Float|1100|Left|200|Left||||Active||NULL|AVP
avp/displayScreenType|Y||3|text||70|1|N|||||||||E|N|en|Display Screen Type|displayScreenType<br>Qualifier: AVP218<br>Describes the type of display the product projects.|Horizontal|Text|1000|Left|200|Left||||Active||NULL|AVP
avp/fileFormats|Y||10|text||70|1|N|||||||||E|N|en|File Formats|fileFormats<br>Qualifier: AVP771<br>Describes the types of files the product supports.|Horizontal|Text|3800|Left|200|Left||||Active||NULL|AVP
avp/filmSpeed|N|||integer||4|1||||||||||E|N|en|Film Speed|filmSpeed<br>Qualifier: AVP235<br>Indicates the film speed.|Horizontal|Integer|3300|Left|200|Left||||Active||NULL|AVP
avp/hasCarAdapter|N|||boolean|||||||||||||E|N|en|Has Car Adapter?|hasCarAdapter<br>Qualifier: AVP286<br>Indicates whether or not the product has a car adapter.|Horizontal|Boolean|100|Left|200|Left||||Active||NULL|AVP
avp/hasGPS|N|||boolean|||||||||||||E|N|en|Has GPS?|hasGPS<br>Qualifier: AVP322<br>Indicates whether or not the product has GPS cabability. GPS means Global Positioning System and uses satellites and a receiver to provide a global position.|Horizontal|Boolean|2400|Left|200|Left||||Active||NULL|AVP
avp/hasTouchScreen|N|||boolean|||||||||||||E|N|en|Has Touch Screen?|hasTouchScreen<br>Qualifier: AVP410<br>Indicates whether or not the product has a touch screen.|Horizontal|Boolean|2500|Left|200|Left||||Active||NULL|AVP
avp/imageSensorType|N|||text||70|1|N|||||||||E|N|en|Image Sensor Type|imageSensorType<br>Qualifier: AVP430<br>What type of image sensor does this product Utilize? These are electronic chips that sense the image coming from the lens.|Horizontal|Text|4100|Left|200|Left||||Active||NULL|AVP
avp/imageStabilizationType|Y||2|text||70|1|N|||||||||E|N|en|Image Stabilization Type|imageStabilizationType<br>Qualifier: AVP431<br>Describes the product's type of image stabilization.|Horizontal|Text|4000|Left|200|Left||||Active||NULL|AVP
avp/lensType|Y||3|text||70|1|N|||||||||E|N|en|Lens Type|lensType<br>Qualifier: AVP483<br>Describes the type of lens that the product contains.|Horizontal|Text|3600|Left|200|Left||||Active||NULL|AVP
avp/networkingTechnologyType|Y||3|text||70|1|N|||||||||E|N|en|Networking Technology Type|networkingTechnologyType<br>Qualifier: AVP521<br>Describes the product's type of networking technology.|Horizontal|Text|1500|Left|200|Left||||Active||NULL|AVP
avp/quantityOfMegapixels|N|||float|7|14|7||||||||||E|N|en|Quantity Of Megapixels|quantityOfMegapixels<br>Qualifier: AVP593<br>Indicates the megapixel size of, which the product takes photographs.|Horizontal|Float|2600|Left|200|Left||||Active||NULL|AVP
avp/recordingFormatType|N|||text||70|1|N|||||||||E|N|en|Recording Format Type|recordingFormatType<br>Qualifier: AVP631<br>Indicates the recording format of the product.|Horizontal|Text|3900|Left|200|Left||||Active||NULL|AVP
avp/softwareTypesIncluded|Y||3|text||70|1|N|||||||||E|N|en|Software Types Included|softwareTypesIncluded<br>Qualifier: AVP654<br>Indicates the software types included with the product.|Horizontal|Text|2200|Left|200|Left||||Active||NULL|AVP
avp/hasBuiltInBattery|N|||boolean|||||||||||||E|N|en|Has Built In Battery?|hasBuiltInBattery<br>Qualifier: AVP829<br>Indicates whether the Product has a Built in Battery rather than Replaceable Battery.|Horizontal|Boolean|200|Left|200|Left||||Active||NULL|AVP
avp/requiredPowerSupplyWattage|N|||float|5|7|2||||||||||E|N|en|Required Power Supply Wattage|requiredPowerSupplyWattage<br>Indicates the minimum required power supply wattage from the computer system power supply required to operate the product.|Horizontal|Float|1900|Left|200|Left||||Active||NULL|AVP
kroBatterySize|N||1|text||70|1|N|KroBatterySizeVV||||||||E|N|en|Battery Size|Indicates the size of the battery.|Horizontal|Dropdown|300|Left|200|Left||||Active||NULL|157; PI152_QA09
areBatteriesIncluded|N|||boolean|||||||||||||E|N|en|Are Batteries Included?|Indicates if batteries are either included or not included with the game.|Horizontal|Boolean|400|Left|200|Left||||Active||NULL|159; PI152_QA09
areBatteriesRequired|N|||boolean|||||||||||||E|N|en|Are Batteries Required?|Indicates if batteries are required to operate the item.|Horizontal|Boolean|500|Left|200|Left||||Active||NULL|160
batteryTypeInformation/batteryTechnologyType|Y|batteryTypeInformation|100|text||70|1|N|BatteryTechnologyTypeCodeList||||||||E|N|en|Battery Technology Type|Describes the type of battery technology used by this device.|LoopGroup|Multi_Select_List|600|Left|200|Left||||Active|O|NULL|519; PI152_QA09
batteryTypeInformation/quantityOfBatteriesBuiltIn|N|batteryTypeInformation|100|integer||6|1||||||||||E|N|en|Qty of Batteries Built In|The number of batteries included with and built into the trade item during manufacturing which cannot be changed or removed.|LoopGroup|Integer|700|Left|200|Left||||Active|O|NULL|546
batteryTypeInformation/quantityOfBatteriesRequired|N|batteryTypeInformation|100|integer||6|1||||||||||E|N|en|Qty of Batteries Reqd|quantityOfBatteriesRequired<br>Qualifier: ENT009<br>The number of batteries required to operate the trade item.|LoopGroup|Integer|800|Left|200|Left||||Active|O|NULL|161; PI52_QA15
batteryTypeInformation/batteryWeight|N|batteryTypeInformation|100|float|23|53|15|||M|uom|text||3|1|MassUOM|E|N|en|Battery Weight|The weight of each battery included with or built into the trade item.|LoopGroup|Float|900|Left|200|Left||||Active|O|NULL|547
kroBatteryLife|N|||integer||4|1||||||||||E|N|en|Battery Life|How long the battery lasts.|Horizontal|Integer|2000|Left|200|Left||||Active||NULL|194; PI152_QA10
kroBatteryLifeUOM|N|||text||70|1|N|KroBatteryLifeUOMVV||||||||E|N|en|Battery Life UOM|Unit of Measure for Battery Life|Horizontal|Dropdown|2100|Left|200|Left||||Active||NULL|195; PI152_QA10
kroDisplayResolution|N|||text||30|1|N|KroDisplayResolutionVV||||||||E|N|en|Display Resolution|The display resolution of a television or computer display. This typically refers to the number of distinct pixels in each dimension that can be displayed.|Horizontal|Dropdown|1200|Left|200|Left||||Active||NULL|172; PI152_QA09
kroAudioVisualConnection/kroConnectionType|N|kroAudioVisualConnection|100|text||70|1|N|KroConnectionTypeVV||||||||E|N|en|Connection Type|The types of Standard or Basic Connection Types that are available expressed as a code.|LoopGroup|Dropdown|1600|Left|60|Left||||Active||NULL|180
