dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy
foodAndBevPreparationInfo|N||||||||||||||||E|N|en|Food And Bev Preparation Info Link|Food And Bev Preparation Info Link|Horizontal|FLEX_POPUP|1000|Left|200|Left||||Active||NULL|DeCA phase 2
nutrientInformation|N||||||||||||||||E|N|en|Nutrient Information Link|Nutrient Information Link|Horizontal|FLEX_POPUP|300|Left|200|Left||||Active||NULL|1.5.2CTX;
foodAndBevDietTypeInfo|N||||||||||||||||E|N|en|Diet Types Link|Diet Types Link|Horizontal|FLEX_POPUP|500|Left|200|Left||||Active||NULL|DeCA phase 2
krogerOrganicClaim/kroOrganicClaimAgencyCode|Y|krogerOrganicClaim|100|text||80|1|N|KRO_V10243||||||||E|N|en|Organic Claim Agency|A governing body that creates and maintains standards related to organic products.|LoopGroup|Multi_Select_List|1200|Left|200|Left||||Active||NULL|PI166_FEB04_FEBCR,PI3.0(bharter)
krogerOrganicClaim/kroOrganicTradeItemCode|N|krogerOrganicClaim|100|text||60|1|N|KRO_V10259||||||||E|N|en|Organic Trade Item Code|Used to indicate the organic status of a trade item or of one or more of its components.|LoopGroup|Dropdown|1300|Left|200|Left||||Active||NULL|PIMJR3 Update,PI3.0(bharter)
healthClaimCode|Y||100|text||80|1|N|HealthClaimCode||||||||E|N|en|Health Claims|Free text field for any health claims according to regulations of the target market.|Horizontal|Multi_Select_List|100|Left|200|Left||||Active||NULL|PIMJR3 Update
kroRegionOfOrigin|Y||100|text||70|1|N|||||||||E|N|en|Region of Origin|Indication of sub region of origin of the trade item.|Horizontal|Text|200|Left|200|Left||||Active||NULL|r
dietTypeDescription|Y|||text||70|1|||M|lang|text||5|1|StandardLanguageCodes_hub|E|N|en|Diet Type Description|dietTypeDescription<br>Qualifier: FNB007<br>Free text for indication of diet not stated in the list of diets.|Horizontal|Text|600|Right|200|Left||||Active||NULL|MJR3
numberOfServingsPerPackage|N|||float|15|15|1||||||||||E|N|en|Number Of Servings Per Package|The total number of servings contained in the package.|Horizontal|Float|400|Left|200|Left||||Active||NULL|276
kroBaseIngredient|N||1|text||70|1|N|KroBaseIngredientVV||||||||E|N|en|Base Ingredient(s)|The base item a product contains that provides the basic flavor profile.|Horizontal|Dropdown|1100|Left|200|Left||||Active||NULL|274: PI159_04; PI1514_01
