dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy
kroLastManufacturerUpdateDateTime|N|||dateTime|||||||||||||E|N|en|Last Update Date|The last date and time at which the manufacturer modified this item's data.|Horizontal|DateTime|100|Left|200|Left||||Active||NULL|534; PI152_QA24
kroCompatibility|Y||100|text||255|1|N|||||||||E|N|en|Compatibility|Free text-field describing compatibility specifications for this product.|Horizontal|Text|200|Left|200|Left||||Active||NULL|344
avp/publisherName|N|||text||70|1|N|||||||||E|N|en|Publisher Name|IM: publisherName, GDSN: publisherName<br>The publisher of the book.|Horizontal|Text|300|Left|200|Left||||Active||NULL|AVP
audioVisualMediaProductTitle|N|||text||200|1||||||||||E|N|en|Product Title|Title of the audio visual media product.|Horizontal|Text|400|Right|200|Left||||Active||NULL|MJR3
ageRangeDescription|Y|||text||70|1|N||M|lang|text||5|1|StandardLanguageCodes_hub|E|N|en|Player Age Range|Description of the recommended age range of participating players.|Horizontal|Text|500|Left|200|Left||||Active||NULL|566; PI153_QA03
minimumNumberOfPlayers|N|||integer||6|1||||||||||E|N|en|Min # of Players|Minimum number of players that can participate in the game.|Horizontal|Integer|600|Left|200|Left||||Active||NULL|569
maximumNumberOfPlayers|N|||integer||6|1||||||||||E|N|en|Max # of Players|Maximum number of players that can participate in the game.|Horizontal|Integer|700|Left|200|Left||||Active||NULL|578
minimumPlayerAge|N|||integer||3|1||||||||||E|N|en|Min Player Age|Recommended oldest age for a player participating in the game.|Horizontal|Integer|800|Left|200|Left||||Active||NULL|570
maximumPlayerAge|N|||integer||3|1||||||||||E|N|en|Max Player Age|Recommended oldest age for a player participating in the game.|Horizontal|Integer|900|Left|200|Left||||Active||NULL|579
kroPublicationTitleRating/kroRatingContentDescriptor|Y|kroPublicationTitleRating|50|text||70|1|||M|lang|text||5|1|StandardLanguageCodes_hub|E|N|en|Rating Content Description|Indicate elements in the trade item that may trigger a particular rating and/or may be of interest or concern to the consumer.|LoopGroup|Text|1000|Left|200|Left|30|||Active||NULL|555; PI52_QA19
kroPublicationTitleRating/kroTitleRating|N|kroPublicationTitleRating|50|text||35|1|N|KroTitleRatingVV||||||||E|N|en|Title Rating|A rating assigned to the title by a country, industry or volunteer organization that may be of interest or concern to the consumer.|LoopGroup|Dropdown|1100|Left|150|Left|20|||Active||MANDATORY_BEFORE|345; PI154_QA14
kroPublicationTitleRating/kroTitleRatingEntity|N|kroPublicationTitleRating|50|text||35|1|N|KroTitleRatingEntityVV||||||||E|N|en|Title Rating Entity|The name of the country, industry or volunteer organization that has rated the title and has provided the rating content descriptor.|LoopGroup|Dropdown|1200|Left|150|Left|20|||Active||MANDATORY_BEFORE|346; PI154_QA14
kroProductGenre|N||1|text||70|1|N|KroGenreVV||||||||E|N|en|Genre|The code of the genre for this electronic games trade item. The genre is a categorization of the trade item based upon the content and maintained for marketing and merchandising purposes.|Horizontal|Dropdown|1300|Left|200|Left||||Active||MANDATORY_BEFORE|348
kroPublicationDate|N||1|dateTime|||||||||||||E|N|en|Publication Date|The date of publication.|Horizontal|DateTime|1400|Left|200|Left||||Active||MANDATORY_BEFORE|350
avp/operatingSystem|Y||5|text||70|1|N|||||||||E|N|en|Operating System|operatingSystem<br>Qualifier: AVP527<br>Indicates the type of operating system which is installed on the machine or, which type of operating system the peripheral is compatible with.|Horizontal|Text|1500|Left|200|Left||||Active||NULL|AVP
audioVisualMediaDateInformation/audioVisualMediaDateTypeCode|N|audioVisualMediaDateInformation|100|text||80|1||AudioVisualMediaDateTypeCode||||||||E|N|en|Audio Visual Media Date Type Code|A code specifying the type of date for audio or visual media products for example release date.|LoopGroup|DropDown|1600|Right|200|Left||||Active|O|NULL|MJR3
audioVisualMediaDateInformation/audioVisualMediaDateTime|N|audioVisualMediaDateInformation|100|datetime|||||||||||||E|N|en|Audio Visual Media Date|The date for audio or visual media products for example release date.|LoopGroup|DateTime|1700|Right|200|Left||||Active|O|NULL|MJR3
audioVisualMediaContentInformation|N||||||||||||||||E|N|en|Audio Visual Media Content Information|Information on the media included in the package for the purposes of storing the software, games, music, films.|Horizontal|FLEX_POPUP|1800|Left|200|Left||||Active||NULL|MJR3
