dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy
mclGeneralInfoBanner|N||||||||||||||||E|N|en|General Information|General Information|Banner|Label|100|Left|200|Left||||Active||NULL|added to IM 6.5 - McLane, added PI 1.2.1 superuser
mclShortDescription/mclProductTypeOfShortDescription|N|mclShortDescription|100|text||2|1|N|ProductTypeCodes_hub||||||||R|N|en|Product Type|Describes the hierarchical level of the trade item.|LoopGroupRo |Text|200|Left|100|Left||||Active||NULL|added to IM 6.5 - McLane, added PI 1.2.1 superuser
mclShortDescription/mclGtinOfShortDescription|N|mclShortDescription|100|text||14|1|N|||||||||R|N|en|GTIN|The Global Trade Item Number is the standard 14-digit number used to identify all trade items in 1SYNC Item Management. For a more detailed definition, refer to the introductory section of this document.|LoopGroupRo |Text|300|Left|20|Left|20|||Active||NULL|added to IM 6.5 - McLane, added PI 1.2.1 superuser
mclShortDescription/mclShortDescription|N|mclShortDescription|100|text||25|1||||||||||E|N|en|Short Description|Free form field that will be sent to mainframe. Mandatory for new items.  Example: MARL BX|LoopGroupRo |Text|400|Left|200|Left|40|||Active||MANDATORY_BEFORE|added to IM 6.5 - McLane, added PI 1.2.1 superuser
mclSize|N|||text||8|1||||||||||R|N|en|Size|Size of retail product. Example: KING|Horizontal|Text|500|Left|200|Left||||Active||NULL|added to IM 6.5 - McLane; PRODINTRO-353 (UAT2)
mclRetailerInfoBanner|N||||||||||||||||E|N|en|Retailer Information|Retailer Information|Banner|Label|600|Left|200|Left||||Active||NULL|added to IM 6.5 - McLane, added PI 1.2.1 superuser
mclBuyerNumber|N|||text||2|1||||||||||E|N|en|Buyer #|Numeric Field.  Example: 45|Horizontal|Text|700|Left|200|Left||||Active||MANDATORY_BEFORE|added to IM 6.5 - McLane; updated prior to mcl load going with PRODINTRO-114, added PI 1.2.1 superuser
mclRequester|N|||text||20|1||||||||||E|N|en|Requestor|McLane person requesting the item|Horizontal|Text|800|Left|200|Left||||Active||MANDATORY_BEFORE|added to IM 6.5 - McLane, added PI 1.2.1 superuser
mclUINDept|N|||text||5|5||||||||||E|N|en|UIN Dept|McLane UIN Dept..  Example: 20606|Horizontal|Text|900|Left|200|Left||||Active||MANDATORY_BEFORE|added to IM 6.5 - McLane, added PI 1.2.1 superuser
mclUINCategory|N|||text||7|7||||||||||E|N|en|UIN Category|Nacs Categories.  Example: 1500050|Horizontal|Text|1000|Left|200|Left||||Active||MANDATORY_BEFORE|added to IM 6.5 - McLane, added PI 1.2.1 superuser
