dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy
swItemMaintIndicator|N|||boolean|||||||||||||R|N|en|Item Maintenance Indicator|Item Maintenance Indicator|Horizontal|Boolean|50|Left|200|Left||||Active||NULL|PI30_IM721_NOV01
swGroup|N||1|text||2|1||SWGroupVV||||||||E|N|en|Group|Group Code is a 2 digit code indicating the high level group the item belongs to.|Horizontal|Dropdown|100|Left|200|Left||||Active||NULL|PI166_IM9819_FEB04
swCategory|N|||text||2|1||||||||||E|N|en|Category|Category Code is a 2 digit code indicating the category the item belongs to within the high level group.|Horizontal|Text|200|Left|200|Left||||Active||NULL|PI166_IM9819_FEB04
swClass|N|||text||2|1||||||||||E|N|en|Class|Class Code is a 2 digit code indicates the class the item belongs to within the category.|Horizontal|Text|300|Left|200|Left||||Active||NULL|PI166_IM9819_FEB04
swSubClass|N|||text||2|1||||||||||E|N|en|Sub Class|Sub-Class Code is a 2 digit code indicates the sub-class the item belongs to within the class.|Horizontal|Text|400|Left|200|Left||||Active||NULL|PI166_IM9819_FEB04
swSubSubClass|N|||text||2|1||||||||||E|N|en|Sub Sub Class|Sub-Sub-Class Code is a 2 digit code indicates the sub-sub-class the item belongs to within the sub-class.|Horizontal|Text|500|Left|200|Left||||Active||NULL|PI166_IM9819_FEB04
swProductionGroupCode|N|||text||2|1||SWProductionGroupCdVV||||||||E|N|en|Production Group Code|Group Code is a 2 digit code indicating the high level group the item belongs to.|Horizontal|Dropdown|600|Left|200|Left||||Active||NULL|PI1514_IM6814_OCT01, PI161_IM6816_FEB07, PI164_IM6818_SEP02
swProductionCategoryCode|N|||text||2|1||||||||||E|N|en|Production Category Code|Category Code is a 2 digit code indicating the category the item belongs to within the high level group.|Horizontal|Text|700|Left|200|Left||||Active||NULL|PI1514_IM6814_OCT01, PI161_IM6816_FEB07, PI164_IM6818_SEP02
swProductionClassCode|N|||text||2|1||uom||||||||E|N|en|Production Class Code|Class Code is a 2 digit code indicates the class the item belongs to within the category.|Horizontal|Text|800|Left|200|Left||||Active||NULL|PI1514_IM6814_OCT01, PI161_IM6816_FEB07, PI164_IM6818_SEP02
swVendorName|N|||text||40|1||||||||||R|N|en|Vendor Name|Vendor Name|Horizontal|Text|900|Left|200|Left||||Active||NULL|PI1514_IM6814_OCT01
swVendorNumber|N|||text||6|6||||||||||R|N|en|Vendor Number|6-digit vendor number. Add leading zeros if needed.|Horizontal|Text|1000|Left|200|Left||||Active||NULL|PI1514_IM6814_OCT01, PIKR-51129
swReasonForSubmission|N|||text||70|1||SWReasonforSubmissionVV||||||||R|N|en|Reason for Submission|Reason for Submission|Horizontal|Dropdown|1100|Left|200|Left||||Active||NULL|PI1514_IM6814_OCT01
swNewItemType|N|||text||70|1||SWNewItemTypeVV||||||||R|N|en|New Item Type|The specific type of new item being submitted.|Horizontal|Dropdown|1200|Left|200|Left||||Active||NULL|PI1514_IM6814_OCT01
swIsItemOneTimeBuy|N|||boolean|||||||||||||R|N|en|Is this item a One Time Buy?|Items available for a limited time. Typically the item is only ordered once. (e.g. cereal with packaging promoting an upcoming movie release)|Horizontal|Boolean|1300|Left|200|Left||||Active||NULL|PI1514_IM6814_OCT01
swItemUsageType|N|||text||70|1||SWItemUsageTypeVV||||||||R|N|en|Item Usage Type|How the item will be used at retail.|Horizontal|Dropdown|1400|Left|200|Left||||Active||NULL|PI1514_IM6814_OCT01
swIsManufacturedForSeasonalEvents|N|||boolean|||||||||||||R|N|en|Is this item manufactured for Seasonal events only?|If the item will be in stock for a single, specific season.|Horizontal|Boolean|1500|Left|200|Left||||Active||NULL|PI1514_IM6814_OCT01
swSeasonName|N|||text||70|1||SWSeasonVV||||||||R|N|en|Season Name|Season Name|Horizontal|Dropdown|1600|Left|200|Left||||Active||NULL|PI1514_IM6814_OCT01
swProductRecoveryAuthorization|N|||text||70|1||SWProductRecoveryAuthVV||||||||R|N|en|Product Recovery Authorization (PRC)|A 3rd party location that receives items that can no longer be sold to retail customers.|Horizontal|Dropdown|1700|Left|200|Left||||Active||NULL|PI1514_IM6814_OCT01, PI167_IM6820_MAY01
swWarehouseDistributionBannerStart|N||||||||||||||||R|N|en|Warehouse Distribution|Warehouse Distribution|Banner|Label|1800|Left|200|Left||||Active||NULL|Start_End banners used for collapsible controllers.  PI1515_IM6815_NOV02
swUPCLikeWHGroup/swDistributeLikeEANUCCUPC|N|swUPCLikeWHGroup|999|text||12|1||||||||||R|N|en|Selected UPC Code|Please choose a CIC or UPC for an existing item that has distribution that the new item should replicate.|LoopGroupRo|Text|1900|Left|200|Left||||Active||NULL|PI1514_IM6814_OCT01
swUPCLikeWHGroup/swDistributeLikeCIC|N|swUPCLikeWHGroup|999|text||8|1||||||||||R|N|en|Selected Corporate Item Code|Corporate Item Code where Distribution details (Facility,Vendor,WIM Sub) will be copied|LoopGroupRo|Text|2000|Left|200|Left||||Active||NULL|PI1514_IM6814_OCT01
