dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy
swItemMaintIndicator|N|||boolean|||||||||||||R|N|en|Item Maintenance Indicator|Item Maintenance Indicator|Horizontal|Boolean|50|Left|200|Left||||Active||NULL|PI30_IM721_NOV01
swIsNational|N|||boolean|||||||||||||E|N|en|Is National?|Indicates if the item is to be routed to the National Merchandising Team|Horizontal|Boolean|100|Left|200|Left||||Active||NULL|PI167_May_PI9.4
swGroup|N||1|text||2|1||SWGroupVV||||||||E|N|en|Group|Group Code is a 2 digit code indicating the high level group the item belongs to.|Horizontal|Dropdown|200|Left|200|Left||||Active||MANDATORY_BEFORE|PI166_IM9819_FEB04
swCategory|N|||text||2|1||||||||||E|N|en|Category|Category Code is a 2 digit code indicating the category the item belongs to within the high level group.|Horizontal|Text|300|Left|200|Left||||Active||MANDATORY_BEFORE|PI166_IM9819_FEB04
swClass|N|||text||2|1||||||||||E|N|en|Class|Class Code is a 2 digit code indicates the class the item belongs to within the category.|Horizontal|Text|400|Left|200|Left||||Active||MANDATORY_BEFORE|PI166_IM9819_FEB04
swSubClass|N|||text||2|1||||||||||E|N|en|Sub Class|Sub-Class Code is a 2 digit code indicates the sub-class the item belongs to within the class.|Horizontal|Text|500|Left|200|Left||||Active||MANDATORY_BEFORE|PI166_IM9819_FEB04
swSubSubClass|N|||text||2|1||||||||||E|N|en|Sub Sub Class|Sub-Sub-Class Code is a 2 digit code indicates the sub-sub-class the item belongs to within the sub-class.|Horizontal|Text|600|Left|200|Left||||Active||MANDATORY_BEFORE|PI166_IM9819_FEB04
swProductionGroupCode|N|||text||2|1||SWProductionGroupCdVV||||||||E|N|en|Production Group Code|Group Code is a 2 digit code indicating the high level group the item belongs to.|Horizontal|Dropdown|700|Left|200|Left||||Active||NULL|PI30_IM721_NOV01
swProductionCategoryCode|N|||text||2|1||||||||||E|N|en|Production Category Code|Category Code is a 2 digit code indicating the category the item belongs to within the high level group.|Horizontal|Text|800|Left|200|Left||||Active||NULL|PI30_IM721_NOV01
swProductionClassCode|N|||text||2|1||uom||||||||E|N|en|Production Class Code|Class Code is a 2 digit code indicates the class the item belongs to within the category.|Horizontal|Text|900|Left|200|Left||||Active||NULL|PI30_IM721_NOV01
swVendorName|N|||text||40|1||||||||||E|N|en|Vendor Name|Vendor Name|Horizontal|Text|1000|Left|200|Left||||Active||MANDATORY_BEFORE|PI1514_IM6814_OCT01
swVendorNumber|N|||text||6|6||||||||||E|N|en|Vendor Number|6-digit vendor number. Add leading zeros if needed.|Horizontal|Text|1100|Left|200|Left||||Active||MANDATORY_BEFORE|PI1514_IM6814_OCT01, PIKR-51129
swVendorContact|N|||text||40|1||||||||||E|N|en|Vendor Contact|Vendor Contact|Horizontal|Text|1200|Left|200|Left||||Active||MANDATORY_BEFORE|PI1514_IM6814_OCT01
swVendorContactPhoneNumber|N|||text||20|1||||||||||E|N|en|Vendor Contact Phone Number|Vendor Contact Phone Number|Horizontal|Text|1300|Left|200|Left||||Active||MANDATORY_BEFORE|PI1514_IM6814_OCT01
swVendorEmail|N|||text||256|1||||||||||E|N|en|Vendor Email|Enter the email address of the main account representative. This address will receive email notifications when the item has been submitted, accepted or declined and when a CIC has been assigned.|Horizontal|Text|1400|Left|200|Left||||Active||MANDATORY_BEFORE|PI153_IM6813_OCT01
swVendorContactExtension|N|||text||20|1||||||||||E|N|en|Vendor Contact Extension|Vendor Contact Extension|Horizontal|Text|1500|Left|200|Left||||Active||NULL|PI1514_IM6814_OCT01
swSecondaryInternalContact|N|||text||40|1||||||||||E|N|en|Secondary Internal Contact (Albertsons)|Secondary Internal Contact (Albertsons)|Horizontal|Text|1600|Left|200|Left||||Active||NULL|PI1514_IM6814_OCT01, PI165_IM6818_DEC06
swVendorAddress|N|||text||256|1||||||||||E|N|en|Vendor Address|Vendor Address|Horizontal|Text|1700|Left|200|Left||||Active||NULL|PI1514_IM6814_OCT01
swSecondaryVendorContact|N|||text||40|1||||||||||E|N|en|Secondary Vendor Contact|Secondary Vendor Contact|Horizontal|Text|1800|Left|200|Left||||Active||NULL|PI1514_IM6814_OCT01
swSecondaryVendorContactPhoneNumber|N|||text||20|1||||||||||E|N|en|Secondary Vendor Contact Phone Number|Secondary Vendor Contact Phone Number|Horizontal|Text|1900|Left|200|Left||||Active||NULL|PI1514_IM6814_OCT01
swSecondaryVendorContactEmail|N|||text||256|1||||||||||E|N|en|Secondary Vendor Contact Email|Secondary Vendor Contact Email|Horizontal|Text|2000|Left|200|Left||||Active||NULL|PI1514_IM6814_OCT01
swBrokerContact|N|||text||40|1||||||||||E|N|en|Broker Contact|Broker Contact|Horizontal|Text|2100|Left|200|Left||||Active||NULL|PI1514_IM6814_OCT01
swBrokerContactPhoneNumber|N|||text||20|1||||||||||E|N|en|Broker Contact Phone Number|Broker Contact Phone Number|Horizontal|Text|2200|Left|200|Left||||Active||NULL|PI1514_IM6814_OCT01
swBrokerEmail|N|||text||256|1||||||||||E|N|en|Broker E-Mail|Broker E-Mail|Horizontal|Text|2300|Left|200|Left||||Active||NULL|PI1514_IM6814_OCT01
swReasonForSubmission|N|||text||70|1||SWReasonforSubmissionVV||||||||E|N|en|Reason for Submission|Reason for Submission|Horizontal|Dropdown|2400|Left|200|Left||||Active||MANDATORY_BEFORE|PI1514_IM6814_OCT01
swCurrentCorporateItemCode|N|||text||8|1||||||||||E|N|en|Current Corporate Item Code (CIC)|Required for existing CICs or UPCs that are going through a pack change or size change|Horizontal|Text|2500|Left|200|Left||||Active||NULL|PI1514_IM6814_OCT01, PI164_IM6818_SEP02
swIsItemWavPullPlug|N|||boolean|||||||||||||E|N|en|Is Item Being Submitted for a Wave or New Item Cut In?|Contact Merchandising if unsure.|Horizontal|Boolean|2600|Left|200|Left||||Active||MANDATORY_BEFORE|PI1514_IM6814_OCT01, PI165_IM6818_DEC06, PI167_May_PI9.4
swWaveOrResetCycle|N|||text||70|1||SWWavePnPVV||||||||E|N|en|Wave or New Item Cut In Cycle|Contact Merchandising if unsure.|Horizontal|Dropdown|2700|Left|200|Left||||Active||NULL|PI1514_IM6814_OCT01, PI165_IM6818_DEC06, PI171_May_PI9.4
swNewItemType|N|||text||70|1||SWNewItemTypeVV||||||||E|N|en|New Item Type|The specific type of new item being submitted.|Horizontal|Dropdown|2800|Left|200|Left||||Active||MANDATORY_BEFORE|PI1514_IM6814_OCT01
swOpenStockCorporateItemCode|N|||integer||8|1||||||||||E|N|en|Open Stock Corporate Item Code (CIC) for Bonus Pack|Open stock items with an additional feature. (e.g. 20% more free, free toothbrush with toothpaste).|Horizontal|Integer|2900|Left|200|Left||||Active||NULL|PI1514_IM6814_OCT01
swIsItemOneTimeBuy|N|||boolean|||||||||||||E|N|en|Is this item a One Time Buy?|Items available for a limited time. Typically the item is only ordered once. (e.g. cereal with packaging promoting an upcoming movie release)|Horizontal|Boolean|3000|Left|200|Left||||Active||MANDATORY_BEFORE|PI1514_IM6814_OCT01
swItemUsageType|N|||text||70|1||SWItemUsageTypeVV||||||||E|N|en|Item Usage Type|How the item will be used at retail.|Horizontal|Dropdown|3100|Left|200|Left||||Active||MANDATORY_BEFORE|PI1514_IM6814_OCT01
swIsManufacturedForSeasonalEvents|N|||boolean|||||||||||||E|N|en|Is this item manufactured for Seasonal events only?|If the item will be in stock for a single, specific season.|Horizontal|Boolean|3200|Left|200|Left||||Active||MANDATORY_BEFORE|PI1514_IM6814_OCT01
swSeasonName|N|||text||70|1||SWSeasonVV||||||||E|N|en|Season Name|Season Name|Horizontal|Dropdown|3300|Left|200|Left||||Active||NULL|PI1514_IM6814_OCT01
swIsThisItemWERCSEligible|N|||boolean|||||||||||||R|N|en|Is this item WERCs eligible?|Does this item meet any of the following criteria: (1) Contains chemicals or pesticides, (2) Is packaged in an aerosol can, (3) Classified as an OTC Drug or Nutritional Supplement, (4) Is or contains a battery or light bulb, (5) Contains alcohol 24% by volume or greater, (6) Is any other products that may be considered Hazardous Waste upon disposal due to corrosivity, ignitability, reactivity, or toxicity, or (7) Any product that contains a circuit board.|Horizontal|Boolean|3400|Left|200|Left||||Active||NULL|PI1514_IM6814_OCT01,PI163_IM6818_JUN03, PI166_IM6819_FEB01
swWERCSRegistration|N|||boolean|||||||||||||R|N|en|WERCS Registration|Item is registered with WERCs.|Horizontal|Boolean|3500|Left|200|Left||||Active||NULL|PI1514_IM6814_OCT01,PI163_IM6818_JUN03, PI166_IM6819_FEB01
swWERCSReleaseToSafewayApproval|N|||boolean|||||||||||||R|N|en|WERCS Released to Albertsons?|Vendor has authorized WERCS to release the analysis of the item to Albertsons.|Horizontal|Boolean|3600|Left|200|Left||||Active||NULL|PI1514_IM6814_OCT01,PI163_IM6818_JUN03, PI164_IM6818_SEP03, PI165_IM6818_DEC06, PI166_IM6819_FEB01
swWERCSEligibility|N|||boolean|||||||||||||R|N|en|WERCs Eligibility|Merchandising Confirmation of Supplier WERCS response|Horizontal|Boolean|3700|Left|200|Left||||Active||NULL|PI1514_IM6814_OCT01,PI163_IM6818_JUN03, PI165_IM6818_DEC06
swRequestToOverrideWERCSValidation|N|||boolean|||||||||||||E|N|en|Is WERCS validation override approved?|Is WERCS validation override approved?|Horizontal|Boolean|3800|Left|200|Left||||Active||MANDATORY_BEFORE|PI1514_IM6814_OCT01,PI163_IM6818_JUN03, PI164_IM6818_SEP03
swNameOfVPApprovingWERCSOverride|N|||text||70|1||||||||||E|N|en|Who approved the WERCS override?|Who approved the WERCS override?|Horizontal|Text|3900|Left|200|Left||||Active||NULL|PI1514_IM6814_OCT01,PI163_IM6818_JUN03, PI164_IM6818_SEP03
swDateOfPresentationToCD|N|||datetime|||||||||||||E|N|en|Date of Presentation to Merchandising|Enter the date the new item is presented to Merchandising. This date must not be more than 2 years prior or 2 years beyond the date the PI item is submitted.|Horizontal|Datetime|4000|Left|200|Left||||Active||NULL|PI1514_IM6814_OCT01, PI1516_IM1516_FEB06, PI165_IM6818_DEC06
swDateOfProductPresentation|N|||datetime|||||||||||||R|N|en|Date of Product Presentation|The date the vendor submitted the Item Hierarchy to Albertsons.|Horizontal|Datetime|4100|Left|200|Left||||Active||NULL|PI1514_IM6814_OCT01, PI1516_IM1516_FEB06, PI165_IM6818_DEC06
swLastChangeDate|N|||datetime|||||||||||||R|N|en|Data Entry Completion|The most recent date that Data Entry reviewed and completed in PI.|Horizontal|Datetime|4200|Left|200|Left||||Active||NULL|PI1514_IM6814_OCT01, PI161_IM1516_FEB06B
swWhoToNotify|Y||10|text||2|1||SWWhoToNotifyVV||||||||E|N|en|Who To Notify?|Indicate which Sales Management Team(s) should be notified of this item submission|Horizontal|Multi_Select_List|4300|Left|200|Left||||Active||NULL|PI167_May_PI9.4
swDateOfCdSubmission|N|||datetime|||||||||||||R|N|en|Date of Merchandising Submission|Date of Merchandising Submission|Horizontal|Datetime|4400|Left|200|Left||||Active||NULL|PI1514_IM6814_OCT01, PI161_IM1516_FEB06B, PI165_IM6818_DEC06
swItemTermsDiscount|N|||float|4|4|2||||||||||R|N|en|Item Terms (% Discount)|Percentage discount for paying the vendor invoice within a specified time period (cash discount days)|Horizontal|Float|4500|Left|200|Left||||Active||NULL|PI1514_IM6814_OCT01, PI1516_IM6815_FEB06
swItemTermsDiscountDays|N|||integer||3|1||||||||||R|N|en|Item Terms (Discount Days)|Number of days for paying the invoice and receiving the specified discount percentage|Horizontal|Integer|4600|Left|200|Left||||Active||NULL|PI1514_IM6814_OCT01, PI1516_IM6815_FEB06
swItemTermsNetDays|N|||integer||3|1||||||||||R|N|en|Item Terms (Net Days)|Net days; number of days for paying the net invoice amount; if used in conjunction with a cash discount, net days must equal or exceed cash discount days|Horizontal|Integer|4700|Left|200|Left||||Active||NULL|PI1514_IM6814_OCT01, PI1516_IM6815_FEB06
swProductRecoveryAuthorization|N|||text||70|1||SWProductRecoveryAuthVV||||||||E|N|en|Product Recovery Authorization (PRC)|A 3rd party location that receives items that can no longer be sold to retail customers.|Horizontal|Dropdown|4800|Left|200|Left||||Active||NULL|PI1514_IM6814_OCT01, PI167_IM6820_MAY01
swWarehouseDistributionBannerStart|N||||||||||||||||R|N|en|Warehouse Distribution|Warehouse Distribution|Banner|Label|4900|Left|200|Left||||Active||NULL|Start_End banners used for collapsible controllers.  PI1515_IM6815_NOV02
swUPCLikeWHGroup/swDistributeLikeEANUCCUPC|N|swUPCLikeWHGroup|999|text||12|1||||||||||R|N|en|Selected UPC Code|Please choose a CIC or UPC for an existing item that has distribution that the new item should replicate.|LoopGroupRo|Text|5000|Left|200|Left||||Active||NULL|PI1514_IM6814_OCT01
swUPCLikeWHGroup/swDistributeLikeCIC|N|swUPCLikeWHGroup|999|text||8|1||||||||||R|N|en|Selected Corporate Item Code|Corporate Item Code where Distribution details (Facility,Vendor,WIM Sub) will be copied|LoopGroupRo|Text|5100|Left|200|Left||||Active||NULL|PI1514_IM6814_OCT01
swUPCLikeWHGroup/swWarehouseDescription|N|swUPCLikeWHGroup|999|text||42|1||||||||||R|N|en|Selected Item Description|Warehouse Description|LoopGroupRo|Text|5200|Left|200|Left||||Active||NULL|PI1514_IM6814_OCT01
swUPCLikeWHGroup/swWarehousePack|N|swUPCLikeWHGroup|999|text||4|1||||||||||R|N|en|Pack|Warehouse Pack|LoopGroupRo|Text|5300|Left|200|Left||||Active||NULL|PI1514_IM6814_OCT01
swUPCLikeWHGroup/swWarehouseSize|N|swUPCLikeWHGroup|999|text||10|1||||||||||R|N|en|Size|Warehouse Size|LoopGroupRo|Text|5400|Left|200|Left||||Active||NULL|PI1514_IM6814_OCT01
swWarehouseController/swGTINWarehouse|N|swWarehouseController|999|text||14|1||||||||||R|N|en|GTIN (Global Trade Item Number)|The Global Trade Item Number is the standard 14-digit number used to identify the product.|LoopGroup|Text|5500|Left|200|Left||||Active||NULL|PI1514_IM6814_OCT01
swWarehouseController/swItemType|N|swWarehouseController|999|text||22|1||ProductTypeCodes_hub||||||||R|N|en|Item Type|Item Type|LoopGroup|Dropdown|5600|Left|200|Left||||Active||NULL|PI162_IM6817_APR03
swWarehouseController/swDistributionCenter|N|swWarehouseController|999|text||4|1||||||||||E|N|en|Distribution Center|Choose the Distribution Centers the warehoused item will be authorized for.|LoopGroup|Text|5700|Left|200|Left||||Active||NULL|PI1514_IM6814_OCT01, PI164_IM6818_SEP02
swWarehouseController/swFacility|N|swWarehouseController|999|text||4|1||||||||||E|N|en|Facility*|A UPC that is similar to the new item that is being presented for setup. The ships with UPC will be ordered, shipped from, and delivered in the same manner to the Albertsons Distribution Center as the new item. The new item should be setup in the same Safeway Distribution Center and facility number.|LoopGroup|Text|5800|Left|200|Left||||Active||NULL|PI1514_IM6814_OCT01, PI164_IM6818_SEP02, PI165_IM6818_DEC06
swWarehouseController/swCorporateVendorChangeFlag|N|swWarehouseController|999|boolean|||||||||||||R|N|en|Corp Vendor Change|Indicate if Corporate Vendor Number is different than Vendor Number  for the GTIN, Distribution Center row|LoopGroup|Boolean|5900|Left|300|Left||||Active||NULL|PI30_IM721_NOV01
swWarehouseController/swVendor|N|swWarehouseController|999|text||30|1||||||||||E|N|en|Vendor|Vendor that will be attached to the item during retailer set-up|LoopGroup|Text|6000|Left|200|Left||||Active||NULL|PI1514_IM6814_OCT01
swWarehouseController/swWimsSub|N|swWarehouseController|999|text||4|1||||||||||E|N|en|WIM Sub|A 4 digit WIM Sub-Vendor number. The first 2 digits are typically the division number and the last 2 digits are the sequence number Example: 1701 = the first Phoenix WIM sub-vendor number)|LoopGroup|Text|6100|Left|200|Left||||Active||NULL|PI1514_IM6814_OCT01
swWarehouseController/swBuyerNumber|N|swWarehouseController|999|text||5|1||||||||||E|N|en|Buyer Number|Buyer Number|LoopGroup|Text|6200|Left|200|Left||||Active||NULL|PI1514_IM6814_OCT01
swWarehouseController/swVendorTerms|N|swWarehouseController|999|text||30|1||||||||||E|N|en|Terms|Terms|LoopGroup|Text|6300|Left|200|Left||||Active||NULL|PI1514_IM6814_OCT01
swWarehouseController/swDistributionCenterArrivalDate|N|swWarehouseController|999|datetime|||||||||||||E|N|en|Distribution Center Arrival Date|The date that the product should arrive to the Distribution Center. This should be no more than two weeks prior to a scheduled reset event and only 1 week on Perishable product.|LoopGroup|Datetime|6400|Left|200|Left||||Active||NULL|PI1514_IM6814_OCT01
swWarehouseController/swShipDateToStores|N|swWarehouseController|999|datetime|||||||||||||E|N|en|Ship to Store Date|The first date the item ships to the stores.|LoopGroup|Datetime|6500|Left|200|Left||||Active||NULL|PI1514_IM6814_OCT01
swWarehouseController/swInitialShipmentPerStore|N|swWarehouseController|999|integer||4|1||||||||||E|N|en|Initial Shipment Per Store (In cases)|The number of shipping units (cases) shipped from the Distribution Center to each store.|LoopGroup|Integer|6600|Left|200|Left||||Active||NULL|PI1514_IM6814_OCT01
swWarehouseController/swPercentOfStores|N|swWarehouseController|999|integer||3|1||||||||||E|N|en|Percent of Stores|The estimated percentage of stores that will receive the new item by division.|LoopGroup|Integer|6700|Left|200|Left||||Active||PERCENTAGE|PI1514_IM6814_OCT01
swWarehouseController/swDeSeasonalizedDemand|N|swWarehouseController|999|float|6|6|1||||||||||E|N|en|De-seasonalized Demand (DD)|A CIC's four week weighted average shipping unit demand from the stores while not on promotion/reduced retail.|LoopGroup|Float|6800|Left|200|Left||||Active||NULL|PI1514_IM6814_OCT01
