dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy
swGroup|N||1|text||2|1||SWGroupVV||||||||R|N|en|Group|Group Code is a 2 digit code indicating the high level group the item belongs to.|Horizontal|Dropdown|100|Left|200|Left||||Active||MANDATORY_BEFORE|PI166_IM9819_FEB04
swCategory|N|||text||2|1||||||||||R|N|en|Category|Category Code is a 2 digit code indicating the category the item belongs to within the high level group.|Horizontal|Text|200|Left|200|Left||||Active||MANDATORY_BEFORE|PI166_IM9819_FEB04
swClass|N|||text||2|1||||||||||R|N|en|Class|Class Code is a 2 digit code indicates the class the item belongs to within the category.|Horizontal|Text|300|Left|200|Left||||Active||MANDATORY_BEFORE|PI166_IM9819_FEB04
swSubClass|N|||text||2|1||||||||||R|N|en|Sub Class|Sub-Class Code is a 2 digit code indicates the sub-class the item belongs to within the class.|Horizontal|Text|400|Left|200|Left||||Active||MANDATORY_BEFORE|PI166_IM9819_FEB04
swSubSubClass|N|||text||2|1||||||||||R|N|en|Sub Sub Class|Sub-Sub-Class Code is a 2 digit code indicates the sub-sub-class the item belongs to within the sub-class.|Horizontal|Text|500|Left|200|Left||||Active||MANDATORY_BEFORE|PI166_IM9819_FEB04
swReasonForSubmission|N|||text||70|1||SWReasonforSubmissionVV||||||||R|N|en|Reason for Submission|Reason for Submission|Horizontal|Dropdown|600|Left|200|Left||||Active||MANDATORY_BEFORE|PI1514_IM6814_OCT01
swIsThisItemWERCSEligible|N|||boolean|||||||||||||R|N|en|Is this item WERCs eligible?|Does this item meet any of the following criteria: (1) Contains chemicals or pesticides, (2) Is packaged in an aerosol can, (3) Classified as an OTC Drug or Nutritional Supplement, (4) Is or contains a battery or light bulb, (5) Contains alcohol 24% by volume or greater, (6) Is any other products that may be considered Hazardous Waste upon disposal due to corrosivity, ignitability, reactivity, or toxicity, or (7) Any product that contains a circuit board.|Horizontal|Boolean|700|Left|200|Left||||Active||NULL|PI1514_IM6814_OCT01,PI163_IM6818_JUN03, PI166_IM6819_FEB01
swWarehouseController/swMasterCase|N|swWarehouseController|999|integer||3|1||||||||||R|N|en|Master Case|Indicates the number of retail units in orderable Master Case |LoopGroup|Integer|800|Left|200|Left||||Active||NULL|PI171_May_PI9.4, PI1711_May_PI9.4
swWarehouseController/swInnerPacks|N|swWarehouseController|999|integer||3|1||||||||||R|N|en|Inner Packs|Indicates the number of Inner Packs in the Master Case|LoopGroup|Integer|900|Left|200|Left||||Active||NULL|PI167_May_PI9.4, PI172_IM7062_JUNE03
swWarehouseController/swRetailUnitsinEachInnerPack|N|swWarehouseController|999|integer||3|1||||||||||R|N|en|Retail Units in each Inner Pack|Indicates the Number of Retail Units in each Inner Pack|LoopGroup|Integer|1000|Left|200|Left||||Active||NULL|PI167_May_PI9.4, PI172_IM7062_JUNE03
