dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy
myrGtinInformationBanner|N||||||||||||||||R|N|en|GTIN Information|GTIN Information|Banner|Label|100|Left|200|Left||||Active||NULL|Banner
gtin|N|||text||14|1|N|||||||||R|N|en|GTIN (Global Trade Item Number)|The Global Trade Item Number is the standard 14-digit number used to identify the product.|Horizontal|Text|200|Left|200|Left||||Active||NULL|PI173_IM711_Aug01
netContent|Y||100|float|38|38|15|||M|uom|text||5|2|AreaCountDimensionInfostorageMassVolumeUOM|R|N|en|Net Content & UOM - Vendor|The amount of the product contained in the package, usually as claimed on the label. If a product’s net content can be represented in multiple values – please provide all values (e.g. laundry detergent – 150 fluid ounces 1.17 gallons, 96 loads).|Horizontal|Float|300|Left|200|Left||||Active||NULL|PI173_IM711_Aug01
productType|N|||text||80|1|N|ProductTypeCodes_hub||||||||R|N|en|Product Type|Describes the hierarchical level of the trade item (e.g. each, case, pallet, etc.).|Horizontal|Dropdown|400|Left|200|Left||||Active||NULL|1.5.2CTX;
organizationInformationBanner|N||||||||||||||||R|N|en|Organization Information|Organization Information|Banner|Label|500|Left|200|Left||||Active||NULL|Standard vanilla view
measuresBanner|N||||||||||||||||R|N|en|Measures|Measures|Banner|Label|600|Left|200|Left||||Active||NULL|Standard vanilla view
depth|Y||999|float|38|53|15|||M|uom|text||3|1|DimensionsUOM|R|N|en|Depth & UOM|For consumer trade items: The measurement from front to back of the product after the default front is determined (this also applies to non-consumer trade items that go on a retailer shelf – for example, protein bars sold individually but merchandised on the retailer shelf in a carton). For non-consumer trade items: The measurement of the longest side of the base of the product after the natural base is determined.|Horizontal|Float|700|Left|200|Left||||Active||NULL|PI173_IM711_Aug01
width|Y||999|float|38|53|15|||M|uom|text||3|1|DimensionsUOM|R|N|en|Width & UOM|For consumer trade items: The measurement from left to right of the product after the default front is determined (this also applies to non-consumer trade items that go on a retailer shelf – for example, protein bars sold individually but merchandised on the retailer shelf in a carton). For non-consumer trade items: The measurement of the shortest side of the base of the trade item after the natural base is determined.|Horizontal|Float|800|Left|200|Left||||Active||NULL|PI173_IM711_Aug01
height|Y||999|float|38|53|15|||M|uom|text||3|1|DimensionsUOM|R|N|en|Height & UOM|The vertical dimension from the lowest extremity to the highest extremity, including packaging and the unit of measure associated with the height.|Horizontal|Float|900|Left|200|Left||||Active||NULL|PI173_IM711_Aug01
grossWeight|Y||999|float|38|53|15|||M|uom|text||3|1|MassUOM|R|N|en|Gross Weight & UOM|The gross weight of the product. Includes all packaging materials o At the pallet level the gross weight includes the weight of the pallet itself.|Horizontal|Float|1000|Left|200|Left||||Active||NULL|DeCA phase 2
