dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy
kroBanner_Core_Identiifers|N||||||||||||||||R|N|en|Identifiers & Descriptors|Indentifiers & Descriptors|Banner|Label|100|Left|200|Left||||Active||NULL|1.5.2CTX;
kroConsumerUnitItemDescription|N|||text||30|1||||||||||E|N|en|Consumer Unit Item Description|Provide description of selling unit to be used for shelf tag - up to 30 characters. Format: Brand/Sub Brand/Item descriptors|Horizontal|Text|1000|Left|200|Left|40|||Active||NULL|PI166_FEB04_FEBCR, PI172_IM711_JUNE03
kroMarketingMessage|N||1|text||4000|1|||M|lang|text||5|1|KRO_V10202|E|N|en|Marketing Message|Marketing message associated to the Trade item|Horizontal|Text|1600|Left|200|Left||||Active||NULL|PI3.0(0816_bharter)
kroBanner_Core_Indicators|N||||||||||||||||R|N|en|Indicators|Indicators|Banner|Label|10000|Left|200|Left||||Active||NULL|1.5.2CTX;
kroIsItemRegisteredWithWERCS|N|||boolean|||||||||||||E|N|en|Item Registered with WERCS|Identify if the item has been verified by Worldwide Environmental & Regulatory Compliance|Horizontal|Boolean|11000|Left|200|Left||||Active||NULL|PI163_03
kroWERCSProductClassificationV11440|Y||999|text||100|1||KRO_V11440||||||||E|N|en|WERCS Product Classification|Identify if item meets any classifications established by WERCSmart|Horizontal|Multi_Select_List|11100|Left|200|Left||||Active||NULL|PI163_03
kroWPSIDNumber|N|||integer||7|1||||||||||E|N|en|WPS ID Number|Certification ID number provided by WERCSmart Retailer.|Horizontal|Integer|11200|Left|200|Left||||Active||NULL|PI163_03
kroBanner_Core_ClassSpecific|N||||||||||||||||R|N|en|Classification Specific Attributes|Class Specific Attributes|Banner|Label|20000|Left|200|Left||||Active||NULL|1.5.2CTX;
showClassSpecValues|N||||||||||||||||R|N|en|Classification Specific Attribute Information|Attributes that are related to the type or class of a product can be found in this popup screen.|Horizontal|STATIC_LINK|20400|Left|200|Left||||Active||MANDATORY_BEFORE|1.5.2CTX;
netContent|Y||100|float|38|38|15|||M|uom|text||5|2|AreaCountDimensionInfostorageMassVolumeUOM|E|N|en|Net Content & UOM - Vendor|The amount of the product contained in the package, usually as claimed on the label. If a product’s net content can be represented in multiple values – please provide all values (e.g. laundry detergent – 150 fluid ounces 1.17 gallons, 96 loads).|Horizontal|Float|30400|Left|200|Left||||Active||MANDATORY_BEFORE|PI173_IM711_Aug01
netWeight|Y||999|float|38|38|15|||M|uom|text||3|1|MassUOM|E|N|en|Net Weight & UOM|Identifies the net weight of the product. Net weight excludes all packaging material.|Horizontal|Float|30600|Left|200|Left||||Active||MANDATORY_BEFORE|DeCA phase 2
kroBanner_Core_CountryOfOrigin|N||||||||||||||||R|N|en|Country of Origin|Country of Origin|Banner|Label|40000|Left|200|Left||||Active||NULL|ADD
countryOfOrigin/countrySubdivisionCode|Y|countryOfOrigin|100|text||80|1||||||||||E|N|en|Country Of Origin Subdivision Code|countryOfOriginSubdivisionCode<br>Qualifier: AVP732<br>The Country Of Origin Subdivision Code is the secondary code of the Country Of Origin and must be a subdivision of a Country Of Origin Country Code. The Country Of Origin Subdivision Code describes the "geopolitical subdivision of a country" where the trade item is produced for sale, as determined by the information provider. For example, "State" in the US, "Land" in Germany, "Region" in France, or "Province" in Canada. Not all countries have subdivisions.|LoopGroup|Text|40200|Right|200|Left||||Active|O|NULL|MJR3
kroForeignPlantFactoryProcessorPacker/kroForeignPlantFactoryProcessorPackerCompanyName|N|kroForeignPlantFactoryProcessorPacker|99|text||1000|1||||||||||E|N|en|Foreign Plant / Factory / Processor / Packer Company Name|Identify the foreign plant/factory/processor/packer company name|LoopGroup|Text|40300|Left|200|Left||||Active||NULL|PI3.0(bharter_0914)
kroForeignPlantFactoryProcessorPacker/kroForeignPlantFactoryProcessorPackerAddress|N|kroForeignPlantFactoryProcessorPacker|99|text||1000|1||||||||||E|N|en|Foreign Plant / Factory / Processor / Packer Address|Identify the foreign plant/factory/processor/packer company address|LoopGroup|Text|40400|Left|200|Left||||Active||NULL|PI3.0(bharter_0914)
kroForeignPlantFactoryProcessorPacker/kroLocalContactPersonName|N|kroForeignPlantFactoryProcessorPacker|99|text||1000|1||||||||||E|N|en|Local Contact Person Name|Identify the name of the contact|LoopGroup|Text|40500|Left|200|Left||||Active||NULL|PI3.0(bharter_0914)
kroForeignPlantFactoryProcessorPacker/kroForeignPlantFactoryProcessorPackerContactEmail|N|kroForeignPlantFactoryProcessorPacker|99|text||254|1||||||||||E|N|en|Foreign Plant / Factory / Processor / Packer Contact Email|Identify the foreign plant/factory/processor/packer contact email|LoopGroup|Text|40600|Left|200|Left||||Active||NULL|PI3.0(bharter_0914)
kroForeignPlantFactoryProcessorPacker/kroForeignPlantFactoryProcessorPackerContactPhone|N|kroForeignPlantFactoryProcessorPacker|99|text||1000|1||||||||||E|N|en|Foreign Plant / Factory / Processor / Packer Contact Phone|Identify the foreign plant/factory/processor/packer contact phone|LoopGroup|Text|40700|Left|200|Left||||Active||NULL|PI3.0(bharter_0914)
kroAssociatedCompanyAgentVendorRep/kroAssociatedCompanyAgentVendorRepCompanyName|N|kroAssociatedCompanyAgentVendorRep|99|text||1000|1||||||||||E|N|en|Associated Company / Agent / Vendor Representative Company Name|Identify the associated company/agent/vendor representative company name|LoopGroup|Text|40800|Left|200|Left||||Active||NULL|PI3.0(bharter_0913)
