dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy
kroBanner_Core_Identiifers|N||||||||||||||||R|N|en|Identifiers & Descriptors|Indentifiers & Descriptors|Banner|Label|100|Left|200|Left||||Active||NULL|1.5.2CTX;
dataCarrier/dataCarrierTypeCode|N|dataCarrier|100|text||80|1|N|DataCarrierTypeCode||||||||E|N|en|Data Carrier Type Code|Value that identifies the type of bar code that is on the product.|LoopGroup|DropDown|1800|Left|200|Left||||Active||MANDATORY_BEFORE|DeCA phase 2
kroBanner_Core_LogisticsInformation|N||||||||||||||||R|N|en|Logistics Information|Logistics Information|Banner|Label|50000|Left|200|Left||||Active||NULL|ADD
ti|N|||integer||10|1||||||||||E|N|en|Num of Items in a Complete Layer/GTIN Pallet Ti|The number of cases contained in a layer of a standard shipment.|Horizontal|Integer|50200|Left|200|Left|3|||Active||NULL|PI173_IM711_Aug01
nonGTINPalletHi|N|||integer||10|1||||||||||E|N|en|Number of Layers Per Pallet/Non GTIN Pallet Hi|Represents the number of layers that a pallet contains Only used if pallet has no GTIN. Applies to the highest level of the item hierarchy and only 1 pallet configuration can be provided.|Horizontal|Integer|50300|Left|200|Left||||Active||NULL|PI173_IM711_Aug01
nonGTINPalletTi|N|||integer||10|1||||||||||E|N|en|Number of Trade Items Per Pallet Layer/Non GTIN Pallet Ti|The number of trade items contained on a single layer of a pallet. Only used if the pallet has no GTIN.|Horizontal|Integer|50400|Left|200|Left||||Active||NULL|PI173_IM711_Aug01
hi|N|||integer||10|1||||||||||E|N|en|Num of Complete Layers Cont in Item/GTIN Pallet Hi|The number of layers that a pallet contains. Only used if pallet has no GTIN. In this case it applies to the highest level of the item hierarchy and only 1 pallet configuration can be provided. It is highly recommended to use GTIN for pallet identification.|Horizontal|Integer|50500|Left|200|Left|3|||Active||NULL|PI173_IM711_Aug01
kroBanner_Merch_Descriptors|N||||||||||||||||R|N|en|Product Packaging and Descriptors|Product Packaging and Descriptors|Banner|Label|90000|Left|200|Left||||Active||NULL|1.5.2CTX;
hasBatchNumber|N|||boolean|||||||||||||E|N|en|Has Batch Number|Indicates if the product has a batch number provided.|Horizontal|Boolean|90800|Left|200|Left||||Active||NULL|1.5.2CTX;
packagingInformation|N||||||||||||||||R|N|en|Packaging Information Link|Packaging Information Link|Horizontal|FLEX_POPUP|91700|Left|200|Left||||Active||NULL|DeCA phase 2
kroBanner_Hazmat_Information|N||||||||||||||||R|N|en|Handling Information|Handling Information|Banner|Label|100000|Left|200|Left||||Active||NULL|NAME CHANGE
kroHandlingInstructionCode|Y||100|text||80|1||KRO_V12863||||||||E|N|en|Handling Instruction Code|Defines the information and processes needed to safely handle the trade item.|Horizontal|Multi_Select_List|100100|Left|200|Left|200|||Active||NULL|PI171_DeltaCR
kroOtherHandlingInstructionCode|Y||999|text||200|1||||||||||E|N|en|Other Handling Instruction Code|Identifies the other types of information and processes needed to safely handle the trade item not identified in the original list.|Horizontal|Text|100200|Left|200|Left|200|||Active||NULL|PI171_DeltaCR
