dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy
allergenRelatedInformation|N||||||||||||||||E|N|en|Allergen Related Information Link|Allergen Related Information Link|Horizontal|FLEX_POPUP|1800|Left|200|Left||||Active||NULL|PI3_IM172_OCT01
avp/labelDescription|N|||text||500|1|N|||||||||E|N|en|OWN LABEL/PRIVATE LABEL (UDEX:15,IM:U01)|U01<br>Qualifier: U01<br>Refer to Extension Implementation Guide (for Extension Attributes) or Participant Dictionary (for Core GDSN Attriutes) for more information regarding this field.|Horizontal|Text|3700|Left|200|Left||||Active||NULL|PI3_IM172_OCT01
consumerPackageDisclaimers/consumerPackageDisclaimer|Y|consumerPackageDisclaimers|100|text||1000|1|||M|lang|text||5|1|StandardLanguageCodes_hub|E|N|en|Package Disclaimers|Consumer package disclaimer|LoopGroup|Text|1000|Left|200|Left|200|||Active||NULL|PI3_IM172_OCT01
consumerStorageInstructions|Y||25|text||1000|1|||M|lang|text||5|1|StandardLanguageCodes_hub|E|N|en|Consumer Storage Instructions|Expresses in text the consumer storage and usage instructions of a product which are normally held on the label or accompanying the product. This information may or may not be labeled on the pack. Instructions may refer to a suggested storage temperature.|Horizontal|Text|300|Left|200|Left|200|||Active||NULL|PI3_IM172_OCT01
countryOfOrigin/countryCode|N|countryOfOrigin|100|text||5|1|N|StandardCountryCodes||||||||E|N|en|Country Of Origin|The countries in which the product has been produced or manufactured.|LoopGroup|DropDown|200|Left|200|Left||||Active||NULL|PI3_IM172_OCT01
drainedWeight|Y||999|float|38|38|15|||M|uom|text||3|1|MassUOM|E|N|en|Drained Weight|The measurement of the weight of the product when drained of its liquid content.|Horizontal|Float|1400|Left|200|Left||||Active||NULL|PI3_IM172_OCT01
foodAndBevAdditiveInformation/additiveName|N|foodAndBevAdditiveInformation|100|text||200|1|N|||||||||E|N|en|Additive Name|additiveName<br>Qualifier: FNB031<br>Represents the name of any additive or genetic modification contained or not contained in the trade item.|LoopGroup|Text|1200|Left|200|Left||||Active||NULL|PI3_IM172_OCT01
foodAndBevAdditiveInformation/levelOfContainmentCode|N|foodAndBevAdditiveInformation|100|text||60|1|N|FNBLevelOfContainment||||||||E|N|en|Additive Level of Containment|additiveLevelOfContainment<br>Qualifier: FNB032<br>Code indicating the level of presence of the additive.|LoopGroup|Dropdown|1300|Left|200|Left||||Active||NULL|PI3_IM172_OCT01
foodAndBevDietTypeInfo|N||||||||||||||||E|N|en|Diet Types Link|Diet Types Link|Horizontal|FLEX_POPUP|2200|Left|200|Left||||Active||NULL|PI3_IM172_OCT01
foodAndBevIngredient|N||||||||||||||||E|N|en|Food And Bev Ingredient Info Link|Food And Bev Ingredient Info Link|Horizontal|FLEX_POPUP|2300|Left|200|Left||||Active||NULL|PI3_IM172_OCT01
