dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy
swCOOLProductionStepThree/swBorn|N|swCOOLProductionStepThree|999|text||3|1||SWCOOLCountryMasterVV||||||||E|N|en|Born|A combination of the Production steps Born, Raised, Harvested/Hatched must be used for meat items that are whole muscle cuts (Harvested/Hatched in the US).  A country must be provided for each production step, Born, Raised, Harvested/Hatched.|LoopGroup|Dropdown|1300|Left|200|Left||||Active||NULL| PI164_IM6818_SEP05
swCOOLProductionStepThree/swHarvestedHatched|N|swCOOLProductionStepThree|999|text||3|1||SWCOOLCountryMasterVV||||||||E|N|en|Harvested/Hatched|A combination of the Production steps Born, Raised, Harvested/Hatched must be used for meat items that are whole muscle cuts (Harvested/Hatched in the US).  A country must be provided for each production step, Born, Raised, Harvested/Hatched.|LoopGroup|Dropdown|1500|Left|200|Left||||Active||NULL| PI164_IM6818_SEP05
swCOOLProductionStepThree/swRaised|N|swCOOLProductionStepThree|999|text||3|1||SWCOOLCountryMasterVV||||||||E|N|en|Raised|A combination of the Production steps Born, Raised, Harvested/Hatched must be used for meat items that are whole muscle cuts (Harvested/Hatched in the US).  A country must be provided for each production step, Born, Raised, Harvested/Hatched.|LoopGroup|Dropdown|1400|Left|200|Left||||Active||NULL| PI164_IM6818_SEP05
swCOOLProductionStepTwo/swHarvestedCountry|N|swCOOLProductionStepTwo|999|text||3|1||SWCOOLCountryMasterVV||||||||E|N|en|Harvested|A combination of the production steps Harvested/Processed can be used for Seafood Products only that require different production steps to allow for Processing declaration.  A country must be provided for both Harvested and Processed.|LoopGroup|Dropdown|1000|Left|200|Left||||Active||NULL| PI164_IM6818_SEP05
swCOOLProductionStepTwo/swProcessedCountry|N|swCOOLProductionStepTwo|999|text||3|1||SWCOOLCountryMasterVV||||||||E|N|en|Processed|A combination of the production steps Harvested/Processed can be used for Seafood Products only that require different production steps to allow for Processing declaration.  A country must be provided for both Harvested and Processed.|LoopGroup|Dropdown|1100|Left|200|Left||||Active||NULL| PI164_IM6818_SEP05
swCountryOfOriginBanner|N||||||||||||||||R|N|en|Country of Origin Labeling|Country of Origin Labeling|Banner|Label|300|Left|200|Left||||Active||NULL|PI1515_IM6815_NOV01
swCountryOfOriginLabelingClassCode|N|||text||70|1||SWCOOLClassCodeVV||||||||E|N|en|Country of Origin Labeling (COOL) Class Code|Albertsons Internal Identifier used to Group similar COOL Covered Commodity Items. COOL Class Code Grouping Internal to Albertsons 001-199 (Seafood Section 330 and 331) 200-399 (Meat Section 333 and 334) 400-599 (Produce Section 329) 899 (Grocery Main Meal 301, Meal Ingredients 302, Frozen Grocery 317) 900 (Grocery Main Meal 301, Meal Ingredients 302, Frozen Grocery 317). |Horizontal|Dropdown|600|Left|200|Left||||Active||NULL|PI1514_IM6814_OCT01, PI165_IM6818_DEC06
swDoesItemRequireCOOL|N|||boolean|||||||||||||E|N|en|Does this item require Country of Origin Labeling (COOL)?|Retailer requirement to label COOL covered commodities for country of origin (i.e.Product Of) and method of production (i.e. wild or farm raised - Seafood Items Only).|Horizontal|Boolean|400|Left|200|Left||||Active||NULL|PI1514_IM6814_OCT01
swEasternGenuardisTemperatureRequirements|N|||text||70|1||SWEasternGenuardisTemperatureVV||||||||E|N|en|Eastern/Genuardis Temperature Requirements|Select the item’s temperature requirement for Eastern/Genuardi’s.|Horizontal|Dropdown|100|Left|200|Left||||Active||NULL|PI1514_IM6814_OCT01
swProductionStepOneBanner|N||||||||||||||||R|N|en|Production Step 1|Production Step 1|Banner|Label|700|Left|200|Left||||Active||NULL| PI164_IM6818_SEP05
swProductionStepThreeBanner|N||||||||||||||||R|N|en|Production Step 3|Production Step 3|Banner|Label|1200|Left|200|Left||||Active||NULL| PI164_IM6818_SEP05
swProductionStepTwoBanner|N||||||||||||||||R|N|en|Production Step 2|Production Step 2|Banner|Label|900|Left|200|Left||||Active||NULL| PI164_IM6818_SEP05
swProductOf|Y||999|text||3|1||SWCOOLCountryMasterVV||||||||E|N|en|Product Of|Production Step used for primarily Produce, Seafood and Imported/Ground Meat Products.  This is a standalone production step.  In the cases of multiple countries of origin - the multiple countries must be provided.|Horizontal|Multi_Select_List|800|Left|200|Left||||Active||NULL|PI1514_IM6814_OCT01, PI161_IM6816_FEB06, PI164_IM6818_SEP02
swSeafoodProductionMethod|N|||text||70|1||SWSeafoodProdMethodVV||||||||E|N|en|Wild or Farmed?|Wild or Farmed:Indicate whether the product was raised wild or farmed (Seafood Items Only).|Horizontal|Dropdown|500|Left|200|Left||||Active||NULL|PI1514_IM6814_OCT01, PI164_IM6818_SEP04, PI164_IM6818_SEP05
