dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy
gtinInformationBanner|N||||||||||||||||R|N|en|GTIN Information|GTIN Information|Banner|Label|100|Left|200|Left||||Active||NULL|Vanilla - Vendor Data, GS1Connect_1.5.5.01
gtin|N|||text||14|1|N|||||||||R|N|en|GTIN (Global Trade Item Number)|The Global Trade Item Number is the standard 14-digit number used to identify the product.|Horizontal|Text|200|Left|200|Left||||Active||NULL|PI173_IM711_Aug01
alternateItemIdentification/agency|N|alternateItemIdentification|100|text||60|1|N|AlternateItemIdentificationAgency_hub||||||||R|N|en|Alternate Item Identification Agency|1SYNC Item Management allows an alternate maintenance agency (for example for an internal manufacturing number).|LoopGroup|DropDown|300|Left|200|Left||||Active||NULL|PI15501_QA01
alternateItemIdentification/id|N|alternateItemIdentification|100|text||80|1|N|||||||||R|N|en|Alternate Item Identification|An alternate item number is allowed, but not required.|LoopGroup|Text|400|Left|200|Left||||Active||NULL|PI15501_QA01
targetMarket|N|||text||2|1|N|StandardCountryCodes||||||||R|N|en|Target Market|The target market indicates the country where the trade item is available for sale. Combination of this field +GTIN+GLN uniquely identifies a trade item. Default is US.|Horizontal|Dropdown|500|Left|200|Left||||Active||NULL|PI172_IM711_Aug11, PI30_IM721_NOV03
netContent|Y||100|float|38|38|15|||M|uom|text||5|2|AreaCountDimensionInfostorageMassVolumeUOM|E|N|en|Net Content & UOM - Vendor|The amount of the product contained in the package, usually as claimed on the label. If a product’s net content can be represented in multiple values – please provide all values (e.g. laundry detergent – 150 fluid ounces 1.17 gallons, 96 loads).|Horizontal|Float|600|Left|200|Left||||Active||NULL|PI173_IM711_Aug01
totalQuantityOfNextLowerTradeItem|N|||integer||6|1||||||||||R|N|en|Qty of Next Level Item(s)|The total number of next lower level products contained within this specific product hierarchy level (e.g. – CASE product type contains 24 consumer units, the qty of next level items = 24).|Horizontal|Integer|700|Left|200|Left||||Active||NULL|PI173_IM711_Aug01
organizationInformationBanner|N||||||||||||||||R|N|en|Organization Information|Organization Information|Banner|Label|800|Left|200|Left||||Active||NULL|Standard vanilla view
informationProviderGLN|N|||text||13|1|N|||||||||R|N|en|Information Provider GLN|The GLN of the organization responsible for the validity of the item information being supplied.|Horizontal|Text|900|Left|200|Left||||Active||NULL|PI173_IM711_Aug01
informationProviderName|N|||text||128|1|N|||||||||R|N|en|Information Provider Name|Name of the company associated with the Information Provider GLN.|Horizontal|Text|1000|Left|200|Left|128|||Active||NULL|1.5.2CTX; QA05
