dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy
allergenRelatedInformation|N||||||||||||||||E|N|en|Allergen Related Information Link|Allergen Related Information Link|Horizontal|FLEX_POPUP|5500|Left|200|Left||||Active||NULL|MJR3 Updates
avp/nABCAAgeVintage|N|||text||4|1|N|||||||||E|N|en|NABCA Age Vintage|nABCAAgeVintage<br>Qualifier: AVP099<br>The year or vintage of the beverage.|Horizontal|Text|2000|Left|200|Left||||Active||NULL|AVP
avp/nABCAAlternatePercentageOfAlcoholByVolume|Y||2|float|3|3|1||||||||||E|N|en|NABCA Alternate Percentage Of Alcohol By Volume|nABCAAlternatePercentOfAlcoholByVolume<br>Qualifier: AVP105<br>The proof of the item as sold under another label.|Horizontal|Float|4600|Left|200|Left||||Active||NULL|AVP
brandName|N|||text||70|1|N|||||||||E|N|en|Brand Name|The brand name for the product recognized by the consumer.|Horizontal|Text|400|Left|200|Left|40|||Active||MANDATORY_BEFORE|1.5.2CTX;
color/agency|N|color|100|text||80|1|N|ColorCodeMaintAgency_hub||||||||E|N|en|Color Code Maintenance Agency|The party responsible for maintaining the color code list used for the "Color" field.|LoopGroup|Dropdown|1300|Left|200|Left||||Active||NULL|PI15501_QA01
color/code|N|color|100|text||40|1|N|||||||||E|N|en|Color Info Code|Indicates the color of the trade item in this field.|LoopGroup|Text|1200|Left|200|Left||||Active||NULL|PI15501_QA01
color/description|N|color|100|text||80|1|Y|||||||||E|N|en|Product Color Description|Free text description of the color of the trade item. Type/Size Occurrence Lang Specific|LoopGroup|Text|1100|Left|200|Left||||Active||NULL|PI15501_QA01
consumerStorageInstructions|Y||25|text||1000|1|||M|lang|text||5|1|StandardLanguageCodes_hub|E|N|en|Consumer Usage Storage Instructions|Expresses in text the consumer storage and usage instructions of a product which are normally held on the label or accompanying the product. This information may or may not be labeled on the pack. Instructions may refer to a suggested storage temperature.|Horizontal|Text|3100|Left|200|Left|200|||Active||NULL|PIMJR3 Update
handlingInstructions/handlingInstructionCode|N|handlingInstructions|100|text||80|1|N|HandlingInstructionCode||||||||E|N|en|Handling Instruction Code|The information and processes needed to safely handle the product.|LoopGroup|Dropdown|3800|Left|200|Left||||Active||NULL|PIDCA-496
handlingInstructions/handlingInstructionCodeAgency|N|handlingInstructions|100|text||80|1|N|||||||||E|N|en|Handling Instructions Code Agency|An agency that maintains the handling instructions code. NOTE: This attribute is intended to be used with the handling instructions code.|LoopGroup|Text|3900|Right|200|Left||||Active|O|NULL|MJR3
ingredientStatement|Y||100|text||4000|1|N||M|lang|text||5|1|StandardLanguageCodes_hub|E|N|en|Ingredient Statement|List of ingredients contained in the product.|Horizontal|Text|1500|Left|200|Left|500|||Active||MANDATORY_BEFORE|PIMJR3 Update, PI1713_IM7062_JUNE04,pikr-52726(bharter)
manufacturer|N||||||||||||||||E|N|en|Manufacturer Link|Party name and identification information for the manufacturer of the trade item.|Horizontal|FLEX_POPUP|600|Left|200|Left||||Active||NULL|MJR3
numberOfServingsPerPackage|N|||float|15|15|1||||||||||E|N|en|Number Of Servings Per Package|The total number of servings contained in the package.|Horizontal|Float|3700|Left|200|Left||||Active||NULL|Walmart_Initial_Load
nutrientInformation|N||||||||||||||||E|N|en|Nutrient Information Link|Nutrient Information Link|Horizontal|FLEX_POPUP|4100|Left|200|Left||||Active||NULL|1.5.2CTX;
nutritionalClaim|Y|||text||4000|1|||M|lang|text||5|1|StandardLanguageCodes_hub|E|N|en|Nutritional Claim|Attribute Name Key: nutritionalClaim<br>Free text field for any additional nutritional claims.|Horizontal|Text|1600|Left|200|Left|200|||Active||NULL|PI_1SYNC_ATTR,PIKR-52726(bharter)
partyInRole|N||||||||||||||||E|N|en|Party In Role Link|The identification of a party, by GLN, in a specific party role.|Horizontal|FLEX_POPUP|700|Left|245|Left||||Active||NULL|MJR3
percentageOfAlcoholPerVolume|N||1|float|38|38|15||||||||||E|N|en|Percentage of Alcohol per Volume|Percentage of alcohol contained in the base unit trade item. Should only apply at the base consumer unit level. May be a legal requirement in certain countries.|Horizontal|Float|4500|Left|200|Left||||Active||MANDATORY_BEFORE|297
tradeItemGroupIdentification/tradeItemGroupIdentificationCodeReference|N|tradeItemGroupIdentification|100|text||80|1|N|||||||||E|N|en|Trade Item Group Code|A code assigned by the supplier or manufacturer to logically group trade item independently from the Global trade item Classification.|LoopGroup|Text|100|Left|200|Left||||Active||NULL|PIMJR3 Update
wmAlcoholicBeveragesContainsSulfites|N|||boolean|||||||||||||E|N|en|Contains Sulfites|Indicates if a beverage contains sulfites.|Horizontal|Boolean|5300|Left|200|Left||||Active||NULL|Walmart_Initial_Load
wmAlcoholicBeveragesIsEstateBottled|N|||boolean|||||||||||||E|N|en|Is Estate Bottled|Indicates that 100% of the wine came from grapes grown on land owned or controlled by the winery, which must be located in a viticultural area.|Horizontal|Boolean|5000|Left|200|Left||||Active||NULL|Walmart_Initial_Load
wmAlcoholicBeveragesIsNonGrape|N|||boolean|||||||||||||E|N|en|Is Non-Grape|Indicates that wine was made from fruit other than grapes.|Horizontal|Boolean|5400|Left|200|Left||||Active||NULL|Walmart_Initial_Load
wmAlcoholicBeveragesWhiskeyPercentage|N|||text||4000|1||||||||||E|N|en|Whiskey Percentage|In the case of a blended whiskey, percentage of whiskey or malt type. |Horizontal|Text|4900|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
wmAlcoholicBeveragesWineAppellation|N|||text||4000|1||||||||||E|N|en|Wine Appellation|Legally defined and protected geographical indication used to identify where the grapes for a wine were grown.|Horizontal|Text|5100|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
wmFoodBevAlcoholicAlcoholClassAndType|N|||text||4000|1||||||||||E|N|en|Alcohol Class & Type|Designation of the alcohol class and type, as based on trade understanding its characteristics.|Horizontal|Text|4700|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
wmFoodBevAlcoholicNeutralSpiritsColoringAndFlavoring|N|||text||4000|1||||||||||E|N|en|Neutral Spirits Coloring & Flavoring|A statement of composition, if an alcoholic beverage has additives.|Horizontal|Text|4800|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
wmFoodBevAlcoholicwineVarietal|N|||text||4000|1||||||||||E|N|en|Wine Varietal|Grape variety that wine is derived from or, in the absence of one varietal, the varietal blend.|Horizontal|Text|5200|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
wmFoodBeverageBeefCut|N|||text||4000|1||||||||||E|N|en|Beef Cut|Example: Tenderloin; Flank; Shank; Rib (Please enter text with 4000 character max)|Horizontal|Text|3400|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
wmFoodBeverageCaffeineDesignation|N|||text||60|1||WMCaffeineDesignationVV||||||||E|N|en|Caffeine Designation|Differentiates between items that have no naturally occurring caffeine, caffeine removed by processing, naturally caffeinated, or added caffeine. |Horizontal|Dropdown|2700|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
wmFoodBeverageCarbohydrateCaloriesPerGram|N|||float|30|30|15||||||||||E|N|en|Carbohydrate Calories Per Gram|Carbohydrate calories per gram per serving.|Horizontal|Float|4300|Left|200|Left||||Active||NULL|Walmart_Initial_Load
wmFoodBeverageCharacter|Y||3|text||4000|1||||||||||E|N|en|Character|Fictional or real person associated with an item. |Horizontal|Text|2800|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
wmFoodBeverageFactoryId|N|||integer||12|1||||||||||E|N|en|Factory ID|Required for Private Label brands. See accompanying private-label brand list.|Horizontal|Integer|500|Left|200|Left||||Active||NULL|Walmart_Initial_Load
wmFoodBeverageFatCaloriesPerGram|N|||float|30|30|15||||||||||E|N|en|Fat Calories Per Gram|Fat calories per gram per serving.|Horizontal|Float|4200|Left|200|Left||||Active||NULL|Walmart_Initial_Load
wmFoodBeverageFoodForm|N|||text||4000|1||||||||||E|N|en|Food Form|Describes the form of the food if the food is sold in a variety of forms, such as sliced and unsliced, whole or halves, etc.|Horizontal|Text|1000|Left|200|Left|200|||Active||MANDATORY_BEFORE|Walmart_Initial_Load
