dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy
tradeItemGroupIdentification/tradeItemGroupIdentificationCodeReference|N|tradeItemGroupIdentification|100|text||80|1|N|||||||||E|N|en|Trade Item Group Code|A code assigned by the supplier or manufacturer to logically group trade item independently from the Global trade item Classification.|LoopGroup|Text|100|Left|200|Left||||Active||NULL|PIMJR3 Update
wmMediaVariantAttributeNames|Y||3|text||4000|1||||||||||E|N|en|Variant Attribute Names|Designate all attributes by which the item is varying. This list may include variants that the category spec has not explicitly identified. <br>Ex: If partner provides data for “Collar Size,” and "Collar Size" is not in the list of valid variants, then input “Collar Size” as a value here.|Horizontal|Text|200|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
wmMediaIsPrimaryVariant|N|||boolean|||||||||||||E|N|en|Is Primary Variant|Note whether item is intended as the main variant in a variant grouping.|Horizontal|Boolean|300|Left|200|Left||||Active||NULL|Walmart_Initial_Load
wmMediaIsAdultProduct|N|||boolean|||||||||||||E|N|en|Is Adult Product|Indicates if item is adult in nature and should not appear in results for children's products.|Horizontal|Boolean|400|Left|200|Left||||Active||MANDATORY_BEFORE|Walmart_Initial_Load
wmMediaTargetAudience|Y||3|text||60|1||WMTargetAudienceVV||||||||E|N|en|Target Audience|The demographic for which the item is intended. |Horizontal|Multi_Select_List|500|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
wmMediaCharacter|Y||3|text||4000|1||||||||||E|N|en|Character|A real or fictional person associated with an item.|Horizontal|Text|600|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
wmMediaIsDownloadableContentAvailable|N|||boolean|||||||||||||E|N|en|Is Downloadable Content Available|Is extra content available to extend/enhance the experience through a download?|Horizontal|Boolean|700|Left|200|Left||||Active||NULL|Walmart_Initial_Load
genreTypeCodeReference|Y||100|text||80|1|N|||||||||E|N|en|Product Genre|productGenre<br>Qualifier: ENT041<br>Refer to IM Participant Dictionary for more information regarding this field.|Horizontal|Text|800|Left|200|Left||||Active||NULL|PIMJR3 Update
wmMusicMusicSubGenre|N|||text||4000|1||||||||||E|N|en|Music Subgenre|Specific music category.|Horizontal|Text|900|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
wmMusicMusicProducer|N|||text||4000|1||||||||||E|N|en|Music Producer|Person or entity credited with producing the album or single. |Horizontal|Text|1000|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
audioVisualMediaProductLabelName|Y||100|text||70|1|N|||||||||E|N|en|Label Name|Name of the music label.|Horizontal|Text|1100|Left|200|Left||||Active||NULL|PIMJR3 Update
wmMusicNumberOfDiscs|N|||integer||7|1||||||||||E|N|en|Number of Discs|Number of discs included in the item. |Horizontal|Integer|1200|Left|200|Left||||Active||NULL|Walmart_Initial_Load
wmMusicNumberOfTracks|N|||integer||7|1||||||||||E|N|en|Number of Tracks|Number of tracks included in the item. |Horizontal|Integer|1300|Left|200|Left||||Active||NULL|Walmart_Initial_Load
wmMusicReleaseDate|N|||date|||||||||||||E|N|en|Release Date|Enter the date (DD-MM-YYYY)|Horizontal|Date|1400|Left|200|Left||||Active||NULL|Walmart_Initial_Load
wmMusicMusicReleaseType|N|||text||400|1||||||||||E|N|en|Music Release Type|A distinguishing feature of the release, such as number of tracks or type of performance.|Horizontal|Text|1500|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
wmMusicHasParentalAdvisoryLabel|N|||boolean|||||||||||||E|N|en|Has Parental Advisory Label|Indicates whether a music album has been labeled with a Parental Advisory label by the Recording Industry Association of America. Example: Y; N (Please select a value from the drop-down below)|Horizontal|Boolean|1600|Left|200|Left||||Active||MANDATORY_BEFORE|Walmart_Initial_Load
wmMusicSeriesTitle|N|||text||4000|1||||||||||E|N|en|Series Title|If the work is one of multiple works in a series, the title of the series or collection. |Horizontal|Text|1700|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
wmMusicNumberInSeries|N|||integer||7|1||||||||||E|N|en|Number in Series|The number in the series, if the work is one of multiple works in a series.|Horizontal|Integer|1800|Left|200|Left||||Active||NULL|Walmart_Initial_Load
audioVisualMediaContentInformation|N||||||||||||||||E|N|en|Audio Visual Media Content Information|Information on the media included in the package for the purposes of storing the software, games, music, films.|Horizontal|FLEX_POPUP|1900|Left|200|Left||||Active||NULL|MJR3
