dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy
tradeItemGroupIdentification/tradeItemGroupIdentificationCodeReference|N|tradeItemGroupIdentification|100|text||80|1|N|||||||||E|N|en|Trade Item Group Code|A code assigned by the supplier or manufacturer to logically group trade item independently from the Global trade item Classification.|LoopGroup|Text|100|Left|200|Left||||Active||NULL|PIMJR3 Update
wmMediaVariantAttributeNames|Y||3|text||4000|1||||||||||E|N|en|Variant Attribute Names|Designate all attributes by which the item is varying. This list may include variants that the category spec has not explicitly identified. <br>Ex: If partner provides data for “Collar Size,” and "Collar Size" is not in the list of valid variants, then input “Collar Size” as a value here.|Horizontal|Text|200|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
wmMediaIsPrimaryVariant|N|||boolean|||||||||||||E|N|en|Is Primary Variant|Note whether item is intended as the main variant in a variant grouping.|Horizontal|Boolean|300|Left|200|Left||||Active||NULL|Walmart_Initial_Load
wmMediaIsAdultProduct|N|||boolean|||||||||||||E|N|en|Is Adult Product|Indicates if item is adult in nature and should not appear in results for children's products.|Horizontal|Boolean|400|Left|200|Left||||Active||MANDATORY_BEFORE|Walmart_Initial_Load
wmMediaTargetAudience|Y||3|text||60|1||WMTargetAudienceVV||||||||E|N|en|Target Audience|The demographic for which the item is intended. |Horizontal|Multi_Select_List|500|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
wmMediaCharacter|Y||3|text||4000|1||||||||||E|N|en|Character|A real or fictional person associated with an item.|Horizontal|Text|600|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
wmMediaIsDownloadableContentAvailable|N|||boolean|||||||||||||E|N|en|Is Downloadable Content Available|Is extra content available to extend/enhance the experience through a download?|Horizontal|Boolean|700|Left|200|Left||||Active||NULL|Walmart_Initial_Load
wmTVShowsTvRating|N|||text||4000|1||||||||||E|N|en|TV Rating|TV Parental Guidelines Rating|Horizontal|Text|800|Left|200|Left|200|||Active||MANDATORY_BEFORE|Walmart_Initial_Load
wmTVShowsTvShowGenre|N|||text||4000|1||||||||||E|N|en|TV Show Genre|The general category for the television show.|Horizontal|Text|900|Left|200|Left|200|||Active||MANDATORY_BEFORE|Walmart_Initial_Load
wmTVShowsTvShowSubgenre|N|||text||4000|1||||||||||E|N|en|TV Show Subgenre|The more specific subcategory for the television show.|Horizontal|Text|1000|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
wmTVShowsTvNetwork|N|||text||4000|1||||||||||E|N|en|TV Network|The broadcast, cable, or online network which distributes the television program.|Horizontal|Text|1100|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
wmTVShowsTvShowSeason|N|||text||4000|1||||||||||E|N|en|TV Show Season|The set of television episodes recorded for the season of the calendar year, usually airing from September until May.|Horizontal|Text|1200|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
wmTVShowsNumberOfEpisodes|N|||integer||7|1||||||||||E|N|en|Number of Episodes|The number of television episodes contained in the item.|Horizontal|Integer|1300|Left|200|Left||||Active||NULL|Walmart_Initial_Load
wmTVShowsEpisode|N|||integer||7|1||||||||||E|N|en|Episode Number|If the item is only one episode, the number of the episode.|Horizontal|Integer|1400|Left|200|Left||||Active||NULL|Walmart_Initial_Load
studioName|Y||50|text||70|1|N|||||||||E|N|en|Studio Name|Name of the movie studio.|Horizontal|Text|1500|Left|200|Left||||Active||NULL|349
wmTVShowsSeriesTitle|N|||text||4000|1||||||||||E|N|en|Series Title|If the work is one of multiple works in a series, the title of the series or collection. |Horizontal|Text|1600|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
wmTVShowsNumberInSeries|N|||integer||7|1||||||||||E|N|en|Number in Series|The number in the series, if the work is one of multiple works in a series.|Horizontal|Integer|1700|Left|200|Left||||Active||NULL|Walmart_Initial_Load
avp/aspectRatio|N|||text||70|1|N|||||||||E|N|en|Aspect Ratio|avpAspectRatio<br>Qualifier: AVP147<br>Indicates the dimensions of a TV; whether of not it is wide screen or standard.|Horizontal|Text|1800|Left|200|Left||||Active||NULL|AVP
wmTVShowsVideoStreamingQuality|N|||text||4000|1||||||||||E|N|en|Video Streaming Quality|The video resolution quality while streaming. |Horizontal|Text|1900|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
audioSoundTypeCode|Y||100|text||60|1|N|MOVAudioSoundType||||||||E|N|en|Audio Sound Type Code|audioSoundTypeCode<br>Qualifier: ENT053<br>Refer to IM Participant Dictionary for more information regarding this field.|Horizontal|Multi_Select_List|2000|Left|200|Left||||Active||NULL|PI_1SYNC_ATTR
wmTVShowsDuration|N|||float|30|30|15|||M|uom|text||60|1|WMDurationUOMVV|E|N|en|Duration|Viewing or listening time.|Horizontal|Float|2100|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
wmTVShowsDvdReleaseDate|N|||date|||||||||||||E|N|en|DVD Release Date|Date that the film or TV show was released on DVD.|Horizontal|Date|2200|Left|200|Left||||Active||NULL|Walmart_Initial_Load
wmTVShowsIsDubbed|N|||boolean|||||||||||||E|N|en|Is Dubbed|A film or television show is dubbed if there is an audio track that replaces the voices of the original actors with a different language Example: Y; N (Please select a value from the drop-down below)|Horizontal|Boolean|2300|Left|200|Left||||Active||NULL|Walmart_Initial_Load
wmTVShowsHasSubtitles|N|||boolean|||||||||||||E|N|en|Has Subtitles|A film or television show has subtitles if there is a transcript or screenplay of the dialog or commentary displayed on the screen. Example: Y; N (Please select a value from the drop-down below)|Horizontal|Boolean|2400|Left|200|Left||||Active||NULL|Walmart_Initial_Load
audioVisualMediaContentInformation|N||||||||||||||||E|N|en|Audio Visual Media Content Information|Information on the media included in the package for the purposes of storing the software, games, music, films.|Horizontal|FLEX_POPUP|2500|Left|200|Left||||Active||NULL|MJR3
