dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy
healthClaimCode|Y||100|text||80|1|N|HealthClaimCode||||||||E|N|en|Health Claims|Free text field for any health claims according to regulations of the target market.|Horizontal|Multi_Select_List|100|Left|200|Left||||Active||NULL|PIMJR3 Update
percentageOfAlcoholPerVolume|N||1|float|38|38|15||||||||||E|N|en|Percentage of Alcohol per Volume|Percentage of alcohol contained in the base unit trade item. Should only apply at the base consumer unit level. May be a legal requirement in certain countries.|Horizontal|Float|200|Left|200|Left||||Active||NULL|297
kroBeerStyle|Y||3|text||255|1|N|||||||||E|N|en|Beer Style|The brewing style of the beer.|Horizontal|Text|300|Left|200|Left||||Active||NULL|298
kroRegionOfOrigin|Y||100|text||70|1|N|||||||||E|N|en|Region of Origin|Indication of sub region of origin of the trade item.|Horizontal|Text|400|Left|200|Left||||Active||NULL|r
nutrientInformation|N||||||||||||||||E|N|en|Nutrient Information Link|Nutrient Information Link|Horizontal|FLEX_POPUP|500|Left|200|Left||||Active||NULL|1.5.2CTX;
foodAndBevDietTypeInfo|N||||||||||||||||E|N|en|Diet Types Link|Diet Types Link|Horizontal|FLEX_POPUP|600|Left|200|Left||||Active||NULL|DeCA phase 2
dietTypeDescription|Y|||text||70|1|||M|lang|text||5|1|StandardLanguageCodes_hub|E|N|en|Diet Type Description|dietTypeDescription<br>Qualifier: FNB007<br>Free text for indication of diet not stated in the list of diets.|Horizontal|Text|700|Right|200|Left||||Active||NULL|MJR3
foodAndBevPreparationInfo|N||||||||||||||||E|N|en|Food And Bev Preparation Info Link|Food And Bev Preparation Info Link|Horizontal|FLEX_POPUP|1100|Left|200|Left||||Active||NULL|DeCA phase 2
krogerOrganicClaim/kroOrganicClaimAgencyCode|Y|krogerOrganicClaim|100|text||80|1|N|KRO_V10243||||||||E|N|en|Organic Claim Agency|A governing body that creates and maintains standards related to organic products.|LoopGroup|Multi_Select_List|1200|Left|200|Left||||Active||NULL|PI166_FEB04_FEBCR,PI3.0(bharter)
krogerOrganicClaim/kroOrganicTradeItemCode|N|krogerOrganicClaim|100|text||60|1|N|KRO_V10259||||||||E|N|en|Organic Trade Item Code|Used to indicate the organic status of a trade item or of one or more of its components.|LoopGroup|Dropdown|1300|Left|200|Left||||Active||NULL|PIMJR3 Update,PI3.0(bharter)
