dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy
areBatteriesIncluded|N|||boolean|||||||||||||E|N|en|Are Batteries Included?|Indicates if batteries are either included or not included with the game.|Horizontal|Boolean|500|Left|200|Left||||Active||NULL|159; PI152_QA09
areBatteriesRequired|N|||boolean|||||||||||||E|N|en|Are Batteries Required?|Indicates if batteries are required to operate the item.|Horizontal|Boolean|600|Left|200|Left||||Active||NULL|160
avp/displayScreenSize|Y||100|float|15|15|9||||uom|text||3|1|DimensionsUOM|E|N|en|Display/Screen Size|displayScreenSize<br>Qualifier: AVP219<br>Describes the viewable display/screen size of the product. Includes small screen products, includes cameras, etc.|Horizontal|Float|1800|Left|200|Left||||Active||NULL|AVP
avp/displayScreenType|Y||3|text||70|1|N|||||||||E|N|en|Display Screen Type|displayScreenType<br>Qualifier: AVP218<br>Describes the type of display the product projects.|Horizontal|Text|1700|Left|200|Left||||Active||NULL|AVP
avp/hasACDCAdapterIncluded|N|||boolean|||||||||||||E|N|en|Has AC/DC Adapter Included?|hasACDCAdapterIncluded<br>Qualifier: AVP256<br>Indicates whether or not the product includes an AC/DC adapter.|Horizontal|Boolean|100|Left|200|Left||||Active||NULL|AVP
avp/hasBuiltInBattery|N|||boolean|||||||||||||E|N|en|Has Built In Battery?|hasBuiltInBattery<br>Qualifier: AVP829<br>Indicates whether the Product has a Built in Battery rather than Replaceable Battery.|Horizontal|Boolean|300|Left|200|Left||||Active||NULL|AVP
avp/hasCarAdapter|N|||boolean|||||||||||||E|N|en|Has Car Adapter?|hasCarAdapter<br>Qualifier: AVP286<br>Indicates whether or not the product has a car adapter.|Horizontal|Boolean|200|Left|200|Left||||Active||NULL|AVP
avp/hasDetachableSpeakers|N|||boolean|||||||||||||E|N|en|Has Detachable Speakers?|hasDetachableSpeakers<br>Qualifier: AVP748<br>Indicates whether or not the product has speakers that can separate from the main unit.|Horizontal|Boolean|3100|Left|200|Left||||Active||NULL|AVP
avp/hasGPS|N|||boolean|||||||||||||E|N|en|Has GPS?|hasGPS<br>Qualifier: AVP322<br>Indicates whether or not the product has GPS cabability. GPS means Global Positioning System and uses satellites and a receiver to provide a global position.|Horizontal|Boolean|5000|Left|200|Left||||Active||NULL|AVP
avp/hasNavigationCapability|N|||boolean|||||||||||||E|N|en|Has Navigation Capability?|hasNavigationCapability<br>Qualifier: AVP357<br>Indicates whether or not the portable video unit has navigation capability either via alternate input or by internal programming. Combination with GPS.|Horizontal|Boolean|4900|Left|200|Left||||Active||NULL|AVP
avp/hasTouchScreen|N|||boolean|||||||||||||E|N|en|Has Touch Screen?|hasTouchScreen<br>Qualifier: AVP410<br>Indicates whether or not the product has a touch screen.|Horizontal|Boolean|5200|Left|200|Left||||Active||NULL|AVP
avp/isBuiltIntoDigitalCamera|N|||boolean|||||||||||||E|N|en|Is Built Into Digital Camera?|isBuiltIntoDigitalCamera<br>Qualifier: AVP442<br>Indicates whether or not the Product has a built-in Digital Camera. Digital Camera is not the primary function of this product.|Horizontal|Boolean|3000|Left|200|Left||||Active||NULL|AVP
avp/isEnergyStarCompliant|N|||boolean|||||||||||||E|N|en|Is Energy Star Compliant?|isEnergyStarCompliant<br>Qualifier: AVP451<br>Indicates whether or not the product is Energy Star certified.|Horizontal|Boolean|4100|Left|200|Left||||Active||NULL|AVP
avp/memoryType|Y||8|text||70|1|N|||||||||E|N|en|Memory Type|memoryType<br>Qualifier: AVP501<br>Identifies the type of memory that the product uses.|Horizontal|Text|1400|Left|200|Left||||Active||NULL|AVP
avp/networkingTechnologyType|Y||3|text||70|1|N|||||||||E|N|en|Networking Technology Type|networkingTechnologyType<br>Qualifier: AVP521<br>Describes the product's type of networking technology.|Horizontal|Text|2600|Left|200|Left||||Active||MANDATORY_BEFORE|AVP
avp/nitsOfMonitorBrightness|N|||integer||4|1||||||||||E|N|en|Nits Of Monitor Brightness|nitsOfMonitorBrightness<br>Qualifier: AVP522<br>Indicates the measure of the monitor's brightness. Measured in Nits, equal to one candela per square meter.|Horizontal|Integer|4500|Left|200|Left||||Active||NULL|AVP
avp/operatingSystem|Y||5|text||70|1|N|||||||||E|N|en|Operating System|operatingSystem<br>Qualifier: AVP527<br>Indicates the type of operating system which is installed on the machine or, which type of operating system the peripheral is compatible with.|Horizontal|Text|5100|Left|200|Left||||Active||MANDATORY_BEFORE|AVP
avp/processorBrandNameAndSpeed|N|||text||70|1|N|||||||||E|N|en|Processor Brand Name And Speed|processorBrandNameAndSpeed<br>Qualifier: AVP556<br>Describes the product's speed and brand of installed processor.|Horizontal|Text|1100|Left|200|Left||||Active||MANDATORY_BEFORE|AVP
avp/quantityOfSpeakers|N|||integer||4|1||||||||||E|N|en|Quantity Of Speakers|quantityOfSpeakers<br>Qualifier: AVP621<br>Indicates the number of speakers included with this product.|Horizontal|Integer|3400|Left|200|Left||||Active||NULL|AVP
avp/requiredPowerSupplyWattage|N|||float|5|7|2||||||||||E|N|en|Required Power Supply Wattage|requiredPowerSupplyWattage<br>Indicates the minimum required power supply wattage from the computer system power supply required to operate the product.|Horizontal|Float|3700|Left|200|Left||||Active||NULL|AVP
avp/softwareTypesIncluded|Y||3|text||70|1|N|||||||||E|N|en|Software Types Included|softwareTypesIncluded<br>Qualifier: AVP654<br>Indicates the software types included with the product.|Horizontal|Text|4000|Left|200|Left||||Active||NULL|AVP
avp/speakerType|N|||text||70|1|N|||||||||E|N|en|Speaker Type|speakerType<br>Qualifier: AVP661<br>Describes the speaker style.|Horizontal|Text|3500|Left|200|Left||||Active||NULL|AVP
avp/speakerUse|N|||text||70|1|N|||||||||E|N|en|Speaker Use|speakerUse<br>Qualifier: AVP662<br>Indicates whether the speakers are stationary or can be portable.|Horizontal|Text|3600|Left|200|Left||||Active||NULL|AVP
avp/viewingAngle|N|||integer||4|1||||||||||E|N|en|Viewing Angle|viewingAngle<br>Qualifier: AVP701<br>Indicates how wide the viewing angle is on the product.|Horizontal|Integer|4600|Left|200|Left||||Active||NULL|AVP
batteryTypeInformation/batteryTechnologyType|Y|batteryTypeInformation|100|text||70|1|N|BatteryTechnologyTypeCodeList||||||||E|N|en|Battery Technology Type|Describes the type of battery technology used by this device.|LoopGroup|Multi_Select_List|700|Left|200|Left||||Active|O|NULL|519; PI152_QA09
batteryTypeInformation/batteryWeight|N|batteryTypeInformation|100|float|23|53|15|||M|uom|text||3|1|MassUOM|E|N|en|Battery Weight|The weight of each battery included with or built into the trade item.|LoopGroup|Float|1000|Left|200|Left||||Active|O|NULL|547
batteryTypeInformation/quantityOfBatteriesBuiltIn|N|batteryTypeInformation|100|integer||6|1||||||||||E|N|en|Qty of Batteries Built In|The number of batteries included with and built into the trade item during manufacturing which cannot be changed or removed.|LoopGroup|Integer|800|Left|200|Left||||Active|O|NULL|546
batteryTypeInformation/quantityOfBatteriesRequired|N|batteryTypeInformation|100|integer||6|1||||||||||E|N|en|Qty of Batteries Reqd|quantityOfBatteriesRequired<br>Qualifier: ENT009<br>The number of batteries required to operate the trade item.|LoopGroup|Integer|900|Left|200|Left||||Active|O|NULL|161; PI52_QA15
dynamicContrastRatio|N|||integer||10|1||||||||||E|N|en|Contrast Ratio Dynamic|contrastRatioDynamic<br>Qualifier: AVP824<br>Indicates the ratio of lumenosity of the brightest and darkest color the system is capable of producing simultaneously over time. Examples: 550_1, 600_1, 700_1.|Horizontal|Integer|4300|Right|200|Left||||Active||NULL|MJR3
kroAmountOfMemoryIncluded|N|||integer||4|1||||||||||E|N|en|Amount Of Memory Included|The amount of internal memory (also called working memory or primary memory) that comes with the device. Primary memory is defined as memory directly accessible by the CPU - typically a type of RAM (Random Access Memory).|Horizontal|Integer|1200|Left|200|Left|5|||Active||MANDATORY_BEFORE|164; PI152_QA10
kroAmountOfMemoryIncludedUOM|N|||text||70|1|N|KroMemoryUOMVV||||||||E|N|en|Amount Of Memory Included UOM|Indicates the Unit of Measure used for Memory Included|Horizontal|Dropdown|1300|Left|200|Left|20|||Active||MANDATORY_BEFORE|165; PI152_QA10
kroAudioVisualConnection/kroConnectionInputDirection|N|kroAudioVisualConnection|100|text||70|1|N|KroConnectionInputDirectionVV||||||||E|N|en|Direction|The directions of connections (input, output) that are available expressed as a code value.|LoopGroup|Dropdown|2800|Left|60|Left||||Active||NULL|181
kroAudioVisualConnection/kroConnectionQuantity|N|kroAudioVisualConnection|100|integer||4|1||||||||||E|N|en|Quantity|The number of audio visual connections available on the unit expressed as a code.|LoopGroup|Integer|2900|Left|60|Left||||Active||NULL|182
kroAudioVisualConnection/kroConnectionType|N|kroAudioVisualConnection|100|text||70|1|N|KroConnectionTypeVV||||||||E|N|en|Connection Type|The types of Standard or Basic Connection Types that are available expressed as a code.|LoopGroup|Dropdown|2700|Left|60|Left||||Active||NULL|180
kroBatteryLife|N|||integer||4|1||||||||||E|N|en|Battery Life|How long the battery lasts.|Horizontal|Integer|3800|Left|200|Left||||Active||NULL|194; PI152_QA10
