dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy
audioVisualMediaContentInformation|N||||||||||||||||E|N|en|Audio Visual Media Content Information|Information on the media included in the package for the purposes of storing the software, games, music, films.|Horizontal|FLEX_POPUP|1100|Left|200|Left||||Active||NULL|MJR3
audioVisualMediaDateInformation/audioVisualMediaDateTime|N|audioVisualMediaDateInformation|100|datetime|||||||||||||E|N|en|Audio Visual Media Date|The date for audio or visual media products for example release date.|LoopGroup|DateTime|1000|Right|200|Left||||Active|O|NULL|MJR3
audioVisualMediaDateInformation/audioVisualMediaDateTypeCode|N|audioVisualMediaDateInformation|100|text||80|1||AudioVisualMediaDateTypeCode||||||||E|N|en|Audio Visual Media Date Type Code|A code specifying the type of date for audio or visual media products for example release date.|LoopGroup|DropDown|900|Right|200|Left||||Active|O|NULL|MJR3
audioVisualMediaProductLabelName|Y||100|text||70|1|N|||||||||E|N|en|Label Name|Name of the music label.|Horizontal|Text|200|Left|200|Left||||Active||NULL|PIMJR3 Update
audioVisualMediaProductTitle|N|||text||200|1||||||||||E|N|en|Product Title|Title of the audio visual media product.|Horizontal|Text|100|Right|200|Left||||Active||NULL|MJR3
kroProductGenre|N||1|text||70|1|N|KroGenreVV||||||||E|N|en|Genre|The code of the genre for this electronic games trade item. The genre is a categorization of the trade item based upon the content and maintained for marketing and merchandising purposes.|Horizontal|Dropdown|700|Left|200|Left||||Active||MANDATORY_BEFORE|348
kroPublicationDate|N||1|dateTime|||||||||||||E|N|en|Publication Date|The date of publication.|Horizontal|DateTime|800|Left|200|Left||||Active||MANDATORY_BEFORE|350
kroPublicationTitleRating/kroRatingContentDescriptor|Y|kroPublicationTitleRating|50|text||70|1|||M|lang|text||5|1|StandardLanguageCodes_hub|E|N|en|Rating Content Description|Indicate elements in the trade item that may trigger a particular rating and/or may be of interest or concern to the consumer.|LoopGroup|Text|400|Left|200|Left|30|||Active||NULL|555; PI52_QA19
kroPublicationTitleRating/kroTitleRating|N|kroPublicationTitleRating|50|text||35|1|N|KroTitleRatingVV||||||||E|N|en|Title Rating|A rating assigned to the title by a country, industry or volunteer organization that may be of interest or concern to the consumer.|LoopGroup|Dropdown|500|Left|150|Left|20|||Active||MANDATORY_BEFORE|345; PI154_QA14
kroPublicationTitleRating/kroTitleRatingEntity|N|kroPublicationTitleRating|50|text||35|1|N|KroTitleRatingEntityVV||||||||E|N|en|Title Rating Entity|The name of the country, industry or volunteer organization that has rated the title and has provided the rating content descriptor.|LoopGroup|Dropdown|600|Left|150|Left|20|||Active||MANDATORY_BEFORE|346; PI154_QA14
publicationTitleRating|N||||||||||||||||E|N|en|Publication Title Rating Link|Publication Title Rating Link|Horizontal|FLEX_POPUP|300|Left|200|Left||||Active||NULL|MJR3
