dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy
avp/cleaningMethod|N|||text||70|1|N|||||||||E|N|en|Cleaning Method|cleaningMethod<br>Qualifier: AVP198<br>Indicates the method in which to clean the product.|Horizontal|Text|1100|Left|200|Left||||Active||NULL|AVP
kroClosureType|Y||10|text||70|1|N|KroEcommClosureTypeVV||||||||E|N|en|Closure Type|The closure mechanism(s) on this garment.|Horizontal|Dropdown|1300|Left|200|Left||||Active||NULL|128
kroClothingCut|N|||text||70|1|N|||||||||E|N|en|Cut/Fit/Silhouette|Supplemental information to indicate the clothing cut or silhouette make of the garment. For example: silhouette details for a pair of jeans such as boot cut, or loose fit, Comfort Fit.|Horizontal|Text|1200|Left|200|Left||||Active||NULL|126
kroHemStyle|N||1|text||70|1|N|||||||||E|N|en|Hem Style|The style of hem on this garment.|Horizontal|Text|1400|Left|200|Left||||Active||NULL|132
kroPantLegStyle|N||1|text||70|1|N|||||||||E|N|en|Leg Style|The style of leg on this garment e.g. skinny, boot cut.|Horizontal|Text|1600|Left|200|Left||||Active||NULL|140
kroStyleDescription|N||1|text||70|1|N|||||||||E|N|en|Style Description|Describes the style of the product.|Horizontal|Text|1800|Left|200|Left||||Active||NULL|148
kroToeStyle|N||1|text||70|1|N|||||||||E|N|en|Toe Style|The style of toe: closed, square, steel-toe, etc.|Horizontal|Text|1700|Left|200|Left||||Active||NULL|141
kroWaistStyle|N||1|text||70|1|N|||||||||E|N|en|Waist Style|The style of waist on this garment e.g. elastic, low-rise, medium-rise, etc.|Horizontal|Text|1500|Left|200|Left||||Active||NULL|139
nonPackagedSizeDimension/descriptiveSizeDimension|Y|nonPackagedSizeDimension|100|text||70|1|||M|lang|text||5|1|StandardLanguageCodes_hub|R|N|en|Descriptive Size Dim|descriptiveSizeDimension<br>Qualifier: CRE047<br>The textual representation of the size dimension specified by the size type.|LoopGroup|Text|200|Right|200|Left||||Active|O|NULL|MJR3
nonPackagedSizeDimension/sizeDimension|N|nonPackagedSizeDimension|100|float|15|30|15|||M|uom|text||5|2|uom|R|N|en|Size Dimension|The numerical size measurement of the size dimension specified by the size type.|LoopGroup|Float|300|Right|200|Left||||Active|O|NULL|MJR3
nonPackagedSizeDimension/sizeSystemCode|N|nonPackagedSizeDimension|100|text||80|1||SizeSystem||||||||R|N|en|Size System|sizeSystem<br>Qualifier: CRE050<br>The system that is used to define the size. It is used in conjunction with size group to completely de-fine the size dimension.|LoopGroup|DropDown|400|Right|200|Left||||Active|O|NULL|MJR3
nonPackagedSizeDimension/sizeTypeCode|N|nonPackagedSizeDimension|100|text||80|1||SizeType||||||||R|N|en|Size Type|sizeType<br>Qualifier: CRE046<br>The type of size dimension being specified by the size measurement.|LoopGroup|DropDown|500|Right|200|Left||||Active|O|NULL|MJR3
productSize/code|N|productSize|100|text||50|1|N|||||||||E|N|en|Product Size Code|The value from an industry specific code list required to identify the size of the trade item. Can be a combination of values which fully describes the trade item size.|LoopGroup|Text|600|Left|200|Left||||Active||NULL|MISSING; PI153_QA03
productSize/descriptiveSize|Y|productSize|100|text||35|1|||M|lang|text||5|1|StandardLanguageCodes_hub|E|N|en|Descriptive Size|The textual representation of all size dimensions concatenated into a single descriptor. <br>S, M, L, XL, 31 x 34, 29 x 32, etcetera.|LoopGroup|Text|800|Left|200|Left||||Active||MANDATORY_BEFORE|508; PI52_QA19; PI152_QA21
productSize/maintenanceAgency|N|productSize|100|text||3|1|N|ProductSizeCodeAgencies||||||||E|N|en|Product Size Code Maintenance Agency|The parties controlling the code list for size.|LoopGroup|Dropdown|700|Left|200|Left||||Active||MANDATORY_BEFORE|MISSING; PI153_QA03
sizeGroupCode|N|||text||80|1||SizeGroup||||||||R|N|en|Size Group|sizeGroup<br>Qualifier: CRE045<br>A description of the variable size that is necessary to uniquely specify the size of the item in conjunction with the non-packaged size dimension.|Horizontal|DropDown|100|Right|200|Left||||Active||NULL|MJR3
targetConsumerAge|Y|||text||70|1|||M|lang|text||5|1|StandardLanguageCodes_hub|E|N|en|Target Consumer Age|Identifies the target consumer age range for which a trade item has been designed.|Horizontal|Text|1000|Left|200|Left||||Active||NULL|138; PI52_QA19
targetConsumerGender|N|||text||60|1|N|TargetConsumerGender||||||||E|N|en|Target Consumer Gender|Identifies the target consumer gender for which a product has been designed.|Horizontal|Dropdown|900|Left|200|Left||||Active||NULL|127
