dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy
avp/additionalPrinterFunctions|Y||3|text||70|1|N|||||||||E|N|en|Additional Printer Functions|additionalPrinterFunctions<br>Qualifier: AVP130<br>Describes functions other than printing that the printer can perform.|Horizontal|Text|2300|Left|200|Left||||Active||NULL|AVP
avp/automatedDocumentFeederPageCapacity|N|||integer||4|1||||||||||E|N|en|Automated Document Feeder Page Capacity|automatedDocumentFeederPageCapacity<br>Qualifier: AVP150<br>Indicatest the number of pages the self-loader holds at one time. Measured in Pages.|Horizontal|Integer|2100|Left|200|Left||||Active||NULL|AVP
avp/blackAndWhitePrintSpeed|N|||integer||4|1||||||||||E|N|en|Black And White Print Speed|blackAndWhitePrintSpeed<br>Qualifier: AVP158<br>Indicates the black and white print speed of the product. Measured in Pages per Minute (PPM).|Horizontal|Integer|1600|Left|200|Left||||Active||NULL|AVP
avp/colorPrintSpeed|N|||integer||4|1||||||||||E|N|en|Color Print Speed|colorPrintSpeed<br>Qualifier: AVP202<br>Indicates the color print speed of the product. Measured in Pages per Minute (PPM).|Horizontal|Integer|1700|Left|200|Left||||Active||NULL|AVP
avp/displayScreenType|Y||3|text||70|1|N|||||||||E|N|en|Display Screen Type|displayScreenType<br>Qualifier: AVP218<br>Describes the type of display the product projects.|Horizontal|Text|400|Left|200|Left||||Active||NULL|AVP
avp/dotsPerInch|N|||text||70|1|N|||||||||E|N|en|Dots Per Inch|dotsPerInch<br>Qualifier: AVP223<br>Indicates the concentration of pixels in a square inch on the printed page.|Horizontal|Text|1200|Left|200|Left||||Active||NULL|AVP
avp/isDoubleSidedPrintingCapable|N|||boolean|||||||||||||E|N|en|Is Double-sided Printing Capable?|isDoubleSidedPrintingCapable<br>Qualifier: AVP449<br>Indicates whether or not the product can print on both sides of the paper without having the user flip the paper.|Horizontal|Boolean|1300|Left|200|Left||||Active||NULL|AVP
avp/isEnergyStarCompliant|N|||boolean|||||||||||||E|N|en|Is Energy Star Compliant?|isEnergyStarCompliant<br>Qualifier: AVP451<br>Indicates whether or not the product is Energy Star certified.|Horizontal|Boolean|1000|Left|200|Left||||Active||NULL|AVP
avp/networkingTechnologyType|Y||3|text||70|1|N|||||||||E|N|en|Networking Technology Type|networkingTechnologyType<br>Qualifier: AVP521<br>Describes the product's type of networking technology.|Horizontal|Text|500|Left|200|Left||||Active||NULL|AVP
avp/photoPrintSpeed|N|||float|7|14|7||||||||||E|N|en|Photo Print Speed|photoPrintSpeed<br>Qualifier: AVP546<br>Indicates the product's photo print speed, which is measured in Pages per Minute (PPM).|Horizontal|Float|1800|Left|200|Left||||Active||NULL|AVP
