dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy
kro3DMapView|N|||text||60|1||KRO_V11750||||||||R|N|en|3D Map View|Identifies if the product has a 3D map view.|Horizontal|Dropdown|276000|Left|200|Left||||Active||NULL|
kro911FreeV12104|N|||text||60|1||KRO_V12104||||||||R|N|en|911 Free|Fee charged on a Phone card for calling emergency number (911)|Horizontal|Dropdown|109000|Left|200|Left||||Active||NULL|
kroAbsorbencyLevelClaimV10415|N|||text||60|1|N|KRO_V10415||||||||R|N|en|Absorbency Level Claim|Determines strength of absorbency in a product|Horizontal|dropdown|184700|Left|200|Left||||Active||NULL|
kroAbsorbencyLevelClaimV10888|N|||text||60|1|N|KRO_V10888||||||||R|N|en|Absorbency Level Claim|Determines strength of absorbency in a product|Horizontal|Dropdown|184800|Left|200|Left||||Active||NULL|
kroACAdaptorIncluded|N||1|text||60|1||KRO_V12953||||||||E|N|en|AC Adaptor Included|Identifies if the product comes with an AC Adaptor.|Horizontal|Dropdown|328000|Left|200|Left||||Active||NULL|
kroAccelerant|N|||boolean||||N|||||||||R|N|en|Accelerant|Identify if product is accelerant intended to start fire|Horizontal|Boolean|140200|Left|200|Left||||Active||NULL|
kroAccessoriesIncluded|N|||boolean|||||||||||||R|N|en|Accessories Included|Identifies if the product comes with additional accessories.|Horizontal|Boolean|221500|Left|200|Left||||Active||NULL|
kroAcetoneFree|N|||text||60|1||KRO_V10920||||||||R|N|en|Acetone Free|The descriptive term that is used by the product manufacturer to identify whether or not the product is acetone free.|Horizontal|Dropdown|224300|Left|200|Left||||Active||NULL|
kroAcidityLevel|N|||float|6|6|3|N|||||||||R|N|en|Acidity Level|Percentage of acidity of white or cider vinegar|Horizontal|Float|129300|Left|200|Left||||Active||NULL|
kroActiveIngredient/kroActiveIngredientAmount|N|kroActiveIngredient|100|float|15|30|15|N|||uom|text||3|1|MassEnergyVolumeInfoStorageUOM|R|N|en|Active Ingredient Amount & UOM|Quantity of the Active Ingredient in the item. |LoopGroup|Float|16800|Left|200|Left||||Active||NULL|
kroActiveIngredient/kroActiveIngredientName|N|kroActiveIngredient|100|text||255|1|N|||||||||R|N|en|Active Ingredient Name|The name of the Active Ingredient in the item.|LoopGroup|Text|16700|Left|200|Left||||Active||NULL|
kroActiveIngredientsMedication|Y||10|text||200|1|N|||||||||R|N|en|Active Ingredients (Medication)|Product is defined as a medication. This attribute defines what the active ingredients are per dose.|Horizontal|Text|170300|Left|200|Left||||Active||NULL|
kroActivityRequiredToPrepareProductForSale|N|||text||60|1||KRO_V10911||||||||R|N|en|Activity Required to Prepare Product for Sale|Labor effort needed for product to be considered "finished" and ready for sale|Horizontal|Dropdown|193900|Right|200|Left||||Active||NULL|
kroActors|N|||text||100|1||||||||||R|N|en|Actors|Identifies the actors that star in the media, movie or entertainment.|Horizontal|Text|272200|Left|200|Left||||Active||NULL|
kroAddedDHAOrARA|N|||boolean||||N|||||||||R|N|en|Added Docosahexaenoic Acid (DHA) or Arachidonic Acid (ARA)|DHA and AHA are fatty acids that can be added to foods. Said to help in brain and eye development, they are not allowed for USDA WIC eligibility|Horizontal|Boolean|188700|Left|200|Left||||Active||NULL|
kroAddedFlavoringV10106|Y||100|text||60|1|N|KRO_V10106||||||||R|N|en|Added Flavoring|The descriptive term that is used by the product manufacturer to identify one or more specific added flavors.|Horizontal|Multi_Select_List|182600|Left|200|Left||||Active||NULL|
kroAddedFlavoringV11003|Y||100|text||60|1||KRO_V11003||||||||R|N|en|Added Flavoring|The descriptive term that is used by the product manufacturer to identify one or more specific added flavors.|Horizontal|Multi_Select_List|182400|Right|200|Left||||Active||NULL|
kroAddedFlavoringV11046|Y||100|text||60|1||KRO_V11046||||||||R|N|en|Added Flavoring|The descriptive term that is used by the product manufacturer to identify one or more specific added flavors.|Horizontal|Multi_Select_List|182500|Right|200|Left||||Active||NULL|
kroAddedIngredientsV10138|Y||10|text||60|1||KRO_V10138||||||||R|N|en|Added Ingredients|Ingredients added to base item for flavor profile|Horizontal|Multi_Select_List|76600|Left|200|Left||||Active||NULL|
kroAddedIngredientsV10139|Y||10|text||60|1||KRO_V10139||||||||R|N|en|Added Ingredients|Ingredients added to base item for flavor profile|Horizontal|Multi_Select_List|76700|Left|200|Left||||Active||NULL|
kroAddedIngredientsV10140|Y||10|text||60|1||KRO_V10140||||||||R|N|en|Added Ingredients|Ingredients added to base item for flavor profile|Horizontal|Multi_Select_List|76800|Left|200|Left||||Active||NULL|
kroAddedIngredientsV10141|Y||10|text||60|1|N|KRO_V10141||||||||R|N|en|Added Ingredients|Ingredients added to base item for flavor profile|Horizontal|Multi_Select_List|167900|Left|200|Left||||Active||NULL|
kroAddedIngredientsV10144|Y||10|text||60|1|N|KRO_V10144||||||||R|N|en|Added Ingredients|Ingredients added to base item for flavor profile|Horizontal|Multi_Select_List|168100|Left|200|Left||||Active||NULL|
kroAddedIngredientsV10145|Y||10|text||60|1|N|KRO_V10145||||||||R|N|en|Added Ingredients|Ingredients added to base item for flavor profile|Horizontal|Multi_Select_List|168300|Left|200|Left||||Active||NULL|
kroAddedIngredientsV10146|Y||10|text||60|1||KRO_V10146||||||||R|N|en|Added Ingredients|Ingredients added to base item for flavor profile|Horizontal|Multi_Select_List|76900|Left|200|Left||||Active||NULL|
