dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy
kro3DMapView|N|||text||60|1||KRO_V11750||||||||E|N|en|3D Map View|Identifies if the product has a 3D map view.|Horizontal|Dropdown|700|Left|200|Left||||Active||NULL|
kroAdditionalProductsV11783|Y||10|text||60|1||KRO_V11783||||||||E|N|en|Additional Product(s)|The descriptive term that is used by the manufacturer to identify additional products associated with the primary product.|Horizontal|Multi_Select_List|800|Left|200|Left||||Active||MANDATORY_BEFORE|
kroAssortmentPlanName|N|||text||50|1||||||||||E|N|en|Assortment Plan Name|Identify the Assortment Plan Name|Horizontal|Text|1000|Left|200|Left||||Active||NULL|
kroAutoRerouting|N|||text||60|1||KRO_V11751||||||||E|N|en|Auto Rerouting|Identifies if the product has an auto rerouting function.|Horizontal|Dropdown|1100|Left|200|Left||||Active||NULL|
kroAvoidHighwaysTolls|N|||text||60|1||KRO_V11752||||||||E|N|en|Avoid Highways/Tolls|Identifies if the product has the avoid highways or tolls function.|Horizontal|Dropdown|1200|Left|200|Left||||Active||NULL|
kroBacklitKeyboard|N|||text||60|1||KRO_V11753||||||||E|N|en|Backlit Keyboard|Identifies if the item has a backlit keyboard.|Horizontal|Dropdown|1300|Left|200|Left||||Active||NULL|
kroBanner_Packaging_Serving|N||||||||||||||||R|N|en|Packaging/Serving|Packaging/Serving|Banner|Label|5500|Left|200|Left||||Active||NULL|
kroBanner_Product_Description|N||||||||||||||||R|N|en|Product Description|Product Description|Banner|Label|600|Left|200|Left||||Active||NULL|
kroBanner_Product_NetContentEUOM|N||||||||||||||||R|N|en|Net Content|Net Content and Equivalent UOM|Banner|Label|100|Left|200|Left||||Active||NULL|
kroBanner_Product_Processing|N||||||||||||||||R|N|en|Product Processing|Product Processing|Banner|Label|5000|Left|200|Left||||Active||NULL|
kroBatteryOrRechargeableV10352|N|||text||60|1||KRO_V10352||||||||E|N|en|Battery or Rechargeable|Identify the type of battery the product uses or requires|Horizontal|Dropdown|5100|Left|200|Left||||Active||MANDATORY_BEFORE|
kroBluetoothCapable|N|||text||60|1||KRO_V11725||||||||E|N|en|Bluetooth Capable|The descriptive term that is used by the product manufacturer to identify if the product is Bluetooth capable.|Horizontal|Dropdown|1400|Left|200|Left||||Active||NULL|
kroColorDisplay|N|||text||60|1||KRO_V11754||||||||E|N|en|Color Display|Identifies if the product has a color screen display.|Horizontal|Dropdown|1700|Left|200|Left||||Active||MANDATORY_BEFORE|
kroColorFormatV11755|N|||text||60|1||KRO_V11755||||||||E|N|en|Color Format|The descriptive term that is used by the product manufacturer to identify the color format.|Horizontal|Dropdown|1800|Left|200|Left||||Active||MANDATORY_BEFORE|
kroColorV10825|Y||100|text||60|1|N|KRO_V10825||||||||E|N|en|Color|Indicates the color of the trade item.|Horizontal|Multi_Select_List|1500|Left|200|Left||||Active||MANDATORY_BEFORE|
kroConsumerProductTypeV11785|N|||text||60|1||KRO_V11785||||||||E|N|en|Consumer Product Type|Identify the type of product.|Horizontal|Dropdown|1900|Left|200|Left||||Active||MANDATORY_BEFORE|
kroEquivalentUOMQuantityOverride|N|||float|7|7|2|||M|uom|text||60|1|KRO_V10742|E|N|en|Net Content Equivalent UOM VIP to Kroger Override|Indicates Kroger required EUOM. Please complete class popup attributes in order to obtain Kroger required EUOM|Horizontal|Float|500|Left|200|Left||||Active||NULL|
kroFaceDetector|N|||text||60|1||KRO_V11756||||||||E|N|en|Face Detector|Identifies if the product has the face detector function.|Horizontal|Dropdown|2000|Left|200|Left||||Active||NULL|
