dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy
myrGtinInformationBanner|N||||||||||||||||R|N|en|GTIN Information|GTIN Information|Banner|Label|100|Left|200|Left||||Active||NULL|
gtin|N|||text||14|1|N|||||||||R|N|en|GTIN (Global Trade Item Number)|The Global Trade Item Number is the standard 14-digit number used to identify the product.|Horizontal|Text|200|Left|200|Left||||Active||NULL|
targetMarket|N|||text||2|1|N|StandardCountryCodes||||||||R|N|en|Target Market|The target market indicates the country where the trade item is available for sale. Combination of this field +GTIN+GLN uniquely identifies a trade item. Default is US.|Horizontal|Dropdown|300|Left|200|Left||||Active||NULL|
netContent|Y||100|float|38|38|15|||M|uom|text||5|2|AreaCountDimensionInfostorageMassVolumeUOM|R|N|en|Net Content & UOM - Vendor|The amount of the product contained in the package, usually as claimed on the label. If a product’s net content can be represented in multiple values – please provide all values (e.g. laundry detergent – 150 fluid ounces 1.17 gallons, 96 loads).|Horizontal|Float|400|Left|200|Left||||Active||NULL|
gs1TradeItemIdentificationKey/code|N|gs1TradeItemIdentificationKey|100|text||80|1|N|GS1TradeItemIdentificationKeyTypeCode||||||||R|N|en|GS1 Trade Item ID Code|The EANUCC Code or number required based on the Product Type. Its character length depends on EANUCC Type chosen (i.e., EAN-13, UPC-A).|LoopGroup|Dropdown|500|Left|200|Left||||Active||NULL|
gs1TradeItemIdentificationKey/value|N|gs1TradeItemIdentificationKey|100|text||70|1|N|||||||||R|N|en|GS1 Trade Item ID Value|The EANUCC Code or number required based on the Product Type. Its character length depends on EANUCC Type chosen (i.e., EAN-13, UPC-A).|LoopGroup|Text|600|Left|200|Left||||Active||NULL|
productType|N|||text||80|1|N|ProductTypeCodes_hub||||||||R|N|en|Product Type|Describes the hierarchical level of the trade item (e.g. each, case, pallet, etc.).|Horizontal|Dropdown|700|Left|200|Left||||Active||NULL|
organizationInformationBanner|N||||||||||||||||R|N|en|Organization Information|Organization Information|Banner|Label|800|Left|200|Left||||Active||NULL|
informationProviderGLN|N|||text||13|1|N|||||||||R|N|en|Information Provider GLN|The GLN of the organization responsible for the validity of the item information being supplied.|Horizontal|Text|900|Left|200|Left||||Active||NULL|
informationProviderName|N|||text||128|1|N|||||||||R|N|en|Information Provider Name|Name of the company associated with the Information Provider GLN.|Horizontal|Text|1000|Left|200|Left|128|||Active||NULL|
brandOwnerGLN|N|||text||13|1|N|||||||||R|N|en|Brand Owner GLN|A brand is owned by a particular organization. Populate this field with the GLN used to identify the owner of the brand.|Horizontal|Text|1100|Left|200|Left||||Active||NULL|
brandOwnerName|N|||text||128|1|N|||||||||R|N|en|Brand Owner Name|Name of the party who owns the brand of the trade item.|Horizontal|Text|1200|Left|200|Left|128|||Active||NULL|
measuresBanner|N||||||||||||||||R|N|en|Measures|Measures|Banner|Label|1300|Left|200|Left||||Active||NULL|
depth|Y||999|float|38|53|15|||M|uom|text||3|1|DimensionsUOM|R|N|en|Depth & UOM|For consumer trade items: The measurement from front to back of the product after the default front is determined (this also applies to non-consumer trade items that go on a retailer shelf – for example, protein bars sold individually but merchandised on the retailer shelf in a carton). For non-consumer trade items: The measurement of the longest side of the base of the product after the natural base is determined.|Horizontal|Float|1400|Left|200|Left||||Active||NULL|
width|Y||999|float|38|53|15|||M|uom|text||3|1|DimensionsUOM|R|N|en|Width & UOM|For consumer trade items: The measurement from left to right of the product after the default front is determined (this also applies to non-consumer trade items that go on a retailer shelf – for example, protein bars sold individually but merchandised on the retailer shelf in a carton). For non-consumer trade items: The measurement of the shortest side of the base of the trade item after the natural base is determined.|Horizontal|Float|1500|Left|200|Left||||Active||NULL|
height|Y||999|float|38|53|15|||M|uom|text||3|1|DimensionsUOM|R|N|en|Height & UOM|The vertical dimension from the lowest extremity to the highest extremity, including packaging and the unit of measure associated with the height.|Horizontal|Float|1600|Left|200|Left||||Active||NULL|
grossWeight|Y||999|float|38|53|15|||M|uom|text||3|1|MassUOM|R|N|en|Gross Weight & UOM|The gross weight of the product. Includes all packaging materials o At the pallet level the gross weight includes the weight of the pallet itself.|Horizontal|Float|1700|Left|200|Left||||Active||NULL|
isVariableWeightItem|N|||boolean|||||||||||||R|N|en|Variable Weight Trade Item|Indicates that the product is not a fixed weight/quantity.|Horizontal|Boolean|1800|Left|200|Left||||Active||NULL|
datesBanner|N||||||||||||||||R|N|en|Dates|Dates|Banner|Label|1900|Left|200|Left||||Active||NULL|
startAvailabilityDate|N|||datetime|||||||||||||R|N|en|Start Availability Date|The date from which the trade item becomes available from the supplier, including seasonal or temporary trade items. Most common is to use current date.|Horizontal|DateTime|2000|Left|200|Left||||Active||NULL|
prodDescriptionBanner|N||||||||||||||||R|N|en|Product Description|Product Description|Banner|Label|2100|Left|200|Left||||Active||NULL|
functionalName|Y|||text||70|1|N||M|lang|text||5|1|StandardLanguageCodes_hub|R|N|en|Functional Name|Is the "Functional Name" of the trade item. Describes use of the product or service by the consumer. Should help clarify the product classification associated with the GTIN.|Horizontal|Text|2200|Left|200|Left||||Active||NULL|
shortDescription|Y|||text||35|1|||M|lang|text||5|1|StandardLanguageCodes_hub|R|N|en|Short Description / POS Desc|A short textual description associated with the product. This description can be used on the cash register receipt. This is the first line of the description.|Horizontal|Text|2300|Left|200|Left||||Active||NULL|
brandName|N|||text||70|1|N|||||||||R|N|en|Brand Name|The brand name for the product recognized by the consumer.|Horizontal|Text|2400|Left|200|Left|40|||Active||NULL|
globalClassificationCategory/code|N|globalClassificationCategory|1|text||8|8|N|||||||||R|N|en|GPC Brick Code|The classification code according to the classification system established by the GDSN and assigned to an item.|LoopGroupVertical|Text|2500|Left|200|Left|8|||Active||NULL|
globalClassificationCategory/name|N|globalClassificationCategory|1|text||255|1|N|||||||||R|N|en|Global Classification Category Name|The classification code description that applies to this code chosen for the product in the Global Product Classification Code Scheme.|LoopGroupVertical|Text|2600|Left|200|Left|255|||Active||NULL|
countryOfOrigin/countryCode|N|countryOfOrigin|100|text||5|1|N|StandardCountryCodes||||||||R|N|en|Country Of Origin|The countries in which the product has been produced or manufactured.|LoopGroup|DropDown|2700|Left|200|Left||||Active||NULL|
packagingBanner|N||||||||||||||||R|N|en|Packaging|Packaging|Banner|Label|2800|Left|200|Left||||Active||NULL|
packagingMarkedReturnable|N|||boolean|||||||||||||R|N|en|Packaging Marked Returnable|Yes indicates this packaging level is the trade item that has packaging with markings to indicate returnable packaging.|Horizontal|Boolean|2900|Left|200|Left||||Active||NULL|
isConsumerUnit|N|||boolean|||||||||||||R|N|en|Consumer Unit Indicator|Yes indicates this packaging level is the trade item intended for ultimate consumption. For retail, this trade item will be scanned at point of sale. At retail, this data is commonly used to select which GTINs should be used for shelf planning and for front end POS databases.|Horizontal|Boolean|3000|Left|200|Left||||Active||NULL|
isBaseUnit|N|||boolean|||||||||||||R|N|en|Base Unit Indicator|Yes indicates this packaging level is the trade item that is at the lowest level in the item hierarchy.|Horizontal|Boolean|3100|Left|200|Left||||Active||NULL|
handlingDeliveryBanner|N||||||||||||||||R|N|en|Handling & Delivery|Handling & Delivery|Banner|Label|3200|Left|200|Left||||Active||NULL|
ti|N|||integer||10|1||||||||||R|N|en|Num of Items in a Complete Layer/GTIN Pallet Ti|The number of cases contained in a layer of a standard shipment.|Horizontal|Integer|3300|Left|200|Left|3|||Active||NULL|
hi|N|||integer||10|1||||||||||R|N|en|Num of Complete Layers Cont in Item/GTIN Pallet Hi|The number of layers that a pallet contains. Only used if pallet has no GTIN. In this case it applies to the highest level of the item hierarchy and only 1 pallet configuration can be provided. It is highly recommended to use GTIN for pallet identification.|Horizontal|Integer|3400|Left|200|Left|3|||Active||NULL|
isDispatchUnit|N|||boolean|||||||||||||R|N|en|Dispatch Unit Indicator|Yes indicates that this packaging level is the trade item identified as the shipping unit.|Horizontal|Boolean|3500|Left|200|Left||||Active||NULL|
orderingSellingBanner|N||||||||||||||||R|N|en|Ordering & Selling|Ordering & Selling|Banner|Label|3600|Left|200|Left||||Active||NULL|
isInvoiceUnit|N|||boolean|||||||||||||R|N|en|Invoice Unit Indicator|Yes indicates this packaging level is the trade item included in the supplier’s billing or invoice.|Horizontal|Boolean|3700|Left|200|Left||||Active||NULL|
marketingBanner|N||||||||||||||||R|N|en|Marketing|Marketing|Banner|Label|3800|Left|200|Left||||Active||NULL|
season/seasonalAvailabilityStartDate|N|season|100|dateTime|||||||||||||R|N|en|Seasonal Start Date|Indicates the start date of the trade item's seasonal availability.  The seasonal availability can be different from the ordering time and especially from the dispatching time. The availability is more like an intention of the supplier as to how long he wants to offer the product. The dispatching time is more useful for the DC and the outlet warehousing.|LoopGroup|Date|3900|Left|200|Left||||Active||NULL|
season/seasonalAvailabilityEndDate|N|season|100|dateTime|||||||||||||R|N|en|Seasonal End Date|Indicates the end date of the trade item's seasonal availability. The seasonal availability can be different from the ordering time and especially from the dispatching time. The availability is more like an intention of the supplier as to how long he wants to offer the product. The dispatching time is more useful for the DC and the outlet warehousing. |LoopGroup|Date|4000|Left|200|Left||||Active||NULL|
season/seasonCalendarYear|Y|season|100|text||4|4|N|||||||||R|N|en|Season Calendar Year|This element indicates the calendar year in which the trade item is seasonally available.This item is seasonally available in the year 2002.<br><br>European Requirement. This element applies to cases where the supplier has items in many different seasons or if multiple calendar years were involved. This attribute might be considered as an implementation attribute that could be done in different manners in the GDSN and in the one-to-one environment. Can be used for merchandising.|LoopGroup|Text|4100|Left|100|Left|15|||Active||NULL|
season/seasonName|Y|season|100|text||70|1|||M|lang|text||5|1|StandardLanguageCodes_hub|R|N|en|Season Name|This element defines the season applicable to the item.|LoopGroup|Text|4200|Left|100|Left|20|||Active||NULL|
season/seasonParameter|Y|season|100|text||60|1|N|SeasonParameter||||||||R|N|en|Season Parameter|Indication of the season, in which the trade item is available, i.e. assignment to one of the following collection periods: spring/summer, autumn/ winter or all year around. It is repeatable if more than one season is indicated: Spring, Summer, Autumn, Winter, and All year (available throughout the year). The seasonal parameter is more an information for the search of data.|LoopGroup|Multi_Select_List|4300|Left|100|Left||||Active||NULL|
season/isTradeItemSeasonal|N|season|100|text||60|1|N|NonBinaryLogicCodes||||||||R|N|en|Is Trade Item Seasonal?|An indicator whether or not the trade item is only offered during certain parts of the year or targeted to different seasons. |LoopGroup|Dropdown|4400|Left|200|Left||||Active||NULL|
