dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy
avp/doesTradeItemCarryUSDAChildNutritionLabel|N|||text||60|1||NonBinaryLogicCodes||||||||R|N|en|Does Trade Item Carry USDA Child Nutrition Label?|IM:doesTradeItemCarryUSDAChildNutritionLabel GDSN: doesTradeItemCarryUSDAChildNutritionLabel<br>An indication that the trade item carries a USDA approved Child Nutrition Label.  The USDA Child Nutrition (CN) Labeling Program provides food manufacturers the option to include a standardized food crediting statement on their product label. Labels must be approved by USDA, FNS prior to use and manufacturers must have quality control procedures and inspection oversight that meet the FNS requirements. Products produced in accordance with the CN Labeling Program are generally purchased by foodservice providers for FNS meal programs. http://www.fns.usda.gov/cnd/cnlabeling/default.htm|Horizontal|Dropdown|100|Right|200|Left||||Active||NULL|
avp/tradeItemCubeMeasurement|N|||float|10|10|1||||||||||R|N|en|Trade Item Cube Measurement|IM:tradeItemCubeMeasurement GDSN: tradeItemCubeMeasurement<br>The dimensions of an imaginary cube which can be drawn around the trade item as defined in the formula of H X W X D (The linear dimensions multiplied to get a cubic result). This only applies to In-box dimensions.|Horizontal|Float|200|Right|200|Left||||Active||NULL|
avp/tradeItemCubeMeasurementUOM|N|||Text||10|1||||||||||R|N|en|Trade Item Cube Measurement UOM|IM:tradeItemCubeMeasurementUOM GDSN: tradeItemCubeMeasurementUOM<br>Unit of measure used for Trade Item Cube Measurement. |Horizontal|Text|300|Right|200|Left||||Active||NULL|
avp/wSINumber|Y||999|text||70|1||||||||||R|N|en|WSI Number|WSI number associated with the Supplier|Horizontal|Text|400|Left|200|Left||||Active||NULL|
avp/tempZone|N||1|text||70|1|N|||||||||R|N|en|Temp Zone|McDonalds Proprietary Temp Zone for Distribution Centers|Horizontal|Text|500|Left|200|Left||||Active||NULL|
avp/acceleratedGraphicsPortSpeed|N|||integer||4|1||||||||||R|N|en|Accelerated Graphics Port Speed|acceleratedGraphicsPortSpeed<br>Qualifier: AVP128<br>The speed of the accelerated graphics port (AGP) measured in multiples of Base.|Horizontal|Integer|600|Left|200|Left||||Active||NULL|
avp/additionalFeaturesOrIncludedAccessories|N|||text||250|1|N|||||||||R|N|en|Additional Features Or Included Accessories|additionalFeaturesOrIncludedAccessories<br>Qualifier: AVP129<br>Additional features or included accessories that are very product specific that are not covered by any other general attribute. This is a Free Form text, be specific as possible.|Horizontal|Text|700|Left|200|Left||||Active||NULL|
avp/additionalPrinterFunctions|Y||3|text||70|1|N|||||||||R|N|en|Additional Printer Functions|additionalPrinterFunctions<br>Qualifier: AVP130<br>Describes functions other than printing that the printer can perform.|Horizontal|Text|800|Left|200|Left||||Active||NULL|
avp/additionalShredderCapabilities|Y||2|text||70|1|N|||||||||R|N|en|Additional Shredder Capabilities|additionalShredderCapabilities<br>Qualifier: AVP131<br>Describes the additional mediums that the product can shred.|Horizontal|Text|900|Left|200|Left||||Active||NULL|
avp/adjustableDirection|Y||3|text||70|1|N|||||||||R|N|en|Adjustable Direction|adjustableDirection<br>Qualifier: AVP132<br>Identifies the product's adjustable direction.|Horizontal|Text|1000|Left|200|Left||||Active||NULL|
avp/adjustableShelfType|Y||3|text||70|1|N|||||||||R|N|en|Adjustable Shelf Type|adjustableShelfType<br>Qualifier: AVP133<br>Identifies the type of adjustable shelf the product contains.|Horizontal|Text|1100|Left|200|Left||||Active||NULL|
avp/airConditionerUnitType|Y||2|text||70|1|N|||||||||R|N|en|Air Conditioner Unit Type|airConditionerUnitType<br>Qualifier: AVP134<br>Identifies the type of AC Unit the product contains.|Horizontal|Text|1200|Left|200|Left||||Active||NULL|
avp/albumCapacity|N|||integer||4|1||||||||||R|N|en|Album Capacity|albumCapacity<br>Qualifier: AVP135<br>Describes the number of photos the album can hold. Values are in number of packets (Pkt).|Horizontal|Integer|1300|Left|200|Left||||Active||NULL|
avp/albumCapacityUOM|N|||text||70|1|N|||||||||R|N|en|Album Capacity UOM|albumCapacityUOM<br>Qualifier: AVP136<br>The unit of measurement associated with the album capacity.|Horizontal|Text|1400|Left|200|Left||||Active||NULL|
avp/alcoholicBeveragePermissionLevel|N||100|text||2|1|N|||||||||R|N|en|Alcoholic Beverage Permission Level|alcoholicBeveragePermissionLevel<br>Qualifier: AVP027<br>Indication of a Permission level for alcoholic products dependent on the product classification. The permission level codes should reflect those of the target market.|Horizontal|Text|1500|Left|200|Left||||Active||NULL|
avp/alcoholicBeverageSubregionOfOrigin|N||100|text||70|1|N|||||||||R|N|en|Alcoholic Beverage Subregion Of Origin|alcoholicBeverageSubregionOfOrigin<br>Qualifier: AVP030<br>Indication of sub region of origin of the trade item.|Horizontal|Text|1600|Left|200|Left||||Active||NULL|
avp/alcoholicBeverageSugarGramsPerLitre|Y||100|float|3|4|1||||||||||R|N|en|Alcoholic Beverage Sugar Grams Per Litre|alcoholicBeverageSugarGramsPerLitre<br>Qualifier: AVP031<br>Indication of the amount of sugar contained in the beverage in gram per litre.|Horizontal|Float|1700|Left|200|Left||||Active||NULL|
avp/amountOfConnectedEquipmentGuarantee|N|||integer||8|1||||||||||R|N|en|Amount Of Connected Equipment Guarantee|amountOfConnectedEquipmentGuarantee<br>Qualifier: AVP137<br>The dollar amount the manufacturer will reimburse the consumer, in the case that a product attached to this product is damaged due to failure of the product. Measured in US Dollars.|Horizontal|Integer|1800|Left|200|Left||||Active||NULL|
avp/amperage|N|||float|7|14|7||||||||||R|N|en|Amperage|amperage<br>Qualifier: AVP138<br>Describes the number of amps the product draws.|Horizontal|Float|1900|Left|200|Left||||Active||NULL|
avp/antennaPowerSourceType|N|||text||70|1|N|||||||||R|N|en|Antenna Power Source Type|antennaPowerSourceType<br>Qualifier: AVP139<br>Describes how the antenna is powered.|Horizontal|Text|2000|Left|200|Left||||Active||NULL|
avp/antennaType|Y||3|text||70|1|N|||||||||R|N|en|Antenna Type|antennaType<br>Qualifier: AVP140<br>Describes the type of antenna.|Horizontal|Text|2100|Left|200|Left||||Active||NULL|
avp/applianceBaseColor|Y||2|text||70|1|N|||||||||R|N|en|Appliance Base Color|applianceBaseColor<br>Qualifier: AVP141<br>Describes the appliance's general or base color.|Horizontal|Text|2200|Left|200|Left||||Active||NULL|
avp/applianceMarketingColor|N|||text||70|1|N|||||||||R|N|en|Appliance Marketing Color|applianceMarketingColor<br>Qualifier: AVP142<br>Identifies the vendor specific marketing color of the product.|Horizontal|Text|2300|Left|200|Left||||Active||NULL|
avp/applianceStyle|N|||text||70|1|N|||||||||R|N|en|Appliance Style|applianceStyle<br>Qualifier: AVP143<br>Describes the appliance style.|Horizontal|Text|2400|Left|200|Left||||Active||NULL|
avp/applianceWattage|N|||integer||4|1||||||||||R|N|en|Appliance Wattage|applianceWattage<br>Qualifier: AVP144<br>Identifies the number of watts, in which the product operates efficiently. Measured in Watts.|Horizontal|Integer|2500|Left|200|Left||||Active||NULL|
avp/areDemonstrationItemsAvailable|N|||boolean|||||||||||||R|N|en|Are Demonstration Items Available?|areDemonstrationItemsAvailable<br>Qualifier: AVP068<br>Indicates whether or not product demonstrations are available for the item.|Horizontal|Boolean|2600|Left|200|Left||||Active||NULL|
avp/areHeadphonesIncluded|N|||boolean|||||||||||||R|N|en|Are Headphones Included?|areHeadphonesIncluded<br>Qualifier: AVP146<br>Indicates whether or not the product comes with headphones.|Horizontal|Boolean|2700|Left|200|Left||||Active||NULL|
avp/audioVideoPlaybackCapability|Y||2|text||70|1|N|||||||||R|N|en|Audio Video Playback Capability|audioVideoPlaybackCapability<br>Qualifier: AVP148<br>Indicates the product's ability to play audio, video or both.|Horizontal|Text|2800|Left|200|Left||||Active||NULL|
avp/audioWattsPerChannel|N|||integer||4|1||||||||||R|N|en|Audio Watts Per Channel|audioWattsPerChannel<br>Qualifier: AVP149<br>Indicates the system power for the channels in the audio system. Measured in Watts.|Horizontal|Integer|2900|Left|200|Left||||Active||NULL|
avp/automatedDocumentFeederPageCapacity|N|||integer||4|1||||||||||R|N|en|Automated Document Feeder Page Capacity|automatedDocumentFeederPageCapacity<br>Qualifier: AVP150<br>Indicatest the number of pages the self-loader holds at one time. Measured in Pages.|Horizontal|Integer|3000|Left|200|Left||||Active||NULL|
avp/averageCostPerPrint|N|||text||70|1|N|||||||||R|N|en|Average Cost Per Print|averageCostPerPrint<br>Qualifier: AVP152<br>Indicates the average cost per print using this product.|Horizontal|Text|3100|Left|200|Left||||Active||NULL|
avp/averageMillisecondsOfDiskSeekTime|N|||float|7|14|7||||||||||R|N|en|Average Milliseconds Of Disk Seek Time|averageMillisecondsOfDiskSeekTime<br>Qualifier: AVP153<br>Indicates the amount of time it takes to read and return data from the disc. Measured in ms (Milliseconds).|Horizontal|Float|3200|Left|200|Left||||Active||NULL|
