dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy
kroBanner_Core_Identiifers|N||||||||||||||||R|N|en|Identifiers & Descriptors|Indentifiers & Descriptors|Banner|Label|100|Left|200|Left||||Active||NULL|
gtin|N|||text||14|1|N|||||||||E|N|en|GTIN (Global Trade Item Number)|The Global Trade Item Number is the standard 14-digit number used to identify the product.|Horizontal|Text|200|Left|200|Left||||Active||NULL|
productType|N|||text||80|1|N|ProductTypeCodes_hub||||||||R|N|en|Product Type|Describes the hierarchical level of the trade item (e.g. each, case, pallet, etc.).|Horizontal|Dropdown|300|Left|200|Left||||Active||MANDATORY_BEFORE|
brandName|N|||text||70|1|N|||||||||E|N|en|Brand Name|The brand name for the product recognized by the consumer.|Horizontal|Text|400|Left|200|Left|40|||Active||MANDATORY_BEFORE|
subBrand|N|||text||70|1|N|||||||||E|N|en|Sub Brand|Second level of the brand name (e.g. Colgate Optic White – Colgate = brand name, Optic White is the sub-brand).|Horizontal|Text|500|Left|200|Left|40|||Active||NULL|
productDescription|Y|||text||200|1|N||M|lang|text||5|1|StandardLanguageCodes_hub|E|N|en|Product Description|An understandable and usable description of the product using brand name and other descriptors. This attribute should be populated with as little abbreviation as possible while keeping to a reasonable length.|Horizontal|Text|600|Left|200|Left|100|||Active||MANDATORY_BEFORE|
functionalName|Y|||text||70|1|N||M|lang|text||5|1|StandardLanguageCodes_hub|E|N|en|Functional Name|Is the "Functional Name" of the trade item. Describes use of the product or service by the consumer. Should help clarify the product classification associated with the GTIN.|Horizontal|Text|700|Left|200|Left||||Active||MANDATORY_BEFORE|
gtinName|Y|||text||140|1|||M|lang|text||5|1|StandardLanguageCodes_hub|E|N|en|GTIN Name|The name of the trade item as it appears on the package, plus any key identifying words to help 1SYNC Item Management users to easily distinguish trade items.|Horizontal|Text|800|Left|200|Left||||Active||MANDATORY_BEFORE|
totalQuantityOfNextLowerTradeItem|N|||integer||6|1||||||||||E|N|en|Qty of Next Level Item(s)|The total number of next lower level products contained within this specific product hierarchy level (e.g. – CASE product type contains 24 consumer units, the qty of next level items = 24).|Horizontal|Integer|1100|Left|200|Left||||Active||NULL|
brandOwnerGLN|N|||text||13|1|N|||||||||E|N|en|Brand Owner GLN|A brand is owned by a particular organization. Populate this field with the GLN used to identify the owner of the brand.|Horizontal|Text|1200|Left|200|Left||||Active||NULL|
brandOwnerName|N|||text||128|1|N|||||||||R|N|en|Brand Owner Name|Name of the party who owns the brand of the trade item.|Horizontal|Text|1300|Left|200|Left|128|||Active||NULL|
informationProviderGLN|N|||text||13|1|N|||||||||R|N|en|Information Provider GLN|The GLN of the organization responsible for the validity of the item information being supplied.|Horizontal|Text|1400|Left|200|Left||||Active||NULL|
informationProviderName|N|||text||128|1|N|||||||||R|N|en|Information Provider Name|Name of the company associated with the Information Provider GLN.|Horizontal|Text|1500|Left|200|Left|128|||Active||NULL|
manufacturer|N||||||||||||||||E|N|en|Manufacturer Link|Party name and identification information for the manufacturer of the trade item.|Horizontal|FLEX_POPUP|1700|Left|200|Left||||Active||NULL|
dataCarrier/dataCarrierTypeCode|N|dataCarrier|100|text||80|1|N|DataCarrierTypeCode||||||||E|N|en|Data Carrier Type Code|Value that identifies the type of bar code that is on the product.|LoopGroup|DropDown|1800|Left|200|Left||||Active||MANDATORY_BEFORE|
referencedTradeItem/referencedTradeItemGTIN|N|referencedTradeItem|100|text||14|14||||||||||E|N|en|Referenced Trade Item GTIN|Referenced Trade Item GTIN|LoopGroup|Text|1900|Left|200|Left||||Active||NULL|
referencedTradeItem/referencedTradeItemTypeCode|N|referencedTradeItem|100|text||80|14||ReferencedTradeItemTypeCode||||||||E|N|en|Referenced Trade Item Type Code|A code depicting the type of trade item that is referenced for a specific purpose|LoopGroup|DropDown|2000|Left|200|Left||||Active||NULL|
kroBanner_Core_Indicators|N||||||||||||||||R|N|en|Indicators|Indicators|Banner|Label|10000|Left|200|Left||||Active||NULL|
isBaseUnit|N|||boolean|||||||||||||R|N|en|Base Unit Indicator|Yes indicates this packaging level is the trade item that is at the lowest level in the item hierarchy.|Horizontal|Boolean|10100|Left|200|Left||||Active||MANDATORY_BEFORE|
