dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy
kroBanner_Core_Identiifers|N||||||||||||||||R|N|en|Identifiers & Descriptors|Indentifiers & Descriptors|Banner|Label|100|Left|200|Left||||Active||NULL|
productType|N|||text||80|1|N|ProductTypeCodes_hub||||||||R|N|en|Product Type|Describes the hierarchical level of the trade item (e.g. each, case, pallet, etc.).|Horizontal|Dropdown|300|Left|200|Left||||Active||MANDATORY_BEFORE|
brandName|N|||text||70|1|N|||||||||E|N|en|Brand Name|The brand name for the product recognized by the consumer.|Horizontal|Text|400|Left|200|Left|40|||Active||MANDATORY_BEFORE|
subBrand|N|||text||70|1|N|||||||||E|N|en|Sub Brand|Second level of the brand name (e.g. Colgate Optic White – Colgate = brand name, Optic White is the sub-brand).|Horizontal|Text|500|Left|200|Left|40|||Active||NULL|
productDescription|Y|||text||200|1|N||M|lang|text||5|1|StandardLanguageCodes_hub|E|N|en|Product Description|An understandable and usable description of the product using brand name and other descriptors. This attribute should be populated with as little abbreviation as possible while keeping to a reasonable length.|Horizontal|Text|600|Left|200|Left|100|||Active||MANDATORY_BEFORE|
functionalName|Y|||text||70|1|N||M|lang|text||5|1|StandardLanguageCodes_hub|E|N|en|Functional Name|Is the "Functional Name" of the trade item. Describes use of the product or service by the consumer. Should help clarify the product classification associated with the GTIN.|Horizontal|Text|700|Left|200|Left||||Active||MANDATORY_BEFORE|
gtinName|Y|||text||140|1|||M|lang|text||5|1|StandardLanguageCodes_hub|E|N|en|GTIN Name|The name of the trade item as it appears on the package, plus any key identifying words to help 1SYNC Item Management users to easily distinguish trade items.|Horizontal|Text|800|Left|200|Left||||Active||MANDATORY_BEFORE|
kroDispatchUnitItemDescription|N|||text||50|1||||||||||E|N|en|Dispatch Unit Item Description|Provide description at the hierarchy level at which product may be purchased from supplier - up to 50 characters.  Format: Brand/Sub Brand/Item descriptors|Horizontal|Text|900|Left|200|Left|50|||Active||NULL|
kroConsumerUnitItemDescription|N|||text||30|1||||||||||E|N|en|Consumer Unit Item Description|Provide description of selling unit to be used for shelf tag - up to 30 characters. Format: Brand/Sub Brand/Item descriptors|Horizontal|Text|1000|Left|200|Left|40|||Active||NULL|
totalQuantityOfNextLowerTradeItem|N|||integer||6|1||||||||||E|N|en|Qty of Next Level Item(s)|The total number of next lower level products contained within this specific product hierarchy level (e.g. – CASE product type contains 24 consumer units, the qty of next level items = 24).|Horizontal|Integer|1100|Left|200|Left||||Active||NULL|
brandOwnerGLN|N|||text||13|1|N|||||||||E|N|en|Brand Owner GLN|A brand is owned by a particular organization. Populate this field with the GLN used to identify the owner of the brand.|Horizontal|Text|1200|Left|200|Left||||Active||NULL|
brandOwnerName|N|||text||128|1|N|||||||||R|N|en|Brand Owner Name|Name of the party who owns the brand of the trade item.|Horizontal|Text|1300|Left|200|Left|128|||Active||NULL|
informationProviderGLN|N|||text||13|1|N|||||||||R|N|en|Information Provider GLN|The GLN of the organization responsible for the validity of the item information being supplied.|Horizontal|Text|1400|Left|200|Left||||Active||NULL|
informationProviderName|N|||text||128|1|N|||||||||R|N|en|Information Provider Name|Name of the company associated with the Information Provider GLN.|Horizontal|Text|1500|Left|200|Left|128|||Active||NULL|
kroMarketingMessage|N||1|text||4000|1|||M|lang|text||5|1|KRO_V10202|E|N|en|Marketing Message|Marketing message associated to the Trade item|Horizontal|Text|1600|Left|200|Left||||Active||NULL|
manufacturer|N||||||||||||||||E|N|en|Manufacturer Link|Party name and identification information for the manufacturer of the trade item.|Horizontal|FLEX_POPUP|1700|Left|200|Left||||Active||NULL|
dataCarrier/dataCarrierTypeCode|N|dataCarrier|100|text||80|1|N|DataCarrierTypeCode||||||||E|N|en|Data Carrier Type Code|Value that identifies the type of bar code that is on the product.|LoopGroup|DropDown|1800|Left|200|Left||||Active||MANDATORY_BEFORE|
referencedTradeItem/referencedTradeItemGTIN|N|referencedTradeItem|100|text||14|14||||||||||E|N|en|Referenced Trade Item GTIN|Referenced Trade Item GTIN|LoopGroup|Text|1900|Left|200|Left||||Active||NULL|
referencedTradeItem/referencedTradeItemTypeCode|N|referencedTradeItem|100|text||80|14||ReferencedTradeItemTypeCode||||||||E|N|en|Referenced Trade Item Type Code|A code depicting the type of trade item that is referenced for a specific purpose|LoopGroup|DropDown|2000|Left|200|Left||||Active||NULL|
kroBanner_Core_Indicators|N||||||||||||||||R|N|en|Indicators|Indicators|Banner|Label|10000|Left|200|Left||||Active||NULL|
isBaseUnit|N|||boolean|||||||||||||R|N|en|Base Unit Indicator|Yes indicates this packaging level is the trade item that is at the lowest level in the item hierarchy.|Horizontal|Boolean|10100|Left|200|Left||||Active||MANDATORY_BEFORE|
isConsumerUnit|N|||boolean|||||||||||||R|N|en|Consumer Unit Indicator|Yes indicates this packaging level is the trade item intended for ultimate consumption. For retail, this trade item will be scanned at point of sale. At retail, this data is commonly used to select which GTINs should be used for shelf planning and for front end POS databases.|Horizontal|Boolean|10200|Left|200|Left||||Active||MANDATORY_BEFORE|
isOrderableUnit|N|||boolean|||||||||||||R|N|en|Ordering Unit Indicator|Yes indicates that this trade item is the packaging level where the supplier will accept orders from retailer customers. This may be different from what the information provider identifies as a dispatch unit.|Horizontal|Boolean|10300|Left|200|Left||||Active||MANDATORY_BEFORE|
isDispatchUnit|N|||boolean|||||||||||||R|N|en|Dispatch Unit Indicator|Yes indicates that this packaging level is the trade item identified as the shipping unit.|Horizontal|Boolean|10400|Left|200|Left||||Active||MANDATORY_BEFORE|
isInvoiceUnit|N|||boolean|||||||||||||E|N|en|Invoice Unit Indicator|Yes indicates this packaging level is the trade item included in the supplier’s billing or invoice.|Horizontal|Boolean|10500|Left|200|Left||||Active||MANDATORY_BEFORE|
isTradeItemADisplayUnit|N|||text||60|1|N|NonBinaryLogicCodes||||||||E|N|en|Trade Item is a Display Unit|Indicates whether or not a trade item is or could be used as a display unit. A display unit is intended to be shipped to a store without being split at a distribution center or similar party and is intended to be displayed in a retail store either on a shelf or on the floor.|Horizontal|Dropdown|10600|Right|200|Left||||Active||NULL|
kroDisplayType|N|||text||60|1|N|KRO_V10184||||||||E|N|en|Display Type|How the product is merchandised in the store as a Display unit Note: Name changed from "Clip strip"|Horizontal|Dropdown|10700|Left|200|Left||||Active||NULL|
specialItemCode|Y||100|text||80|1|N|SpecialItemCode||||||||E|N|en|Special Item Code|This element identifies specific items for promotional or special tracking purposes.|Horizontal|Multi_Select_List|10800|Left|200|Left||||Active||NULL|
isVariableWeightItem|N|||boolean|||||||||||||E|N|en|Variable Weight Trade Item|Indicates that the product is not a fixed weight/quantity.|Horizontal|Boolean|10900|Left|200|Left||||Active||NULL|
kroIsItemRegisteredWithWERCS|N|||boolean|||||||||||||E|N|en|Item Registered with WERCS|Identify if the item has been verified by Worldwide Environmental & Regulatory Compliance|Horizontal|Boolean|11000|Left|200|Left||||Active||NULL|
kroWERCSProductClassificationV11440|Y||999|text||100|1||KRO_V11440||||||||E|N|en|WERCS Product Classification|Identify if item meets any classifications established by WERCSmart|Horizontal|Multi_Select_List|11100|Left|200|Left||||Active||NULL|
kroWPSIDNumber|N|||integer||7|1||||||||||E|N|en|WPS ID Number|Certification ID number provided by WERCSmart Retailer.|Horizontal|Integer|11200|Left|200|Left||||Active||NULL|
kroBanner_Core_ClassSpecific|N||||||||||||||||R|N|en|Classification Specific Attributes|Class Specific Attributes|Banner|Label|20000|Left|200|Left||||Active||NULL|
showClassSpecValues|N||||||||||||||||R|N|en|Classification Specific Attribute Information|Attributes that are related to the type or class of a product can be found in this popup screen.|Horizontal|STATIC_LINK|20400|Left|200|Left||||Active||NULL|
kroBanner_Core_Dimensions|N||||||||||||||||R|N|en|Dimensions & Weights Information|Dimensions & Weights Information|Banner|Label|30000|Left|200|Left||||Active||NULL|
depth|Y||999|float|38|53|15|||M|uom|text||3|1|DimensionsUOM|E|N|en|Depth & UOM|For consumer trade items: The measurement from front to back of the product after the default front is determined (this also applies to non-consumer trade items that go on a retailer shelf – for example, protein bars sold individually but merchandised on the retailer shelf in a carton). For non-consumer trade items: The measurement of the longest side of the base of the product after the natural base is determined.|Horizontal|Float|30100|Left|200|Left||||Active||MANDATORY_BEFORE|
height|Y||999|float|38|53|15|||M|uom|text||3|1|DimensionsUOM|E|N|en|Height & UOM|The vertical dimension from the lowest extremity to the highest extremity, including packaging and the unit of measure associated with the height.|Horizontal|Float|30200|Left|200|Left||||Active||MANDATORY_BEFORE|
width|Y||999|float|38|53|15|||M|uom|text||3|1|DimensionsUOM|E|N|en|Width & UOM|For consumer trade items: The measurement from left to right of the product after the default front is determined (this also applies to non-consumer trade items that go on a retailer shelf – for example, protein bars sold individually but merchandised on the retailer shelf in a carton). For non-consumer trade items: The measurement of the shortest side of the base of the trade item after the natural base is determined.|Horizontal|Float|30300|Left|200|Left||||Active||MANDATORY_BEFORE|
netContent|Y||100|float|38|38|15|||M|uom|text||5|2|AreaCountDimensionInfostorageMassVolumeUOM|E|N|en|Net Content & UOM - Vendor|The amount of the product contained in the package, usually as claimed on the label. If a product’s net content can be represented in multiple values – please provide all values (e.g. laundry detergent – 150 fluid ounces 1.17 gallons, 96 loads).|Horizontal|Float|30400|Left|200|Left||||Active||NULL|
grossWeight|Y||999|float|38|53|15|||M|uom|text||3|1|MassUOM|E|N|en|Gross Weight & UOM|The gross weight of the product. Includes all packaging materials o At the pallet level the gross weight includes the weight of the pallet itself.|Horizontal|Float|30500|Left|200|Left||||Active||MANDATORY_BEFORE|
netWeight|Y||999|float|38|38|15|||M|uom|text||3|1|MassUOM|E|N|en|Net Weight & UOM|Identifies the net weight of the product. Net weight excludes all packaging material.|Horizontal|Float|30600|Left|200|Left||||Active||NULL|
kroBanner_Core_CountryOfOrigin|N||||||||||||||||R|N|en|Country of Origin|Country of Origin|Banner|Label|40000|Left|200|Left||||Active||NULL|
countryOfOrigin/countryCode|N|countryOfOrigin|100|text||5|1|N|StandardCountryCodes||||||||E|N|en|Country Of Origin|The countries in which the product has been produced or manufactured.|LoopGroup|DropDown|40100|Left|200|Left||||Active||NULL|
