dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy
kroBanner_Core_Identiifers|N||||||||||||||||R|N|en|Identifiers & Descriptors|Indentifiers & Descriptors|Banner|Label|100|Left|200|Left||||Active||NULL|
dataCarrier/dataCarrierTypeCode|N|dataCarrier|100|text||80|1|N|DataCarrierTypeCode||||||||E|N|en|Data Carrier Type Code|Value that identifies the type of bar code that is on the product.|LoopGroup|DropDown|1800|Left|200|Left||||Active||MANDATORY_BEFORE|
kroBanner_Core_LogisticsInformation|N||||||||||||||||R|N|en|Logistics Information|Logistics Information|Banner|Label|50000|Left|200|Left||||Active||NULL|
ti|N|||integer||10|1||||||||||E|N|en|Num of Items in a Complete Layer/GTIN Pallet Ti|The number of cases contained in a layer of a standard shipment.|Horizontal|Integer|50200|Left|200|Left|3|||Active||NULL|
hi|N|||integer||10|1||||||||||E|N|en|Num of Complete Layers Cont in Item/GTIN Pallet Hi|The number of layers that a pallet contains. Only used if pallet has no GTIN. In this case it applies to the highest level of the item hierarchy and only 1 pallet configuration can be provided. It is highly recommended to use GTIN for pallet identification.|Horizontal|Integer|50500|Left|200|Left|3|||Active||NULL|
kroBanner_Log_Procurement|N||||||||||||||||R|N|en|Procurement Information|Procurement Information|Banner|Label|60000|Left|200|Left||||Active||NULL|
firstOrderDate|N|||dateTime|||||||||||||E|N|en|First Order Date|Indicates the earliest date that an order can be placed for the product.|Horizontal|Date|60200|Left|200|Left||||Active||NULL|
lastOrderDate|N|||dateTime|||||||||||||E|N|en|Last Order Date|Indicates the latest date that an order can be placed for the product|Horizontal|Date|60300|Left|200|Left||||Active||NULL|
firstShipDate|N|||dateTime|||||||||||||E|N|en|First Ship Date|First date a product can be shipped from the supplier’s facility.|Horizontal|DateTime|60400|Left|200|Left||||Active||NULL|
lastShipDate|N|||dateTime|||||||||||||E|N|en|Last Ship Date|The date after which the supplier will no longer ship the product.|Horizontal|DateTime|60500|Left|200|Left||||Active||NULL|
kroBanner_Merch_Descriptors|N||||||||||||||||R|N|en|Product Packaging and Descriptors|Product Packaging and Descriptors|Banner|Label|90000|Left|200|Left||||Active||NULL|
hasBatchNumber|N|||boolean|||||||||||||E|N|en|Has Batch Number|Indicates if the product has a batch number provided.|Horizontal|Boolean|90800|Left|200|Left||||Active||NULL|
packagingInformation|N||||||||||||||||R|N|en|Packaging Information Link|Packaging Information Link|Horizontal|FLEX_POPUP|91700|Left|200|Left||||Active||NULL|
kroBanner_Hazmat_Information|N||||||||||||||||R|N|en|Handling Information|Handling Information|Banner|Label|100000|Left|200|Left||||Active||NULL|
kroHandlingInstructionCode|Y||100|text||80|1||KRO_V12863||||||||E|N|en|Handling Instruction Code|Defines the information and processes needed to safely handle the trade item.|Horizontal|Multi_Select_List|100100|Left|200|Left|200|||Active||NULL|
kroOtherHandlingInstructionCode|Y||999|text||200|1||||||||||E|N|en|Other Handling Instruction Code|Identifies the other types of information and processes needed to safely handle the trade item not identified in the original list.|Horizontal|Text|100200|Left|200|Left|200|||Active||NULL|
