dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy
alternateItemIdentification/agency|N|alternateItemIdentification|100|text||60|1|N|AlternateItemIdentificationAgency_hub||||||||R|N|en|Alternate Item Identification Agency|1SYNC Item Management allows an alternate maintenance agency (for example for an internal manufacturing number).|LoopGroup|DropDown|300|Left|200|Left||||Active||NULL|
alternateItemIdentification/id|N|alternateItemIdentification|100|text||80|1|N|||||||||R|N|en|Alternate Item Identification|An alternate item number is allowed, but not required.|LoopGroup|Text|400|Left|200|Left||||Active||NULL|
avp/casePackQty|N|||float|38|53|15||||||||||R|N|en|Case Pack Quantity|Represents the totsal number of lowest level hierarchy gtins in a Case level GTIn. e.g. a case with 3 inner packs, each of which contains 12 pieces has a case pack qty of 12x3 = 36.|Horizontal|Float|5000|Left|200|Left||||Active||NULL|
avp/casePackQtyUOM|N|||text||5|2|N|CountUOM||||||||R|N|en|Case Pack Quantity UOM|UOM for case pack|Horizontal|Dropdown|5100|Left|200|Left||||Active||NULL|
avp/chemicalClass|N|||text||4|1|N|||||||||R|N|en|Chemical Class|Governmental-assigned hazardous material classification pertaining to the product.|Horizontal|Text|7500|Left|200|Left||||Active||NULL|
avp/graphics|N|||text||30|1||||||||||R|N|en|Graphics| Describes the graphics on the item.  Required if graphics are used. |Horizontal|Text|5300|Left|200|Left||||Active||NULL|
avp/itemDescriptionPrefix|N|||text||15|1|N|||||||||E|N|en|Full WRIN Short Description|Full WRIN Short Description|Horizontal|Text|7900|Left|200|Left||||Active||NULL|
avp/itemDescriptionSuffix|N|||text||30|1|N|||||||||E|N|en|Full WRIN Long Description|Full WRIN Long Description|Horizontal|Text|8000|Left|200|Left||||Active||NULL|
avp/itemUsageType|N|||text||1|1|N|||||||||E|N|en|Item Usage Type|How product will be used.   The codes are:  D= Developmental, O=Optional,  S=Standard , T=Test, X=Seasonal|Horizontal|Text|8400|Left|200|Left||||Active||NULL|
avp/mcdClassification|N|||text||10|1|N|McdClassificationVV||||||||R|N|en|Classification Category - Product Group|McD defined product classification. Used in conjunction with Product Classification.|Horizontal|Text|7100|Left|200|Left||||Active||NULL|
avp/menuItemUsage|Y||999|text||70|1|N|||||||||R|N|en|McD Menu Item Usage|Identifies what food or menu item will this product be used in or with.|Horizontal|Text|2300|Left|200|Left||||Active||NULL|
avp/portionControl|N|||boolean||||N|||||||||E|N|en|Portion Control|Identifies if item requires portion control: bulk vs prepackaged.  Typically not put in a recipe if it is portion controlled|Horizontal|Boolean|8100|Left|200|Left||||Active||NULL|
avp/qualitySupplierFileNumber|N|||text||10|1|N|||||||||E|N|en|Quality Supplier File Number |Food item spec number in Merlin (7 digit number)|Horizontal|Text|8200|Left|200|Left||||Active||NULL|
avp/qualitySupplierFileVersionNumber|N|||text||10|1|N|||||||||E|N|en|Quality Supplier File Version Number |Food item spec version number in Merlin (3 digit number)|Horizontal|Text|8300|Left|200|Left||||Active||NULL|
avp/safetyDataSheetURL|N|||text||512|1|N|||||||||R|N|en|Safety Data Sheet URL|URL of Safety Data Sheet; tied to Chemical Class Code|Horizontal|Text|7600|Left|200|Left||||Active||NULL|
avp/tempZone|N||1|text||70|1|N|||||||||R|N|en|Temp Zone|McDonalds Proprietary Temp Zone for Distribution Centers|Horizontal|Text|3900|Left|200|Left||||Active||NULL|
avp/wrinPrefix|N|||text||5|1|N|||||||||E|N|en|WRIN Prefix|WRIN Prefix|Horizontal|Text|7700|Left|200|Left||||Active||NULL|
avp/wrinSuffix|N|||text||3|1|N|||||||||E|N|en|WRIN Suffix|WRIN Suffix|Horizontal|Text|7800|Left|200|Left||||Active||NULL|
avp/wSINumber|Y||999|text||70|1||||||||||R|N|en|WSI Number|WSI number associated with the Supplier|Horizontal|Text|1100|Left|200|Left||||Active||NULL|
brandName|N|||text||70|1|N|||||||||R|N|en|Brand Name|The brand name for the product recognized by the consumer.|Horizontal|Text|200|Left|200|Left|40|||Active||NULL|
brandOwnerGLN|N|||text||13|1|N|||||||||R|N|en|Brand Owner GLN|A brand is owned by a particular organization. Populate this field with the GLN used to identify the owner of the brand.|Horizontal|Text|700|Left|200|Left||||Active||NULL|
brandOwnerName|N|||text||128|1|N|||||||||R|N|en|Brand Owner Name|Name of the party who owns the brand of the trade item.|Horizontal|Text|800|Left|200|Left|128|||Active||NULL|
