dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy
alternateItemIdentification/agency|N|alternateItemIdentification|100|text||60|1|N|AlternateItemIdentificationAgency_hub||||||||R|N|en|Alternate Item Identification Agency|1SYNC Item Management allows an alternate maintenance agency (for example for an internal manufacturing number).|LoopGroup|Dropdown|1300|Left|200|Left||||Active||NULL|
alternateItemIdentification/id|N|alternateItemIdentification|100|text||80|1|N|||||||||R|N|en|Alternate Item Identification|An alternate item number is allowed, but not required.|LoopGroup|Text|1200|Left|200|Left||||Active||NULL|
brandOwnerGLN|N|||text||13|1|N|||||||||R|N|en|Brand Owner GLN|A brand is owned by a particular organization. Populate this field with the GLN used to identify the owner of the brand.|Horizontal|Text|900|Left|200|Left||||Active||NULL|
brandOwnerName|N|||text||128|1|N|||||||||R|N|en|Brand Owner Name|Name of the party who owns the brand of the trade item.|Horizontal|Text|1000|Left|200|Left|128|||Active||NULL|
countryOfOrigin/countryCode|N|countryOfOrigin|100|text||5|1|N|StandardCountryCodes||||||||R|N|en|Country Of Origin|The countries in which the product has been produced or manufactured.|LoopGroup|DropDown|1100|Left|200|Left||||Active||NULL|
dataCarrier/dataCarrierTypeCode|N|dataCarrier|100|text||80|1|N|DataCarrierTypeCode||||||||R|N|en|Data Carrier Type Code|Value that identifies the type of bar code that is on the product.|LoopGroup|DropDown|1400|Left|200|Left||||Active||MANDATORY_BEFORE|
depth|Y||999|float|38|53|15|||M|uom|text||3|1|DimensionsUOM|R|N|en|Depth & UOM|For consumer trade items: The measurement from front to back of the product after the default front is determined (this also applies to non-consumer trade items that go on a retailer shelf – for example, protein bars sold individually but merchandised on the retailer shelf in a carton). For non-consumer trade items: The measurement of the longest side of the base of the product after the natural base is determined.|Horizontal|Float|1600|Left|200|Left||||Active||NULL|
grossWeight|Y||999|float|38|53|15|||M|uom|text||3|1|MassUOM|R|N|en|Gross Weight & UOM|The gross weight of the product. Includes all packaging materials o At the pallet level the gross weight includes the weight of the pallet itself.|Horizontal|Float|1900|Left|200|Left||||Active||NULL|
height|Y||999|float|38|53|15|||M|uom|text||3|1|DimensionsUOM|R|N|en|Height & UOM|The vertical dimension from the lowest extremity to the highest extremity, including packaging and the unit of measure associated with the height.|Horizontal|Float|1800|Left|200|Left||||Active||NULL|
hi|N|||integer||10|1||||||||||R|N|en|Num of Complete Layers Cont in Item/GTIN Pallet Hi|The number of layers that a pallet contains. Only used if pallet has no GTIN. In this case it applies to the highest level of the item hierarchy and only 1 pallet configuration can be provided. It is highly recommended to use GTIN for pallet identification.|Horizontal|Integer|2300|Left|200|Left|3|||Active||NULL|
individualUnitMax|N|||float|38|53|15|||M|uom|text||5|2|AreaCountDimensionInfostorageMassVolumeUOM|R|N|en|Individual Unit Max & UOM|IM:individualUnitMax GDSN: individualUnitMax<br>Maximum size of the individual unit inside the lowest level of packaging.|Horizontal|Float|500|Right|200|Left||||Active||NULL|
individualUnitMin|N|||float|38|53|15|||M|uom|text||5|2|AreaCountDimensionInfostorageMassVolumeUOM|R|N|en|Individual Unit Min & UOM|IM:individualUnitMin GDSN: individualUnitMin<br>Minimum size of the individual unit inside the lowest level of packaging.|Horizontal|Float|400|Right|200|Left||||Active||NULL|
informationProviderGLN|N|||text||13|1|N|||||||||R|N|en|Information Provider GLN|The GLN of the organization responsible for the validity of the item information being supplied.|Horizontal|Text|700|Left|200|Left||||Active||NULL|
informationProviderName|N|||text||128|1|N|||||||||R|N|en|Information Provider Name|Name of the company associated with the Information Provider GLN.|Horizontal|Text|800|Left|200|Left|128|||Active||NULL|
innerPack|N|||integer||10|1||||||||||R|N|en|Inner Pack|Indicates the number of non-coded physical groupings (innerpacks) of next lower level trade items within the current GTIN level. An Inner Pack can only contain the same GTIN, and Inner Pack sizing must be constant. Change of Inner Pack does not change higher or lower level GTINs.|Horizontal|Integer|600|Left|200|Left||||Active||NULL|
mclGeneralInfoBanner|N||||||||||||||||R|N|en|General Information|General Information|Banner|Label|100|Left|200|Left||||Active||NULL|
mclHandlingInfoBanner|N||||||||||||||||R|N|en|Handling & Delivery Information|Handling & Delivery Information|Banner|Label|2000|Left|200|Left||||Active||NULL|
mclMeasurementInfoBanner|N||||||||||||||||R|N|en|Measurement Information|Measurement Information|Banner|Label|1500|Left|200|Left||||Active||NULL|
mclPriceInfoBanner|N||||||||||||||||R|N|en|Price Information|Price Information|Banner|Label|3100|Left|200|Left||||Active||NULL|
