dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy
productType|N|||text||80|1|N|ProductTypeCodes_hub||||||||E|N|en|Product Type|Describes the hierarchical level of the trade item (e.g. each, case, pallet, etc.).|Horizontal|Dropdown|100|Left|200|Left||||Active||MANDATORY_BEFORE|
targetMarket|N|||text||2|1|N|StandardCountryCodes||||||||R|N|en|Target Market|The target market indicates the country where the trade item is available for sale. Combination of this field +GTIN+GLN uniquely identifies a trade item. Default is US.|Horizontal|Dropdown|200|Left|200|Left||||Active||MANDATORY_BEFORE|
informationProviderGLN|N|||text||13|1|N|||||||||R|N|en|Information Provider GLN|The GLN of the organization responsible for the validity of the item information being supplied.|Horizontal|Text|300|Left|200|Left||||Active||NULL|
informationProviderName|N|||text||128|1|N|||||||||R|N|en|Information Provider Name|Name of the company associated with the Information Provider GLN.|Horizontal|Text|400|Left|200|Left|128|||Active||NULL|
effectiveDate|N|||dateTime|||||||||||||E|N|en|Effective Date|The date on which the information for "item add" or "item change" is sent to 1SYNC Item Management Production.|Horizontal|Date|500|Left|200|Left||||Active||NULL|
startAvailabilityDate|N|||datetime|||||||||||||E|N|en|Start Availability Date|The date from which the trade item becomes available from the supplier, including seasonal or temporary trade items. Most common is to use current date.|Horizontal|DateTime|600|Left|200|Left||||Active||MANDATORY_BEFORE|
gtin|N|||text||14|1|N|||||||||R|N|en|GTIN (Global Trade Item Number)|The Global Trade Item Number is the standard 14-digit number used to identify the product.|Horizontal|Text|700|Left|200|Left||||Active||MANDATORY_BEFORE|
isBaseUnit|N|||boolean|||||||||||||E|N|en|Base Unit Indicator|Yes indicates this packaging level is the trade item that is at the lowest level in the item hierarchy.|Horizontal|Boolean|800|Left|200|Left||||Active||MANDATORY_BEFORE|
isOrderableUnit|N|||boolean|||||||||||||E|N|en|Ordering Unit Indicator|Yes indicates that this trade item is the packaging level where the supplier will accept orders from retailer customers. This may be different from what the information provider identifies as a dispatch unit.|Horizontal|Boolean|900|Left|200|Left||||Active||MANDATORY_BEFORE|
isInvoiceUnit|N|||boolean|||||||||||||E|N|en|Invoice Unit Indicator|Yes indicates this packaging level is the trade item included in the supplier’s billing or invoice.|Horizontal|Boolean|1000|Left|200|Left||||Active||MANDATORY_BEFORE|
isConsumerUnit|N|||boolean|||||||||||||E|N|en|Consumer Unit Indicator|Yes indicates this packaging level is the trade item intended for ultimate consumption. For retail, this trade item will be scanned at point of sale. At retail, this data is commonly used to select which GTINs should be used for shelf planning and for front end POS databases.|Horizontal|Boolean|1100|Left|200|Left||||Active||MANDATORY_BEFORE|
isDispatchUnit|N|||boolean|||||||||||||E|N|en|Dispatch Unit Indicator|Yes indicates that this packaging level is the trade item identified as the shipping unit.|Horizontal|Boolean|1200|Left|200|Left||||Active||NULL|
showCommoditySpecValues|N||||||||||||||||R|N|en|Commodity/Category Specific Attribute Information|Attributes that are related to a specific commodity type can be found in this popup screen.|Horizontal|STATIC_LINK|1300|Left|200|Left||||Active||NULL|
