dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy
totalQuantityOfNextLowerTradeItem|N|||integer||6|1||||||||||R|N|en|Qty of Next Level Item(s)|The total number of next lower level products contained within this specific product hierarchy level (e.g. – CASE product type contains 24 consumer units, the qty of next level items = 24).|Horizontal|Integer|100|Left|200|Left||||Active||MANDATORY_BEFORE|
swBrandName|N|||text||70|1|N|||||||||R|N|en|Brand Name|The brand name for the product recognized by the consumer.|Horizontal|Text|200|Left|200|Left|40|||Active||NULL|
swBrandCode|N|||integer||4|1||SWBrandCodeVV||||||||R|N|en|Brand Code|Brand Code|Horizontal|Dropdown|300|Left|200|Left||||Active||NULL|
swProductDescription|Y||999|text||200|1|N||M|lang|text||5|1|StandardLanguageCodes_hub|R|N|en|Product Description|An understandable and usable description of the product using brand name and other descriptors. This attribute should be populated with as little abbreviation as possible while keeping to a reasonable length.|Horizontal|Text|400|Left|200|Left|100|||Active||MANDATORY_BEFORE|
netContent|Y||100|float|38|38|15|||M|uom|text||5|2|AreaCountDimensionInfostorageMassVolumeUOM|R|N|en|Net Content & UOM - Vendor|The amount of the product contained in the package, usually as claimed on the label. If a product’s net content can be represented in multiple values – please provide all values (e.g. laundry detergent – 150 fluid ounces 1.17 gallons, 96 loads).|Horizontal|Float|450|Left|200|Left||||Active||MANDATORY_BEFORE|
swNetContent|Y||100|text||100|1|||M|uom|text||5|2|AreaCountDimensionInfostorageMassVolumeUOM|R|N|en|Net Content Override|Edit to conform to Albertsons size format if needed.|Horizontal|Text|500|Left|200|Left||||Active||NULL|
grossWeight|Y||999|float|38|53|15|||M|uom|text||3|1|MassUOM|R|N|en|Gross Weight & UOM|The gross weight of the product. Includes all packaging materials o At the pallet level the gross weight includes the weight of the pallet itself.|Horizontal|Float|600|Left|200|Left||||Active||MANDATORY_BEFORE|
swBarcodeType|N|||text||70|1||SWKindsofBarcodesVV||||||||R|N|en|What Kind of Barcode Does This Item Have?|Indicate if the item has a vendor assigned UPC or Front End PLU or System 2 /Scale UPC. If so, select the UPC format. If yes, provide the UPC, System 2/Scale UPC or PLU code.|Horizontal|Dropdown|700|Left|200|Left||||Active||MANDATORY_BEFORE|
swUPC/code|N|swUPC|100|text||80|1|N|||||||||R|N|en|GS1 Trade Item ID Value (UPC)|The EANUCC Code or number required based on the Product Type. Its character length depends on EANUCC Type chosen (i.e., EAN-13, UPC-A).|LoopGroup|Text|800|Left|200|Left||||Active||NULL|
swUPC/type|N|swUPC|100|text||70|1|N|GS1TradeItemIdentificationKeyTypeCode||||||||R|N|en|GS1 Trade Item ID Code (UPC)|The EANUCC Code or number required based on the Product Type. Its character length depends on EANUCC Type chosen (i.e., EAN-13, UPC-A).|LoopGroup|Dropdown|900|Left|200|Left||||Active||NULL|
